,Pname,mr,mrerr,ms,mserr,P0,P1,yn,pmra,pmdec,gl,gb,dl,tc,p0_birth_lim,p1_birth_lim,tc_b,tmax
0,J0514-4002A,1.25,0.06,1.22,0.06,0.0049905751141121,8.4e-20,7.9e-21,5.19,-0.56,244.514,-35.036,12.1,0.9413201336814986,0.0017742546078716398,2.362729158067625e-19,0.11897837639728492,0.8223417572842137
1,J1829+2456,1.306,0.004,1.299,0.004,0.04100982358117,4.35e-20,1.0,0.0,0.0,53.343,15.612,0.915,14.93704472273506,0.021054296489916195,8.472984726111815e-20,0.09674274976938878,11.0
2,B1534+12,1.333,0.0002,1.3455,0.0002,0.03790444117830463,2.306229019908052e-18,0.0,1.482,-25.285,19.848,48.341,1.051,0.26040762869415723,0.017496161991699132,4.996314178519703e-18,0.05548289176699655,0.20492473692716068
3,J0737-3039A,1.3381,0.0007,1.2489,0.0007,0.0226993785996239,1.7611708937443355e-18,0.0,0.0,0.0,245.236,-4.505,0.52,0.20421070577072303,0.012511922617175694,3.195151226467923e-18,0.06204383994896006,0.14216686582176297
4,J0509+3801,1.34,0.08,1.46,0.08,0.076541348722003,7.915972290701084e-18,0.0,0.0,0.0,168.275,-1.187,1.562,0.15319968859392202,0.04011335715262457,1.5104674317607477e-17,0.04207689478237005,0.11112279381155198
5,J1757-1854,1.3406,0.0005,1.3922,0.0005,0.021497231890027,2.677387336393052e-18,0.0,0.0,0.0,9.966,2.877,19.559,0.127214722096847,0.014627078681969706,3.934922186534141e-18,0.05889622866281111,0.0683184934340359
6,J1756-2251,1.341,0.007,1.23,0.007,0.0284615890259983,1.0132909794358406e-18,0.0,-2.42,0.0,6.499,0.948,0.73,0.4450317582441987,0.010877851585711123,2.651247003437474e-18,0.06500682807544322,0.3800249301687555
7,B2127+11C,1.358,0.01,1.354,0.01,0.03052929614864,5.01e-18,5.01e-18,-1.3,-3.3,65.03,-27.315,10.4,0.09654840491602797,0.022236649813431864,6.878364096568952e-18,0.05122125712488271,0.04532714779114526
8,J1807-2500B,1.3655,0.0021,1.2064,0.0021,0.00418617720284089,1.125e-19,2.25e-19,0.0,0.0,5.83,-2.2,2.8973,0.5895642258164808,0.0018649880272844956,2.525190126852003e-19,0.11701674213018047,0.47254748368630034
9,B1913+16,1.4398,0.0002,1.3886,0.0002,0.059030003217813,8.661764985101408e-18,0.0,-0.72,-0.03,49.968,2.122,4.167,0.1079772961310939,0.03729874523017276,1.3708343586015798e-17,0.043109727546241164,0.06486756858485274
10,J0453+1559,1.559,0.005,1.174,0.004,0.0457818168729515,1.77e-19,1.0,-5.5,-6.0,184.125,-17.137,0.522,4.098130602700224,0.006313353634397333,1.283530442895261e-18,0.07793274615151688,4.020197856548707
11,J1913+1102,1.62,0.03,1.27,0.03,0.02728500685251,1.9430867597513694e-19,0.0,0.0,0.0,45.25,0.194,7.14,2.224835532458034,0.005263756826403229,1.0072109579397996e-18,0.08280211172838024,2.1420334207296534
12,J1802-2124,1.24,0.11,0.78,0.0,0.0126475935865227,7.117967968216778e-20,0.0,-0.85,4.8,8.382,0.611,0.76,2.8152561095767705,0.0024619169083611395,3.6567101723924917e-19,0.1066716194408545,2.708584490135916
13,J2045+3633,1.251,0.021,0.873,0.0,0.031681843248534,5.953e-19,1.0,-3.2,-2.68,77.832,-3.926,5.629,0.8432194111959059,0.009067643065148527,2.07994526806436e-18,0.06907303622996247,0.7741463749659434
14,J1918-0642,1.29,0.1,0.231,0.0,0.00764587276964204,2.3699159804904865e-20,0.0,-7.149,-5.972,30.027,-9.123,1.111,5.111638761327858,0.0012385121880973309,1.4630518969222872e-19,0.13412402888008393,4.977514732447774
15,J1910-5959A,1.33,0.11,0.18,0.0,0.00326618657079054,5.566e-21,7.2759e-21,-3.08,-3.97,336.525,-25.73,4.0,9.297449413601575,0.0009999999999999994,1.817959445302016e-20,0.87152900731415,8.425920406287425
16,J1949+3106,1.34,0.17,0.81,0.0,0.013138183343704,9.4e-20,1.0,-2.894,-5.093,66.858,2.554,7.468,2.2144888697452387,0.0028191353206011007,4.380737686777127e-19,0.10196114671335169,2.112527723031887
17,J1713+0747,1.35,0.07,0.292,0.0,0.004570136526357,8.144245037022312e-21,0.0,4.915,-3.914,28.751,25.223,1.149,8.890872444958406,0.001,3.722031172329739e-20,0.42568273003197815,8.465189714926428
18,J2234+0611,1.353,0.017,0.298,0.0,0.0035765816316731,6.47e-21,1.0,25.3,9.71,72.991,-43.006,0.971,8.758503309003101,0.0010000000000000005,2.3140483156924945e-20,0.6846894163604805,8.07381389264262
19,J2043+1711,1.38,0.13,0.173,0.0,0.00237987892388976,4.19540682939436e-21,0.0,-5.722,-10.831,61.919,-15.313,1.562,8.987663818274092,0.0010000000000000002,9.984560290418798e-21,1.5868544478837439,7.4008093703903475
20,J2053+4650,1.4,0.21,0.86,0.0,0.01258627531435,1.66e-19,1.0,-0.961,-6.969,344.09,16.451,1.887,1.2013102331706857,0.0035316433702935386,5.916004202905805e-19,0.09458328747529178,1.1067269456953939
21,J0337+1715,1.4359,0.0003,0.1973,0.0,0.00273258863244,1.7293e-20,1.0,4.81,-4.42,169.99,-30.039,1.3,2.5036288829114666,0.0010000000000000005,4.7254655220784903e-20,0.3352906466672407,2.168338236244226
22,J0437-4715,1.44,0.07,0.224,0.0,0.00575745193,1.4012357150253115e-20,0.0,121.439,-71.475,253.394,-41.963,0.157,6.510062525047575,0.0010000000000000007,8.067547271857404e-20,0.19639232809064983,6.313670196956925
23,J1738+0333,1.47,0.07,0.181,0.0,0.00585009585977568,2.2437822475469648e-20,0.0,7.066,5.115,27.721,17.742,1.471,4.130934530918174,0.0010786816426776246,1.2168874223194335e-19,0.14044585386295919,3.990488677055215
24,J1909-3744,1.486,0.011,0.208,0.0,0.00294710806,2.7002981703360266e-21,0.0,-9.512,-35.782,359.731,-19.596,1.14,17.29220499214189,0.001777756617861846,4.476467938435766e-21,1.990940379660283,11.0
25,J1950+2414,1.496,0.023,0.28,0.0,0.0043047754832565,2.033e-20,1.0,25.3,9.71,72.991,-43.006,0.971,3.3548967912717873,0.0010000000000000013,8.751608557460453e-20,0.18104150571848807,3.1738552855532993
26,J1125−6014,1.5,0.2,0.31,0.0,0.0026303807397848,2.3292219469430045e-21,0.0,11.108,-13.047,292.504,0.894,0.989,17.892613448887182,0.0016325770520554035,3.752803299672385e-21,2.5860477986759,11.0
27, J1857+0943,1.54,0.13,0.263,0.0,0.00536210046612603,1.7296989301522442e-20,0.0,-2.655,-5.408,42.29,3.06,1.2,4.911684556088952,0.0009999999999999976,9.274819439627067e-20,0.17082859682766602,4.740855959261286
28,J0751+1807,1.64,0.15,0.16,0.0,0.00347877083927942,6.2e-21,1.0,-2.73,-13.4,202.73,21.086,1.11,8.88996740644915,0.000999999999999998,2.1568379203532442e-20,0.7345959451797652,8.155371461269386
29,J0955−6150,1.71,0.02,0.254,0.0,0.0019993605237367,1.501e-19,1.0,0.0,0.0,0.0,0.0,0.0,0.21104567570976507,0.001537465351192625,1.951940018551218e-19,0.12479721865577496,0.0862484570539901
30,J1012+5307,1.72,0.16,0.165,0.0,0.0052557490141154,1.113442091230235e-20,0.0,2.98,-26.94,160.347,50.858,0.7,7.478818952486823,0.000999999999999999,5.851972173257904e-20,0.27074708214468174,7.208071870342142
31,J1600-3053,1.77,0.36,0.34,0.0,0.00359792845500477,9.245940479864009e-21,0.0,-2.8,-5.4,86.861,1.302,3.81,6.165488144720437,0.0009999999999999994,3.3266232345783194e-20,0.4762800831282856,5.689208061592152
