
0it [00:00, ?it/s]
1it [00:54, 54.30s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-1148.82+/-0.18 dlogz:inf>0.1]
5it [00:54,  8.11s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.2% logz=-163.22+/-0.18 dlogz:270.597>0.1]
9it [00:54,  3.72s/it, bound:0 nc: 19 ncall:4.5e+02 eff:2.0% logz=-115.32+/-0.18 dlogz:206.497>0.1]
12it [00:55,  2.40s/it, bound:0 nc: 12 ncall:4.9e+02 eff:2.4% logz=-102.80+/-0.18 dlogz:168.959>0.1]
14it [00:55,  1.80s/it, bound:0 nc: 15 ncall:5.2e+02 eff:2.7% logz=-97.71+/-0.17 dlogz:159.677>0.1] 
16it [00:55,  1.34s/it, bound:0 nc:  4 ncall:5.3e+02 eff:3.0% logz=-85.48+/-0.18 dlogz:156.896>0.1]
18it [00:55,  1.01it/s, bound:0 nc: 13 ncall:5.5e+02 eff:3.3% logz=-78.13+/-0.18 dlogz:141.198>0.1]
20it [00:56,  1.31it/s, bound:0 nc: 11 ncall:5.8e+02 eff:3.4% logz=-68.89+/-0.18 dlogz:134.006>0.1]
21it [00:56,  1.54it/s, bound:0 nc:  8 ncall:5.9e+02 eff:3.6% logz=-67.37+/-0.17 dlogz:129.212>0.1]
23it [00:56,  2.15it/s, bound:0 nc: 10 ncall:6.1e+02 eff:3.8% logz=-62.61+/-0.18 dlogz:126.773>0.1]
25it [00:56,  2.84it/s, bound:0 nc:  2 ncall:6.3e+02 eff:4.0% logz=-60.95+/-0.16 dlogz:121.805>0.1]
28it [00:56,  4.32it/s, bound:0 nc:  7 ncall:6.4e+02 eff:4.4% logz=-54.97+/-0.17 dlogz:116.907>0.1]
30it [00:57,  5.07it/s, bound:0 nc:  9 ncall:6.6e+02 eff:4.5% logz=-52.25+/-0.17 dlogz:114.284>0.1]
32it [00:57,  6.36it/s, bound:0 nc:  5 ncall:6.7e+02 eff:4.8% logz=-48.52+/-0.17 dlogz:110.164>0.1]
34it [00:57,  7.77it/s, bound:0 nc:  9 ncall:6.8e+02 eff:5.0% logz=-47.13+/-0.16 dlogz:108.053>0.1]
37it [00:57,  7.80it/s, bound:0 nc: 30 ncall:7.2e+02 eff:5.1% logz=-43.43+/-0.17 dlogz:105.613>0.1]
39it [00:58,  7.43it/s, bound:0 nc: 23 ncall:7.5e+02 eff:5.2% logz=-41.95+/-0.16 dlogz:102.745>0.1]
41it [00:58,  8.97it/s, bound:0 nc:  4 ncall:7.6e+02 eff:5.4% logz=-39.16+/-0.17 dlogz:101.413>0.1]
43it [00:58,  8.79it/s, bound:0 nc: 17 ncall:7.8e+02 eff:5.5% logz=-37.47+/-0.16 dlogz:98.453>0.1] 
46it [00:58, 10.55it/s, bound:0 nc:  9 ncall:8.0e+02 eff:5.7% logz=-30.93+/-0.17 dlogz:93.026>0.1]
48it [01:02,  1.57it/s, bound:1 nc:101 ncall:1.0e+03 eff:4.8% logz=-29.10+/-0.16 dlogz:90.076>0.1]
52it [01:07,  1.10it/s, bound:2 nc:101 ncall:1.4e+03 eff:3.7% logz=-24.99+/-0.16 dlogz:86.109>0.1]
57it [01:13,  1.01s/it, bound:4 nc:101 ncall:1.9e+03 eff:3.0% logz=-21.00+/-0.15 dlogz:81.772>0.1]
62it [01:18,  1.03s/it, bound:6 nc:101 ncall:2.4e+03 eff:2.5% logz=-19.45+/-0.14 dlogz:79.931>0.1]
67it [01:23,  1.00it/s, bound:7 nc:101 ncall:3.0e+03 eff:2.3% logz=-17.60+/-0.15 dlogz:78.260>0.1]
