
0it [00:00, ?it/s]
1it [00:28, 28.42s/it, bound:0 nc: 11 ncall:4.1e+02 eff:0.2% logz=-5072.91+/-0.18 dlogz:inf>0.1]
4it [00:28,  5.41s/it, bound:0 nc:  8 ncall:4.2e+02 eff:0.9% logz=-271.45+/-0.18 dlogz:360.581>0.1]
7it [00:28,  2.55s/it, bound:0 nc:  5 ncall:4.4e+02 eff:1.6% logz=-170.08+/-0.18 dlogz:240.263>0.1]
9it [00:28,  1.71s/it, bound:0 nc:  5 ncall:4.5e+02 eff:2.0% logz=-157.01+/-0.18 dlogz:229.595>0.1]
11it [00:29,  1.18s/it, bound:0 nc:  7 ncall:4.6e+02 eff:2.4% logz=-139.20+/-0.18 dlogz:213.653>0.1]
13it [00:29,  1.17it/s, bound:0 nc:  6 ncall:4.9e+02 eff:2.7% logz=-136.63+/-0.16 dlogz:203.784>0.1]
15it [00:29,  1.62it/s, bound:0 nc:  6 ncall:5.0e+02 eff:3.0% logz=-121.95+/-0.18 dlogz:201.889>0.1]
19it [00:29,  2.87it/s, bound:0 nc:  9 ncall:5.2e+02 eff:3.7% logz=-111.45+/-0.18 dlogz:183.728>0.1]
21it [00:29,  3.61it/s, bound:0 nc:  5 ncall:5.3e+02 eff:4.0% logz=-104.96+/-0.18 dlogz:176.381>0.1]
23it [00:30,  4.51it/s, bound:0 nc:  2 ncall:5.4e+02 eff:4.3% logz=-101.58+/-0.16 dlogz:168.750>0.1]
25it [00:30,  5.62it/s, bound:0 nc:  7 ncall:5.5e+02 eff:4.6% logz=-99.32+/-0.16 dlogz:166.373>0.1] 
28it [00:30,  7.84it/s, bound:0 nc:  2 ncall:5.6e+02 eff:5.0% logz=-96.08+/-0.16 dlogz:163.234>0.1]
32it [00:30,  9.90it/s, bound:0 nc: 14 ncall:5.8e+02 eff:5.5% logz=-91.17+/-0.16 dlogz:157.906>0.1]
34it [00:30, 10.80it/s, bound:0 nc:  3 ncall:5.9e+02 eff:5.8% logz=-83.55+/-0.18 dlogz:154.110>0.1]
36it [00:30, 11.70it/s, bound:0 nc:  6 ncall:6.0e+02 eff:6.0% logz=-81.71+/-0.16 dlogz:148.569>0.1]
40it [00:31, 11.10it/s, bound:0 nc: 25 ncall:6.3e+02 eff:6.4% logz=-76.16+/-0.17 dlogz:144.048>0.1]
42it [00:31, 11.88it/s, bound:0 nc:  7 ncall:6.4e+02 eff:6.6% logz=-71.87+/-0.18 dlogz:141.301>0.1]
