
0it [00:00, ?it/s]
1it [01:41, 101.41s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-7712.53+/-0.18 dlogz:inf>0.1]
2it [01:41, 41.91s/it, bound:0 nc:  6 ncall:4.1e+02 eff:0.5% logz=-4210.29+/-0.18 dlogz:7775.156>0.1]
3it [01:41, 22.84s/it, bound:0 nc:  5 ncall:4.2e+02 eff:0.7% logz=-2848.04+/-0.18 dlogz:4272.916>0.1]
4it [01:41, 13.87s/it, bound:0 nc:  7 ncall:4.2e+02 eff:0.9% logz=-1872.30+/-0.18 dlogz:2910.668>0.1]
6it [01:42,  6.55s/it, bound:0 nc:  2 ncall:4.3e+02 eff:1.4% logz=-1434.31+/-0.18 dlogz:1625.661>0.1]
8it [01:42,  3.78s/it, bound:0 nc:  6 ncall:4.4e+02 eff:1.8% logz=-1178.75+/-0.18 dlogz:1409.284>0.1]
10it [01:42,  2.37s/it, bound:0 nc:  4 ncall:4.4e+02 eff:2.3% logz=-999.57+/-0.18 dlogz:1087.948>0.1]
12it [01:42,  1.59s/it, bound:0 nc:  8 ncall:4.5e+02 eff:2.7% logz=-922.60+/-0.18 dlogz:1007.384>0.1]
13it [01:42,  1.30s/it, bound:0 nc:  5 ncall:4.6e+02 eff:2.9% logz=-918.15+/-0.18 dlogz:985.201>0.1] 
14it [01:43,  1.04s/it, bound:0 nc:  6 ncall:4.6e+02 eff:3.0% logz=-792.13+/-0.18 dlogz:980.752>0.1]
17it [01:43,  1.81it/s, bound:0 nc:  2 ncall:4.7e+02 eff:3.6% logz=-668.79+/-0.18 dlogz:763.520>0.1]
19it [01:43,  2.50it/s, bound:0 nc:  5 ncall:4.7e+02 eff:4.0% logz=-597.14+/-0.18 dlogz:667.536>0.1]
21it [01:43,  3.16it/s, bound:0 nc:  7 ncall:4.8e+02 eff:4.4% logz=-526.10+/-0.18 dlogz:646.446>0.1]
23it [01:43,  4.15it/s, bound:0 nc:  3 ncall:4.9e+02 eff:4.7% logz=-448.87+/-0.18 dlogz:531.123>0.1]
25it [01:44,  4.73it/s, bound:0 nc:  5 ncall:5.0e+02 eff:5.0% logz=-407.27+/-0.18 dlogz:474.257>0.1]
27it [01:44,  5.84it/s, bound:0 nc:  4 ncall:5.0e+02 eff:5.4% logz=-392.53+/-0.18 dlogz:467.791>0.1]
