
0it [00:00, ?it/s]
1it [00:13, 13.52s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-16707.16+/-0.18 dlogz:inf>0.1]
8it [00:13,  1.24s/it, bound:0 nc:  2 ncall:4.2e+02 eff:1.9% logz=-2440.55+/-0.18 dlogz:2966.452>0.1]
15it [00:13,  1.81it/s, bound:0 nc:  3 ncall:4.3e+02 eff:3.5% logz=-1361.27+/-0.18 dlogz:1491.619>0.1]
21it [00:13,  3.00it/s, bound:0 nc:  1 ncall:4.5e+02 eff:4.7% logz=-719.94+/-0.18 dlogz:799.982>0.1]  
27it [00:13,  4.60it/s, bound:0 nc:  4 ncall:4.6e+02 eff:5.8% logz=-526.45+/-0.18 dlogz:592.629>0.1]
33it [00:14,  6.63it/s, bound:0 nc:  2 ncall:4.8e+02 eff:6.8% logz=-365.90+/-0.18 dlogz:430.495>0.1]
39it [00:14,  9.37it/s, bound:0 nc:  3 ncall:5.0e+02 eff:7.8% logz=-297.44+/-0.18 dlogz:362.975>0.1]
45it [00:14, 12.82it/s, bound:0 nc:  1 ncall:5.2e+02 eff:8.7% logz=-232.35+/-0.18 dlogz:299.901>0.1]
51it [00:14, 17.01it/s, bound:0 nc:  1 ncall:5.3e+02 eff:9.7% logz=-170.53+/-0.17 dlogz:233.304>0.1]
58it [00:14, 22.23it/s, bound:0 nc:  4 ncall:5.5e+02 eff:10.6% logz=-133.70+/-0.18 dlogz:197.844>0.1]
70it [00:14, 33.85it/s, bound:0 nc:  1 ncall:5.7e+02 eff:12.4% logz=-87.78+/-0.17 dlogz:151.150>0.1] 
79it [00:14, 40.57it/s, bound:0 nc:  3 ncall:5.9e+02 eff:13.4% logz=-74.75+/-0.16 dlogz:137.373>0.1]
86it [00:14, 43.33it/s, bound:0 nc:  2 ncall:6.1e+02 eff:14.1% logz=-63.03+/-0.18 dlogz:126.671>0.1]
93it [00:15, 40.11it/s, bound:0 nc:  5 ncall:6.4e+02 eff:14.6% logz=-50.70+/-0.16 dlogz:113.195>0.1]
101it [00:15, 44.88it/s, bound:0 nc:  4 ncall:6.6e+02 eff:15.4% logz=-45.04+/-0.15 dlogz:106.941>0.1]
113it [00:15, 56.67it/s, bound:0 nc:  5 ncall:6.8e+02 eff:16.6% logz=-36.87+/-0.16 dlogz:98.875>0.1] 
122it [00:15, 56.39it/s, bound:0 nc:  8 ncall:7.0e+02 eff:17.4% logz=-33.08+/-0.15 dlogz:94.936>0.1]
129it [00:15, 52.38it/s, bound:0 nc:  6 ncall:7.3e+02 eff:17.8% logz=-28.66+/-0.15 dlogz:90.396>0.1]
135it [00:15, 47.81it/s, bound:0 nc: 16 ncall:7.5e+02 eff:18.0% logz=-26.86+/-0.14 dlogz:88.428>0.1]
141it [00:16, 47.54it/s, bound:0 nc:  5 ncall:7.7e+02 eff:18.3% logz=-25.45+/-0.14 dlogz:86.965>0.1]
148it [00:16, 49.48it/s, bound:0 nc:  2 ncall:7.9e+02 eff:18.7% logz=-24.07+/-0.14 dlogz:85.647>0.1]
157it [00:16, 56.17it/s, bound:0 nc:  2 ncall:8.1e+02 eff:19.3% logz=-21.02+/-0.14 dlogz:82.529>0.1]
166it [00:16, 60.33it/s, bound:0 nc:  7 ncall:8.3e+02 eff:19.9% logz=-19.26+/-0.14 dlogz:80.678>0.1]
176it [00:16, 66.81it/s, bound:0 nc:  2 ncall:8.5e+02 eff:20.7% logz=-17.08+/-0.14 dlogz:78.600>0.1]
184it [00:16, 66.38it/s, bound:0 nc:  3 ncall:8.7e+02 eff:21.1% logz=-15.58+/-0.14 dlogz:76.933>0.1]
192it [00:16, 66.25it/s, bound:0 nc:  5 ncall:8.9e+02 eff:21.5% logz=-14.49+/-0.13 dlogz:75.789>0.1]
199it [00:16, 59.33it/s, bound:0 nc:  1 ncall:9.2e+02 eff:21.7% logz=-13.75+/-0.13 dlogz:74.999>0.1]
206it [00:17, 54.88it/s, bound:0 nc: 10 ncall:9.4e+02 eff:21.9% logz=-13.12+/-0.13 dlogz:74.357>0.1]
212it [00:17, 53.10it/s, bound:0 nc: 15 ncall:9.6e+02 eff:22.0% logz=-12.50+/-0.13 dlogz:73.742>0.1]
218it [00:17, 49.00it/s, bound:0 nc:  2 ncall:9.9e+02 eff:22.0% logz=-11.92+/-0.13 dlogz:73.132>0.1]
223it [00:17, 46.08it/s, bound:0 nc:  1 ncall:1.0e+03 eff:22.1% logz=-11.47+/-0.13 dlogz:72.653>0.1]
229it [00:17, 46.78it/s, bound:0 nc:  5 ncall:1.0e+03 eff:22.3% logz=-10.98+/-0.13 dlogz:72.154>0.1]
237it [00:17, 51.05it/s, bound:0 nc:  3 ncall:1.0e+03 eff:22.6% logz=-10.31+/-0.12 dlogz:71.456>0.1]
245it [00:17, 50.99it/s, bound:0 nc: 11 ncall:1.1e+03 eff:22.9% logz=-9.54+/-0.13 dlogz:70.691>0.1] 
251it [00:18, 41.05it/s, bound:0 nc:  5 ncall:1.1e+03 eff:22.7% logz=-9.00+/-0.13 dlogz:70.116>0.1]
256it [00:18, 40.67it/s, bound:0 nc:  4 ncall:1.1e+03 eff:22.7% logz=-8.48+/-0.13 dlogz:69.593>0.1]
261it [00:18, 37.42it/s, bound:0 nc:  2 ncall:1.2e+03 eff:22.6% logz=-8.06+/-0.13 dlogz:69.138>0.1]
266it [00:18, 37.40it/s, bound:0 nc:  7 ncall:1.2e+03 eff:22.7% logz=-7.68+/-0.13 dlogz:68.746>0.1]
270it [00:18, 33.40it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.5% logz=-7.40+/-0.13 dlogz:68.464>0.1]
276it [00:18, 39.19it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.8% logz=-6.92+/-0.13 dlogz:67.968>0.1]
281it [00:19, 28.10it/s, bound:0 nc: 23 ncall:1.3e+03 eff:22.3% logz=-6.48+/-0.13 dlogz:67.514>0.1]
285it [00:19, 26.90it/s, bound:0 nc:  4 ncall:1.3e+03 eff:22.2% logz=-6.19+/-0.13 dlogz:67.203>0.1]
294it [00:19, 35.39it/s, bound:0 nc:  7 ncall:1.3e+03 eff:22.5% logz=-5.48+/-0.13 dlogz:66.478>0.1]
298it [00:19, 34.48it/s, bound:0 nc:  7 ncall:1.3e+03 eff:22.4% logz=-5.21+/-0.13 dlogz:66.192>0.1]
302it [00:19, 31.77it/s, bound:0 nc: 20 ncall:1.4e+03 eff:22.3% logz=-4.95+/-0.12 dlogz:65.925>0.1]
306it [00:19, 30.22it/s, bound:0 nc:  5 ncall:1.4e+03 eff:22.2% logz=-4.67+/-0.12 dlogz:65.637>0.1]
310it [00:20, 21.89it/s, bound:0 nc:  2 ncall:1.4e+03 eff:21.7% logz=-4.39+/-0.12 dlogz:65.345>0.1]
316it [00:20, 28.25it/s, bound:0 nc:  8 ncall:1.4e+03 eff:21.9% logz=-4.02+/-0.12 dlogz:64.953>0.1]
323it [00:20, 34.70it/s, bound:0 nc:  5 ncall:1.5e+03 eff:22.1% logz=-3.66+/-0.12 dlogz:64.559>0.1]
328it [00:20, 36.23it/s, bound:0 nc:  4 ncall:1.5e+03 eff:22.1% logz=-3.36+/-0.12 dlogz:64.264>0.1]
333it [00:20, 35.23it/s, bound:0 nc:  4 ncall:1.5e+03 eff:22.1% logz=-3.01+/-0.12 dlogz:63.909>0.1]
337it [00:20, 29.54it/s, bound:0 nc:  1 ncall:1.5e+03 eff:21.9% logz=-2.76+/-0.12 dlogz:63.637>0.1]
341it [00:21, 28.45it/s, bound:0 nc: 11 ncall:1.6e+03 eff:21.8% logz=-2.51+/-0.12 dlogz:63.381>0.1]
345it [00:21, 27.76it/s, bound:0 nc: 11 ncall:1.6e+03 eff:21.8% logz=-2.25+/-0.12 dlogz:63.111>0.1]
350it [00:21, 26.93it/s, bound:0 nc: 13 ncall:1.6e+03 eff:21.7% logz=-1.91+/-0.12 dlogz:62.766>0.1]
354it [00:21, 28.20it/s, bound:0 nc:  5 ncall:1.6e+03 eff:21.6% logz=-1.64+/-0.12 dlogz:62.476>0.1]
359it [00:21, 27.53it/s, bound:0 nc: 14 ncall:1.7e+03 eff:21.5% logz=-1.34+/-0.12 dlogz:62.162>0.1]
362it [00:21, 26.13it/s, bound:0 nc: 16 ncall:1.7e+03 eff:21.4% logz=-1.18+/-0.12 dlogz:61.993>0.1]
365it [00:21, 25.22it/s, bound:0 nc:  2 ncall:1.7e+03 eff:21.4% logz=-1.01+/-0.12 dlogz:61.817>0.1]
368it [00:22, 25.19it/s, bound:0 nc:  8 ncall:1.7e+03 eff:21.3% logz=-0.79+/-0.12 dlogz:61.613>0.1]
372it [00:22, 24.96it/s, bound:0 nc: 12 ncall:1.8e+03 eff:21.2% logz=-0.49+/-0.13 dlogz:61.294>0.1]
375it [00:22, 23.00it/s, bound:0 nc:  8 ncall:1.8e+03 eff:21.1% logz=-0.26+/-0.13 dlogz:61.065>0.1]
378it [00:22, 22.04it/s, bound:0 nc:  9 ncall:1.8e+03 eff:21.0% logz=-0.02+/-0.13 dlogz:60.818>0.1]
381it [00:22, 20.79it/s, bound:0 nc: 20 ncall:1.8e+03 eff:20.8% logz=0.20+/-0.13 dlogz:60.583>0.1] 
385it [00:22, 24.40it/s, bound:0 nc:  2 ncall:1.8e+03 eff:20.9% logz=0.47+/-0.13 dlogz:60.299>0.1]
388it [00:23, 19.99it/s, bound:0 nc: 12 ncall:1.9e+03 eff:20.7% logz=0.67+/-0.13 dlogz:60.086>0.1]
393it [00:23, 23.23it/s, bound:0 nc: 14 ncall:1.9e+03 eff:20.7% logz=0.99+/-0.13 dlogz:59.742>0.1]
400it [00:23, 30.62it/s, bound:0 nc: 11 ncall:1.9e+03 eff:20.8% logz=1.35+/-0.13 dlogz:59.361>0.1]
404it [00:23, 26.90it/s, bound:0 nc:  8 ncall:2.0e+03 eff:20.7% logz=1.56+/-0.13 dlogz:59.144>0.1]
408it [00:23, 28.47it/s, bound:0 nc:  3 ncall:2.0e+03 eff:20.7% logz=1.75+/-0.12 dlogz:58.939>0.1]
