
0it [00:00, ?it/s]
1it [00:06,  6.24s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-20833.10+/-0.18 dlogz:inf>0.1]
16it [00:06,  3.50it/s, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-1024.51+/-0.18 dlogz:1092.816>0.1]
31it [00:06,  8.02it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.2% logz=-386.28+/-0.18 dlogz:448.568>0.1]  
50it [00:06, 15.50it/s, bound:0 nc:  1 ncall:4.5e+02 eff:11.1% logz=-202.35+/-0.17 dlogz:252.947>0.1]
63it [00:06, 21.90it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.5% logz=-154.45+/-0.17 dlogz:204.963>0.1]
76it [00:06, 29.03it/s, bound:0 nc:  1 ncall:4.9e+02 eff:15.6% logz=-105.16+/-0.18 dlogz:160.868>0.1]
88it [00:06, 37.26it/s, bound:0 nc:  1 ncall:5.0e+02 eff:17.4% logz=-73.07+/-0.18 dlogz:124.624>0.1] 
103it [00:07, 48.86it/s, bound:0 nc:  1 ncall:5.2e+02 eff:19.8% logz=-53.76+/-0.17 dlogz:104.388>0.1]
115it [00:07, 56.35it/s, bound:0 nc:  2 ncall:5.4e+02 eff:21.2% logz=-43.76+/-0.16 dlogz:93.366>0.1] 
126it [00:07, 63.43it/s, bound:0 nc:  1 ncall:5.6e+02 eff:22.7% logz=-37.86+/-0.15 dlogz:87.453>0.1]
139it [00:07, 73.04it/s, bound:0 nc:  1 ncall:5.7e+02 eff:24.3% logz=-31.41+/-0.15 dlogz:80.629>0.1]
152it [00:07, 83.00it/s, bound:0 nc:  1 ncall:5.9e+02 eff:25.9% logz=-26.62+/-0.15 dlogz:75.920>0.1]
163it [00:07, 86.59it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.1% logz=-24.43+/-0.14 dlogz:73.522>0.1]
176it [00:07, 94.58it/s, bound:0 nc:  2 ncall:6.2e+02 eff:28.5% logz=-21.11+/-0.15 dlogz:70.375>0.1]
187it [00:07, 89.24it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.4% logz=-18.17+/-0.14 dlogz:67.244>0.1]
198it [00:08, 86.17it/s, bound:0 nc:  2 ncall:6.6e+02 eff:30.1% logz=-16.22+/-0.14 dlogz:65.214>0.1]
208it [00:08, 87.24it/s, bound:0 nc:  1 ncall:6.7e+02 eff:30.9% logz=-14.78+/-0.13 dlogz:63.729>0.1]
218it [00:08, 76.56it/s, bound:0 nc:  1 ncall:7.0e+02 eff:31.4% logz=-13.78+/-0.13 dlogz:62.662>0.1]
227it [00:08, 71.58it/s, bound:0 nc:  8 ncall:7.2e+02 eff:31.7% logz=-13.02+/-0.13 dlogz:61.874>0.1]
235it [00:08, 71.28it/s, bound:0 nc:  2 ncall:7.3e+02 eff:32.3% logz=-12.45+/-0.12 dlogz:61.273>0.1]
247it [00:08, 79.79it/s, bound:0 nc:  5 ncall:7.4e+02 eff:33.2% logz=-11.55+/-0.12 dlogz:60.363>0.1]
256it [00:08, 74.90it/s, bound:0 nc:  3 ncall:7.6e+02 eff:33.5% logz=-10.82+/-0.12 dlogz:59.608>0.1]
265it [00:08, 77.32it/s, bound:0 nc:  2 ncall:7.8e+02 eff:34.1% logz=-10.13+/-0.12 dlogz:58.879>0.1]
273it [00:09, 71.17it/s, bound:0 nc:  2 ncall:8.0e+02 eff:34.3% logz=-9.31+/-0.13 dlogz:58.080>0.1] 
283it [00:09, 75.80it/s, bound:0 nc:  1 ncall:8.1e+02 eff:34.9% logz=-8.17+/-0.13 dlogz:56.921>0.1]
291it [00:09, 75.80it/s, bound:0 nc:  1 ncall:8.3e+02 eff:35.2% logz=-7.27+/-0.13 dlogz:55.998>0.1]
303it [00:09, 80.08it/s, bound:0 nc:  5 ncall:8.5e+02 eff:35.8% logz=-6.18+/-0.13 dlogz:54.842>0.1]
312it [00:09, 79.93it/s, bound:0 nc:  2 ncall:8.6e+02 eff:36.1% logz=-5.51+/-0.13 dlogz:54.143>0.1]
321it [00:09, 69.92it/s, bound:0 nc:  3 ncall:8.9e+02 eff:36.1% logz=-4.84+/-0.13 dlogz:53.457>0.1]
329it [00:09, 65.42it/s, bound:0 nc:  2 ncall:9.1e+02 eff:36.2% logz=-4.23+/-0.13 dlogz:52.816>0.1]
336it [00:09, 63.59it/s, bound:0 nc:  5 ncall:9.2e+02 eff:36.4% logz=-3.78+/-0.13 dlogz:52.341>0.1]
347it [00:10, 72.58it/s, bound:0 nc:  1 ncall:9.4e+02 eff:37.1% logz=-3.17+/-0.12 dlogz:51.697>0.1]
355it [00:10, 72.44it/s, bound:0 nc:  6 ncall:9.5e+02 eff:37.3% logz=-2.78+/-0.12 dlogz:51.282>0.1]
363it [00:10, 66.04it/s, bound:0 nc:  3 ncall:9.7e+02 eff:37.3% logz=-2.41+/-0.12 dlogz:50.889>0.1]
370it [00:10, 50.85it/s, bound:0 nc:  1 ncall:1.0e+03 eff:36.8% logz=-2.09+/-0.12 dlogz:50.555>0.1]
376it [00:10, 48.00it/s, bound:0 nc:  4 ncall:1.0e+03 eff:36.7% logz=-1.82+/-0.12 dlogz:50.271>0.1]
382it [00:10, 49.55it/s, bound:0 nc:  4 ncall:1.0e+03 eff:36.8% logz=-1.58+/-0.12 dlogz:50.009>0.1]
391it [00:10, 57.79it/s, bound:0 nc:  1 ncall:1.1e+03 eff:37.2% logz=-1.23+/-0.12 dlogz:49.636>0.1]
398it [00:11, 60.31it/s, bound:0 nc:  3 ncall:1.1e+03 eff:37.3% logz=-0.92+/-0.12 dlogz:49.316>0.1]
405it [00:11, 57.51it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.2% logz=-0.60+/-0.12 dlogz:48.972>0.1]
412it [00:11, 59.33it/s, bound:0 nc:  5 ncall:1.1e+03 eff:37.4% logz=-0.28+/-0.12 dlogz:48.636>0.1]
419it [00:11, 51.39it/s, bound:0 nc:  5 ncall:1.1e+03 eff:37.2% logz=0.05+/-0.12 dlogz:48.292>0.1] 
427it [00:11, 57.65it/s, bound:0 nc:  1 ncall:1.1e+03 eff:37.4% logz=0.42+/-0.12 dlogz:47.895>0.1]
434it [00:11, 55.08it/s, bound:0 nc:  9 ncall:1.2e+03 eff:37.4% logz=0.79+/-0.12 dlogz:47.528>0.1]
440it [00:11, 47.47it/s, bound:0 nc:  1 ncall:1.2e+03 eff:37.0% logz=1.12+/-0.12 dlogz:47.180>0.1]
446it [00:12, 48.99it/s, bound:0 nc:  1 ncall:1.2e+03 eff:37.1% logz=1.43+/-0.12 dlogz:46.845>0.1]
452it [00:12, 51.10it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.1% logz=1.71+/-0.12 dlogz:46.543>0.1]
458it [00:12, 48.89it/s, bound:0 nc:  6 ncall:1.2e+03 eff:37.0% logz=1.95+/-0.12 dlogz:46.288>0.1]
464it [00:12, 51.06it/s, bound:0 nc:  2 ncall:1.3e+03 eff:37.0% logz=2.19+/-0.12 dlogz:46.034>0.1]
470it [00:12, 36.97it/s, bound:0 nc: 12 ncall:1.3e+03 eff:36.5% logz=2.41+/-0.12 dlogz:45.794>0.1]
475it [00:12, 31.31it/s, bound:0 nc:  1 ncall:1.3e+03 eff:36.1% logz=2.60+/-0.12 dlogz:45.594>0.1]
480it [00:12, 34.27it/s, bound:0 nc:  5 ncall:1.3e+03 eff:36.0% logz=2.78+/-0.12 dlogz:45.396>0.1]
486it [00:13, 39.01it/s, bound:0 nc:  5 ncall:1.3e+03 eff:36.1% logz=3.01+/-0.12 dlogz:45.160>0.1]
491it [00:13, 37.47it/s, bound:0 nc:  2 ncall:1.4e+03 eff:35.9% logz=3.19+/-0.12 dlogz:44.958>0.1]
496it [00:13, 39.25it/s, bound:0 nc:  1 ncall:1.4e+03 eff:35.8% logz=3.37+/-0.12 dlogz:44.764>0.1]
502it [00:13, 43.42it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.9% logz=3.58+/-0.12 dlogz:44.545>0.1]
509it [00:13, 47.33it/s, bound:0 nc:  5 ncall:1.4e+03 eff:36.0% logz=3.80+/-0.12 dlogz:44.301>0.1]
514it [00:13, 37.50it/s, bound:0 nc:  9 ncall:1.4e+03 eff:35.6% logz=3.96+/-0.12 dlogz:44.131>0.1]
521it [00:13, 43.87it/s, bound:0 nc:  3 ncall:1.5e+03 eff:35.8% logz=4.17+/-0.12 dlogz:43.903>0.1]
526it [00:14, 44.26it/s, bound:0 nc:  3 ncall:1.5e+03 eff:35.8% logz=4.31+/-0.12 dlogz:43.746>0.1]
532it [00:14, 43.53it/s, bound:0 nc:  8 ncall:1.5e+03 eff:35.6% logz=4.47+/-0.12 dlogz:43.572>0.1]
537it [00:14, 44.97it/s, bound:0 nc:  6 ncall:1.5e+03 eff:35.6% logz=4.59+/-0.12 dlogz:43.432>0.1]
543it [00:14, 48.31it/s, bound:0 nc:  3 ncall:1.5e+03 eff:35.7% logz=4.75+/-0.12 dlogz:43.262>0.1]
549it [00:14, 49.54it/s, bound:0 nc:  2 ncall:1.5e+03 eff:35.7% logz=4.91+/-0.12 dlogz:43.088>0.1]
555it [00:14, 41.55it/s, bound:0 nc:  3 ncall:1.6e+03 eff:35.6% logz=5.08+/-0.12 dlogz:42.907>0.1]
560it [00:14, 38.52it/s, bound:0 nc:  3 ncall:1.6e+03 eff:35.4% logz=5.23+/-0.12 dlogz:43.616>0.1]
566it [00:14, 42.20it/s, bound:0 nc:  4 ncall:1.6e+03 eff:35.4% logz=5.40+/-0.12 dlogz:43.430>0.1]
571it [00:15, 35.85it/s, bound:0 nc: 16 ncall:1.6e+03 eff:35.2% logz=5.55+/-0.12 dlogz:43.272>0.1]
576it [00:15, 34.95it/s, bound:0 nc: 10 ncall:1.6e+03 eff:35.1% logz=5.70+/-0.12 dlogz:43.109>0.1]
582it [00:15, 39.59it/s, bound:0 nc:  1 ncall:1.7e+03 eff:35.1% logz=5.89+/-0.12 dlogz:42.900>0.1]
588it [00:15, 41.95it/s, bound:0 nc:  6 ncall:1.7e+03 eff:35.1% logz=6.08+/-0.12 dlogz:42.704>0.1]
593it [00:15, 43.03it/s, bound:0 nc:  2 ncall:1.7e+03 eff:35.2% logz=6.24+/-0.12 dlogz:42.525>0.1]
598it [00:15, 42.79it/s, bound:0 nc: 11 ncall:1.7e+03 eff:35.1% logz=6.45+/-0.12 dlogz:42.320>0.1]
603it [00:15, 35.92it/s, bound:0 nc:  7 ncall:1.7e+03 eff:34.9% logz=6.66+/-0.12 dlogz:42.095>0.1]
607it [00:16, 35.36it/s, bound:0 nc:  1 ncall:1.7e+03 eff:34.8% logz=6.82+/-0.12 dlogz:41.922>0.1]
612it [00:16, 31.85it/s, bound:0 nc: 15 ncall:1.8e+03 eff:34.6% logz=7.00+/-0.12 dlogz:41.727>0.1]
616it [00:16, 27.33it/s, bound:0 nc:  4 ncall:1.8e+03 eff:34.4% logz=7.17+/-0.13 dlogz:41.545>0.1]
619it [00:16, 25.05it/s, bound:0 nc:  2 ncall:1.8e+03 eff:34.2% logz=7.29+/-0.13 dlogz:41.417>0.1]
623it [00:16, 25.26it/s, bound:0 nc: 11 ncall:1.8e+03 eff:34.0% logz=7.45+/-0.13 dlogz:41.252>0.1]
626it [00:16, 25.98it/s, bound:0 nc:  1 ncall:1.8e+03 eff:33.9% logz=7.56+/-0.13 dlogz:41.132>0.1]
630it [00:16, 28.30it/s, bound:0 nc:  4 ncall:1.9e+03 eff:33.8% logz=7.71+/-0.13 dlogz:40.975>0.1]
633it [00:17, 25.60it/s, bound:0 nc:  6 ncall:1.9e+03 eff:33.6% logz=7.82+/-0.13 dlogz:40.855>0.1]
636it [00:17, 21.86it/s, bound:0 nc:  6 ncall:1.9e+03 eff:33.4% logz=7.94+/-0.13 dlogz:40.732>0.1]
639it [00:17, 19.50it/s, bound:0 nc:  2 ncall:1.9e+03 eff:33.1% logz=8.06+/-0.13 dlogz:40.598>0.1]
642it [00:17, 18.30it/s, bound:0 nc: 16 ncall:2.0e+03 eff:32.8% logz=8.18+/-0.13 dlogz:40.469>0.1]
644it [00:17, 18.27it/s, bound:0 nc: 11 ncall:2.0e+03 eff:32.6% logz=8.26+/-0.13 dlogz:40.384>0.1]
648it [00:17, 22.30it/s, bound:0 nc:  7 ncall:2.0e+03 eff:32.6% logz=8.41+/-0.13 dlogz:40.221>0.1]
651it [00:18, 19.32it/s, bound:0 nc:  2 ncall:2.0e+03 eff:32.4% logz=8.52+/-0.13 dlogz:40.105>0.1]
656it [00:18, 24.19it/s, bound:0 nc:  7 ncall:2.0e+03 eff:32.4% logz=8.70+/-0.13 dlogz:39.913>0.1]
660it [00:18, 26.24it/s, bound:0 nc:  6 ncall:2.0e+03 eff:32.3% logz=8.85+/-0.13 dlogz:39.761>0.1]
664it [00:18, 26.54it/s, bound:0 nc:  7 ncall:2.1e+03 eff:32.2% logz=9.01+/-0.13 dlogz:39.591>0.1]
668it [00:18, 28.75it/s, bound:0 nc:  3 ncall:2.1e+03 eff:32.2% logz=9.17+/-0.13 dlogz:39.418>0.1]
672it [00:18, 22.19it/s, bound:0 nc: 16 ncall:2.1e+03 eff:31.8% logz=9.35+/-0.13 dlogz:39.230>0.1]
676it [00:19, 23.22it/s, bound:0 nc:  6 ncall:2.1e+03 eff:31.7% logz=9.53+/-0.13 dlogz:39.044>0.1]
679it [00:19, 23.76it/s, bound:0 nc:  8 ncall:2.2e+03 eff:31.6% logz=9.70+/-0.13 dlogz:38.878>0.1]
682it [00:19, 24.10it/s, bound:0 nc:  2 ncall:2.2e+03 eff:31.6% logz=9.87+/-0.13 dlogz:38.701>0.1]
685it [00:19, 24.46it/s, bound:0 nc:  2 ncall:2.2e+03 eff:31.4% logz=10.05+/-0.13 dlogz:38.519>0.1]
688it [00:19, 24.71it/s, bound:0 nc:  4 ncall:2.2e+03 eff:31.4% logz=10.24+/-0.13 dlogz:38.321>0.1]
691it [00:19, 21.13it/s, bound:0 nc:  2 ncall:2.2e+03 eff:31.1% logz=10.45+/-0.14 dlogz:38.118>0.1]
694it [00:19, 22.42it/s, bound:0 nc:  9 ncall:2.2e+03 eff:31.1% logz=10.67+/-0.14 dlogz:37.882>0.1]
698it [00:19, 25.79it/s, bound:0 nc:  6 ncall:2.2e+03 eff:31.0% logz=10.94+/-0.14 dlogz:37.599>0.1]
701it [00:20, 23.88it/s, bound:0 nc:  5 ncall:2.3e+03 eff:30.9% logz=11.11+/-0.14 dlogz:37.410>0.1]
704it [00:20, 24.39it/s, bound:0 nc:  1 ncall:2.3e+03 eff:30.8% logz=11.28+/-0.14 dlogz:37.234>0.1]
707it [00:20, 24.53it/s, bound:0 nc:  3 ncall:2.3e+03 eff:30.8% logz=11.45+/-0.14 dlogz:37.055>0.1]
710it [00:20, 25.46it/s, bound:0 nc:  8 ncall:2.3e+03 eff:30.7% logz=11.63+/-0.14 dlogz:36.872>0.1]
713it [00:20, 23.33it/s, bound:0 nc:  4 ncall:2.3e+03 eff:30.6% logz=11.79+/-0.14 dlogz:36.699>0.1]
716it [00:20, 22.55it/s, bound:0 nc:  3 ncall:2.4e+03 eff:30.4% logz=11.96+/-0.14 dlogz:36.525>0.1]
719it [00:21, 17.49it/s, bound:0 nc: 11 ncall:2.4e+03 eff:30.1% logz=12.15+/-0.14 dlogz:36.338>0.1]
721it [00:21, 17.45it/s, bound:0 nc:  8 ncall:2.4e+03 eff:30.0% logz=12.29+/-0.14 dlogz:36.195>0.1]
724it [00:21, 17.64it/s, bound:0 nc:  8 ncall:2.4e+03 eff:29.9% logz=12.50+/-0.14 dlogz:35.977>0.1]
726it [00:21, 15.11it/s, bound:0 nc:  5 ncall:2.4e+03 eff:29.7% logz=12.62+/-0.14 dlogz:35.843>0.1]
729it [00:21, 16.28it/s, bound:0 nc:  8 ncall:2.5e+03 eff:29.5% logz=12.80+/-0.14 dlogz:35.655>0.1]
732it [00:21, 17.41it/s, bound:0 nc: 12 ncall:2.5e+03 eff:29.4% logz=13.00+/-0.14 dlogz:35.458>0.1]
735it [00:21, 19.42it/s, bound:0 nc:  7 ncall:2.5e+03 eff:29.4% logz=13.19+/-0.14 dlogz:35.250>0.1]
738it [00:22, 16.91it/s, bound:0 nc: 24 ncall:2.5e+03 eff:29.1% logz=13.38+/-0.14 dlogz:35.053>0.1]
740it [00:22, 17.26it/s, bound:0 nc:  6 ncall:2.5e+03 eff:29.1% logz=13.49+/-0.14 dlogz:34.933>0.1]
743it [00:22, 19.38it/s, bound:0 nc:  2 ncall:2.6e+03 eff:29.0% logz=13.66+/-0.14 dlogz:34.754>0.1]
746it [00:22, 21.48it/s, bound:0 nc:  6 ncall:2.6e+03 eff:28.9% logz=13.82+/-0.14 dlogz:34.583>0.1]
749it [00:22, 18.02it/s, bound:0 nc: 16 ncall:2.6e+03 eff:28.7% logz=13.98+/-0.14 dlogz:34.417>0.1]
751it [00:22, 17.74it/s, bound:0 nc:  5 ncall:2.6e+03 eff:28.6% logz=14.09+/-0.14 dlogz:34.304>0.1]
754it [00:22, 18.00it/s, bound:0 nc: 10 ncall:2.6e+03 eff:28.5% logz=14.25+/-0.14 dlogz:34.143>0.1]
757it [00:23, 19.74it/s, bound:0 nc:  8 ncall:2.7e+03 eff:28.5% logz=14.43+/-0.14 dlogz:33.957>0.1]
760it [00:23, 19.37it/s, bound:0 nc:  4 ncall:2.7e+03 eff:28.4% logz=14.61+/-0.14 dlogz:33.771>0.1]
763it [00:23, 19.05it/s, bound:0 nc:  2 ncall:2.7e+03 eff:28.3% logz=14.79+/-0.14 dlogz:33.580>0.1]
767it [00:23, 18.06it/s, bound:0 nc: 24 ncall:2.7e+03 eff:28.1% logz=15.03+/-0.14 dlogz:33.334>0.1]
769it [00:23, 16.49it/s, bound:0 nc:  5 ncall:2.7e+03 eff:28.0% logz=15.15+/-0.14 dlogz:33.208>0.1]
771it [00:23, 16.39it/s, bound:0 nc: 10 ncall:2.8e+03 eff:27.9% logz=15.26+/-0.14 dlogz:33.083>0.1]
774it [00:24, 17.95it/s, bound:0 nc:  8 ncall:2.8e+03 eff:27.8% logz=15.43+/-0.14 dlogz:32.909>0.1]
776it [00:24, 17.54it/s, bound:0 nc:  8 ncall:2.8e+03 eff:27.8% logz=15.57+/-0.14 dlogz:32.778>0.1]
778it [00:24, 14.71it/s, bound:0 nc:  7 ncall:2.8e+03 eff:27.6% logz=15.71+/-0.14 dlogz:32.635>0.1]
781it [00:24, 15.62it/s, bound:0 nc: 10 ncall:2.8e+03 eff:27.5% logz=15.91+/-0.14 dlogz:32.422>0.1]
784it [00:24, 15.25it/s, bound:0 nc: 20 ncall:2.9e+03 eff:27.4% logz=16.11+/-0.14 dlogz:32.211>0.1]
786it [00:25, 10.15it/s, bound:0 nc: 34 ncall:2.9e+03 eff:27.0% logz=16.23+/-0.14 dlogz:32.079>0.1]
789it [00:25,  9.80it/s, bound:0 nc: 28 ncall:3.0e+03 eff:26.7% logz=16.40+/-0.14 dlogz:31.900>0.1]
792it [00:25, 10.51it/s, bound:0 nc: 20 ncall:3.0e+03 eff:26.6% logz=16.57+/-0.14 dlogz:31.723>0.1]
795it [00:25, 12.14it/s, bound:0 nc: 12 ncall:3.0e+03 eff:26.5% logz=16.74+/-0.14 dlogz:31.546>0.1]
797it [00:26,  9.86it/s, bound:0 nc:  7 ncall:3.0e+03 eff:26.2% logz=16.86+/-0.14 dlogz:31.428>0.1]
