
0it [00:00, ?it/s]
1it [00:34, 34.68s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8379.08+/-0.18 dlogz:inf>0.1]
6it [00:34,  4.28s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.5% logz=-4675.96+/-0.18 dlogz:4940.835>0.1]
11it [00:34,  1.91s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.7% logz=-4088.45+/-0.18 dlogz:4241.901>0.1]
16it [00:35,  1.08s/it, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-3928.62+/-0.17 dlogz:3983.787>0.1]
21it [00:35,  1.50it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-3585.71+/-0.18 dlogz:3667.088>0.1]
26it [00:35,  2.28it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.1% logz=-3469.37+/-0.17 dlogz:3525.100>0.1]
31it [00:35,  3.36it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.2% logz=-3334.97+/-0.17 dlogz:3389.791>0.1]
36it [00:35,  4.80it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.2% logz=-3189.96+/-0.18 dlogz:3298.657>0.1]
41it [00:35,  6.69it/s, bound:0 nc:  1 ncall:4.4e+02 eff:9.3% logz=-3055.53+/-0.18 dlogz:3121.403>0.1]
46it [00:35,  9.08it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.3% logz=-2980.82+/-0.18 dlogz:3062.381>0.1]
51it [00:35, 12.08it/s, bound:0 nc:  1 ncall:4.5e+02 eff:11.3% logz=-2756.24+/-0.18 dlogz:2907.239>0.1]
56it [00:35, 15.34it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.2% logz=-2722.02+/-0.18 dlogz:2783.945>0.1]
61it [00:36, 19.10it/s, bound:0 nc:  1 ncall:4.6e+02 eff:13.2% logz=-2559.06+/-0.18 dlogz:2618.401>0.1]
66it [00:36, 22.64it/s, bound:0 nc:  1 ncall:4.7e+02 eff:14.1% logz=-2498.98+/-0.18 dlogz:2561.526>0.1]
71it [00:36, 26.74it/s, bound:0 nc:  1 ncall:4.7e+02 eff:15.0% logz=-2377.76+/-0.19 dlogz:2459.142>0.1]
76it [00:36, 30.50it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.9% logz=-2324.03+/-0.18 dlogz:2381.432>0.1]
81it [00:36, 33.41it/s, bound:0 nc:  1 ncall:4.8e+02 eff:16.8% logz=-2255.83+/-0.19 dlogz:2328.704>0.1]
86it [00:36, 35.96it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.6% logz=-2168.01+/-0.18 dlogz:2225.513>0.1]
91it [00:36, 37.19it/s, bound:0 nc:  1 ncall:4.9e+02 eff:18.4% logz=-2095.77+/-0.19 dlogz:2167.607>0.1]
96it [00:36, 39.15it/s, bound:0 nc:  2 ncall:5.0e+02 eff:19.2% logz=-2034.82+/-0.19 dlogz:2098.506>0.1]
101it [00:37, 35.41it/s, bound:0 nc:  1 ncall:5.0e+02 eff:20.0% logz=-1902.23+/-0.19 dlogz:1967.954>0.1]
105it [00:37, 32.47it/s, bound:0 nc:  1 ncall:5.1e+02 eff:20.6% logz=-1872.00+/-0.19 dlogz:1934.233>0.1]
109it [00:37, 26.40it/s, bound:0 nc:  1 ncall:5.2e+02 eff:21.1% logz=-1819.30+/-0.19 dlogz:1878.069>0.1]
113it [00:37, 28.54it/s, bound:0 nc:  1 ncall:5.2e+02 eff:21.7% logz=-1803.41+/-0.19 dlogz:1866.187>0.1]
117it [00:37, 30.39it/s, bound:0 nc:  1 ncall:5.3e+02 eff:22.2% logz=-1774.37+/-0.17 dlogz:1829.150>0.1]
121it [00:37, 30.97it/s, bound:0 nc:  1 ncall:5.3e+02 eff:22.7% logz=-1751.35+/-0.17 dlogz:1805.728>0.1]
125it [00:37, 31.80it/s, bound:0 nc:  1 ncall:5.4e+02 eff:23.2% logz=-1718.50+/-0.19 dlogz:1790.105>0.1]
129it [00:38, 32.53it/s, bound:0 nc:  1 ncall:5.4e+02 eff:23.8% logz=-1690.28+/-0.19 dlogz:1748.762>0.1]
133it [00:38, 31.51it/s, bound:0 nc:  1 ncall:5.5e+02 eff:24.4% logz=-1666.35+/-0.19 dlogz:1731.686>0.1]
137it [00:38, 32.39it/s, bound:0 nc:  2 ncall:5.5e+02 eff:24.8% logz=-1583.42+/-0.19 dlogz:1657.745>0.1]
141it [00:38, 33.06it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.3% logz=-1531.02+/-0.19 dlogz:1603.031>0.1]
145it [00:38, 34.13it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.7% logz=-1458.34+/-0.19 dlogz:1542.282>0.1]
149it [00:38, 34.02it/s, bound:0 nc:  1 ncall:5.7e+02 eff:26.2% logz=-1417.95+/-0.19 dlogz:1487.461>0.1]
153it [00:38, 34.48it/s, bound:0 nc:  1 ncall:5.7e+02 eff:26.7% logz=-1384.47+/-0.18 dlogz:1439.757>0.1]
157it [00:38, 34.18it/s, bound:0 nc:  2 ncall:5.8e+02 eff:27.1% logz=-1361.73+/-0.18 dlogz:1416.781>0.1]
161it [00:39, 26.91it/s, bound:0 nc:  1 ncall:5.9e+02 eff:27.5% logz=-1343.72+/-0.17 dlogz:1398.356>0.1]
166it [00:39, 31.23it/s, bound:0 nc:  1 ncall:5.9e+02 eff:28.1% logz=-1332.05+/-0.19 dlogz:1392.313>0.1]
170it [00:39, 33.10it/s, bound:0 nc:  2 ncall:6.0e+02 eff:28.5% logz=-1314.94+/-0.19 dlogz:1375.037>0.1]
