
0it [00:00, ?it/s]
1it [00:17, 17.84s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-18255.81+/-0.18 dlogz:inf>0.1]
11it [00:17,  1.18s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.7% logz=-3287.07+/-0.18 dlogz:3376.560>0.1]
21it [00:18,  1.95it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-1923.26+/-0.18 dlogz:1981.968>0.1]
30it [00:18,  3.31it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.0% logz=-1413.86+/-0.17 dlogz:1470.257>0.1]
39it [00:18,  5.17it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-1063.97+/-0.18 dlogz:1124.033>0.1]
49it [00:18,  7.94it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.9% logz=-614.59+/-0.18 dlogz:680.057>0.1] 
57it [00:18, 10.74it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-485.84+/-0.18 dlogz:563.905>0.1]
67it [00:18, 15.31it/s, bound:0 nc:  1 ncall:4.7e+02 eff:14.2% logz=-317.85+/-0.18 dlogz:380.110>0.1]
76it [00:18, 20.00it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.8% logz=-243.13+/-0.19 dlogz:307.836>0.1]
84it [00:19, 24.57it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.1% logz=-212.38+/-0.17 dlogz:268.347>0.1]
93it [00:19, 30.74it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.6% logz=-152.55+/-0.19 dlogz:212.513>0.1]
100it [00:19, 34.22it/s, bound:0 nc:  3 ncall:5.1e+02 eff:19.6% logz=-131.25+/-0.18 dlogz:188.500>0.1]
107it [00:19, 37.90it/s, bound:0 nc:  2 ncall:5.2e+02 eff:20.5% logz=-121.56+/-0.16 dlogz:177.275>0.1]
116it [00:19, 44.26it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.8% logz=-103.92+/-0.17 dlogz:159.749>0.1]
124it [00:19, 48.49it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.9% logz=-93.63+/-0.17 dlogz:149.589>0.1] 
133it [00:19, 53.96it/s, bound:0 nc:  2 ncall:5.5e+02 eff:24.1% logz=-80.61+/-0.17 dlogz:136.552>0.1]
141it [00:19, 55.47it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.1% logz=-76.25+/-0.15 dlogz:131.384>0.1]
150it [00:20, 58.82it/s, bound:0 nc:  3 ncall:5.7e+02 eff:26.2% logz=-69.92+/-0.16 dlogz:125.227>0.1]
157it [00:20, 57.39it/s, bound:0 nc:  2 ncall:5.8e+02 eff:26.8% logz=-66.29+/-0.15 dlogz:121.361>0.1]
164it [00:20, 55.42it/s, bound:0 nc:  1 ncall:5.9e+02 eff:27.6% logz=-63.67+/-0.15 dlogz:118.583>0.1]
170it [00:20, 46.79it/s, bound:0 nc:  3 ncall:6.1e+02 eff:28.1% logz=-62.26+/-0.14 dlogz:117.120>0.1]
176it [00:20, 41.28it/s, bound:0 nc:  4 ncall:6.2e+02 eff:28.3% logz=-59.16+/-0.16 dlogz:114.332>0.1]
182it [00:20, 41.07it/s, bound:0 nc:  1 ncall:6.3e+02 eff:28.8% logz=-56.45+/-0.15 dlogz:111.489>0.1]
189it [00:21, 43.42it/s, bound:0 nc:  3 ncall:6.4e+02 eff:29.4% logz=-50.25+/-0.16 dlogz:105.200>0.1]
194it [00:21, 40.86it/s, bound:0 nc:  3 ncall:6.5e+02 eff:29.7% logz=-48.16+/-0.15 dlogz:103.180>0.1]
199it [00:21, 40.23it/s, bound:0 nc:  3 ncall:6.6e+02 eff:30.1% logz=-45.75+/-0.15 dlogz:100.633>0.1]
204it [00:21, 39.13it/s, bound:0 nc:  1 ncall:6.7e+02 eff:30.4% logz=-42.86+/-0.16 dlogz:97.924>0.1] 
209it [00:21, 38.69it/s, bound:0 nc:  4 ncall:6.8e+02 eff:30.6% logz=-40.28+/-0.16 dlogz:95.354>0.1]
214it [00:21, 38.62it/s, bound:0 nc:  5 ncall:6.9e+02 eff:30.9% logz=-38.62+/-0.15 dlogz:93.439>0.1]
220it [00:21, 40.97it/s, bound:0 nc:  4 ncall:7.0e+02 eff:31.4% logz=-34.65+/-0.16 dlogz:89.568>0.1]
