
0it [00:00, ?it/s]
1it [00:50, 50.40s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-412.92+/-0.18 dlogz:inf>0.1]
5it [00:50,  7.54s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.2% logz=-374.96+/-0.18 dlogz:453.176>0.1]
11it [00:50,  2.69s/it, bound:0 nc:  3 ncall:4.2e+02 eff:2.6% logz=-332.34+/-0.18 dlogz:403.370>0.1]
17it [00:50,  1.42s/it, bound:0 nc:  7 ncall:4.4e+02 eff:3.9% logz=-305.77+/-0.16 dlogz:374.672>0.1]
22it [00:51,  1.10it/s, bound:0 nc:  2 ncall:4.5e+02 eff:4.9% logz=-267.74+/-0.17 dlogz:336.618>0.1]
26it [00:51,  1.51it/s, bound:0 nc:  6 ncall:4.6e+02 eff:5.6% logz=-246.08+/-0.17 dlogz:315.159>0.1]
29it [00:51,  1.94it/s, bound:0 nc:  1 ncall:4.7e+02 eff:6.1% logz=-229.98+/-0.18 dlogz:300.786>0.1]
32it [00:51,  2.49it/s, bound:0 nc:  4 ncall:4.8e+02 eff:6.6% logz=-221.11+/-0.17 dlogz:290.907>0.1]
35it [00:51,  3.24it/s, bound:0 nc:  6 ncall:4.9e+02 eff:7.1% logz=-218.50+/-0.16 dlogz:286.631>0.1]
39it [00:52,  4.59it/s, bound:0 nc:  5 ncall:5.0e+02 eff:7.8% logz=-214.79+/-0.16 dlogz:283.131>0.1]
43it [00:52,  5.99it/s, bound:0 nc:  8 ncall:5.2e+02 eff:8.3% logz=-201.57+/-0.16 dlogz:270.310>0.1]
47it [00:52,  7.92it/s, bound:0 nc:  1 ncall:5.3e+02 eff:8.9% logz=-194.08+/-0.18 dlogz:265.494>0.1]
53it [00:52, 11.70it/s, bound:0 nc:  3 ncall:5.4e+02 eff:9.9% logz=-183.64+/-0.17 dlogz:252.422>0.1]
56it [00:52, 12.87it/s, bound:0 nc:  4 ncall:5.5e+02 eff:10.3% logz=-180.48+/-0.17 dlogz:249.546>0.1]
60it [00:52, 15.20it/s, bound:0 nc:  7 ncall:5.6e+02 eff:10.8% logz=-177.37+/-0.15 dlogz:245.501>0.1]
63it [00:53, 15.76it/s, bound:0 nc:  2 ncall:5.7e+02 eff:11.1% logz=-175.91+/-0.15 dlogz:244.058>0.1]
67it [00:53, 16.28it/s, bound:0 nc:  8 ncall:5.8e+02 eff:11.5% logz=-169.56+/-0.18 dlogz:240.942>0.1]
71it [00:53, 18.42it/s, bound:0 nc:  3 ncall:5.9e+02 eff:12.0% logz=-163.35+/-0.17 dlogz:232.061>0.1]
74it [00:53, 18.83it/s, bound:0 nc:  5 ncall:6.0e+02 eff:12.3% logz=-160.21+/-0.17 dlogz:229.236>0.1]
77it [00:53, 18.46it/s, bound:0 nc:  1 ncall:6.1e+02 eff:12.5% logz=-156.93+/-0.16 dlogz:225.286>0.1]
80it [00:54, 14.83it/s, bound:0 nc:  7 ncall:6.3e+02 eff:12.7% logz=-152.74+/-0.18 dlogz:222.648>0.1]
84it [00:54, 17.31it/s, bound:0 nc:  2 ncall:6.4e+02 eff:13.1% logz=-149.18+/-0.16 dlogz:217.630>0.1]
87it [00:54, 17.98it/s, bound:0 nc:  3 ncall:6.5e+02 eff:13.4% logz=-145.55+/-0.16 dlogz:213.808>0.1]
92it [00:54, 21.65it/s, bound:0 nc:  3 ncall:6.6e+02 eff:13.9% logz=-138.56+/-0.16 dlogz:207.078>0.1]
95it [00:54, 21.53it/s, bound:0 nc:  2 ncall:6.7e+02 eff:14.1% logz=-136.39+/-0.16 dlogz:204.829>0.1]
98it [00:54, 18.02it/s, bound:0 nc:  1 ncall:6.9e+02 eff:14.3% logz=-133.49+/-0.17 dlogz:202.282>0.1]
103it [00:55, 22.48it/s, bound:0 nc:  4 ncall:7.0e+02 eff:14.8% logz=-125.75+/-0.17 dlogz:194.803>0.1]
