
0it [00:00, ?it/s]
1it [01:05, 65.45s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-5447.22+/-0.18 dlogz:inf>0.1]
6it [01:05,  8.08s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.5% logz=-3159.45+/-0.18 dlogz:3372.280>0.1]
11it [01:05,  3.61s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.7% logz=-2118.42+/-0.18 dlogz:2644.457>0.1]
16it [01:06,  2.03s/it, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-1833.62+/-0.18 dlogz:1909.509>0.1]
21it [01:06,  1.26s/it, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-1438.71+/-0.18 dlogz:1598.472>0.1]
25it [01:06,  1.11it/s, bound:0 nc:  1 ncall:4.3e+02 eff:5.9% logz=-1177.69+/-0.18 dlogz:1384.158>0.1]
30it [01:06,  1.67it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.0% logz=-1017.98+/-0.18 dlogz:1110.174>0.1]
34it [01:07,  2.26it/s, bound:0 nc:  1 ncall:4.4e+02 eff:7.8% logz=-930.73+/-0.18 dlogz:1000.410>0.1] 
39it [01:07,  3.25it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-793.42+/-0.18 dlogz:882.562>0.1] 
44it [01:07,  4.55it/s, bound:0 nc:  1 ncall:4.5e+02 eff:9.9% logz=-756.67+/-0.18 dlogz:825.043>0.1]
48it [01:07,  5.74it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.6% logz=-657.36+/-0.18 dlogz:757.927>0.1]
52it [01:08,  6.97it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.4% logz=-530.99+/-0.18 dlogz:652.089>0.1]
57it [01:08,  9.03it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-486.96+/-0.18 dlogz:561.035>0.1]
61it [01:08, 10.60it/s, bound:0 nc:  2 ncall:4.7e+02 eff:13.1% logz=-412.53+/-0.18 dlogz:510.606>0.1]
