
0it [00:00, ?it/s]
1it [00:56, 56.73s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-349.57+/-0.18 dlogz:inf>0.1]
3it [00:56, 14.76s/it, bound:0 nc:  4 ncall:4.1e+02 eff:0.7% logz=-301.72+/-0.18 dlogz:397.608>0.1]
7it [00:56,  4.76s/it, bound:0 nc:  6 ncall:4.2e+02 eff:1.7% logz=-222.69+/-0.18 dlogz:304.601>0.1]
11it [00:57,  2.43s/it, bound:0 nc:  3 ncall:4.3e+02 eff:2.5% logz=-208.40+/-0.18 dlogz:281.131>0.1]
16it [00:57,  1.31s/it, bound:0 nc:  5 ncall:4.4e+02 eff:3.6% logz=-184.66+/-0.18 dlogz:255.497>0.1]
20it [00:57,  1.15it/s, bound:0 nc:  3 ncall:4.6e+02 eff:4.4% logz=-159.78+/-0.18 dlogz:230.397>0.1]
23it [00:57,  1.56it/s, bound:0 nc:  3 ncall:4.7e+02 eff:4.9% logz=-152.03+/-0.17 dlogz:221.454>0.1]
26it [00:57,  2.11it/s, bound:0 nc:  7 ncall:4.8e+02 eff:5.4% logz=-137.52+/-0.17 dlogz:206.401>0.1]
29it [00:57,  2.76it/s, bound:0 nc:  8 ncall:4.9e+02 eff:5.9% logz=-131.29+/-0.18 dlogz:202.828>0.1]
32it [00:58,  3.75it/s, bound:0 nc:  4 ncall:5.0e+02 eff:6.4% logz=-128.55+/-0.16 dlogz:196.979>0.1]
35it [00:58,  4.64it/s, bound:0 nc:  1 ncall:5.1e+02 eff:6.8% logz=-126.22+/-0.15 dlogz:194.457>0.1]
38it [00:58,  6.09it/s, bound:0 nc:  5 ncall:5.2e+02 eff:7.2% logz=-120.66+/-0.18 dlogz:192.531>0.1]
41it [00:58,  7.45it/s, bound:0 nc:  2 ncall:5.4e+02 eff:7.6% logz=-117.17+/-0.16 dlogz:185.684>0.1]
44it [00:58,  7.94it/s, bound:0 nc: 21 ncall:5.6e+02 eff:7.8% logz=-107.64+/-0.18 dlogz:177.899>0.1]
47it [00:59,  9.89it/s, bound:0 nc:  4 ncall:5.7e+02 eff:8.2% logz=-102.78+/-0.16 dlogz:171.357>0.1]
51it [00:59, 12.77it/s, bound:0 nc:  1 ncall:5.8e+02 eff:8.8% logz=-93.76+/-0.18 dlogz:163.972>0.1] 
54it [00:59, 14.73it/s, bound:0 nc:  2 ncall:5.9e+02 eff:9.1% logz=-90.21+/-0.16 dlogz:158.904>0.1]
58it [00:59, 18.24it/s, bound:0 nc:  5 ncall:6.0e+02 eff:9.6% logz=-86.13+/-0.16 dlogz:154.321>0.1]
62it [00:59, 21.19it/s, bound:0 nc:  4 ncall:6.1e+02 eff:10.1% logz=-82.57+/-0.16 dlogz:150.780>0.1]
66it [00:59, 21.44it/s, bound:0 nc:  7 ncall:6.3e+02 eff:10.5% logz=-77.50+/-0.17 dlogz:146.149>0.1]
69it [00:59, 21.82it/s, bound:0 nc:  1 ncall:6.4e+02 eff:10.8% logz=-75.16+/-0.16 dlogz:143.607>0.1]
72it [01:00, 18.51it/s, bound:0 nc:  2 ncall:6.5e+02 eff:11.1% logz=-72.91+/-0.16 dlogz:141.164>0.1]
75it [01:00, 14.72it/s, bound:0 nc: 12 ncall:6.7e+02 eff:11.2% logz=-69.99+/-0.17 dlogz:139.275>0.1]
77it [01:00, 14.89it/s, bound:0 nc:  3 ncall:6.8e+02 eff:11.4% logz=-68.10+/-0.16 dlogz:136.468>0.1]
81it [01:00, 13.64it/s, bound:0 nc: 20 ncall:7.0e+02 eff:11.5% logz=-65.91+/-0.15 dlogz:133.969>0.1]
83it [01:01, 14.16it/s, bound:0 nc:  2 ncall:7.1e+02 eff:11.7% logz=-64.73+/-0.15 dlogz:132.828>0.1]
85it [01:01, 14.49it/s, bound:0 nc:  6 ncall:7.2e+02 eff:11.7% logz=-62.85+/-0.16 dlogz:131.471>0.1]
87it [01:01, 15.04it/s, bound:0 nc:  6 ncall:7.3e+02 eff:11.9% logz=-61.59+/-0.16 dlogz:129.509>0.1]
92it [01:01, 21.26it/s, bound:0 nc:  4 ncall:7.4e+02 eff:12.4% logz=-58.81+/-0.16 dlogz:126.923>0.1]
95it [01:01, 16.75it/s, bound:0 nc: 11 ncall:7.6e+02 eff:12.5% logz=-57.40+/-0.15 dlogz:125.259>0.1]
100it [01:01, 19.56it/s, bound:0 nc:  8 ncall:7.8e+02 eff:12.9% logz=-52.58+/-0.16 dlogz:120.684>0.1]
104it [01:01, 22.20it/s, bound:0 nc:  2 ncall:7.9e+02 eff:13.2% logz=-49.61+/-0.16 dlogz:117.589>0.1]
107it [01:02, 16.75it/s, bound:0 nc:  9 ncall:8.1e+02 eff:13.2% logz=-47.89+/-0.16 dlogz:115.945>0.1]
111it [01:02, 18.01it/s, bound:0 nc:  9 ncall:8.3e+02 eff:13.4% logz=-44.25+/-0.16 dlogz:112.722>0.1]
114it [01:02, 17.43it/s, bound:0 nc: 11 ncall:8.4e+02 eff:13.5% logz=-41.53+/-0.16 dlogz:109.868>0.1]
117it [01:02, 18.47it/s, bound:0 nc:  5 ncall:8.5e+02 eff:13.7% logz=-39.01+/-0.16 dlogz:107.522>0.1]
122it [01:02, 23.04it/s, bound:0 nc:  2 ncall:8.6e+02 eff:14.2% logz=-35.20+/-0.16 dlogz:103.127>0.1]
125it [01:03, 22.71it/s, bound:0 nc:  7 ncall:8.7e+02 eff:14.3% logz=-33.10+/-0.16 dlogz:101.379>0.1]
128it [01:03, 16.74it/s, bound:0 nc:  2 ncall:9.0e+02 eff:14.3% logz=-30.98+/-0.16 dlogz:99.046>0.1] 
131it [01:03, 18.51it/s, bound:0 nc:  7 ncall:9.1e+02 eff:14.5% logz=-29.40+/-0.15 dlogz:97.281>0.1]
134it [01:03, 14.23it/s, bound:0 nc:  3 ncall:9.3e+02 eff:14.4% logz=-28.15+/-0.15 dlogz:95.787>0.1]
136it [01:04, 13.20it/s, bound:0 nc:  7 ncall:9.5e+02 eff:14.4% logz=-27.44+/-0.15 dlogz:95.139>0.1]
139it [01:04, 15.25it/s, bound:0 nc:  7 ncall:9.6e+02 eff:14.5% logz=-25.91+/-0.15 dlogz:93.616>0.1]
142it [01:04, 17.34it/s, bound:0 nc:  5 ncall:9.7e+02 eff:14.7% logz=-25.05+/-0.15 dlogz:92.641>0.1]
145it [01:04, 18.90it/s, bound:0 nc:  7 ncall:9.8e+02 eff:14.9% logz=-24.22+/-0.14 dlogz:91.794>0.1]
149it [01:04, 19.58it/s, bound:0 nc: 10 ncall:9.9e+02 eff:15.0% logz=-22.99+/-0.15 dlogz:90.712>0.1]
152it [01:04, 20.66it/s, bound:0 nc:  2 ncall:1.0e+03 eff:15.1% logz=-21.25+/-0.15 dlogz:89.107>0.1]
155it [01:04, 21.54it/s, bound:0 nc:  1 ncall:1.0e+03 eff:15.3% logz=-20.05+/-0.15 dlogz:87.623>0.1]
158it [01:05, 19.33it/s, bound:0 nc:  2 ncall:1.0e+03 eff:15.4% logz=-19.32+/-0.15 dlogz:86.830>0.1]
161it [01:05, 19.52it/s, bound:0 nc:  3 ncall:1.0e+03 eff:15.5% logz=-18.23+/-0.15 dlogz:85.949>0.1]
164it [01:05, 14.99it/s, bound:0 nc: 14 ncall:1.1e+03 eff:15.4% logz=-17.13+/-0.15 dlogz:84.682>0.1]
168it [01:05, 18.51it/s, bound:0 nc:  3 ncall:1.1e+03 eff:15.7% logz=-15.49+/-0.15 dlogz:83.188>0.1]
171it [01:05, 15.98it/s, bound:0 nc: 14 ncall:1.1e+03 eff:15.7% logz=-14.23+/-0.15 dlogz:81.800>0.1]
175it [01:06, 19.24it/s, bound:0 nc:  5 ncall:1.1e+03 eff:15.8% logz=-12.51+/-0.15 dlogz:80.083>0.1]
178it [01:06, 15.18it/s, bound:0 nc:  6 ncall:1.1e+03 eff:15.8% logz=-11.54+/-0.15 dlogz:79.115>0.1]
180it [01:06, 12.86it/s, bound:0 nc:  9 ncall:1.1e+03 eff:15.7% logz=-10.74+/-0.15 dlogz:78.350>0.1]
182it [01:06, 12.34it/s, bound:0 nc:  1 ncall:1.2e+03 eff:15.7% logz=-10.07+/-0.15 dlogz:77.578>0.1]
184it [01:06, 13.50it/s, bound:0 nc:  5 ncall:1.2e+03 eff:15.8% logz=-9.54+/-0.15 dlogz:77.009>0.1] 
186it [01:07, 10.43it/s, bound:0 nc:  7 ncall:1.2e+03 eff:15.8% logz=-9.03+/-0.15 dlogz:76.477>0.1]
188it [01:07, 11.88it/s, bound:0 nc:  4 ncall:1.2e+03 eff:15.9% logz=-8.60+/-0.14 dlogz:75.995>0.1]
190it [01:07, 11.68it/s, bound:0 nc:  9 ncall:1.2e+03 eff:15.9% logz=-8.23+/-0.14 dlogz:75.610>0.1]
193it [01:07, 14.42it/s, bound:0 nc:  6 ncall:1.2e+03 eff:16.0% logz=-7.68+/-0.14 dlogz:75.046>0.1]
196it [01:07, 12.37it/s, bound:0 nc: 19 ncall:1.2e+03 eff:15.9% logz=-6.91+/-0.14 dlogz:74.352>0.1]
198it [01:08, 12.98it/s, bound:0 nc:  8 ncall:1.2e+03 eff:16.0% logz=-6.49+/-0.14 dlogz:73.862>0.1]
201it [01:08, 15.57it/s, bound:0 nc:  4 ncall:1.2e+03 eff:16.1% logz=-5.87+/-0.14 dlogz:73.256>0.1]
204it [01:08, 17.48it/s, bound:0 nc: 11 ncall:1.3e+03 eff:16.2% logz=-5.20+/-0.14 dlogz:72.548>0.1]
206it [01:08, 17.25it/s, bound:0 nc:  5 ncall:1.3e+03 eff:16.2% logz=-4.86+/-0.14 dlogz:72.185>0.1]
208it [01:08, 16.83it/s, bound:0 nc:  7 ncall:1.3e+03 eff:16.3% logz=-4.49+/-0.14 dlogz:71.810>0.1]
210it [01:08, 11.69it/s, bound:0 nc:  1 ncall:1.3e+03 eff:16.1% logz=-4.17+/-0.14 dlogz:71.464>0.1]
214it [01:08, 16.05it/s, bound:0 nc:  1 ncall:1.3e+03 eff:16.3% logz=-3.57+/-0.14 dlogz:70.833>0.1]
216it [01:09, 15.89it/s, bound:0 nc:  4 ncall:1.3e+03 eff:16.3% logz=-3.28+/-0.14 dlogz:70.561>0.1]
218it [01:09, 12.56it/s, bound:0 nc:  4 ncall:1.3e+03 eff:16.2% logz=-2.95+/-0.14 dlogz:70.228>0.1]
222it [01:09, 16.43it/s, bound:0 nc:  5 ncall:1.4e+03 eff:16.4% logz=-2.31+/-0.14 dlogz:69.581>0.1]
224it [01:09, 16.07it/s, bound:0 nc:  5 ncall:1.4e+03 eff:16.4% logz=-1.96+/-0.14 dlogz:69.236>0.1]
227it [01:09, 17.83it/s, bound:0 nc:  7 ncall:1.4e+03 eff:16.5% logz=-1.49+/-0.14 dlogz:68.746>0.1]
230it [01:09, 19.43it/s, bound:0 nc:  6 ncall:1.4e+03 eff:16.6% logz=-1.03+/-0.14 dlogz:68.275>0.1]
233it [01:10, 20.54it/s, bound:0 nc:  4 ncall:1.4e+03 eff:16.7% logz=-0.51+/-0.14 dlogz:67.761>0.1]
236it [01:10, 16.13it/s, bound:0 nc:  9 ncall:1.4e+03 eff:16.7% logz=0.24+/-0.14 dlogz:67.114>0.1] 
238it [01:10, 14.16it/s, bound:0 nc:  1 ncall:1.4e+03 eff:16.7% logz=0.65+/-0.14 dlogz:66.607>0.1]
240it [01:10, 11.79it/s, bound:0 nc: 10 ncall:1.4e+03 eff:16.6% logz=1.03+/-0.14 dlogz:66.229>0.1]
244it [01:10, 15.94it/s, bound:0 nc:  6 ncall:1.5e+03 eff:16.7% logz=1.86+/-0.14 dlogz:65.452>0.1]
246it [01:11, 14.18it/s, bound:0 nc: 13 ncall:1.5e+03 eff:16.7% logz=2.31+/-0.14 dlogz:64.957>0.1]
248it [01:11, 14.79it/s, bound:0 nc:  3 ncall:1.5e+03 eff:16.7% logz=2.73+/-0.14 dlogz:64.522>0.1]
250it [01:11, 13.31it/s, bound:0 nc: 11 ncall:1.5e+03 eff:16.7% logz=3.10+/-0.14 dlogz:64.121>0.1]
252it [01:11, 13.87it/s, bound:0 nc:  4 ncall:1.5e+03 eff:16.7% logz=3.45+/-0.14 dlogz:63.756>0.1]
256it [01:11, 18.36it/s, bound:0 nc:  6 ncall:1.5e+03 eff:16.9% logz=4.44+/-0.14 dlogz:62.827>0.1]
258it [01:11, 15.47it/s, bound:0 nc:  4 ncall:1.5e+03 eff:16.8% logz=4.95+/-0.15 dlogz:62.356>0.1]
260it [01:11, 15.49it/s, bound:0 nc:  8 ncall:1.5e+03 eff:16.9% logz=5.52+/-0.15 dlogz:61.763>0.1]
263it [01:12, 17.60it/s, bound:0 nc:  3 ncall:1.6e+03 eff:17.0% logz=6.24+/-0.15 dlogz:60.973>0.1]
268it [01:12, 24.04it/s, bound:0 nc:  7 ncall:1.6e+03 eff:17.1% logz=7.27+/-0.14 dlogz:59.907>0.1]
271it [01:12, 18.50it/s, bound:0 nc:  1 ncall:1.6e+03 eff:17.1% logz=7.86+/-0.14 dlogz:59.358>0.1]
274it [01:12, 17.45it/s, bound:0 nc:  5 ncall:1.6e+03 eff:17.2% logz=8.47+/-0.14 dlogz:58.720>0.1]
276it [01:12, 17.09it/s, bound:0 nc:  3 ncall:1.6e+03 eff:17.2% logz=8.86+/-0.14 dlogz:58.317>0.1]
278it [01:12, 17.18it/s, bound:0 nc:  1 ncall:1.6e+03 eff:17.2% logz=9.24+/-0.14 dlogz:57.906>0.1]
281it [01:13, 18.96it/s, bound:0 nc:  4 ncall:1.6e+03 eff:17.3% logz=9.73+/-0.14 dlogz:57.392>0.1]
283it [01:13, 18.42it/s, bound:0 nc: 12 ncall:1.6e+03 eff:17.3% logz=10.02+/-0.14 dlogz:57.080>0.1]
287it [01:13, 22.30it/s, bound:0 nc:  2 ncall:1.6e+03 eff:17.4% logz=10.75+/-0.14 dlogz:56.388>0.1]
290it [01:13, 22.71it/s, bound:0 nc:  2 ncall:1.7e+03 eff:17.5% logz=11.32+/-0.14 dlogz:55.811>0.1]
293it [01:13, 17.81it/s, bound:0 nc:  3 ncall:1.7e+03 eff:17.4% logz=11.90+/-0.14 dlogz:55.242>0.1]
295it [01:13, 15.84it/s, bound:0 nc:  2 ncall:1.7e+03 eff:17.5% logz=12.35+/-0.14 dlogz:54.799>0.1]
297it [01:13, 15.89it/s, bound:0 nc: 11 ncall:1.7e+03 eff:17.5% logz=12.79+/-0.14 dlogz:54.350>0.1]
299it [01:14, 15.91it/s, bound:0 nc:  1 ncall:1.7e+03 eff:17.5% logz=13.17+/-0.14 dlogz:53.928>0.1]
301it [01:14, 12.82it/s, bound:0 nc: 16 ncall:1.7e+03 eff:17.4% logz=13.57+/-0.14 dlogz:53.545>0.1]
303it [01:14, 13.59it/s, bound:0 nc:  2 ncall:1.7e+03 eff:17.4% logz=13.92+/-0.14 dlogz:53.160>0.1]
306it [01:14, 16.17it/s, bound:0 nc:  3 ncall:1.7e+03 eff:17.5% logz=14.43+/-0.14 dlogz:52.655>0.1]
308it [01:14, 14.66it/s, bound:0 nc:  3 ncall:1.8e+03 eff:17.5% logz=14.78+/-0.14 dlogz:52.280>0.1]
310it [01:15,  9.41it/s, bound:0 nc: 19 ncall:1.8e+03 eff:17.4% logz=15.09+/-0.14 dlogz:51.953>0.1]
314it [01:15, 12.51it/s, bound:0 nc:  7 ncall:1.8e+03 eff:17.5% logz=15.68+/-0.14 dlogz:51.342>0.1]
316it [01:15, 13.26it/s, bound:0 nc:  1 ncall:1.8e+03 eff:17.5% logz=16.11+/-0.14 dlogz:51.001>0.1]
318it [01:15,  9.67it/s, bound:0 nc: 28 ncall:1.8e+03 eff:17.3% logz=16.57+/-0.14 dlogz:50.524>0.1]
320it [01:15, 10.79it/s, bound:0 nc:  2 ncall:1.8e+03 eff:17.3% logz=16.98+/-0.14 dlogz:50.087>0.1]
323it [01:16, 13.49it/s, bound:0 nc:  1 ncall:1.9e+03 eff:17.4% logz=17.57+/-0.14 dlogz:49.472>0.1]
325it [01:16, 11.82it/s, bound:0 nc:  2 ncall:1.9e+03 eff:17.4% logz=17.92+/-0.14 dlogz:49.105>0.1]
327it [01:16,  7.73it/s, bound:0 nc: 40 ncall:1.9e+03 eff:17.1% logz=18.27+/-0.14 dlogz:48.754>0.1]
331it [01:16, 11.44it/s, bound:0 nc:  1 ncall:1.9e+03 eff:17.2% logz=18.84+/-0.14 dlogz:48.124>0.1]
333it [01:17, 12.29it/s, bound:0 nc:  5 ncall:1.9e+03 eff:17.2% logz=19.06+/-0.14 dlogz:47.881>0.1]
335it [01:17, 13.07it/s, bound:0 nc:  9 ncall:1.9e+03 eff:17.2% logz=19.31+/-0.14 dlogz:47.652>0.1]
338it [01:17, 15.53it/s, bound:0 nc:  2 ncall:2.0e+03 eff:17.3% logz=19.76+/-0.14 dlogz:47.201>0.1]
340it [01:17, 14.02it/s, bound:0 nc:  4 ncall:2.0e+03 eff:17.3% logz=20.01+/-0.14 dlogz:46.919>0.1]
342it [01:17, 10.16it/s, bound:0 nc: 17 ncall:2.0e+03 eff:17.2% logz=20.24+/-0.14 dlogz:46.688>0.1]
344it [01:18,  9.43it/s, bound:0 nc:  5 ncall:2.0e+03 eff:17.1% logz=20.46+/-0.14 dlogz:46.449>0.1]
347it [01:18, 11.12it/s, bound:0 nc: 13 ncall:2.0e+03 eff:17.1% logz=20.93+/-0.14 dlogz:46.043>0.1]
349it [01:18, 10.98it/s, bound:0 nc:  2 ncall:2.0e+03 eff:17.1% logz=21.25+/-0.14 dlogz:45.692>0.1]
351it [01:18, 10.98it/s, bound:0 nc: 10 ncall:2.1e+03 eff:17.1% logz=21.57+/-0.14 dlogz:45.379>0.1]
353it [01:18, 12.01it/s, bound:0 nc:  7 ncall:2.1e+03 eff:17.1% logz=21.93+/-0.14 dlogz:45.027>0.1]
355it [01:18, 11.46it/s, bound:0 nc:  4 ncall:2.1e+03 eff:17.1% logz=22.24+/-0.14 dlogz:44.683>0.1]
357it [01:19,  6.57it/s, bound:0 nc: 12 ncall:2.1e+03 eff:16.9% logz=22.53+/-0.14 dlogz:44.388>0.1]
358it [01:20,  4.06it/s, bound:0 nc: 40 ncall:2.2e+03 eff:16.6% logz=22.68+/-0.14 dlogz:44.238>0.1]
360it [01:20,  5.09it/s, bound:0 nc: 14 ncall:2.2e+03 eff:16.6% logz=22.94+/-0.14 dlogz:43.955>0.1]
361it [01:20,  5.43it/s, bound:0 nc:  7 ncall:2.2e+03 eff:16.6% logz=23.06+/-0.14 dlogz:43.826>0.1]
363it [01:20,  6.57it/s, bound:0 nc: 17 ncall:2.2e+03 eff:16.5% logz=23.29+/-0.14 dlogz:43.580>0.1]
366it [01:20,  8.79it/s, bound:0 nc:  9 ncall:2.2e+03 eff:16.5% logz=23.61+/-0.14 dlogz:43.243>0.1]
370it [01:21, 12.90it/s, bound:0 nc:  4 ncall:2.2e+03 eff:16.6% logz=23.99+/-0.14 dlogz:42.840>0.1]
372it [01:21, 13.44it/s, bound:0 nc:  4 ncall:2.2e+03 eff:16.7% logz=24.18+/-0.14 dlogz:42.646>0.1]
375it [01:21, 15.86it/s, bound:0 nc:  4 ncall:2.2e+03 eff:16.7% logz=24.44+/-0.14 dlogz:42.370>0.1]
377it [01:21,  9.20it/s, bound:0 nc: 16 ncall:2.3e+03 eff:16.5% logz=24.60+/-0.13 dlogz:42.209>0.1]
379it [01:22,  7.32it/s, bound:0 nc: 20 ncall:2.3e+03 eff:16.4% logz=24.78+/-0.13 dlogz:42.037>0.1]
381it [01:22,  8.48it/s, bound:0 nc:  3 ncall:2.3e+03 eff:16.4% logz=25.02+/-0.14 dlogz:41.808>0.1]
384it [01:22, 11.06it/s, bound:0 nc:  1 ncall:2.3e+03 eff:16.5% logz=25.38+/-0.14 dlogz:41.452>0.1]
389it [01:22, 16.65it/s, bound:0 nc:  4 ncall:2.3e+03 eff:16.6% logz=25.88+/-0.14 dlogz:40.903>0.1]
392it [01:22, 16.49it/s, bound:0 nc: 11 ncall:2.4e+03 eff:16.7% logz=26.12+/-0.13 dlogz:40.643>0.1]
395it [01:23, 11.78it/s, bound:0 nc:  8 ncall:2.4e+03 eff:16.5% logz=26.35+/-0.13 dlogz:40.406>0.1]
398it [01:23, 13.77it/s, bound:0 nc:  9 ncall:2.4e+03 eff:16.6% logz=26.57+/-0.13 dlogz:40.175>0.1]
400it [01:23, 12.72it/s, bound:0 nc:  1 ncall:2.4e+03 eff:16.6% logz=26.71+/-0.13 dlogz:40.025>0.1]
403it [01:23, 15.13it/s, bound:0 nc:  4 ncall:2.4e+03 eff:16.6% logz=26.97+/-0.13 dlogz:39.776>0.1]
406it [01:24, 10.22it/s, bound:0 nc: 33 ncall:2.5e+03 eff:16.5% logz=27.22+/-0.13 dlogz:39.520>0.1]
408it [01:24,  8.90it/s, bound:0 nc: 23 ncall:2.5e+03 eff:16.4% logz=27.40+/-0.13 dlogz:39.332>0.1]
410it [01:24,  8.07it/s, bound:0 nc: 11 ncall:2.5e+03 eff:16.3% logz=27.56+/-0.13 dlogz:39.158>0.1]
412it [01:25,  8.64it/s, bound:0 nc:  2 ncall:2.5e+03 eff:16.3% logz=27.74+/-0.13 dlogz:38.986>0.1]
415it [01:25,  8.49it/s, bound:0 nc: 18 ncall:2.6e+03 eff:16.3% logz=28.03+/-0.13 dlogz:38.689>0.1]
417it [01:25,  9.87it/s, bound:0 nc:  3 ncall:2.6e+03 eff:16.3% logz=28.22+/-0.13 dlogz:38.495>0.1]
419it [01:25,  9.66it/s, bound:0 nc:  2 ncall:2.6e+03 eff:16.3% logz=28.41+/-0.13 dlogz:38.301>0.1]
421it [01:26,  8.91it/s, bound:0 nc:  7 ncall:2.6e+03 eff:16.3% logz=28.59+/-0.13 dlogz:38.111>0.1]
423it [01:26,  7.98it/s, bound:0 nc:  3 ncall:2.6e+03 eff:16.3% logz=28.75+/-0.13 dlogz:37.938>0.1]
425it [01:26,  8.57it/s, bound:0 nc: 16 ncall:2.6e+03 eff:16.2% logz=28.90+/-0.13 dlogz:37.777>0.1]
426it [01:26,  6.71it/s, bound:0 nc: 23 ncall:2.6e+03 eff:16.1% logz=28.97+/-0.13 dlogz:37.702>0.1]
428it [01:26,  8.28it/s, bound:0 nc:  6 ncall:2.7e+03 eff:16.1% logz=29.10+/-0.13 dlogz:37.560>0.1]
430it [01:27,  9.04it/s, bound:0 nc:  8 ncall:2.7e+03 eff:16.1% logz=29.27+/-0.13 dlogz:37.412>0.1]
432it [01:27,  7.28it/s, bound:0 nc: 20 ncall:2.7e+03 eff:16.0% logz=29.46+/-0.13 dlogz:37.224>0.1]
434it [01:27,  8.13it/s, bound:0 nc: 15 ncall:2.7e+03 eff:16.0% logz=29.67+/-0.13 dlogz:37.021>0.1]
435it [01:28,  5.37it/s, bound:0 nc: 32 ncall:2.7e+03 eff:15.8% logz=29.80+/-0.14 dlogz:36.903>0.1]
436it [01:28,  5.73it/s, bound:0 nc: 13 ncall:2.8e+03 eff:15.8% logz=29.92+/-0.14 dlogz:36.777>0.1]
437it [01:28,  5.64it/s, bound:0 nc: 13 ncall:2.8e+03 eff:15.8% logz=30.05+/-0.14 dlogz:36.649>0.1]
438it [01:28,  6.27it/s, bound:0 nc:  3 ncall:2.8e+03 eff:15.8% logz=30.17+/-0.14 dlogz:36.518>0.1]
441it [01:28,  8.70it/s, bound:0 nc:  6 ncall:2.8e+03 eff:15.8% logz=30.48+/-0.14 dlogz:36.179>0.1]
443it [01:28, 10.40it/s, bound:0 nc:  4 ncall:2.8e+03 eff:15.9% logz=30.66+/-0.14 dlogz:35.988>0.1]
445it [01:29, 10.38it/s, bound:0 nc:  2 ncall:2.8e+03 eff:15.9% logz=30.82+/-0.14 dlogz:35.814>0.1]
447it [01:29, 10.43it/s, bound:0 nc: 13 ncall:2.8e+03 eff:15.9% logz=30.96+/-0.14 dlogz:35.659>0.1]
449it [01:29,  9.50it/s, bound:0 nc: 11 ncall:2.8e+03 eff:15.8% logz=31.11+/-0.14 dlogz:35.509>0.1]
451it [01:29, 10.90it/s, bound:0 nc:  3 ncall:2.8e+03 eff:15.8% logz=31.25+/-0.13 dlogz:35.362>0.1]
453it [01:29,  9.89it/s, bound:0 nc:  8 ncall:2.9e+03 eff:15.8% logz=31.38+/-0.13 dlogz:35.216>0.1]
