
0it [00:00, ?it/s]
1it [01:00, 60.47s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-641.89+/-0.18 dlogz:inf>0.1]
4it [01:00, 11.48s/it, bound:0 nc:  5 ncall:4.1e+02 eff:1.0% logz=-468.95+/-0.18 dlogz:662.048>0.1]
7it [01:00,  5.37s/it, bound:0 nc:  1 ncall:4.2e+02 eff:1.7% logz=-431.96+/-0.18 dlogz:505.911>0.1]
10it [01:01,  3.06s/it, bound:0 nc:  1 ncall:4.2e+02 eff:2.4% logz=-376.54+/-0.18 dlogz:443.447>0.1]
14it [01:01,  1.69s/it, bound:0 nc:  1 ncall:4.3e+02 eff:3.3% logz=-341.31+/-0.17 dlogz:403.334>0.1]
17it [01:01,  1.19s/it, bound:0 nc:  6 ncall:4.5e+02 eff:3.8% logz=-315.83+/-0.18 dlogz:383.848>0.1]
20it [01:01,  1.21it/s, bound:0 nc:  2 ncall:4.5e+02 eff:4.4% logz=-299.32+/-0.18 dlogz:363.207>0.1]
22it [01:01,  1.54it/s, bound:0 nc:  4 ncall:4.6e+02 eff:4.8% logz=-291.41+/-0.18 dlogz:358.560>0.1]
24it [01:02,  1.92it/s, bound:0 nc:  9 ncall:4.7e+02 eff:5.1% logz=-283.07+/-0.18 dlogz:348.008>0.1]
26it [01:02,  2.49it/s, bound:0 nc:  3 ncall:4.8e+02 eff:5.5% logz=-272.62+/-0.18 dlogz:335.806>0.1]
28it [01:02,  3.23it/s, bound:0 nc:  1 ncall:4.8e+02 eff:5.9% logz=-262.00+/-0.18 dlogz:328.080>0.1]
30it [01:02,  4.15it/s, bound:0 nc:  2 ncall:4.8e+02 eff:6.2% logz=-256.49+/-0.18 dlogz:323.830>0.1]
32it [01:02,  5.24it/s, bound:0 nc:  2 ncall:4.9e+02 eff:6.5% logz=-250.04+/-0.18 dlogz:316.923>0.1]
34it [01:02,  6.44it/s, bound:0 nc:  3 ncall:4.9e+02 eff:6.9% logz=-242.74+/-0.17 dlogz:307.448>0.1]
