
0it [00:00, ?it/s]
1it [00:39, 39.46s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-540.23+/-0.18 dlogz:inf>0.1]
6it [00:39,  4.87s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.5% logz=-304.01+/-0.17 dlogz:371.550>0.1]
11it [00:39,  2.17s/it, bound:0 nc:  4 ncall:4.2e+02 eff:2.6% logz=-254.34+/-0.18 dlogz:333.419>0.1]
16it [00:39,  1.22s/it, bound:0 nc:  4 ncall:4.4e+02 eff:3.7% logz=-211.71+/-0.18 dlogz:280.918>0.1]
21it [00:40,  1.31it/s, bound:0 nc:  2 ncall:4.5e+02 eff:4.7% logz=-194.86+/-0.18 dlogz:263.473>0.1]
25it [00:40,  1.83it/s, bound:0 nc:  2 ncall:4.7e+02 eff:5.4% logz=-187.99+/-0.16 dlogz:254.844>0.1]
30it [00:40,  2.77it/s, bound:0 nc:  3 ncall:4.8e+02 eff:6.3% logz=-183.02+/-0.16 dlogz:249.664>0.1]
35it [00:40,  4.04it/s, bound:0 nc:  4 ncall:4.9e+02 eff:7.2% logz=-169.06+/-0.18 dlogz:240.186>0.1]
39it [00:40,  5.34it/s, bound:0 nc:  1 ncall:5.0e+02 eff:7.9% logz=-165.87+/-0.15 dlogz:232.301>0.1]
45it [00:40,  8.02it/s, bound:0 nc:  4 ncall:5.1e+02 eff:8.9% logz=-158.51+/-0.17 dlogz:226.347>0.1]
50it [00:40, 10.69it/s, bound:0 nc:  1 ncall:5.2e+02 eff:9.7% logz=-149.40+/-0.17 dlogz:216.723>0.1]
56it [00:40, 14.69it/s, bound:0 nc:  2 ncall:5.3e+02 eff:10.6% logz=-136.60+/-0.17 dlogz:203.654>0.1]
61it [00:41, 18.22it/s, bound:0 nc:  1 ncall:5.4e+02 eff:11.4% logz=-125.30+/-0.18 dlogz:194.758>0.1]
66it [00:41, 21.88it/s, bound:0 nc:  2 ncall:5.5e+02 eff:12.0% logz=-119.50+/-0.17 dlogz:187.351>0.1]
72it [00:41, 24.94it/s, bound:0 nc: 10 ncall:5.6e+02 eff:12.7% logz=-110.79+/-0.16 dlogz:177.288>0.1]
77it [00:41, 26.23it/s, bound:0 nc:  6 ncall:5.8e+02 eff:13.3% logz=-108.09+/-0.15 dlogz:174.565>0.1]
81it [00:41, 27.88it/s, bound:0 nc:  4 ncall:5.9e+02 eff:13.8% logz=-102.65+/-0.16 dlogz:169.390>0.1]
86it [00:41, 31.73it/s, bound:0 nc:  2 ncall:6.0e+02 eff:14.4% logz=-92.77+/-0.17 dlogz:160.397>0.1] 
90it [00:41, 26.16it/s, bound:0 nc: 16 ncall:6.2e+02 eff:14.6% logz=-89.87+/-0.16 dlogz:156.206>0.1]
94it [00:42, 25.22it/s, bound:0 nc:  9 ncall:6.3e+02 eff:14.9% logz=-86.24+/-0.16 dlogz:152.429>0.1]
101it [00:42, 29.86it/s, bound:0 nc:  9 ncall:6.5e+02 eff:15.6% logz=-79.65+/-0.16 dlogz:145.951>0.1]
105it [00:42, 30.57it/s, bound:0 nc:  3 ncall:6.6e+02 eff:16.0% logz=-76.48+/-0.16 dlogz:143.158>0.1]
109it [00:42, 31.26it/s, bound:0 nc:  5 ncall:6.7e+02 eff:16.3% logz=-71.13+/-0.17 dlogz:138.006>0.1]
113it [00:42, 32.10it/s, bound:0 nc:  1 ncall:6.8e+02 eff:16.7% logz=-68.82+/-0.15 dlogz:134.869>0.1]
117it [00:42, 32.62it/s, bound:0 nc:  2 ncall:6.9e+02 eff:17.0% logz=-66.32+/-0.16 dlogz:133.194>0.1]
121it [00:42, 29.50it/s, bound:0 nc:  3 ncall:7.0e+02 eff:17.2% logz=-63.19+/-0.16 dlogz:129.688>0.1]
125it [00:43, 31.19it/s, bound:0 nc:  3 ncall:7.2e+02 eff:17.5% logz=-59.31+/-0.16 dlogz:125.908>0.1]
129it [00:43, 28.66it/s, bound:0 nc:  1 ncall:7.3e+02 eff:17.8% logz=-57.68+/-0.15 dlogz:123.626>0.1]
134it [00:43, 32.48it/s, bound:0 nc:  3 ncall:7.4e+02 eff:18.2% logz=-54.75+/-0.16 dlogz:121.249>0.1]
138it [00:43, 32.10it/s, bound:0 nc:  1 ncall:7.5e+02 eff:18.4% logz=-52.23+/-0.15 dlogz:118.158>0.1]
142it [00:43, 25.90it/s, bound:0 nc:  4 ncall:7.7e+02 eff:18.5% logz=-50.50+/-0.15 dlogz:116.527>0.1]
145it [00:43, 26.15it/s, bound:0 nc:  3 ncall:7.8e+02 eff:18.6% logz=-46.17+/-0.17 dlogz:112.814>0.1]
148it [00:44, 20.79it/s, bound:0 nc: 12 ncall:8.0e+02 eff:18.5% logz=-44.26+/-0.16 dlogz:110.689>0.1]
153it [00:44, 23.35it/s, bound:0 nc:  7 ncall:8.1e+02 eff:18.9% logz=-40.38+/-0.16 dlogz:106.404>0.1]
156it [00:44, 19.89it/s, bound:0 nc:  1 ncall:8.4e+02 eff:18.7% logz=-39.24+/-0.15 dlogz:105.311>0.1]
159it [00:44, 21.09it/s, bound:0 nc:  2 ncall:8.4e+02 eff:18.9% logz=-37.54+/-0.15 dlogz:103.645>0.1]
162it [00:44, 22.31it/s, bound:0 nc:  5 ncall:8.6e+02 eff:18.9% logz=-36.28+/-0.15 dlogz:102.185>0.1]
165it [00:44, 23.28it/s, bound:0 nc:  3 ncall:8.6e+02 eff:19.1% logz=-35.10+/-0.15 dlogz:101.073>0.1]
168it [00:44, 21.29it/s, bound:0 nc:  7 ncall:8.8e+02 eff:19.1% logz=-32.86+/-0.16 dlogz:99.421>0.1] 
172it [00:45, 24.74it/s, bound:0 nc:  5 ncall:8.9e+02 eff:19.3% logz=-30.54+/-0.16 dlogz:96.620>0.1]
175it [00:45, 25.07it/s, bound:0 nc:  1 ncall:9.0e+02 eff:19.5% logz=-29.49+/-0.15 dlogz:95.339>0.1]
181it [00:45, 32.41it/s, bound:0 nc:  1 ncall:9.1e+02 eff:20.0% logz=-28.19+/-0.14 dlogz:93.891>0.1]
