
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc: 14 ncall:4.1e+02 eff:0.2% logz=-140.70+/-0.13 dlogz:inf>0.1]
3it [00:00, 13.64it/s, bound:0 nc: 32 ncall:4.5e+02 eff:0.7% logz=-97.46+/-0.13 dlogz:142.293>0.1]
6it [00:00, 17.69it/s, bound:0 nc: 17 ncall:4.8e+02 eff:1.2% logz=-60.13+/-0.13 dlogz:98.943>0.1] 
9it [00:00, 18.24it/s, bound:0 nc: 14 ncall:5.3e+02 eff:1.7% logz=-53.45+/-0.12 dlogz:89.002>0.1]
14it [00:01, 24.40it/s, bound:0 nc: 24 ncall:5.7e+02 eff:2.5% logz=-38.54+/-0.12 dlogz:74.839>0.1]
18it [00:01, 26.46it/s, bound:0 nc: 11 ncall:6.1e+02 eff:2.9% logz=-30.37+/-0.12 dlogz:65.112>0.1]
23it [00:01, 27.58it/s, bound:0 nc: 24 ncall:6.5e+02 eff:3.5% logz=-26.97+/-0.11 dlogz:61.057>0.1]
27it [00:01, 27.50it/s, bound:0 nc: 21 ncall:6.8e+02 eff:4.0% logz=-25.16+/-0.10 dlogz:59.285>0.1]
33it [00:01, 33.13it/s, bound:0 nc: 19 ncall:7.4e+02 eff:4.5% logz=-22.24+/-0.11 dlogz:56.415>0.1]
34it [00:20, 33.13it/s, bound:0 nc: 44 ncall:7.8e+02 eff:4.3% logz=-21.71+/-0.11 dlogz:55.849>0.1]
35it [01:33,  7.40s/it, bound:1 nc:144 ncall:9.3e+02 eff:3.8% logz=-20.29+/-0.12 dlogz:55.315>0.1]
187it [01:33,  2.50it/s, bound:10 nc: 40 ncall:1.9e+04 eff:1.0% logz=-1.43+/-0.06 dlogz:34.633>0.1]
262it [01:44,  3.35it/s, bound:14 nc:126 ncall:2.7e+04 eff:1.0% logz=1.10+/-0.07 dlogz:33.399>0.1] 
382it [01:44,  6.40it/s, bound:20 nc:  1 ncall:3.8e+04 eff:1.3% logz=8.81+/-0.08 dlogz:25.775>0.1]
479it [01:50,  8.10it/s, bound:25 nc: 36 ncall:4.3e+04 eff:1.1% logz=7.64+/-0.08 dlogz:27.089>0.1]
535it [02:10,  8.10it/s, bound:28 nc: 52 ncall:4.5e+04 eff:1.2% logz=9.07+/-0.08 dlogz:27.542>0.1]
536it [02:13,  5.26it/s, bound:28 nc: 25 ncall:4.5e+04 eff:1.2% logz=9.10+/-0.08 dlogz:27.515>0.1]
576it [02:14,  6.43it/s, bound:30 nc: 27 ncall:4.7e+04 eff:1.2% logz=10.05+/-0.08 dlogz:26.467>0.1]
634it [02:14,  8.87it/s, bound:33 nc: 54 ncall:4.9e+04 eff:1.3% logz=11.55+/-0.08 dlogz:24.825>0.1]
730it [02:14, 14.64it/s, bound:38 nc: 27 ncall:5.4e+04 eff:1.4% logz=13.71+/-0.09 dlogz:22.503>0.1]
