
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc: 21 ncall:4.2e+02 eff:0.2% logz=-271.58+/-0.13 dlogz:inf>0.1]
5it [00:00, 36.95it/s, bound:0 nc: 33 ncall:4.7e+02 eff:1.1% logz=-73.70+/-0.12 dlogz:108.118>0.1]
10it [00:00, 33.57it/s, bound:0 nc: 10 ncall:5.2e+02 eff:1.9% logz=-48.49+/-0.12 dlogz:84.094>0.1]
16it [00:00, 43.57it/s, bound:0 nc:  3 ncall:5.7e+02 eff:2.8% logz=-40.42+/-0.11 dlogz:74.672>0.1]
21it [00:00, 44.61it/s, bound:0 nc: 38 ncall:6.4e+02 eff:3.3% logz=-36.34+/-0.11 dlogz:70.072>0.1]
26it [00:01, 35.76it/s, bound:0 nc: 12 ncall:7.0e+02 eff:3.7% logz=-32.37+/-0.11 dlogz:66.145>0.1]
30it [00:01, 27.24it/s, bound:0 nc:  1 ncall:7.4e+02 eff:4.0% logz=-29.39+/-0.11 dlogz:62.917>0.1]
34it [00:16,  1.13s/it, bound:1 nc: 42 ncall:8.3e+02 eff:4.1% logz=-28.09+/-0.10 dlogz:61.451>0.1]
54it [00:16,  2.70it/s, bound:2 nc: 25 ncall:1.6e+03 eff:3.4% logz=-22.83+/-0.09 dlogz:56.076>0.1]
87it [00:16,  6.92it/s, bound:3 nc: 43 ncall:2.9e+03 eff:3.0% logz=-17.20+/-0.09 dlogz:50.273>0.1]
114it [00:16, 11.67it/s, bound:5 nc: 37 ncall:4.0e+03 eff:2.9% logz=-12.81+/-0.09 dlogz:45.834>0.1]
169it [00:16, 25.09it/s, bound:8 nc: 61 ncall:6.2e+03 eff:2.7% logz=-8.24+/-0.08 dlogz:41.064>0.1] 
207it [00:16, 37.20it/s, bound:10 nc: 25 ncall:7.7e+03 eff:2.7% logz=-6.11+/-0.08 dlogz:38.811>0.1]
247it [00:17, 54.19it/s, bound:12 nc: 61 ncall:9.4e+03 eff:2.6% logz=-4.58+/-0.08 dlogz:37.169>0.1]
284it [00:30, 54.19it/s, bound:14 nc: 46 ncall:1.1e+04 eff:2.6% logz=-3.59+/-0.07 dlogz:36.076>0.1]
285it [00:46,  3.90it/s, bound:14 nc: 25 ncall:1.1e+04 eff:2.6% logz=-3.56+/-0.07 dlogz:36.049>0.1]
305it [00:46,  4.77it/s, bound:15 nc: 28 ncall:1.2e+04 eff:2.6% logz=-3.07+/-0.07 dlogz:35.507>0.1]
330it [00:46,  6.37it/s, bound:16 nc: 32 ncall:1.3e+04 eff:2.6% logz=-2.50+/-0.07 dlogz:34.874>0.1]
354it [00:46,  8.48it/s, bound:17 nc: 37 ncall:1.4e+04 eff:2.6% logz=-2.04+/-0.07 dlogz:34.349>0.1]
384it [00:46, 12.19it/s, bound:19 nc: 28 ncall:1.5e+04 eff:2.6% logz=-1.51+/-0.07 dlogz:33.742>0.1]
405it [00:46, 15.76it/s, bound:20 nc: 42 ncall:1.6e+04 eff:2.5% logz=-1.12+/-0.07 dlogz:33.298>0.1]
444it [00:47, 25.16it/s, bound:22 nc: 34 ncall:1.8e+04 eff:2.5% logz=-0.40+/-0.07 dlogz:32.485>0.1]
501it [00:47, 43.46it/s, bound:25 nc: 42 ncall:2.0e+04 eff:2.5% logz=0.69+/-0.07 dlogz:31.254>0.1] 
560it [00:58, 11.11it/s, bound:28 nc: 68 ncall:2.3e+04 eff:2.5% logz=1.63+/-0.07 dlogz:30.156>0.1]
578it [01:30,  2.94it/s, bound:29 nc: 66 ncall:2.3e+04 eff:2.5% logz=1.90+/-0.07 dlogz:29.848>0.1]
637it [01:30,  4.96it/s, bound:32 nc: 45 ncall:2.6e+04 eff:2.4% logz=2.74+/-0.07 dlogz:28.856>0.1]
709it [01:30,  8.45it/s, bound:35 nc: 78 ncall:3.1e+04 eff:2.3% logz=3.81+/-0.08 dlogz:27.607>0.1]
798it [01:30, 14.56it/s, bound:40 nc: 88 ncall:3.7e+04 eff:2.1% logz=5.09+/-0.08 dlogz:26.104>0.1]
844it [01:50, 14.56it/s, bound:43 nc: 78 ncall:4.1e+04 eff:2.1% logz=5.81+/-0.08 dlogz:25.274>0.1]
845it [01:57,  5.34it/s, bound:43 nc: 58 ncall:4.1e+04 eff:2.1% logz=5.82+/-0.08 dlogz:25.256>0.1]
1001it [01:57, 11.42it/s, bound:51 nc: 50 ncall:5.3e+04 eff:1.9% logz=8.13+/-0.09 dlogz:22.561>0.1]
1098it [02:06, 10.88it/s, bound:56 nc: 60 ncall:6.0e+04 eff:1.8% logz=9.43+/-0.09 dlogz:21.367>0.1]
1135it [02:20, 10.88it/s, bound:58 nc: 97 ncall:6.3e+04 eff:1.8% logz=9.86+/-0.09 dlogz:22.252>0.1]
1136it [03:01,  3.34it/s, bound:58 nc: 60 ncall:6.3e+04 eff:1.8% logz=9.87+/-0.09 dlogz:22.239>0.1]
1156it [03:02,  3.72it/s, bound:59 nc: 80 ncall:6.5e+04 eff:1.8% logz=10.08+/-0.09 dlogz:21.978>0.1]
1201it [03:02,  4.93it/s, bound:61 nc: 60 ncall:6.9e+04 eff:1.7% logz=10.51+/-0.09 dlogz:21.435>0.1]
1255it [03:02,  7.00it/s, bound:64 nc: 93 ncall:7.5e+04 eff:1.7% logz=11.04+/-0.09 dlogz:21.144>0.1]
1333it [03:02, 11.25it/s, bound:68 nc: 63 ncall:8.5e+04 eff:1.6% logz=11.94+/-0.09 dlogz:20.051>0.1]
1372it [03:20, 11.25it/s, bound:70 nc:146 ncall:9.0e+04 eff:1.5% logz=12.35+/-0.10 dlogz:19.543>0.1]
1373it [03:50,  3.01it/s, bound:70 nc: 63 ncall:9.0e+04 eff:1.5% logz=12.36+/-0.10 dlogz:19.530>0.1]
1447it [03:50,  4.74it/s, bound:73 nc:  1 ncall:9.9e+04 eff:1.8% logz=23.30+/-0.19 dlogz:7.479>0.1] 
1586it [03:50,  9.37it/s, bound:81 nc: 98 ncall:1.2e+05 eff:1.3% logz=14.63+/-0.09 dlogz:18.625>0.1]
1645it [04:10,  9.37it/s, bound:84 nc:191 ncall:1.3e+05 eff:1.3% logz=15.16+/-0.10 dlogz:17.945>0.1]
1646it [04:21,  4.99it/s, bound:84 nc:102 ncall:1.3e+05 eff:1.3% logz=15.17+/-0.10 dlogz:17.934>0.1]
1666it [05:45,  1.65it/s, bound:85 nc: 98 ncall:1.3e+05 eff:1.3% logz=15.35+/-0.10 dlogz:18.324>0.1]
1726it [05:45,  2.36it/s, bound:88 nc:103 ncall:1.4e+05 eff:1.2% logz=15.92+/-0.10 dlogz:17.611>0.1]
1801it [05:46,  3.62it/s, bound:91 nc:161 ncall:1.6e+05 eff:1.2% logz=16.63+/-0.11 dlogz:16.706>0.1]
1904it [05:46,  6.08it/s, bound:97 nc:139 ncall:1.7e+05 eff:1.1% logz=17.62+/-0.11 dlogz:15.464>0.1]
1943it [06:00,  6.08it/s, bound:99 nc:173 ncall:1.8e+05 eff:1.1% logz=18.03+/-0.11 dlogz:14.957>0.1]
1944it [07:56,  1.36it/s, bound:99 nc:184 ncall:1.8e+05 eff:1.1% logz=18.04+/-0.11 dlogz:14.944>0.1]
2003it [07:56,  1.89it/s, bound:102 nc:139 ncall:1.9e+05 eff:1.0% logz=18.65+/-0.11 dlogz:15.155>0.1]
2074it [07:56,  2.79it/s, bound:105 nc:988 ncall:2.1e+05 eff:1.0% logz=19.41+/-0.08 dlogz:14.213>0.1]
2176it [07:57,  4.64it/s, bound:111 nc:161 ncall:2.5e+05 eff:0.9% logz=20.39+/-0.11 dlogz:12.981>0.1]
2233it [08:10,  4.64it/s, bound:114 nc:283 ncall:2.7e+05 eff:0.8% logz=20.85+/-0.11 dlogz:12.375>0.1]
2234it [08:15,  4.18it/s, bound:114 nc:152 ncall:2.7e+05 eff:0.8% logz=20.86+/-0.11 dlogz:12.365>0.1]
2254it [09:30,  1.61it/s, bound:115 nc:524 ncall:2.8e+05 eff:0.8% logz=21.02+/-0.11 dlogz:12.155>0.1]
2318it [09:30,  2.41it/s, bound:118 nc:280 ncall:3.0e+05 eff:0.8% logz=21.54+/-0.01 dlogz:11.477>0.1]
2438it [09:30,  4.52it/s, bound:124 nc:233 ncall:3.4e+05 eff:0.7% logz=22.49+/-0.10 dlogz:10.225>0.1]
2489it [09:50,  4.52it/s, bound:127 nc:793 ncall:3.6e+05 eff:0.7% logz=22.87+/-0.11 dlogz:9.718>0.1] 
2490it [10:08,  2.99it/s, bound:127 nc:316 ncall:3.6e+05 eff:0.7% logz=22.87+/-0.11 dlogz:9.708>0.1]
2530it [11:17,  1.64it/s, bound:129 nc:246 ncall:3.7e+05 eff:0.7% logz=23.16+/-0.11 dlogz:9.326>0.1]
2576it [11:21,  2.07it/s, bound:131 nc:301 ncall:3.9e+05 eff:0.7% logz=23.48+/-0.01 dlogz:8.888>0.1]
2705it [11:21,  4.10it/s, bound:138 nc:318 ncall:4.6e+05 eff:0.6% logz=24.28+/-0.09 dlogz:7.765>0.1]
2796it [11:40,  4.10it/s, bound:143 nc:433 ncall:5.1e+05 eff:0.6% logz=24.77+/-0.04 dlogz:7.048>0.1]
2797it [13:45,  1.46it/s, bound:143 nc:491 ncall:5.1e+05 eff:0.6% logz=24.78+/-0.05 dlogz:7.040>0.1]
2896it [13:45,  2.21it/s, bound:148 nc:445 ncall:5.7e+05 eff:0.5% logz=25.27+/-0.09 dlogz:6.302>0.1]
2994it [13:45,  3.27it/s, bound:153 nc:1836 ncall:6.6e+05 eff:0.5% logz=25.68+/-0.07 dlogz:6.850>0.1]
3048it [14:00,  3.27it/s, bound:156 nc:1170 ncall:7.1e+05 eff:0.4% logz=25.90+/-0.04 dlogz:6.498>0.1]
3049it [15:26,  1.61it/s, bound:156 nc:1391 ncall:7.1e+05 eff:0.4% logz=25.91+/-0.05 dlogz:6.492>0.1]
3087it [17:01,  1.06it/s, bound:158 nc:2125 ncall:7.6e+05 eff:0.4% logz=26.05+/-0.07 dlogz:6.248>0.1]
3164it [17:01,  1.58it/s, bound:162 nc:1134 ncall:8.3e+05 eff:0.4% logz=26.34+/-0.06 dlogz:5.776>0.1]
3253it [17:01,  2.44it/s, bound:166 nc:697 ncall:9.0e+05 eff:0.4% logz=26.63+/-0.04 dlogz:5.262>0.1] 
3301it [17:20,  2.44it/s, bound:169 nc:893 ncall:9.5e+05 eff:0.3% logz=26.77+/-0.06 dlogz:5.001>0.1]
3302it [19:11,  1.12it/s, bound:169 nc:817 ncall:9.5e+05 eff:0.3% logz=26.77+/-0.07 dlogz:4.996>0.1]
3366it [19:11,  1.57it/s, bound:172 nc:585 ncall:1.0e+06 eff:0.3% logz=26.95+/-0.06 dlogz:4.664>0.1]
3450it [19:11,  2.41it/s, bound:176 nc:  1 ncall:1.1e+06 eff:0.3% logz=27.86+/-0.13 dlogz:2.647>0.1]
3549it [19:11,  3.83it/s, bound:181 nc:  1 ncall:1.2e+06 eff:0.3% logz=28.06+/-0.13 dlogz:3.218>0.1]
3573it [19:30,  3.83it/s, bound:183 nc:1136 ncall:1.2e+06 eff:0.3% logz=27.42+/-0.06 dlogz:4.833>0.1]
3574it [20:39,  1.55it/s, bound:183 nc:727 ncall:1.2e+06 eff:0.3% logz=27.42+/-0.06 dlogz:4.828>0.1] 
3592it [22:58,  1.41s/it, bound:184 nc:1071 ncall:1.2e+06 eff:0.3% logz=27.46+/-0.07 dlogz:4.748>0.1]
3627it [23:02,  1.11s/it, bound:185 nc:2673 ncall:1.3e+06 eff:0.3% logz=27.53+/-0.06 dlogz:4.593>0.1]
3693it [23:03,  1.46it/s, bound:189 nc:  1 ncall:1.4e+06 eff:0.3% logz=28.41+/-0.15 dlogz:1.955>0.1] 
3755it [23:03,  2.20it/s, bound:192 nc:  1 ncall:1.5e+06 eff:0.3% logz=28.63+/-0.20 dlogz:0.774>0.1]
3807it [23:20,  2.20it/s, bound:195 nc:519 ncall:1.6e+06 eff:0.2% logz=27.83+/-0.08 dlogz:3.854>0.1]
3808it [25:10,  1.03s/it, bound:195 nc:1783 ncall:1.6e+06 eff:0.2% logz=27.83+/-0.08 dlogz:3.851>0.1]
3887it [25:10,  1.58it/s, bound:199 nc:565 ncall:1.7e+06 eff:0.2% logz=27.94+/-0.08 dlogz:3.551>0.1] 
3984it [25:10,  2.65it/s, bound:204 nc:2330 ncall:1.8e+06 eff:0.2% logz=28.06+/-0.09 dlogz:3.202>0.1]
4062it [25:30,  2.65it/s, bound:208 nc:949 ncall:1.9e+06 eff:0.2% logz=28.14+/-0.10 dlogz:2.936>0.1] 
4063it [27:12,  1.33it/s, bound:208 nc:953 ncall:1.9e+06 eff:0.2% logz=28.14+/-0.10 dlogz:2.933>0.1]
4083it [29:30,  1.38s/it, bound:209 nc:915 ncall:2.0e+06 eff:0.2% logz=28.16+/-0.10 dlogz:2.867>0.1]
4159it [29:30,  1.13it/s, bound:213 nc:814 ncall:2.1e+06 eff:0.2% logz=28.23+/-0.10 dlogz:2.624>0.1]
4236it [29:30,  1.71it/s, bound:216 nc:975 ncall:2.2e+06 eff:0.2% logz=28.29+/-0.10 dlogz:2.391>0.1]
4315it [29:30,  2.57it/s, bound:221 nc:1906 ncall:2.3e+06 eff:0.2% logz=28.35+/-0.11 dlogz:2.163>0.1]
4334it [29:50,  2.57it/s, bound:222 nc:1259 ncall:2.4e+06 eff:0.2% logz=28.36+/-0.11 dlogz:2.110>0.1]
4335it [30:32,  1.46it/s, bound:222 nc:1906 ncall:2.4e+06 eff:0.2% logz=28.36+/-0.11 dlogz:2.107>0.1]
4355it [32:50,  1.51s/it, bound:223 nc:700 ncall:2.4e+06 eff:0.2% logz=28.38+/-0.11 dlogz:2.052>0.1] 
4395it [35:02,  2.01s/it, bound:225 nc:700 ncall:2.4e+06 eff:0.2% logz=28.40+/-0.11 dlogz:1.945>0.1]
4420it [35:07,  1.65s/it, bound:226 nc:2713 ncall:2.5e+06 eff:0.2% logz=28.42+/-0.11 dlogz:1.879>0.1]
4493it [35:07,  1.11it/s, bound:230 nc:852 ncall:2.6e+06 eff:0.2% logz=28.45+/-0.11 dlogz:1.695>0.1] 
4548it [35:20,  1.11it/s, bound:233 nc:1083 ncall:2.7e+06 eff:0.2% logz=28.48+/-0.12 dlogz:1.563>0.1]
4549it [37:30,  1.45s/it, bound:233 nc:2297 ncall:2.7e+06 eff:0.2% logz=28.48+/-0.12 dlogz:1.561>0.1]
4624it [37:31,  1.12it/s, bound:236 nc:852 ncall:2.8e+06 eff:0.2% logz=28.51+/-0.12 dlogz:1.391>0.1] 
4690it [37:31,  1.67it/s, bound:240 nc:353 ncall:2.9e+06 eff:0.2% logz=28.54+/-0.12 dlogz:1.251>0.1]
4742it [37:50,  1.67it/s, bound:243 nc:2713 ncall:2.9e+06 eff:0.2% logz=28.56+/-0.12 dlogz:1.147>0.1]
4743it [39:00,  1.12it/s, bound:243 nc:250 ncall:2.9e+06 eff:0.2% logz=28.56+/-0.12 dlogz:1.145>0.1] 
4823it [39:00,  1.78it/s, bound:247 nc:1879 ncall:3.0e+06 eff:0.2% logz=28.59+/-0.12 dlogz:1.150>0.1]
4861it [39:20,  1.78it/s, bound:249 nc:123 ncall:3.1e+06 eff:0.2% logz=28.60+/-0.12 dlogz:1.078>0.1] 
4862it [42:12,  1.46s/it, bound:249 nc:1879 ncall:3.1e+06 eff:0.2% logz=28.60+/-0.12 dlogz:1.077>0.1]
4927it [42:12,  1.02it/s, bound:252 nc:162 ncall:3.2e+06 eff:0.2% logz=28.62+/-0.13 dlogz:0.961>0.1] 
5016it [42:12,  1.67it/s, bound:257 nc:109 ncall:3.3e+06 eff:0.2% logz=28.64+/-0.13 dlogz:0.816>0.1]
5095it [42:13,  2.50it/s, bound:261 nc:377 ncall:3.4e+06 eff:0.1% logz=28.66+/-0.13 dlogz:0.702>0.1]
5112it [42:30,  2.50it/s, bound:262 nc:222 ncall:3.5e+06 eff:0.1% logz=28.66+/-0.13 dlogz:0.757>0.1]
5113it [45:22,  1.39s/it, bound:262 nc:1299 ncall:3.5e+06 eff:0.1% logz=28.66+/-0.13 dlogz:0.755>0.1]
5131it [45:29,  1.26s/it, bound:262 nc:2304 ncall:3.5e+06 eff:0.1% logz=28.67+/-0.13 dlogz:0.730>0.1]
5191it [45:29,  1.25it/s, bound:266 nc:  1 ncall:3.6e+06 eff:0.2% logz=28.79+/-0.14 dlogz:0.050>0.1] 
5243it [45:29,  1.82it/s, bound:268 nc:  1 ncall:3.7e+06 eff:0.2% logz=28.80+/-0.14 dlogz:0.038>0.1]
5287it [45:40,  1.82it/s, bound:271 nc:1155 ncall:3.8e+06 eff:0.1% logz=28.70+/-0.13 dlogz:0.534>0.1]
5288it [45:59,  1.71it/s, bound:271 nc:3353 ncall:3.8e+06 eff:0.1% logz=28.70+/-0.13 dlogz:0.533>0.1]
5347it [49:16,  1.53s/it, bound:274 nc: 81 ncall:3.8e+06 eff:0.1% logz=28.71+/-0.13 dlogz:0.471>0.1] 
5425it [49:16,  1.08it/s, bound:278 nc:492 ncall:3.9e+06 eff:0.1% logz=28.72+/-0.13 dlogz:0.615>0.1]
5506it [49:16,  1.70it/s, bound:282 nc:3815 ncall:4.0e+06 eff:0.1% logz=28.73+/-0.14 dlogz:0.522>0.1]
5572it [49:29,  2.14it/s, bound:285 nc:176 ncall:4.2e+06 eff:0.1% logz=28.74+/-0.14 dlogz:0.455>0.1] 
5618it [52:30,  1.26s/it, bound:288 nc:176 ncall:4.2e+06 eff:0.1% logz=28.75+/-0.14 dlogz:0.413>0.1]
5638it [52:43,  1.19s/it, bound:289 nc:176 ncall:4.3e+06 eff:0.1% logz=28.75+/-0.14 dlogz:0.395>0.1]
5677it [56:16,  2.29s/it, bound:291 nc:356 ncall:4.3e+06 eff:0.1% logz=28.75+/-0.14 dlogz:0.363>0.1]
5715it [56:22,  1.73s/it, bound:292 nc:8874 ncall:4.4e+06 eff:0.1% logz=28.76+/-0.14 dlogz:0.334>0.1]
5794it [56:22,  1.03it/s, bound:297 nc:275 ncall:4.6e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.280>0.1] 
5813it [56:40,  1.03it/s, bound:298 nc:6780 ncall:4.6e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.268>0.1]
5814it [1:00:09,  2.39s/it, bound:298 nc:8561 ncall:4.6e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.268>0.1]
5834it [1:00:09,  2.00s/it, bound:299 nc:7960 ncall:4.7e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.256>0.1]
5876it [1:00:09,  1.34s/it, bound:301 nc:7960 ncall:4.7e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.232>0.1]
5912it [1:00:09,  1.04it/s, bound:303 nc:400 ncall:4.7e+06 eff:0.1% logz=28.77+/-0.14 dlogz:0.214>0.1] 
5960it [1:00:09,  1.61it/s, bound:305 nc:248 ncall:4.8e+06 eff:0.1% logz=28.78+/-0.14 dlogz:0.191>0.1]
5995it [1:00:09,  2.20it/s, bound:307 nc: 78 ncall:4.8e+06 eff:0.1% logz=28.78+/-0.14 dlogz:0.176>0.1]
6006it [1:00:20,  2.20it/s, bound:308 nc:410 ncall:4.8e+06 eff:0.1% logz=28.78+/-0.14 dlogz:0.172>0.1]
6007it [1:01:22,  1.10s/it, bound:308 nc: 92 ncall:4.8e+06 eff:0.1% logz=28.78+/-0.14 dlogz:0.171>0.1]
6072it [1:01:22,  1.72it/s, bound:311 nc:165 ncall:4.9e+06 eff:0.1% logz=28.79+/-0.14 dlogz:0.147>0.1]
6084it [1:01:40,  1.72it/s, bound:312 nc:1441 ncall:5.0e+06 eff:0.1% logz=28.79+/-0.14 dlogz:0.143>0.1]
6085it [1:02:48,  1.31s/it, bound:312 nc:133 ncall:5.0e+06 eff:0.1% logz=28.79+/-0.14 dlogz:0.142>0.1] 
6140it [1:02:48,  1.32it/s, bound:314 nc:405 ncall:5.0e+06 eff:0.1% logz=28.79+/-0.14 dlogz:0.125>0.1]
6203it [1:02:49,  2.22it/s, bound:318 nc:133 ncall:5.1e+06 eff:0.1% logz=28.79+/-0.14 dlogz:0.107>0.1]
