
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-10016.87+/-0.13 dlogz:inf>0.1]
37it [00:00, 318.97it/s, bound:0 nc:  5 ncall:5.0e+02 eff:7.3% logz=-117.08+/-0.13 dlogz:158.915>0.1]
70it [00:00, 325.01it/s, bound:0 nc:  1 ncall:5.9e+02 eff:11.9% logz=-33.75+/-0.11 dlogz:72.342>0.1] 
96it [00:00, 283.55it/s, bound:0 nc:  1 ncall:6.7e+02 eff:14.4% logz=-20.47+/-0.10 dlogz:58.798>0.1]
132it [00:00, 296.93it/s, bound:0 nc:  2 ncall:7.6e+02 eff:17.3% logz=-11.51+/-0.09 dlogz:49.546>0.1]
160it [00:00, 268.17it/s, bound:0 nc:  3 ncall:8.7e+02 eff:18.3% logz=-8.83+/-0.09 dlogz:46.783>0.1] 
186it [00:00, 257.57it/s, bound:0 nc:  3 ncall:9.8e+02 eff:19.0% logz=-6.60+/-0.09 dlogz:44.471>0.1]
214it [00:00, 253.38it/s, bound:0 nc: 10 ncall:1.1e+03 eff:19.8% logz=-5.06+/-0.08 dlogz:42.823>0.1]
239it [00:01, 247.61it/s, bound:0 nc:  7 ncall:1.2e+03 eff:20.6% logz=-4.13+/-0.08 dlogz:41.831>0.1]
265it [00:01, 244.57it/s, bound:0 nc:  2 ncall:1.3e+03 eff:21.0% logz=-3.37+/-0.07 dlogz:41.002>0.1]
290it [00:01, 234.22it/s, bound:0 nc:  1 ncall:1.4e+03 eff:20.9% logz=-2.63+/-0.07 dlogz:40.196>0.1]
314it [00:01, 231.22it/s, bound:0 nc:  5 ncall:1.5e+03 eff:21.2% logz=-2.01+/-0.07 dlogz:39.512>0.1]
338it [00:01, 161.27it/s, bound:0 nc:  6 ncall:1.6e+03 eff:20.6% logz=-1.44+/-0.07 dlogz:38.878>0.1]
357it [00:01, 130.66it/s, bound:0 nc: 15 ncall:1.8e+03 eff:20.1% logz=-1.03+/-0.07 dlogz:38.423>0.1]
373it [00:02, 128.62it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.1% logz=-0.73+/-0.07 dlogz:38.079>0.1]
388it [00:02, 112.78it/s, bound:0 nc:  5 ncall:1.9e+03 eff:20.0% logz=-0.47+/-0.07 dlogz:37.783>0.1]
401it [00:02, 100.38it/s, bound:0 nc:  5 ncall:2.0e+03 eff:20.2% logz=-0.26+/-0.07 dlogz:37.533>0.1]
413it [00:02, 94.00it/s, bound:0 nc: 11 ncall:2.1e+03 eff:19.9% logz=-0.05+/-0.07 dlogz:37.299>0.1] 
424it [00:02, 79.98it/s, bound:0 nc:  2 ncall:2.1e+03 eff:19.8% logz=0.13+/-0.07 dlogz:37.087>0.1] 
433it [00:02, 77.72it/s, bound:0 nc:  2 ncall:2.2e+03 eff:19.9% logz=0.28+/-0.07 dlogz:36.917>0.1]
442it [00:02, 74.50it/s, bound:0 nc:  4 ncall:2.2e+03 eff:19.9% logz=0.42+/-0.07 dlogz:36.756>0.1]
450it [00:03, 59.68it/s, bound:0 nc:  3 ncall:2.3e+03 eff:19.9% logz=0.54+/-0.07 dlogz:36.615>0.1]
457it [00:03, 49.08it/s, bound:0 nc:  3 ncall:2.3e+03 eff:19.8% logz=0.64+/-0.07 dlogz:36.492>0.1]
463it [00:03, 43.91it/s, bound:0 nc:  3 ncall:2.4e+03 eff:19.7% logz=0.73+/-0.07 dlogz:36.389>0.1]
468it [00:03, 33.33it/s, bound:0 nc: 12 ncall:2.4e+03 eff:19.4% logz=0.80+/-0.07 dlogz:36.304>0.1]
476it [00:04, 37.81it/s, bound:0 nc:  8 ncall:2.5e+03 eff:19.3% logz=0.92+/-0.07 dlogz:36.168>0.1]
481it [00:04, 38.71it/s, bound:0 nc:  2 ncall:2.5e+03 eff:19.2% logz=0.99+/-0.07 dlogz:36.085>0.1]
486it [00:04, 36.04it/s, bound:0 nc: 10 ncall:2.5e+03 eff:19.1% logz=1.06+/-0.07 dlogz:36.001>0.1]
490it [00:04, 34.43it/s, bound:0 nc: 11 ncall:2.6e+03 eff:18.9% logz=1.12+/-0.07 dlogz:35.933>0.1]
495it [00:04, 34.65it/s, bound:0 nc: 20 ncall:2.6e+03 eff:18.8% logz=1.19+/-0.07 dlogz:35.851>0.1]
502it [00:04, 27.65it/s, bound:0 nc: 28 ncall:2.7e+03 eff:18.7% logz=1.28+/-0.07 dlogz:35.738>0.1]
506it [00:05, 24.90it/s, bound:0 nc: 19 ncall:2.7e+03 eff:18.5% logz=1.34+/-0.07 dlogz:35.674>0.1]
512it [00:05, 26.20it/s, bound:0 nc: 10 ncall:2.8e+03 eff:18.5% logz=1.42+/-0.07 dlogz:35.578>0.1]
515it [00:05, 25.43it/s, bound:0 nc:  9 ncall:2.8e+03 eff:18.5% logz=1.46+/-0.07 dlogz:35.531>0.1]
521it [00:05, 31.21it/s, bound:0 nc: 25 ncall:2.8e+03 eff:18.5% logz=1.53+/-0.07 dlogz:35.440>0.1]
525it [00:06, 19.80it/s, bound:0 nc:  3 ncall:2.9e+03 eff:18.2% logz=1.58+/-0.07 dlogz:35.382>0.1]
528it [00:06, 17.74it/s, bound:0 nc: 18 ncall:2.9e+03 eff:18.0% logz=1.62+/-0.07 dlogz:35.339>0.1]
531it [00:06, 17.92it/s, bound:0 nc: 22 ncall:3.0e+03 eff:17.9% logz=1.65+/-0.07 dlogz:35.296>0.1]
534it [00:06, 16.52it/s, bound:0 nc:  8 ncall:3.0e+03 eff:17.8% logz=1.69+/-0.07 dlogz:35.254>0.1]
538it [00:06, 20.23it/s, bound:0 nc:  6 ncall:3.0e+03 eff:17.8% logz=1.73+/-0.07 dlogz:35.197>0.1]
542it [00:06, 22.50it/s, bound:0 nc:  9 ncall:3.0e+03 eff:17.8% logz=1.78+/-0.07 dlogz:35.142>0.1]
547it [00:07, 27.67it/s, bound:0 nc:  3 ncall:3.1e+03 eff:17.9% logz=1.84+/-0.07 dlogz:35.071>0.1]
552it [00:07, 28.24it/s, bound:0 nc:  5 ncall:3.1e+03 eff:17.8% logz=1.90+/-0.07 dlogz:35.302>0.1]
556it [00:07, 22.04it/s, bound:0 nc:  3 ncall:3.2e+03 eff:17.6% logz=1.95+/-0.07 dlogz:35.242>0.1]
559it [00:07, 20.67it/s, bound:0 nc: 31 ncall:3.2e+03 eff:17.4% logz=1.98+/-0.07 dlogz:35.198>0.1]
564it [00:07, 24.14it/s, bound:0 nc:  5 ncall:3.2e+03 eff:17.4% logz=2.04+/-0.07 dlogz:35.126>0.1]
573it [00:08, 24.36it/s, bound:0 nc: 36 ncall:3.3e+03 eff:17.3% logz=2.15+/-0.07 dlogz:34.999>0.1]
576it [00:08, 23.49it/s, bound:0 nc:  4 ncall:3.3e+03 eff:17.3% logz=2.18+/-0.07 dlogz:34.956>0.1]
579it [00:08, 18.49it/s, bound:0 nc:  2 ncall:3.4e+03 eff:17.1% logz=2.22+/-0.07 dlogz:34.913>0.1]
583it [00:08, 21.50it/s, bound:0 nc: 19 ncall:3.4e+03 eff:17.0% logz=2.27+/-0.07 dlogz:34.855>0.1]
586it [00:08, 21.96it/s, bound:0 nc:  1 ncall:3.5e+03 eff:17.0% logz=2.30+/-0.07 dlogz:34.811>0.1]
589it [00:09, 17.39it/s, bound:0 nc: 26 ncall:3.5e+03 eff:16.8% logz=2.34+/-0.07 dlogz:34.767>0.1]
593it [00:09, 17.22it/s, bound:0 nc:  8 ncall:3.5e+03 eff:16.7% logz=2.39+/-0.07 dlogz:34.706>0.1]
597it [00:09, 18.79it/s, bound:0 nc:  3 ncall:3.6e+03 eff:16.8% logz=2.44+/-0.07 dlogz:34.645>0.1]
600it [00:09, 20.56it/s, bound:0 nc:  9 ncall:3.6e+03 eff:16.7% logz=2.48+/-0.07 dlogz:34.599>0.1]
603it [00:09, 18.73it/s, bound:0 nc: 25 ncall:3.6e+03 eff:16.6% logz=2.52+/-0.07 dlogz:34.553>0.1]
608it [00:09, 24.50it/s, bound:0 nc: 18 ncall:3.7e+03 eff:16.6% logz=2.59+/-0.07 dlogz:34.473>0.1]
611it [00:10, 17.54it/s, bound:0 nc: 14 ncall:3.7e+03 eff:16.5% logz=2.63+/-0.07 dlogz:34.425>0.1]
615it [00:10, 20.53it/s, bound:0 nc: 16 ncall:3.7e+03 eff:16.4% logz=2.68+/-0.07 dlogz:34.360>0.1]
618it [00:10, 20.16it/s, bound:0 nc: 12 ncall:3.8e+03 eff:16.3% logz=2.73+/-0.07 dlogz:34.309>0.1]
621it [00:10, 19.90it/s, bound:0 nc: 24 ncall:3.9e+03 eff:16.1% logz=2.77+/-0.07 dlogz:34.259>0.1]
625it [00:10, 23.49it/s, bound:0 nc:  5 ncall:3.9e+03 eff:16.0% logz=2.82+/-0.07 dlogz:34.193>0.1]
628it [00:10, 22.37it/s, bound:0 nc:  5 ncall:3.9e+03 eff:15.9% logz=2.87+/-0.07 dlogz:34.145>0.1]
631it [00:11, 17.71it/s, bound:0 nc: 25 ncall:4.0e+03 eff:15.8% logz=2.91+/-0.07 dlogz:34.097>0.1]
638it [00:11, 26.27it/s, bound:0 nc: 24 ncall:4.1e+03 eff:15.7% logz=3.00+/-0.07 dlogz:33.989>0.1]
642it [00:11, 22.59it/s, bound:0 nc: 37 ncall:4.1e+03 eff:15.5% logz=3.05+/-0.07 dlogz:33.926>0.1]
645it [00:11, 22.84it/s, bound:0 nc:  3 ncall:4.2e+03 eff:15.5% logz=3.09+/-0.07 dlogz:33.879>0.1]
648it [00:11, 18.31it/s, bound:0 nc: 14 ncall:4.2e+03 eff:15.3% logz=3.13+/-0.07 dlogz:33.831>0.1]
653it [00:12, 22.84it/s, bound:0 nc: 19 ncall:4.3e+03 eff:15.2% logz=3.20+/-0.07 dlogz:33.748>0.1]
658it [00:12, 24.24it/s, bound:0 nc: 13 ncall:4.3e+03 eff:15.2% logz=3.27+/-0.07 dlogz:33.666>0.1]
661it [00:12, 21.29it/s, bound:0 nc: 26 ncall:4.4e+03 eff:15.0% logz=3.31+/-0.07 dlogz:33.617>0.1]
664it [00:12, 22.65it/s, bound:0 nc: 11 ncall:4.4e+03 eff:15.0% logz=3.35+/-0.07 dlogz:33.567>0.1]
671it [00:12, 29.28it/s, bound:0 nc:  5 ncall:4.5e+03 eff:15.0% logz=3.45+/-0.07 dlogz:33.453>0.1]
675it [00:12, 27.38it/s, bound:0 nc:  7 ncall:4.5e+03 eff:15.0% logz=3.51+/-0.07 dlogz:33.388>0.1]
