
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2792.68+/-0.13 dlogz:inf>0.1]
40it [00:00, 313.15it/s, bound:0 nc:  1 ncall:4.4e+02 eff:9.1% logz=-1099.93+/-0.13 dlogz:1141.234>0.1]
79it [00:00, 319.77it/s, bound:0 nc:  2 ncall:4.8e+02 eff:16.4% logz=-773.13+/-0.13 dlogz:815.172>0.1] 
112it [00:00, 299.90it/s, bound:0 nc:  1 ncall:5.2e+02 eff:21.5% logz=-581.46+/-0.13 dlogz:626.219>0.1]
138it [00:01, 267.61it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.5% logz=-470.81+/-0.13 dlogz:514.005>0.1]
163it [00:01, 250.94it/s, bound:0 nc:  1 ncall:6.1e+02 eff:26.9% logz=-395.28+/-0.12 dlogz:431.318>0.1]
187it [00:01, 241.88it/s, bound:0 nc:  2 ncall:6.5e+02 eff:28.9% logz=-341.26+/-0.12 dlogz:377.197>0.1]
211it [00:01, 233.36it/s, bound:0 nc:  1 ncall:7.0e+02 eff:30.4% logz=-299.41+/-0.13 dlogz:337.837>0.1]
234it [00:01, 179.55it/s, bound:0 nc:  1 ncall:7.5e+02 eff:31.4% logz=-266.08+/-0.13 dlogz:305.541>0.1]
254it [00:01, 159.16it/s, bound:0 nc:  1 ncall:7.9e+02 eff:32.1% logz=-236.30+/-0.12 dlogz:271.673>0.1]
271it [00:01, 159.05it/s, bound:0 nc:  2 ncall:8.2e+02 eff:33.0% logz=-209.74+/-0.12 dlogz:245.191>0.1]
288it [00:02, 140.35it/s, bound:0 nc:  6 ncall:8.5e+02 eff:33.8% logz=-189.36+/-0.12 dlogz:224.775>0.1]
303it [00:02, 131.18it/s, bound:0 nc:  3 ncall:9.0e+02 eff:33.9% logz=-176.78+/-0.12 dlogz:212.007>0.1]
317it [00:02, 122.22it/s, bound:0 nc:  2 ncall:9.2e+02 eff:34.4% logz=-164.33+/-0.11 dlogz:199.213>0.1]
338it [00:02, 120.09it/s, bound:0 nc:  8 ncall:9.6e+02 eff:35.0% logz=-140.56+/-0.12 dlogz:175.658>0.1]
358it [00:02, 112.28it/s, bound:0 nc:  3 ncall:1.0e+03 eff:35.7% logz=-127.54+/-0.12 dlogz:162.690>0.1]
375it [00:02, 106.19it/s, bound:0 nc:  2 ncall:1.0e+03 eff:36.0% logz=-115.66+/-0.12 dlogz:151.427>0.1]
389it [00:03, 100.20it/s, bound:0 nc:  7 ncall:1.1e+03 eff:36.0% logz=-100.97+/-0.12 dlogz:136.090>0.1]
400it [00:03, 87.65it/s, bound:0 nc:  5 ncall:1.1e+03 eff:35.9% logz=-92.22+/-0.12 dlogz:127.554>0.1]  
409it [00:03, 73.75it/s, bound:0 nc:  3 ncall:1.2e+03 eff:35.5% logz=-86.78+/-0.12 dlogz:121.606>0.1]
418it [00:03, 67.00it/s, bound:0 nc: 10 ncall:1.2e+03 eff:35.2% logz=-81.60+/-0.11 dlogz:116.326>0.1]
431it [00:03, 68.58it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.2% logz=-75.25+/-0.12 dlogz:110.637>0.1]
442it [00:03, 72.14it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.0% logz=-70.79+/-0.11 dlogz:105.453>0.1]
451it [00:04, 70.47it/s, bound:0 nc:  3 ncall:1.3e+03 eff:34.6% logz=-64.63+/-0.12 dlogz:99.278>0.1] 
462it [00:04, 59.86it/s, bound:0 nc:  4 ncall:1.3e+03 eff:34.4% logz=-61.25+/-0.11 dlogz:95.771>0.1]
469it [00:04, 40.35it/s, bound:0 nc: 16 ncall:1.4e+03 eff:33.5% logz=-58.43+/-0.11 dlogz:93.047>0.1]
475it [00:04, 41.43it/s, bound:0 nc:  8 ncall:1.4e+03 eff:33.4% logz=-55.87+/-0.12 dlogz:90.553>0.1]
486it [00:05, 44.36it/s, bound:0 nc: 17 ncall:1.5e+03 eff:33.1% logz=-51.97+/-0.12 dlogz:86.673>0.1]
494it [00:05, 43.70it/s, bound:0 nc:  4 ncall:1.5e+03 eff:32.9% logz=-48.73+/-0.12 dlogz:83.304>0.1]
499it [00:05, 41.82it/s, bound:0 nc:  3 ncall:1.5e+03 eff:32.8% logz=-47.45+/-0.11 dlogz:81.834>0.1]
511it [00:05, 48.85it/s, bound:0 nc:  3 ncall:1.6e+03 eff:32.7% logz=-44.32+/-0.11 dlogz:78.857>0.1]
517it [00:05, 50.60it/s, bound:0 nc:  4 ncall:1.6e+03 eff:32.5% logz=-42.17+/-0.11 dlogz:76.603>0.1]
523it [00:06, 31.82it/s, bound:0 nc: 18 ncall:1.6e+03 eff:31.9% logz=-40.26+/-0.11 dlogz:74.746>0.1]
528it [00:06, 33.55it/s, bound:0 nc:  1 ncall:1.7e+03 eff:31.8% logz=-38.99+/-0.11 dlogz:73.321>0.1]
536it [00:06, 38.39it/s, bound:0 nc: 10 ncall:1.7e+03 eff:31.4% logz=-36.64+/-0.11 dlogz:71.086>0.1]
546it [00:06, 46.32it/s, bound:0 nc: 10 ncall:1.7e+03 eff:31.3% logz=-33.87+/-0.11 dlogz:68.225>0.1]
552it [00:06, 44.37it/s, bound:0 nc:  9 ncall:1.8e+03 eff:31.2% logz=-32.57+/-0.11 dlogz:66.830>0.1]
559it [00:06, 45.63it/s, bound:0 nc:  6 ncall:1.8e+03 eff:31.0% logz=-31.08+/-0.11 dlogz:65.434>0.1]
567it [00:06, 45.13it/s, bound:0 nc:  5 ncall:1.8e+03 eff:30.8% logz=-28.52+/-0.11 dlogz:62.757>0.1]
577it [00:07, 47.58it/s, bound:0 nc:  5 ncall:1.9e+03 eff:30.6% logz=-25.98+/-0.11 dlogz:60.175>0.1]
583it [00:07, 46.03it/s, bound:0 nc:  9 ncall:1.9e+03 eff:30.3% logz=-24.43+/-0.11 dlogz:58.614>0.1]
588it [00:07, 46.78it/s, bound:0 nc:  4 ncall:1.9e+03 eff:30.2% logz=-23.29+/-0.11 dlogz:57.477>0.1]
593it [00:07, 45.19it/s, bound:0 nc:  1 ncall:2.0e+03 eff:30.2% logz=-22.05+/-0.11 dlogz:56.245>0.1]
600it [00:07, 42.63it/s, bound:0 nc:  5 ncall:2.0e+03 eff:30.0% logz=-20.25+/-0.11 dlogz:54.423>0.1]
605it [00:07, 42.39it/s, bound:0 nc:  2 ncall:2.0e+03 eff:29.9% logz=-18.71+/-0.11 dlogz:52.846>0.1]
613it [00:08, 40.45it/s, bound:0 nc: 11 ncall:2.1e+03 eff:29.6% logz=-17.24+/-0.11 dlogz:51.275>0.1]
624it [00:08, 48.87it/s, bound:0 nc: 17 ncall:2.1e+03 eff:29.5% logz=-15.48+/-0.11 dlogz:49.498>0.1]
631it [00:08, 45.06it/s, bound:0 nc:  4 ncall:2.1e+03 eff:29.4% logz=-14.32+/-0.11 dlogz:48.341>0.1]
639it [00:08, 44.10it/s, bound:0 nc: 12 ncall:2.2e+03 eff:29.2% logz=-13.20+/-0.11 dlogz:47.166>0.1]
644it [00:08, 44.00it/s, bound:0 nc:  6 ncall:2.2e+03 eff:29.0% logz=-12.60+/-0.11 dlogz:46.538>0.1]
649it [00:08, 34.59it/s, bound:0 nc:  3 ncall:2.2e+03 eff:28.9% logz=-11.82+/-0.11 dlogz:45.817>0.1]
653it [00:09, 31.72it/s, bound:0 nc: 11 ncall:2.3e+03 eff:28.8% logz=-11.04+/-0.11 dlogz:45.031>0.1]
663it [00:09, 40.18it/s, bound:0 nc:  3 ncall:2.3e+03 eff:28.8% logz=-9.37+/-0.11 dlogz:43.343>0.1] 
669it [00:09, 38.51it/s, bound:0 nc: 16 ncall:2.4e+03 eff:28.4% logz=-8.24+/-0.11 dlogz:42.193>0.1]
673it [00:09, 37.95it/s, bound:0 nc:  1 ncall:2.4e+03 eff:28.4% logz=-7.60+/-0.11 dlogz:41.503>0.1]
677it [00:09, 37.25it/s, bound:0 nc:  1 ncall:2.4e+03 eff:28.3% logz=-7.00+/-0.11 dlogz:40.893>0.1]
684it [00:09, 38.22it/s, bound:0 nc: 15 ncall:2.4e+03 eff:28.2% logz=-6.06+/-0.11 dlogz:39.890>0.1]
688it [00:09, 32.64it/s, bound:0 nc:  8 ncall:2.5e+03 eff:27.9% logz=-5.60+/-0.11 dlogz:39.423>0.1]
693it [00:10, 30.67it/s, bound:0 nc: 11 ncall:2.5e+03 eff:27.7% logz=-4.80+/-0.11 dlogz:38.686>0.1]
702it [00:10, 35.40it/s, bound:0 nc:  4 ncall:2.5e+03 eff:27.6% logz=-2.84+/-0.11 dlogz:36.711>0.1]
709it [00:10, 37.59it/s, bound:0 nc: 11 ncall:2.6e+03 eff:27.4% logz=-1.90+/-0.11 dlogz:35.668>0.1]
713it [00:10, 33.60it/s, bound:0 nc:  2 ncall:2.6e+03 eff:27.1% logz=-1.50+/-0.11 dlogz:35.239>0.1]
717it [00:10, 30.14it/s, bound:0 nc: 18 ncall:2.7e+03 eff:26.8% logz=-1.17+/-0.11 dlogz:35.203>0.1]
721it [00:11, 27.84it/s, bound:0 nc:  5 ncall:2.7e+03 eff:26.7% logz=-0.85+/-0.11 dlogz:34.882>0.1]
726it [00:11, 28.95it/s, bound:0 nc:  4 ncall:2.7e+03 eff:26.5% logz=-0.38+/-0.11 dlogz:34.395>0.1]
733it [00:11, 32.37it/s, bound:0 nc:  5 ncall:2.8e+03 eff:26.3% logz=0.13+/-0.10 dlogz:33.848>0.1] 
741it [00:11, 37.14it/s, bound:0 nc:  8 ncall:2.8e+03 eff:26.3% logz=1.02+/-0.11 dlogz:32.993>0.1]
747it [00:11, 37.01it/s, bound:0 nc:  7 ncall:2.9e+03 eff:26.1% logz=1.62+/-0.11 dlogz:32.347>0.1]
753it [00:11, 36.12it/s, bound:0 nc:  6 ncall:2.9e+03 eff:25.9% logz=2.09+/-0.11 dlogz:31.846>0.1]
758it [00:12, 36.04it/s, bound:0 nc:  7 ncall:2.9e+03 eff:25.8% logz=2.43+/-0.10 dlogz:31.492>0.1]
769it [00:12, 46.21it/s, bound:0 nc: 10 ncall:3.0e+03 eff:25.6% logz=3.42+/-0.11 dlogz:30.490>0.1]
776it [00:12, 47.93it/s, bound:0 nc:  4 ncall:3.0e+03 eff:25.5% logz=3.94+/-0.10 dlogz:29.935>0.1]
784it [00:12, 53.94it/s, bound:0 nc: 13 ncall:3.1e+03 eff:25.3% logz=4.57+/-0.10 dlogz:29.303>0.1]
790it [00:12, 54.83it/s, bound:0 nc:  2 ncall:3.1e+03 eff:25.2% logz=5.11+/-0.11 dlogz:28.741>0.1]
796it [00:12, 50.35it/s, bound:0 nc:  4 ncall:3.2e+03 eff:25.1% logz=5.58+/-0.11 dlogz:28.249>0.1]
802it [00:12, 50.73it/s, bound:0 nc:  2 ncall:3.2e+03 eff:24.9% logz=6.03+/-0.11 dlogz:27.785>0.1]
808it [00:12, 51.77it/s, bound:0 nc:  5 ncall:3.3e+03 eff:24.8% logz=6.46+/-0.10 dlogz:27.340>0.1]
815it [00:13, 51.46it/s, bound:0 nc: 17 ncall:3.3e+03 eff:24.7% logz=6.96+/-0.10 dlogz:26.808>0.1]
825it [00:13, 59.30it/s, bound:0 nc:  2 ncall:3.4e+03 eff:24.5% logz=7.64+/-0.10 dlogz:26.109>0.1]
831it [00:13, 57.91it/s, bound:0 nc: 12 ncall:3.4e+03 eff:24.3% logz=7.99+/-0.10 dlogz:25.731>0.1]
837it [00:13, 55.91it/s, bound:0 nc:  7 ncall:3.4e+03 eff:24.3% logz=8.35+/-0.10 dlogz:25.361>0.1]
843it [00:13, 47.32it/s, bound:0 nc:  1 ncall:3.5e+03 eff:24.0% logz=8.70+/-0.10 dlogz:25.000>0.1]
849it [00:13, 46.79it/s, bound:0 nc:  6 ncall:3.5e+03 eff:23.9% logz=9.10+/-0.10 dlogz:24.604>0.1]
854it [00:13, 39.53it/s, bound:0 nc:  6 ncall:3.6e+03 eff:23.6% logz=9.45+/-0.10 dlogz:24.226>0.1]
859it [00:14, 31.39it/s, bound:0 nc: 35 ncall:3.7e+03 eff:23.4% logz=9.75+/-0.10 dlogz:23.909>0.1]
865it [00:14, 35.41it/s, bound:0 nc: 11 ncall:3.7e+03 eff:23.3% logz=10.13+/-0.10 dlogz:23.518>0.1]
869it [00:14, 33.57it/s, bound:0 nc: 12 ncall:3.7e+03 eff:23.2% logz=10.37+/-0.10 dlogz:23.261>0.1]
874it [00:14, 29.61it/s, bound:0 nc: 41 ncall:3.8e+03 eff:22.9% logz=10.66+/-0.10 dlogz:22.953>0.1]
881it [00:14, 29.96it/s, bound:0 nc: 35 ncall:3.9e+03 eff:22.8% logz=10.99+/-0.10 dlogz:22.600>0.1]
885it [00:15, 23.67it/s, bound:0 nc:  7 ncall:3.9e+03 eff:22.4% logz=11.19+/-0.10 dlogz:22.394>0.1]
888it [00:15, 20.57it/s, bound:0 nc:  2 ncall:4.0e+03 eff:22.2% logz=11.33+/-0.10 dlogz:22.242>0.1]
892it [00:15, 22.01it/s, bound:0 nc: 18 ncall:4.0e+03 eff:22.0% logz=11.52+/-0.10 dlogz:22.045>0.1]
897it [00:15, 20.91it/s, bound:0 nc: 34 ncall:4.1e+03 eff:21.8% logz=11.73+/-0.10 dlogz:21.817>0.1]
901it [00:16, 17.75it/s, bound:0 nc: 31 ncall:4.2e+03 eff:21.6% logz=11.92+/-0.10 dlogz:21.622>0.1]
904it [00:16, 17.54it/s, bound:0 nc: 23 ncall:4.2e+03 eff:21.5% logz=12.04+/-0.10 dlogz:21.487>0.1]
907it [00:16, 16.82it/s, bound:0 nc: 36 ncall:4.2e+03 eff:21.4% logz=12.18+/-0.10 dlogz:21.344>0.1]
910it [00:16, 16.56it/s, bound:0 nc:  9 ncall:4.3e+03 eff:21.2% logz=12.30+/-0.10 dlogz:21.210>0.1]
915it [00:16, 19.13it/s, bound:0 nc: 25 ncall:4.3e+03 eff:21.1% logz=12.49+/-0.10 dlogz:21.003>0.1]
921it [00:17, 23.30it/s, bound:0 nc: 13 ncall:4.4e+03 eff:21.1% logz=12.72+/-0.10 dlogz:20.759>0.1]
924it [00:17, 23.88it/s, bound:0 nc:  5 ncall:4.4e+03 eff:21.0% logz=12.83+/-0.10 dlogz:20.639>0.1]
928it [00:17, 26.96it/s, bound:0 nc: 18 ncall:4.4e+03 eff:21.0% logz=12.98+/-0.10 dlogz:20.481>0.1]
931it [00:17, 17.88it/s, bound:0 nc: 64 ncall:4.5e+03 eff:20.7% logz=13.10+/-0.10 dlogz:20.359>0.1]
934it [00:17, 19.71it/s, bound:0 nc:  4 ncall:4.5e+03 eff:20.7% logz=13.21+/-0.10 dlogz:20.237>0.1]
937it [00:17, 21.28it/s, bound:0 nc:  3 ncall:4.5e+03 eff:20.7% logz=13.32+/-0.10 dlogz:20.121>0.1]
941it [00:17, 24.41it/s, bound:0 nc: 16 ncall:4.6e+03 eff:20.7% logz=13.45+/-0.10 dlogz:19.973>0.1]
945it [00:18, 25.35it/s, bound:0 nc:  7 ncall:4.6e+03 eff:20.6% logz=13.58+/-0.10 dlogz:19.834>0.1]
948it [00:18, 20.28it/s, bound:0 nc: 11 ncall:4.6e+03 eff:20.5% logz=13.68+/-0.10 dlogz:19.732>0.1]
951it [00:18, 17.91it/s, bound:0 nc:  8 ncall:4.7e+03 eff:20.4% logz=13.76+/-0.10 dlogz:19.633>0.1]
954it [00:18, 17.17it/s, bound:0 nc:  2 ncall:4.7e+03 eff:20.3% logz=13.85+/-0.10 dlogz:19.541>0.1]
