
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2914.33+/-0.13 dlogz:inf>0.1]
99it [00:00, 913.07it/s, bound:0 nc:  2 ncall:5.2e+02 eff:19.0% logz=-41.35+/-0.11 dlogz:80.702>0.1]
182it [00:00, 835.30it/s, bound:0 nc:  1 ncall:6.4e+02 eff:28.4% logz=-17.76+/-0.10 dlogz:56.715>0.1]
263it [00:00, 784.22it/s, bound:0 nc:  6 ncall:7.8e+02 eff:33.6% logz=-4.99+/-0.09 dlogz:43.705>0.1] 
331it [00:00, 682.99it/s, bound:0 nc:  2 ncall:9.3e+02 eff:35.5% logz=0.53+/-0.09 dlogz:37.957>0.1] 
395it [00:00, 497.70it/s, bound:0 nc:  3 ncall:1.1e+03 eff:35.8% logz=2.81+/-0.08 dlogz:35.507>0.1]
448it [00:00, 396.92it/s, bound:0 nc:  5 ncall:1.3e+03 eff:34.9% logz=4.29+/-0.08 dlogz:33.879>0.1]
492it [00:01, 384.17it/s, bound:0 nc:  1 ncall:1.4e+03 eff:34.8% logz=5.26+/-0.08 dlogz:32.796>0.1]
533it [00:01, 325.58it/s, bound:0 nc: 11 ncall:1.6e+03 eff:33.9% logz=6.23+/-0.08 dlogz:31.736>0.1]
569it [00:01, 286.48it/s, bound:0 nc:  1 ncall:1.7e+03 eff:33.0% logz=7.18+/-0.08 dlogz:30.691>0.1]
605it [00:01, 295.81it/s, bound:0 nc:  4 ncall:1.8e+03 eff:32.8% logz=8.15+/-0.08 dlogz:29.633>0.1]
637it [00:01, 282.40it/s, bound:0 nc:  7 ncall:2.0e+03 eff:32.1% logz=8.85+/-0.08 dlogz:28.849>0.1]
667it [00:01, 262.73it/s, bound:0 nc:  4 ncall:2.1e+03 eff:31.1% logz=9.47+/-0.08 dlogz:28.152>0.1]
694it [00:02, 183.36it/s, bound:0 nc:  9 ncall:2.3e+03 eff:29.9% logz=10.10+/-0.08 dlogz:27.756>0.1]
716it [00:02, 127.06it/s, bound:0 nc:  1 ncall:2.5e+03 eff:28.9% logz=10.58+/-0.08 dlogz:27.389>0.1]
733it [00:02, 119.58it/s, bound:0 nc:  2 ncall:2.6e+03 eff:28.4% logz=10.96+/-0.09 dlogz:26.972>0.1]
748it [00:02, 110.54it/s, bound:0 nc:  3 ncall:2.7e+03 eff:28.1% logz=11.34+/-0.09 dlogz:26.560>0.1]
761it [00:03, 100.51it/s, bound:0 nc: 23 ncall:2.7e+03 eff:27.8% logz=11.64+/-0.09 dlogz:26.217>0.1]
773it [00:03, 98.34it/s, bound:0 nc: 24 ncall:2.8e+03 eff:27.4% logz=11.95+/-0.09 dlogz:25.881>0.1] 
786it [00:03, 104.35it/s, bound:0 nc:  7 ncall:2.9e+03 eff:27.2% logz=12.30+/-0.09 dlogz:25.506>0.1]
798it [00:03, 83.68it/s, bound:0 nc:  1 ncall:3.0e+03 eff:27.0% logz=12.58+/-0.09 dlogz:25.185>0.1] 
808it [00:03, 74.17it/s, bound:0 nc:  2 ncall:3.0e+03 eff:26.8% logz=12.80+/-0.09 dlogz:24.941>0.1]
817it [00:03, 58.25it/s, bound:0 nc:  1 ncall:3.1e+03 eff:26.5% logz=13.00+/-0.09 dlogz:24.722>0.1]
824it [00:04, 46.41it/s, bound:0 nc: 12 ncall:3.1e+03 eff:26.2% logz=13.15+/-0.09 dlogz:24.556>0.1]
830it [00:04, 47.25it/s, bound:0 nc:  5 ncall:3.2e+03 eff:26.0% logz=13.27+/-0.09 dlogz:24.418>0.1]
836it [00:04, 47.77it/s, bound:0 nc:  9 ncall:3.2e+03 eff:25.9% logz=13.39+/-0.09 dlogz:24.280>0.1]
842it [00:04, 42.71it/s, bound:0 nc: 33 ncall:3.3e+03 eff:25.6% logz=13.51+/-0.09 dlogz:24.147>0.1]
847it [00:04, 43.78it/s, bound:0 nc: 10 ncall:3.3e+03 eff:25.4% logz=13.61+/-0.09 dlogz:24.037>0.1]
854it [00:04, 49.18it/s, bound:0 nc: 13 ncall:3.4e+03 eff:25.2% logz=13.75+/-0.09 dlogz:23.878>0.1]
861it [00:05, 51.23it/s, bound:0 nc:  2 ncall:3.4e+03 eff:25.0% logz=13.90+/-0.09 dlogz:23.712>0.1]
867it [00:05, 38.24it/s, bound:0 nc: 28 ncall:3.5e+03 eff:24.7% logz=14.03+/-0.09 dlogz:23.564>0.1]
877it [00:05, 49.24it/s, bound:0 nc:  4 ncall:3.5e+03 eff:24.7% logz=14.24+/-0.09 dlogz:23.329>0.1]
883it [00:05, 37.69it/s, bound:0 nc:  6 ncall:3.6e+03 eff:24.5% logz=14.37+/-0.09 dlogz:23.181>0.1]
888it [00:05, 38.93it/s, bound:0 nc:  6 ncall:3.6e+03 eff:24.4% logz=14.48+/-0.09 dlogz:23.058>0.1]
893it [00:05, 32.71it/s, bound:0 nc: 16 ncall:3.7e+03 eff:24.1% logz=14.59+/-0.09 dlogz:22.938>0.1]
897it [00:06, 24.35it/s, bound:0 nc: 19 ncall:3.8e+03 eff:23.7% logz=14.68+/-0.09 dlogz:22.843>0.1]
902it [00:06, 27.08it/s, bound:0 nc:  5 ncall:3.8e+03 eff:23.7% logz=14.79+/-0.09 dlogz:22.723>0.1]
908it [00:06, 30.01it/s, bound:0 nc:  7 ncall:3.8e+03 eff:23.6% logz=14.91+/-0.09 dlogz:22.578>0.1]
915it [00:06, 33.92it/s, bound:0 nc: 13 ncall:3.9e+03 eff:23.5% logz=15.06+/-0.09 dlogz:22.415>0.1]
