
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=0.21+/-0.13 dlogz:inf>0.1]
70it [00:00, 634.13it/s, bound:0 nc:  2 ncall:5.6e+02 eff:12.5% logz=8.43+/-0.07 dlogz:28.966>0.1]
127it [00:00, 589.56it/s, bound:0 nc:  2 ncall:7.0e+02 eff:18.1% logz=10.35+/-0.07 dlogz:26.892>0.1]
175it [00:00, 535.79it/s, bound:0 nc: 10 ncall:8.7e+02 eff:20.2% logz=11.76+/-0.07 dlogz:25.360>0.1]
222it [00:00, 468.03it/s, bound:0 nc:  1 ncall:1.0e+03 eff:21.6% logz=13.05+/-0.07 dlogz:23.954>0.1]
266it [00:00, 393.85it/s, bound:0 nc:  2 ncall:1.2e+03 eff:21.7% logz=14.27+/-0.07 dlogz:22.635>0.1]
305it [00:01, 305.72it/s, bound:0 nc: 14 ncall:1.4e+03 eff:21.2% logz=15.32+/-0.07 dlogz:21.488>0.1]
338it [00:01, 265.94it/s, bound:0 nc:  2 ncall:1.6e+03 eff:21.3% logz=16.15+/-0.07 dlogz:20.577>0.1]
367it [00:01, 244.98it/s, bound:0 nc:  2 ncall:1.7e+03 eff:21.2% logz=16.95+/-0.07 dlogz:19.699>0.1]
393it [00:01, 209.63it/s, bound:0 nc:  3 ncall:1.9e+03 eff:20.8% logz=17.61+/-0.07 dlogz:18.979>0.1]
416it [00:01, 196.10it/s, bound:0 nc:  4 ncall:2.0e+03 eff:20.5% logz=18.10+/-0.07 dlogz:18.422>0.1]
437it [00:01, 185.77it/s, bound:0 nc:  3 ncall:2.2e+03 eff:20.2% logz=18.56+/-0.07 dlogz:18.001>0.1]
456it [00:01, 172.74it/s, bound:0 nc:  6 ncall:2.3e+03 eff:19.8% logz=18.97+/-0.07 dlogz:17.534>0.1]
479it [00:02, 177.10it/s, bound:0 nc:  9 ncall:2.4e+03 eff:19.7% logz=19.43+/-0.07 dlogz:17.017>0.1]
497it [00:02, 119.72it/s, bound:0 nc:  2 ncall:2.7e+03 eff:18.7% logz=19.76+/-0.07 dlogz:16.646>0.1]
512it [00:02, 70.43it/s, bound:0 nc:  3 ncall:2.8e+03 eff:18.1% logz=20.01+/-0.07 dlogz:16.350>0.1] 
523it [00:03, 67.90it/s, bound:0 nc: 11 ncall:2.9e+03 eff:17.9% logz=20.22+/-0.07 dlogz:16.121>0.1]
534it [00:03, 69.32it/s, bound:0 nc:  5 ncall:3.0e+03 eff:17.9% logz=20.40+/-0.07 dlogz:15.908>0.1]
543it [00:03, 68.57it/s, bound:0 nc: 16 ncall:3.1e+03 eff:17.8% logz=20.55+/-0.07 dlogz:15.737>0.1]
552it [00:03, 53.95it/s, bound:0 nc: 16 ncall:3.1e+03 eff:17.6% logz=20.70+/-0.07 dlogz:15.564>0.1]
559it [00:03, 44.42it/s, bound:0 nc:  3 ncall:3.2e+03 eff:17.4% logz=20.81+/-0.07 dlogz:15.434>0.1]
566it [00:04, 45.24it/s, bound:0 nc: 24 ncall:3.3e+03 eff:17.3% logz=20.93+/-0.07 dlogz:15.302>0.1]
572it [00:04, 43.98it/s, bound:0 nc:  2 ncall:3.3e+03 eff:17.2% logz=21.02+/-0.07 dlogz:15.190>0.1]
577it [00:04, 43.82it/s, bound:0 nc: 16 ncall:3.4e+03 eff:17.0% logz=21.11+/-0.08 dlogz:15.094>0.1]
583it [00:04, 42.53it/s, bound:0 nc:  9 ncall:3.4e+03 eff:16.9% logz=21.21+/-0.08 dlogz:14.979>0.1]
588it [00:04, 41.70it/s, bound:0 nc: 14 ncall:3.5e+03 eff:16.8% logz=21.29+/-0.08 dlogz:14.886>0.1]
593it [00:04, 42.78it/s, bound:0 nc:  6 ncall:3.5e+03 eff:16.7% logz=21.36+/-0.08 dlogz:14.795>0.1]
598it [00:04, 40.60it/s, bound:0 nc: 13 ncall:3.6e+03 eff:16.7% logz=21.44+/-0.08 dlogz:14.708>0.1]
603it [00:04, 41.97it/s, bound:0 nc: 14 ncall:3.6e+03 eff:16.7% logz=21.51+/-0.08 dlogz:14.624>0.1]
