
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-128.65+/-0.13 dlogz:inf>0.1]
19it [00:01, 148.68it/s, bound:0 nc:  1 ncall:4.4e+02 eff:4.3% logz=-78.18+/-0.11 dlogz:115.508>0.1]
44it [00:01, 143.55it/s, bound:0 nc:  3 ncall:5.0e+02 eff:8.8% logz=-50.49+/-0.11 dlogz:88.886>0.1] 
59it [00:01, 114.46it/s, bound:0 nc:  3 ncall:5.4e+02 eff:10.9% logz=-44.16+/-0.11 dlogz:82.354>0.1]
74it [00:01, 102.00it/s, bound:0 nc:  4 ncall:5.8e+02 eff:12.7% logz=-37.38+/-0.10 dlogz:75.279>0.1]
84it [00:01, 100.78it/s, bound:0 nc:  7 ncall:6.1e+02 eff:13.8% logz=-32.30+/-0.10 dlogz:70.266>0.1]
94it [00:01, 94.02it/s, bound:0 nc:  1 ncall:6.3e+02 eff:14.8% logz=-29.04+/-0.10 dlogz:66.909>0.1] 
104it [00:01, 81.69it/s, bound:0 nc:  1 ncall:6.6e+02 eff:15.7% logz=-25.42+/-0.10 dlogz:63.390>0.1]
119it [00:02, 73.66it/s, bound:0 nc:  2 ncall:7.0e+02 eff:17.0% logz=-19.29+/-0.10 dlogz:57.076>0.1]
127it [00:02, 74.07it/s, bound:0 nc:  6 ncall:7.3e+02 eff:17.4% logz=-17.40+/-0.10 dlogz:55.082>0.1]
135it [00:02, 73.51it/s, bound:0 nc: 10 ncall:7.6e+02 eff:17.9% logz=-15.53+/-0.10 dlogz:53.157>0.1]
143it [00:02, 53.24it/s, bound:0 nc:  7 ncall:7.9e+02 eff:18.2% logz=-14.14+/-0.10 dlogz:51.748>0.1]
155it [00:02, 58.33it/s, bound:0 nc:  7 ncall:8.2e+02 eff:18.8% logz=-11.37+/-0.10 dlogz:48.981>0.1]
164it [00:03, 55.68it/s, bound:0 nc: 22 ncall:8.7e+02 eff:18.9% logz=-9.97+/-0.09 dlogz:47.502>0.1] 
173it [00:03, 57.41it/s, bound:0 nc:  5 ncall:9.0e+02 eff:19.2% logz=-8.56+/-0.10 dlogz:46.144>0.1]
184it [00:03, 59.37it/s, bound:0 nc:  5 ncall:9.4e+02 eff:19.5% logz=-6.30+/-0.10 dlogz:43.792>0.1]
