
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-1396.49+/-0.13 dlogz:inf>0.1]
40it [00:00, 290.20it/s, bound:0 nc:  2 ncall:4.4e+02 eff:9.0% logz=-476.36+/-0.13 dlogz:537.891>0.1]
73it [00:00, 220.08it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-205.52+/-0.12 dlogz:242.244>0.1]
105it [00:00, 195.06it/s, bound:0 nc:  2 ncall:5.2e+02 eff:20.2% logz=-54.63+/-0.12 dlogz:90.541>0.1] 
136it [00:00, 178.82it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.2% logz=-31.39+/-0.11 dlogz:66.167>0.1]
166it [00:01, 181.23it/s, bound:0 nc:  2 ncall:6.0e+02 eff:27.6% logz=-25.51+/-0.09 dlogz:60.750>0.1]
184it [00:01, 176.67it/s, bound:0 nc:  3 ncall:6.3e+02 eff:29.3% logz=-23.62+/-0.09 dlogz:58.792>0.1]
206it [00:01, 151.90it/s, bound:0 nc:  3 ncall:6.6e+02 eff:31.2% logz=-21.78+/-0.09 dlogz:56.855>0.1]
227it [00:01, 149.02it/s, bound:0 nc:  5 ncall:7.0e+02 eff:32.2% logz=-20.65+/-0.08 dlogz:55.664>0.1]
249it [00:01, 149.54it/s, bound:0 nc:  4 ncall:7.4e+02 eff:33.6% logz=-19.61+/-0.08 dlogz:54.568>0.1]
264it [00:01, 145.66it/s, bound:0 nc:  1 ncall:7.7e+02 eff:34.4% logz=-18.95+/-0.08 dlogz:53.865>0.1]
279it [00:01, 145.58it/s, bound:0 nc:  2 ncall:7.9e+02 eff:35.4% logz=-18.30+/-0.08 dlogz:53.178>0.1]
294it [00:02, 119.06it/s, bound:0 nc:  2 ncall:8.2e+02 eff:35.7% logz=-17.64+/-0.08 dlogz:52.476>0.1]
307it [00:02, 111.80it/s, bound:0 nc:  2 ncall:8.6e+02 eff:35.8% logz=-17.04+/-0.08 dlogz:51.847>0.1]
320it [00:02, 94.44it/s, bound:0 nc:  1 ncall:8.8e+02 eff:36.3% logz=-16.43+/-0.08 dlogz:51.206>0.1] 
331it [00:02, 94.76it/s, bound:0 nc:  3 ncall:9.1e+02 eff:36.4% logz=-15.91+/-0.08 dlogz:50.656>0.1]
346it [00:02, 90.83it/s, bound:0 nc:  1 ncall:9.4e+02 eff:36.8% logz=-15.32+/-0.08 dlogz:50.025>0.1]
356it [00:02, 85.11it/s, bound:0 nc:  7 ncall:9.7e+02 eff:36.9% logz=-14.94+/-0.08 dlogz:49.611>0.1]
365it [00:03, 74.82it/s, bound:0 nc:  1 ncall:9.9e+02 eff:36.7% logz=-14.52+/-0.08 dlogz:49.336>0.1]
381it [00:03, 79.64it/s, bound:0 nc:  2 ncall:1.0e+03 eff:37.3% logz=-13.80+/-0.08 dlogz:48.570>0.1]
390it [00:03, 77.33it/s, bound:0 nc:  4 ncall:1.0e+03 eff:37.4% logz=-13.42+/-0.08 dlogz:48.166>0.1]
402it [00:03, 77.01it/s, bound:0 nc:  3 ncall:1.1e+03 eff:37.1% logz=-12.94+/-0.08 dlogz:47.653>0.1]
411it [00:03, 71.45it/s, bound:0 nc:  1 ncall:1.1e+03 eff:37.3% logz=-12.64+/-0.08 dlogz:47.323>0.1]
422it [00:03, 68.40it/s, bound:0 nc:  5 ncall:1.1e+03 eff:37.0% logz=-12.33+/-0.08 dlogz:46.981>0.1]
432it [00:04, 61.14it/s, bound:0 nc: 14 ncall:1.2e+03 eff:36.4% logz=-12.05+/-0.08 dlogz:46.677>0.1]
439it [00:04, 62.60it/s, bound:0 nc:  1 ncall:1.2e+03 eff:36.1% logz=-11.83+/-0.08 dlogz:46.443>0.1]
446it [00:04, 62.55it/s, bound:0 nc:  8 ncall:1.2e+03 eff:36.1% logz=-11.61+/-0.08 dlogz:46.203>0.1]
453it [00:04, 61.93it/s, bound:0 nc:  6 ncall:1.3e+03 eff:36.1% logz=-11.36+/-0.08 dlogz:45.940>0.1]
463it [00:04, 61.86it/s, bound:0 nc:  1 ncall:1.3e+03 eff:36.1% logz=-11.01+/-0.08 dlogz:45.566>0.1]
480it [00:04, 74.05it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.3% logz=-10.47+/-0.08 dlogz:45.076>0.1]
488it [00:04, 71.10it/s, bound:0 nc:  5 ncall:1.3e+03 eff:36.2% logz=-10.24+/-0.08 dlogz:44.827>0.1]
495it [00:04, 70.22it/s, bound:0 nc:  9 ncall:1.4e+03 eff:36.1% logz=-10.03+/-0.08 dlogz:44.602>0.1]
502it [00:05, 68.75it/s, bound:0 nc:  2 ncall:1.4e+03 eff:36.1% logz=-9.80+/-0.08 dlogz:44.355>0.1] 
509it [00:05, 54.64it/s, bound:0 nc:  1 ncall:1.4e+03 eff:35.5% logz=-9.58+/-0.08 dlogz:44.115>0.1]
515it [00:05, 47.18it/s, bound:0 nc:  5 ncall:1.5e+03 eff:35.2% logz=-9.40+/-0.08 dlogz:43.925>0.1]
525it [00:05, 47.60it/s, bound:0 nc:  7 ncall:1.5e+03 eff:35.0% logz=-9.07+/-0.08 dlogz:43.576>0.1]
531it [00:05, 48.86it/s, bound:0 nc:  7 ncall:1.5e+03 eff:34.9% logz=-8.87+/-0.08 dlogz:43.353>0.1]
543it [00:05, 57.67it/s, bound:0 nc: 12 ncall:1.6e+03 eff:34.7% logz=-8.51+/-0.08 dlogz:42.960>0.1]
556it [00:06, 64.75it/s, bound:0 nc:  5 ncall:1.6e+03 eff:34.7% logz=-8.11+/-0.08 dlogz:42.535>0.1]
567it [00:06, 65.42it/s, bound:0 nc:  8 ncall:1.6e+03 eff:34.4% logz=-7.76+/-0.08 dlogz:42.150>0.1]
574it [00:06, 56.47it/s, bound:0 nc:  3 ncall:1.7e+03 eff:34.1% logz=-7.54+/-0.08 dlogz:41.913>0.1]
585it [00:06, 60.63it/s, bound:0 nc:  4 ncall:1.7e+03 eff:34.0% logz=-7.21+/-0.09 dlogz:41.561>0.1]
592it [00:06, 56.88it/s, bound:0 nc:  2 ncall:1.8e+03 eff:33.6% logz=-7.01+/-0.09 dlogz:41.338>0.1]
600it [00:06, 55.54it/s, bound:0 nc: 13 ncall:1.8e+03 eff:33.2% logz=-6.77+/-0.09 dlogz:41.081>0.1]
607it [00:07, 51.99it/s, bound:0 nc: 17 ncall:1.8e+03 eff:32.9% logz=-6.55+/-0.09 dlogz:40.848>0.1]
613it [00:07, 46.19it/s, bound:0 nc:  7 ncall:1.9e+03 eff:32.6% logz=-6.37+/-0.09 dlogz:40.650>0.1]
622it [00:07, 46.86it/s, bound:0 nc: 14 ncall:1.9e+03 eff:32.2% logz=-6.10+/-0.09 dlogz:40.361>0.1]
627it [00:07, 45.54it/s, bound:0 nc:  3 ncall:2.0e+03 eff:32.1% logz=-5.95+/-0.09 dlogz:40.192>0.1]
632it [00:07, 43.27it/s, bound:0 nc: 11 ncall:2.0e+03 eff:31.8% logz=-5.80+/-0.09 dlogz:41.892>0.1]
640it [00:07, 46.60it/s, bound:0 nc: 22 ncall:2.0e+03 eff:31.4% logz=-5.58+/-0.09 dlogz:41.652>0.1]
647it [00:08, 43.35it/s, bound:0 nc:  4 ncall:2.1e+03 eff:31.4% logz=-5.39+/-0.09 dlogz:41.448>0.1]
652it [00:08, 39.88it/s, bound:0 nc:  2 ncall:2.1e+03 eff:31.1% logz=-5.26+/-0.09 dlogz:41.303>0.1]
657it [00:08, 36.55it/s, bound:0 nc:  2 ncall:2.1e+03 eff:31.1% logz=-5.13+/-0.09 dlogz:41.161>0.1]
667it [00:08, 44.64it/s, bound:0 nc:  2 ncall:2.1e+03 eff:31.2% logz=-4.86+/-0.09 dlogz:40.868>0.1]
675it [00:08, 52.08it/s, bound:0 nc:  4 ncall:2.2e+03 eff:31.2% logz=-4.64+/-0.09 dlogz:40.626>0.1]
681it [00:08, 48.24it/s, bound:0 nc:  2 ncall:2.2e+03 eff:31.0% logz=-4.47+/-0.09 dlogz:40.448>0.1]
687it [00:08, 44.21it/s, bound:0 nc:  1 ncall:2.2e+03 eff:30.8% logz=-4.29+/-0.09 dlogz:40.250>0.1]
692it [00:09, 44.06it/s, bound:0 nc:  7 ncall:2.3e+03 eff:30.7% logz=-4.13+/-0.09 dlogz:40.084>0.1]
697it [00:09, 38.06it/s, bound:0 nc:  5 ncall:2.3e+03 eff:30.5% logz=-3.99+/-0.09 dlogz:39.922>0.1]
708it [00:09, 48.92it/s, bound:0 nc:  8 ncall:2.3e+03 eff:30.4% logz=-3.67+/-0.09 dlogz:39.573>0.1]
714it [00:09, 47.01it/s, bound:0 nc:  4 ncall:2.4e+03 eff:30.1% logz=-3.50+/-0.09 dlogz:39.392>0.1]
719it [00:09, 35.67it/s, bound:0 nc:  1 ncall:2.4e+03 eff:29.6% logz=-3.36+/-0.09 dlogz:39.238>0.1]
723it [00:09, 36.31it/s, bound:0 nc:  9 ncall:2.4e+03 eff:29.5% logz=-3.24+/-0.09 dlogz:39.112>0.1]
732it [00:10, 40.08it/s, bound:0 nc: 12 ncall:2.5e+03 eff:29.4% logz=-2.99+/-0.09 dlogz:38.839>0.1]
737it [00:10, 36.26it/s, bound:0 nc:  3 ncall:2.5e+03 eff:29.2% logz=-2.86+/-0.09 dlogz:38.695>0.1]
742it [00:10, 37.30it/s, bound:0 nc: 23 ncall:2.6e+03 eff:28.8% logz=-2.71+/-0.09 dlogz:38.532>0.1]
746it [00:10, 34.72it/s, bound:0 nc:  3 ncall:2.6e+03 eff:28.7% logz=-2.58+/-0.09 dlogz:38.392>0.1]
753it [00:10, 39.06it/s, bound:0 nc: 33 ncall:2.7e+03 eff:28.4% logz=-2.36+/-0.09 dlogz:38.155>0.1]
757it [00:10, 33.27it/s, bound:0 nc:  2 ncall:2.7e+03 eff:28.1% logz=-2.23+/-0.09 dlogz:38.018>0.1]
762it [00:11, 30.42it/s, bound:0 nc:  8 ncall:2.7e+03 eff:28.0% logz=-2.08+/-0.09 dlogz:37.855>0.1]
771it [00:11, 37.17it/s, bound:0 nc:  7 ncall:2.8e+03 eff:27.9% logz=-1.83+/-0.09 dlogz:37.581>0.1]
777it [00:11, 36.41it/s, bound:0 nc:  4 ncall:2.8e+03 eff:27.7% logz=-1.67+/-0.09 dlogz:37.405>0.1]
786it [00:11, 41.49it/s, bound:0 nc: 18 ncall:2.9e+03 eff:27.5% logz=-1.42+/-0.09 dlogz:37.136>0.1]
791it [00:11, 34.05it/s, bound:0 nc:  5 ncall:2.9e+03 eff:27.1% logz=-1.28+/-0.09 dlogz:36.982>0.1]
795it [00:11, 31.95it/s, bound:0 nc:  6 ncall:2.9e+03 eff:27.0% logz=-1.18+/-0.09 dlogz:36.862>0.1]
799it [00:12, 23.13it/s, bound:0 nc: 41 ncall:3.0e+03 eff:26.3% logz=-1.06+/-0.09 dlogz:36.740>0.1]
802it [00:12, 23.59it/s, bound:0 nc:  2 ncall:3.0e+03 eff:26.3% logz=-0.97+/-0.09 dlogz:36.642>0.1]
809it [00:12, 28.34it/s, bound:0 nc: 17 ncall:3.1e+03 eff:26.2% logz=-0.74+/-0.09 dlogz:36.401>0.1]
815it [00:12, 28.97it/s, bound:0 nc:  7 ncall:3.1e+03 eff:26.1% logz=-0.54+/-0.09 dlogz:36.563>0.1]
819it [00:12, 25.43it/s, bound:0 nc: 22 ncall:3.2e+03 eff:25.8% logz=-0.41+/-0.09 dlogz:36.418>0.1]
822it [00:13, 25.87it/s, bound:0 nc: 15 ncall:3.2e+03 eff:25.7% logz=-0.31+/-0.09 dlogz:36.308>0.1]
825it [00:13, 19.42it/s, bound:0 nc:  7 ncall:3.2e+03 eff:25.4% logz=-0.21+/-0.09 dlogz:36.201>0.1]
830it [00:13, 22.03it/s, bound:0 nc:  9 ncall:3.3e+03 eff:25.3% logz=-0.05+/-0.09 dlogz:36.032>0.1]
833it [00:13, 18.13it/s, bound:0 nc: 35 ncall:3.3e+03 eff:24.9% logz=0.04+/-0.09 dlogz:35.935>0.1] 
838it [00:13, 22.74it/s, bound:0 nc: 14 ncall:3.4e+03 eff:24.8% logz=0.18+/-0.09 dlogz:35.779>0.1]
841it [00:14, 17.58it/s, bound:0 nc: 16 ncall:3.4e+03 eff:24.7% logz=0.27+/-0.09 dlogz:35.682>0.1]
844it [00:14, 12.56it/s, bound:0 nc:  1 ncall:3.5e+03 eff:24.2% logz=0.36+/-0.09 dlogz:35.585>0.1]
846it [00:14, 12.41it/s, bound:0 nc:  9 ncall:3.5e+03 eff:24.1% logz=0.42+/-0.09 dlogz:35.520>0.1]
849it [00:14, 13.34it/s, bound:0 nc: 49 ncall:3.6e+03 eff:23.8% logz=0.51+/-0.09 dlogz:35.420>0.1]
851it [00:15, 12.37it/s, bound:0 nc:  4 ncall:3.6e+03 eff:23.7% logz=0.57+/-0.09 dlogz:35.356>0.1]
853it [00:15, 12.21it/s, bound:0 nc:  3 ncall:3.6e+03 eff:23.5% logz=0.64+/-0.09 dlogz:35.287>0.1]
859it [00:15, 17.19it/s, bound:0 nc: 13 ncall:3.7e+03 eff:23.4% logz=0.83+/-0.09 dlogz:35.079>0.1]
862it [00:15, 16.07it/s, bound:0 nc: 26 ncall:3.7e+03 eff:23.2% logz=0.92+/-0.09 dlogz:34.978>0.1]
866it [00:15, 17.70it/s, bound:0 nc:  7 ncall:3.7e+03 eff:23.1% logz=1.05+/-0.09 dlogz:34.844>0.1]
873it [00:16, 22.77it/s, bound:0 nc: 14 ncall:3.8e+03 eff:23.1% logz=1.30+/-0.10 dlogz:34.579>0.1]
879it [00:16, 26.10it/s, bound:0 nc: 19 ncall:3.8e+03 eff:23.0% logz=1.49+/-0.10 dlogz:34.365>0.1]
