
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-417.58+/-0.13 dlogz:inf>0.1]
21it [00:00, 124.46it/s, bound:0 nc:  7 ncall:4.5e+02 eff:4.7% logz=-169.84+/-0.12 dlogz:210.571>0.1]
39it [00:01, 121.88it/s, bound:0 nc:  3 ncall:4.8e+02 eff:8.1% logz=-132.21+/-0.11 dlogz:172.384>0.1]
53it [00:01, 123.96it/s, bound:0 nc: 10 ncall:5.3e+02 eff:10.1% logz=-121.29+/-0.11 dlogz:161.498>0.1]
70it [00:01, 128.57it/s, bound:0 nc:  4 ncall:5.6e+02 eff:12.4% logz=-104.90+/-0.12 dlogz:145.489>0.1]
87it [00:01, 124.56it/s, bound:0 nc:  2 ncall:6.0e+02 eff:14.5% logz=-83.89+/-0.12 dlogz:124.309>0.1] 
108it [00:01, 124.99it/s, bound:0 nc:  4 ncall:6.4e+02 eff:16.8% logz=-71.48+/-0.10 dlogz:111.219>0.1]
129it [00:01, 120.55it/s, bound:0 nc:  1 ncall:6.8e+02 eff:18.9% logz=-64.09+/-0.11 dlogz:104.162>0.1]
145it [00:01, 107.47it/s, bound:0 nc:  4 ncall:7.2e+02 eff:20.1% logz=-57.43+/-0.10 dlogz:97.274>0.1] 
162it [00:02, 109.56it/s, bound:0 nc:  5 ncall:7.6e+02 eff:21.3% logz=-51.80+/-0.11 dlogz:91.691>0.1]
173it [00:02, 91.86it/s, bound:0 nc:  5 ncall:8.0e+02 eff:21.5% logz=-48.54+/-0.10 dlogz:88.280>0.1] 
184it [00:02, 84.30it/s, bound:0 nc: 12 ncall:8.5e+02 eff:21.7% logz=-46.16+/-0.10 dlogz:85.904>0.1]
193it [00:02, 81.89it/s, bound:0 nc:  2 ncall:8.7e+02 eff:22.1% logz=-44.14+/-0.10 dlogz:83.724>0.1]
202it [00:02, 64.15it/s, bound:0 nc:  1 ncall:9.1e+02 eff:22.3% logz=-42.50+/-0.10 dlogz:82.094>0.1]
209it [00:02, 62.07it/s, bound:0 nc:  4 ncall:9.3e+02 eff:22.5% logz=-41.14+/-0.10 dlogz:80.726>0.1]
216it [00:03, 63.65it/s, bound:0 nc:  1 ncall:9.4e+02 eff:22.9% logz=-39.64+/-0.10 dlogz:79.207>0.1]
223it [00:03, 64.79it/s, bound:0 nc:  2 ncall:9.7e+02 eff:23.0% logz=-38.09+/-0.10 dlogz:77.641>0.1]
232it [00:03, 63.77it/s, bound:0 nc: 10 ncall:1.0e+03 eff:23.2% logz=-36.16+/-0.10 dlogz:75.638>0.1]
