
1it [00:00, ?it/s]
1it [00:01, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-751.74+/-0.13 dlogz:inf>0.1]
9it [00:01, 53.19it/s, bound:0 nc:  3 ncall:4.2e+02 eff:2.1% logz=-290.69+/-0.13 dlogz:369.117>0.1]
20it [00:02, 51.33it/s, bound:0 nc:  3 ncall:4.4e+02 eff:4.5% logz=-178.27+/-0.12 dlogz:220.252>0.1]
29it [00:02, 51.19it/s, bound:0 nc:  6 ncall:4.6e+02 eff:6.2% logz=-109.73+/-0.12 dlogz:151.424>0.1]
36it [00:02, 49.06it/s, bound:0 nc:  3 ncall:4.8e+02 eff:7.5% logz=-100.56+/-0.12 dlogz:142.903>0.1]
45it [00:02, 52.27it/s, bound:0 nc:  2 ncall:5.0e+02 eff:9.0% logz=-83.40+/-0.13 dlogz:128.412>0.1] 
53it [00:02, 54.18it/s, bound:0 nc:  4 ncall:5.2e+02 eff:10.1% logz=-73.01+/-0.11 dlogz:113.768>0.1]
59it [00:02, 50.43it/s, bound:0 nc:  2 ncall:5.5e+02 eff:10.8% logz=-67.56+/-0.11 dlogz:108.636>0.1]
65it [00:03, 50.14it/s, bound:0 nc:  5 ncall:5.6e+02 eff:11.5% logz=-63.58+/-0.11 dlogz:104.422>0.1]
72it [00:03, 49.90it/s, bound:0 nc:  5 ncall:5.8e+02 eff:12.3% logz=-58.85+/-0.12 dlogz:100.745>0.1]
80it [00:03, 50.96it/s, bound:0 nc:  2 ncall:6.0e+02 eff:13.3% logz=-54.10+/-0.11 dlogz:94.755>0.1] 
87it [00:03, 45.58it/s, bound:0 nc:  2 ncall:6.2e+02 eff:14.0% logz=-49.31+/-0.12 dlogz:90.678>0.1]
92it [00:03, 39.40it/s, bound:0 nc:  7 ncall:6.4e+02 eff:14.4% logz=-46.45+/-0.11 dlogz:87.158>0.1]
102it [00:04, 39.91it/s, bound:0 nc:  8 ncall:6.6e+02 eff:15.4% logz=-40.68+/-0.12 dlogz:82.211>0.1]
108it [00:04, 35.61it/s, bound:0 nc:  3 ncall:6.8e+02 eff:15.9% logz=-37.20+/-0.11 dlogz:77.719>0.1]
116it [00:04, 37.02it/s, bound:0 nc:  3 ncall:7.0e+02 eff:16.5% logz=-35.23+/-0.10 dlogz:75.666>0.1]
126it [00:04, 40.04it/s, bound:0 nc:  4 ncall:7.2e+02 eff:17.5% logz=-30.65+/-0.11 dlogz:71.446>0.1]
135it [00:04, 42.69it/s, bound:0 nc:  6 ncall:7.5e+02 eff:18.1% logz=-26.90+/-0.11 dlogz:67.506>0.1]
