
0it [00:00, ?it/s]
1it [00:24, 24.55s/it, bound:0 nc: 20 ncall:4.2e+02 eff:0.2% logz=-206.73+/-0.18 dlogz:inf>0.1]
8it [00:24,  2.25s/it, bound:0 nc:  3 ncall:4.6e+02 eff:1.7% logz=-88.41+/-0.18 dlogz:151.680>0.1]
15it [00:24,  1.01it/s, bound:0 nc: 21 ncall:5.3e+02 eff:2.8% logz=-62.54+/-0.18 dlogz:127.899>0.1]
23it [00:24,  1.92it/s, bound:0 nc: 13 ncall:5.8e+02 eff:3.9% logz=-43.27+/-0.17 dlogz:104.879>0.1]
31it [00:25,  3.18it/s, bound:0 nc:  9 ncall:6.5e+02 eff:4.8% logz=-30.70+/-0.18 dlogz:93.503>0.1] 
38it [00:25,  4.69it/s, bound:0 nc:  6 ncall:7.1e+02 eff:5.3% logz=-27.19+/-0.14 dlogz:87.761>0.1]
46it [00:25,  6.96it/s, bound:0 nc:  9 ncall:7.9e+02 eff:5.9% logz=-23.05+/-0.15 dlogz:83.789>0.1]
53it [00:26,  5.81it/s, bound:2 nc:101 ncall:1.4e+03 eff:3.7% logz=-19.39+/-0.15 dlogz:79.941>0.1]
68it [00:28,  6.89it/s, bound:8 nc:101 ncall:3.2e+03 eff:2.2% logz=-14.00+/-0.15 dlogz:74.792>0.1]
86it [00:28, 12.21it/s, bound:14 nc:268 ncall:5.1e+03 eff:1.7% logz=-8.11+/-0.14 dlogz:68.578>0.1]
94it [00:30,  9.52it/s, bound:18 nc:101 ncall:6.3e+03 eff:1.5% logz=-6.36+/-0.14 dlogz:66.715>0.1]
105it [00:31,  8.29it/s, bound:22 nc:183 ncall:7.9e+03 eff:1.3% logz=-4.60+/-0.13 dlogz:64.908>0.1]
114it [00:32, 10.88it/s, bound:26 nc:121 ncall:9.3e+03 eff:1.2% logz=-3.60+/-0.13 dlogz:63.795>0.1]
123it [00:33,  8.82it/s, bound:29 nc:154 ncall:1.0e+04 eff:1.2% logz=-3.13+/-0.12 dlogz:63.265>0.1]
136it [00:33, 13.20it/s, bound:34 nc:101 ncall:1.2e+04 eff:1.1% logz=-2.70+/-0.11 dlogz:62.788>0.1]
143it [00:34, 10.18it/s, bound:36 nc:132 ncall:1.3e+04 eff:1.1% logz=-2.53+/-0.11 dlogz:62.597>0.1]
152it [00:35, 13.60it/s, bound:40 nc:137 ncall:1.4e+04 eff:1.1% logz=-2.35+/-0.11 dlogz:62.393>0.1]
162it [00:36, 10.16it/s, bound:43 nc:168 ncall:1.5e+04 eff:1.1% logz=-2.19+/-0.10 dlogz:62.202>0.1]
173it [00:36, 14.47it/s, bound:48 nc:101 ncall:1.6e+04 eff:1.1% logz=-2.04+/-0.10 dlogz:62.022>0.1]
182it [00:37, 12.13it/s, bound:51 nc:101 ncall:1.7e+04 eff:1.1% logz=-1.93+/-0.10 dlogz:61.893>0.1]
202it [00:38, 14.27it/s, bound:58 nc:101 ncall:1.9e+04 eff:1.1% logz=-0.69+/-0.12 dlogz:60.689>0.1]
222it [00:40, 15.17it/s, bound:64 nc:101 ncall:2.1e+04 eff:1.0% logz=1.94+/-0.13 dlogz:58.034>0.1] 
242it [00:41, 16.34it/s, bound:71 nc:101 ncall:2.3e+04 eff:1.0% logz=4.24+/-0.13 dlogz:55.651>0.1]
262it [00:42, 16.73it/s, bound:78 nc:101 ncall:2.5e+04 eff:1.0% logz=5.98+/-0.13 dlogz:53.862>0.1]
282it [00:43, 17.29it/s, bound:84 nc:101 ncall:2.7e+04 eff:1.0% logz=7.14+/-0.12 dlogz:52.607>0.1]
302it [00:44, 17.52it/s, bound:91 nc:101 ncall:2.9e+04 eff:1.0% logz=8.47+/-0.12 dlogz:55.762>0.1]
321it [00:45, 17.67it/s, bound:97 nc:101 ncall:3.1e+04 eff:1.0% logz=9.80+/-0.12 dlogz:54.385>0.1]
