
0it [00:00, ?it/s]
1it [00:37, 37.41s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-518.25+/-0.18 dlogz:inf>0.1]
5it [00:37,  5.65s/it, bound:0 nc:  2 ncall:4.2e+02 eff:1.2% logz=-215.53+/-0.17 dlogz:275.097>0.1]
13it [00:38,  1.67s/it, bound:0 nc:  4 ncall:4.4e+02 eff:2.9% logz=-146.68+/-0.17 dlogz:205.188>0.1]
20it [00:38,  1.11it/s, bound:0 nc:  7 ncall:4.7e+02 eff:4.3% logz=-102.40+/-0.18 dlogz:170.734>0.1]
23it [00:38,  1.39it/s, bound:0 nc:  8 ncall:5.0e+02 eff:4.6% logz=-98.80+/-0.16 dlogz:156.795>0.1] 
25it [00:38,  1.63it/s, bound:0 nc:  4 ncall:5.0e+02 eff:5.0% logz=-97.34+/-0.16 dlogz:155.551>0.1]
32it [00:39,  2.90it/s, bound:0 nc:  4 ncall:5.2e+02 eff:6.1% logz=-84.66+/-0.17 dlogz:143.941>0.1]
35it [00:39,  3.49it/s, bound:0 nc: 10 ncall:5.4e+02 eff:6.5% logz=-81.06+/-0.16 dlogz:139.235>0.1]
44it [00:39,  6.17it/s, bound:0 nc:  2 ncall:5.6e+02 eff:7.8% logz=-68.96+/-0.15 dlogz:126.708>0.1]
52it [00:39,  9.10it/s, bound:0 nc:  9 ncall:5.9e+02 eff:8.8% logz=-62.46+/-0.15 dlogz:120.314>0.1]
55it [00:39,  9.80it/s, bound:0 nc:  5 ncall:6.0e+02 eff:9.1% logz=-60.86+/-0.15 dlogz:118.719>0.1]
60it [00:40, 11.80it/s, bound:0 nc: 14 ncall:6.3e+02 eff:9.6% logz=-54.58+/-0.18 dlogz:114.733>0.1]
63it [00:40,  9.24it/s, bound:0 nc: 12 ncall:6.7e+02 eff:9.4% logz=-51.51+/-0.16 dlogz:109.526>0.1]
65it [00:41,  9.21it/s, bound:0 nc:  7 ncall:7.0e+02 eff:9.3% logz=-50.54+/-0.15 dlogz:108.225>0.1]
67it [00:41,  8.98it/s, bound:0 nc:  4 ncall:7.1e+02 eff:9.4% logz=-46.87+/-0.18 dlogz:107.453>0.1]
69it [00:41,  8.88it/s, bound:0 nc:  3 ncall:7.2e+02 eff:9.5% logz=-45.02+/-0.16 dlogz:103.041>0.1]
