
0it [00:00, ?it/s]
1it [01:02, 62.66s/it, bound:0 nc:  8 ncall:4.1e+02 eff:0.2% logz=-670.01+/-0.18 dlogz:inf>0.1]
7it [01:02,  6.59s/it, bound:0 nc:  5 ncall:4.2e+02 eff:1.7% logz=-155.54+/-0.18 dlogz:214.154>0.1]
13it [01:03,  2.93s/it, bound:0 nc:  8 ncall:4.4e+02 eff:2.9% logz=-107.74+/-0.18 dlogz:168.174>0.1]
17it [01:03,  1.94s/it, bound:0 nc:  6 ncall:4.6e+02 eff:3.7% logz=-87.63+/-0.17 dlogz:144.621>0.1] 
21it [01:03,  1.32s/it, bound:0 nc: 14 ncall:4.8e+02 eff:4.3% logz=-79.63+/-0.18 dlogz:137.690>0.1]
27it [01:04,  1.25it/s, bound:0 nc:  5 ncall:5.0e+02 eff:5.3% logz=-62.14+/-0.17 dlogz:118.721>0.1]
30it [01:04,  1.57it/s, bound:0 nc:  6 ncall:5.2e+02 eff:5.7% logz=-59.26+/-0.16 dlogz:115.399>0.1]
34it [01:05,  2.12it/s, bound:0 nc: 24 ncall:5.5e+02 eff:6.2% logz=-56.20+/-0.16 dlogz:112.401>0.1]
36it [01:05,  2.42it/s, bound:0 nc: 10 ncall:5.6e+02 eff:6.4% logz=-54.61+/-0.16 dlogz:110.680>0.1]
39it [01:05,  3.10it/s, bound:0 nc: 15 ncall:5.9e+02 eff:6.6% logz=-47.77+/-0.17 dlogz:104.230>0.1]
41it [01:05,  3.41it/s, bound:0 nc: 14 ncall:6.1e+02 eff:6.7% logz=-46.33+/-0.16 dlogz:102.142>0.1]
43it [01:06,  3.85it/s, bound:0 nc:  9 ncall:6.3e+02 eff:6.8% logz=-45.52+/-0.15 dlogz:101.135>0.1]
45it [01:06,  4.30it/s, bound:0 nc:  8 ncall:6.4e+02 eff:7.0% logz=-44.83+/-0.15 dlogz:100.425>0.1]
46it [01:06,  4.35it/s, bound:0 nc: 18 ncall:6.6e+02 eff:6.9% logz=-43.16+/-0.17 dlogz:100.050>0.1]
51it [01:07,  6.61it/s, bound:0 nc:  7 ncall:6.8e+02 eff:7.5% logz=-36.47+/-0.17 dlogz:92.965>0.1] 
55it [01:07,  7.37it/s, bound:0 nc:  6 ncall:7.0e+02 eff:7.8% logz=-33.35+/-0.16 dlogz:89.223>0.1]
58it [01:08,  7.38it/s, bound:0 nc:  5 ncall:7.2e+02 eff:8.0% logz=-31.40+/-0.15 dlogz:87.211>0.1]
62it [01:08,  8.63it/s, bound:0 nc: 12 ncall:7.5e+02 eff:8.3% logz=-24.87+/-0.16 dlogz:80.799>0.1]
64it [01:08,  8.35it/s, bound:0 nc: 16 ncall:7.7e+02 eff:8.3% logz=-23.92+/-0.15 dlogz:79.511>0.1]
66it [01:08,  7.89it/s, bound:0 nc:  7 ncall:7.8e+02 eff:8.4% logz=-23.14+/-0.15 dlogz:78.705>0.1]
72it [01:09, 12.22it/s, bound:0 nc:  1 ncall:8.0e+02 eff:9.0% logz=-20.01+/-0.15 dlogz:75.533>0.1]
77it [01:20, 12.22it/s, bound:1 nc:  1 ncall:8.2e+02 eff:9.4% logz=-17.29+/-0.15 dlogz:73.063>0.1]
78it [01:23,  1.04s/it, bound:1 nc:105 ncall:9.2e+02 eff:8.5% logz=-16.81+/-0.15 dlogz:72.437>0.1]
89it [01:23,  1.97it/s, bound:5 nc:101 ncall:2.1e+03 eff:4.2% logz=-13.29+/-0.14 dlogz:68.645>0.1]
97it [01:23,  2.99it/s, bound:8 nc:107 ncall:3.1e+03 eff:3.2% logz=-11.49+/-0.14 dlogz:66.749>0.1]
97it [01:40,  2.99it/s, bound:8 nc:107 ncall:3.1e+03 eff:3.2% logz=-11.49+/-0.14 dlogz:66.749>0.1]
98it [01:40,  1.31s/it, bound:8 nc:101 ncall:3.2e+03 eff:3.1% logz=-11.33+/-0.14 dlogz:66.584>0.1]
105it [01:40,  1.21it/s, bound:11 nc:160 ncall:4.0e+03 eff:2.6% logz=-10.04+/-0.13 dlogz:65.331>0.1]
114it [01:40,  2.01it/s, bound:15 nc:113 ncall:5.2e+03 eff:2.2% logz=-7.65+/-0.14 dlogz:62.998>0.1] 
121it [01:58,  1.10s/it, bound:17 nc:101 ncall:6.0e+03 eff:2.0% logz=-5.21+/-0.15 dlogz:60.643>0.1]
129it [01:58,  1.36it/s, bound:21 nc:173 ncall:7.1e+03 eff:1.8% logz=-3.91+/-0.14 dlogz:59.018>0.1]
136it [01:58,  1.91it/s, bound:23 nc:101 ncall:7.8e+03 eff:1.7% logz=-3.42+/-0.13 dlogz:58.477>0.1]
137it [02:10,  1.91it/s, bound:24 nc:101 ncall:7.9e+03 eff:1.7% logz=-3.37+/-0.13 dlogz:58.418>0.1]
138it [02:19,  1.62s/it, bound:24 nc:106 ncall:8.0e+03 eff:1.7% logz=-3.32+/-0.13 dlogz:58.363>0.1]
144it [02:19,  1.11s/it, bound:27 nc:  1 ncall:8.8e+03 eff:5.7% logz=29.95+/-0.07 dlogz:22.769>0.1]
151it [02:20,  1.35it/s, bound:30 nc:154 ncall:9.7e+03 eff:1.6% logz=-2.83+/-0.12 dlogz:57.824>0.1]
157it [02:20,  1.90it/s, bound:33 nc:104 ncall:1.0e+04 eff:1.5% logz=-2.67+/-0.11 dlogz:57.645>0.1]
157it [02:40,  1.90it/s, bound:33 nc:104 ncall:1.0e+04 eff:1.5% logz=-2.67+/-0.11 dlogz:57.645>0.1]
158it [02:41,  1.89s/it, bound:33 nc:143 ncall:1.1e+04 eff:1.5% logz=-2.65+/-0.11 dlogz:57.617>0.1]
178it [03:09,  1.57s/it, bound:40 nc:101 ncall:1.3e+04 eff:1.4% logz=-1.73+/-0.11 dlogz:56.678>0.1]
179it [03:09,  1.51s/it, bound:41 nc:101 ncall:1.3e+04 eff:1.4% logz=-1.67+/-0.11 dlogz:56.618>0.1]
184it [03:09,  1.15s/it, bound:42 nc:101 ncall:1.3e+04 eff:1.4% logz=-1.36+/-0.11 dlogz:56.298>0.1]
196it [03:20,  1.15s/it, bound:47 nc:101 ncall:1.5e+04 eff:1.3% logz=-0.55+/-0.12 dlogz:55.465>0.1]
197it [03:30,  1.36s/it, bound:47 nc:101 ncall:1.5e+04 eff:1.3% logz=-0.47+/-0.12 dlogz:55.394>0.1]
199it [03:30,  1.24s/it, bound:48 nc:101 ncall:1.5e+04 eff:1.3% logz=-0.31+/-0.12 dlogz:55.233>0.1]
203it [03:31,  1.00s/it, bound:49 nc:101 ncall:1.5e+04 eff:1.3% logz=0.02+/-0.12 dlogz:54.893>0.1] 
