
0it [00:00, ?it/s]
1it [00:08,  8.29s/it, bound:0 nc: 15 ncall:4.2e+02 eff:0.2% logz=-334.97+/-0.18 dlogz:inf>0.1]
2it [00:08,  3.48s/it, bound:0 nc: 20 ncall:4.4e+02 eff:0.5% logz=-174.90+/-0.18 dlogz:381.151>0.1]
8it [00:08,  1.69it/s, bound:0 nc: 21 ncall:4.7e+02 eff:1.7% logz=-77.75+/-0.17 dlogz:125.423>0.1] 
11it [00:08,  2.56it/s, bound:0 nc:  4 ncall:5.1e+02 eff:2.2% logz=-70.02+/-0.16 dlogz:117.288>0.1]
15it [00:08,  4.09it/s, bound:0 nc: 34 ncall:5.7e+02 eff:2.6% logz=-67.26+/-0.16 dlogz:114.252>0.1]
18it [00:08,  5.37it/s, bound:0 nc:  8 ncall:6.0e+02 eff:3.0% logz=-62.17+/-0.16 dlogz:109.273>0.1]
23it [00:09,  8.41it/s, bound:0 nc:  5 ncall:6.2e+02 eff:3.7% logz=-58.71+/-0.15 dlogz:105.313>0.1]
30it [00:09, 13.52it/s, bound:0 nc: 32 ncall:6.8e+02 eff:4.4% logz=-55.01+/-0.15 dlogz:101.395>0.1]
34it [00:09, 16.19it/s, bound:0 nc:  6 ncall:7.2e+02 eff:4.7% logz=-52.37+/-0.16 dlogz:99.346>0.1] 
38it [00:09, 17.20it/s, bound:0 nc: 38 ncall:7.9e+02 eff:4.8% logz=-50.38+/-0.15 dlogz:97.154>0.1]
41it [00:13,  2.93it/s, bound:1 nc:106 ncall:9.2e+02 eff:4.5% logz=-47.95+/-0.16 dlogz:94.863>0.1]
60it [00:15,  5.25it/s, bound:7 nc:101 ncall:3.0e+03 eff:2.0% logz=-33.57+/-0.15 dlogz:80.057>0.1]
71it [00:15,  7.97it/s, bound:11 nc:101 ncall:4.1e+03 eff:1.7% logz=-30.88+/-0.14 dlogz:77.067>0.1]
79it [00:19,  4.96it/s, bound:14 nc:101 ncall:5.0e+03 eff:1.6% logz=-28.24+/-0.14 dlogz:74.504>0.1]
94it [00:19,  8.37it/s, bound:19 nc:  1 ncall:6.6e+03 eff:5.3% logz=2.36+/-0.12 dlogz:42.570>0.1]  
101it [00:22,  4.87it/s, bound:21 nc:101 ncall:7.4e+03 eff:1.4% logz=-23.07+/-0.13 dlogz:69.168>0.1]
114it [00:26,  4.05it/s, bound:26 nc:101 ncall:9.0e+03 eff:1.3% logz=-20.49+/-0.13 dlogz:66.549>0.1]
129it [00:26,  6.39it/s, bound:31 nc:212 ncall:1.1e+04 eff:1.2% logz=-18.38+/-0.13 dlogz:64.402>0.1]
136it [00:31,  4.03it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.2% logz=-17.50+/-0.13 dlogz:63.440>0.1]
141it [00:31,  4.69it/s, bound:35 nc:101 ncall:1.2e+04 eff:1.2% logz=-17.02+/-0.13 dlogz:62.936>0.1]
146it [00:31,  5.70it/s, bound:37 nc:202 ncall:1.3e+04 eff:1.2% logz=-16.57+/-0.12 dlogz:62.476>0.1]
152it [00:37,  2.66it/s, bound:39 nc:101 ncall:1.3e+04 eff:1.2% logz=-16.04+/-0.12 dlogz:61.939>0.1]
159it [00:37,  3.71it/s, bound:41 nc:101 ncall:1.4e+04 eff:1.1% logz=-15.33+/-0.12 dlogz:61.233>0.1]
169it [00:37,  5.78it/s, bound:45 nc:101 ncall:1.5e+04 eff:1.1% logz=-14.27+/-0.12 dlogz:60.132>0.1]
175it [00:44,  2.53it/s, bound:47 nc:101 ncall:1.5e+04 eff:1.1% logz=-13.78+/-0.12 dlogz:59.604>0.1]
184it [00:44,  3.74it/s, bound:50 nc:101 ncall:1.6e+04 eff:1.1% logz=-12.88+/-0.12 dlogz:58.695>0.1]
192it [00:52,  2.10it/s, bound:52 nc:101 ncall:1.7e+04 eff:1.1% logz=-12.22+/-0.12 dlogz:57.999>0.1]
205it [00:52,  3.53it/s, bound:57 nc:101 ncall:1.8e+04 eff:1.1% logz=-11.10+/-0.12 dlogz:56.854>0.1]
