
0it [00:00, ?it/s]
1it [00:07,  7.14s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-19468.03+/-0.18 dlogz:inf>0.1]
20it [00:07,  3.86it/s, bound:0 nc:  2 ncall:4.4e+02 eff:4.5% logz=-427.74+/-0.18 dlogz:531.633>0.1]
42it [00:07,  9.57it/s, bound:0 nc:  3 ncall:4.8e+02 eff:8.7% logz=-186.74+/-0.16 dlogz:240.614>0.1]
64it [00:07, 17.12it/s, bound:0 nc:  6 ncall:5.2e+02 eff:12.2% logz=-84.22+/-0.18 dlogz:141.004>0.1]
79it [00:07, 23.67it/s, bound:0 nc:  1 ncall:5.6e+02 eff:14.1% logz=-59.79+/-0.16 dlogz:113.699>0.1]
94it [00:07, 31.17it/s, bound:0 nc:  3 ncall:6.1e+02 eff:15.4% logz=-36.40+/-0.16 dlogz:90.189>0.1] 
108it [00:07, 39.37it/s, bound:0 nc:  4 ncall:6.4e+02 eff:16.8% logz=-29.56+/-0.15 dlogz:83.065>0.1]
132it [00:08, 56.97it/s, bound:0 nc:  5 ncall:6.8e+02 eff:19.3% logz=-20.61+/-0.14 dlogz:79.152>0.1]
146it [00:08, 59.98it/s, bound:0 nc:  3 ncall:7.2e+02 eff:20.1% logz=-18.22+/-0.13 dlogz:76.733>0.1]
159it [00:08, 63.96it/s, bound:0 nc:  8 ncall:7.6e+02 eff:20.8% logz=-16.40+/-0.13 dlogz:74.824>0.1]
171it [00:08, 65.95it/s, bound:0 nc:  2 ncall:8.0e+02 eff:21.3% logz=-14.45+/-0.13 dlogz:75.339>0.1]
186it [00:08, 72.85it/s, bound:0 nc:  2 ncall:8.4e+02 eff:22.1% logz=-12.75+/-0.13 dlogz:73.559>0.1]
200it [00:08, 76.67it/s, bound:0 nc:  4 ncall:8.8e+02 eff:22.7% logz=-11.50+/-0.13 dlogz:72.274>0.1]
210it [00:09, 60.40it/s, bound:0 nc:  3 ncall:9.4e+02 eff:22.4% logz=-10.67+/-0.12 dlogz:71.413>0.1]
218it [00:09, 49.73it/s, bound:0 nc:  1 ncall:9.8e+02 eff:22.3% logz=-10.05+/-0.12 dlogz:70.769>0.1]
226it [00:09, 47.24it/s, bound:0 nc:  1 ncall:1.0e+03 eff:22.6% logz=-9.50+/-0.12 dlogz:70.193>0.1] 
234it [00:09, 48.05it/s, bound:0 nc:  4 ncall:1.0e+03 eff:22.9% logz=-8.97+/-0.12 dlogz:69.635>0.1]
241it [00:09, 49.92it/s, bound:0 nc:  4 ncall:1.0e+03 eff:23.1% logz=-8.50+/-0.12 dlogz:69.147>0.1]
247it [00:10, 46.06it/s, bound:0 nc:  4 ncall:1.1e+03 eff:23.1% logz=-8.11+/-0.12 dlogz:68.751>0.1]
254it [00:10, 45.40it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.4% logz=-7.67+/-0.12 dlogz:68.282>0.1]
260it [00:10, 40.57it/s, bound:0 nc:  4 ncall:1.1e+03 eff:23.6% logz=-7.36+/-0.12 dlogz:67.944>0.1]
267it [00:10, 41.92it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.8% logz=-7.03+/-0.12 dlogz:67.595>0.1]
276it [00:10, 39.23it/s, bound:0 nc: 11 ncall:1.2e+03 eff:23.8% logz=-6.60+/-0.12 dlogz:67.143>0.1]
282it [00:11, 36.31it/s, bound:0 nc:  6 ncall:1.2e+03 eff:23.8% logz=-6.33+/-0.12 dlogz:66.857>0.1]
289it [00:11, 36.79it/s, bound:0 nc:  2 ncall:1.2e+03 eff:24.1% logz=-6.01+/-0.12 dlogz:66.523>0.1]
293it [00:11, 35.53it/s, bound:0 nc:  3 ncall:1.2e+03 eff:23.9% logz=-5.81+/-0.12 dlogz:66.317>0.1]
308it [00:11, 46.94it/s, bound:0 nc:  4 ncall:1.3e+03 eff:24.4% logz=-5.07+/-0.12 dlogz:65.536>0.1]
316it [00:11, 45.20it/s, bound:0 nc: 13 ncall:1.3e+03 eff:24.2% logz=-4.70+/-0.12 dlogz:65.139>0.1]
323it [00:11, 49.73it/s, bound:0 nc:  7 ncall:1.3e+03 eff:24.4% logz=-4.37+/-0.12 dlogz:64.797>0.1]
330it [00:12, 51.68it/s, bound:0 nc: 22 ncall:1.4e+03 eff:24.3% logz=-4.08+/-0.12 dlogz:64.482>0.1]
336it [00:12, 49.38it/s, bound:0 nc:  2 ncall:1.4e+03 eff:24.4% logz=-3.85+/-0.12 dlogz:64.236>0.1]
342it [00:12, 36.87it/s, bound:0 nc:  2 ncall:1.4e+03 eff:24.2% logz=-3.62+/-0.11 dlogz:63.996>0.1]
347it [00:12, 36.37it/s, bound:0 nc:  7 ncall:1.4e+03 eff:24.2% logz=-3.41+/-0.12 dlogz:63.778>0.1]
351it [00:12, 36.09it/s, bound:0 nc:  2 ncall:1.4e+03 eff:24.2% logz=-3.23+/-0.12 dlogz:63.584>0.1]
361it [00:12, 45.28it/s, bound:0 nc: 23 ncall:1.5e+03 eff:24.2% logz=-2.81+/-0.12 dlogz:63.137>0.1]
366it [00:13, 36.40it/s, bound:0 nc: 14 ncall:1.5e+03 eff:23.9% logz=-2.61+/-0.12 dlogz:62.927>0.1]
375it [00:13, 41.80it/s, bound:0 nc: 12 ncall:1.6e+03 eff:23.9% logz=-2.26+/-0.12 dlogz:62.550>0.1]
380it [00:13, 32.40it/s, bound:0 nc:  2 ncall:1.6e+03 eff:23.7% logz=-2.06+/-0.12 dlogz:62.341>0.1]
387it [00:13, 34.53it/s, bound:0 nc:  4 ncall:1.6e+03 eff:23.9% logz=-1.72+/-0.12 dlogz:61.984>0.1]
391it [00:14, 24.34it/s, bound:0 nc: 10 ncall:1.7e+03 eff:23.5% logz=-1.52+/-0.12 dlogz:61.779>0.1]
394it [00:14, 22.28it/s, bound:0 nc:  3 ncall:1.7e+03 eff:23.2% logz=-1.38+/-0.12 dlogz:61.629>0.1]
397it [00:14, 20.70it/s, bound:0 nc:  8 ncall:1.7e+03 eff:23.2% logz=-1.25+/-0.12 dlogz:61.489>0.1]
400it [00:14, 20.77it/s, bound:0 nc:  4 ncall:1.7e+03 eff:23.0% logz=-1.13+/-0.12 dlogz:61.361>0.1]
403it [00:14, 14.38it/s, bound:0 nc:  2 ncall:1.8e+03 eff:22.9% logz=-1.01+/-0.12 dlogz:61.235>0.1]
406it [00:15, 16.06it/s, bound:0 nc: 20 ncall:1.8e+03 eff:22.6% logz=-0.88+/-0.12 dlogz:61.095>0.1]
408it [00:15, 14.91it/s, bound:0 nc:  1 ncall:1.8e+03 eff:22.6% logz=-0.78+/-0.12 dlogz:60.995>0.1]
410it [00:15, 13.72it/s, bound:0 nc: 19 ncall:1.8e+03 eff:22.2% logz=-0.68+/-0.12 dlogz:60.892>0.1]
415it [00:15, 19.80it/s, bound:0 nc:  1 ncall:1.9e+03 eff:22.3% logz=-0.44+/-0.12 dlogz:60.638>0.1]
418it [00:15, 21.07it/s, bound:0 nc: 16 ncall:1.9e+03 eff:22.1% logz=-0.31+/-0.12 dlogz:60.494>0.1]
421it [00:15, 19.89it/s, bound:0 nc:  2 ncall:1.9e+03 eff:22.0% logz=-0.17+/-0.12 dlogz:60.355>0.1]
424it [00:16, 16.30it/s, bound:0 nc: 12 ncall:1.9e+03 eff:21.9% logz=-0.04+/-0.12 dlogz:60.212>0.1]
426it [00:16, 13.09it/s, bound:0 nc:  7 ncall:1.9e+03 eff:21.9% logz=0.04+/-0.12 dlogz:60.121>0.1] 
430it [00:16, 15.66it/s, bound:0 nc:  3 ncall:2.0e+03 eff:21.9% logz=0.21+/-0.12 dlogz:59.942>0.1]
432it [00:16, 14.96it/s, bound:0 nc: 17 ncall:2.0e+03 eff:21.7% logz=0.29+/-0.12 dlogz:59.854>0.1]
435it [00:16, 17.40it/s, bound:0 nc: 12 ncall:2.0e+03 eff:21.6% logz=0.41+/-0.12 dlogz:59.726>0.1]
437it [00:16, 17.34it/s, bound:0 nc:  9 ncall:2.0e+03 eff:21.5% logz=0.50+/-0.12 dlogz:59.642>0.1]
439it [00:17, 16.33it/s, bound:0 nc:  8 ncall:2.0e+03 eff:21.5% logz=0.58+/-0.12 dlogz:59.551>0.1]
444it [00:17, 23.83it/s, bound:0 nc:  9 ncall:2.1e+03 eff:21.4% logz=0.77+/-0.12 dlogz:59.341>0.1]
448it [00:17, 25.13it/s, bound:0 nc:  3 ncall:2.1e+03 eff:21.5% logz=0.93+/-0.12 dlogz:59.180>0.1]
451it [00:17, 20.33it/s, bound:0 nc:  4 ncall:2.1e+03 eff:21.2% logz=1.04+/-0.12 dlogz:59.055>0.1]
454it [00:17, 22.24it/s, bound:0 nc:  6 ncall:2.1e+03 eff:21.2% logz=1.15+/-0.12 dlogz:58.936>0.1]
457it [00:17, 16.85it/s, bound:0 nc:  7 ncall:2.2e+03 eff:20.9% logz=1.26+/-0.12 dlogz:58.821>0.1]
460it [00:18, 17.29it/s, bound:0 nc:  4 ncall:2.2e+03 eff:20.7% logz=1.38+/-0.12 dlogz:58.696>0.1]
464it [00:18, 20.47it/s, bound:0 nc: 10 ncall:2.2e+03 eff:20.6% logz=1.53+/-0.12 dlogz:58.537>0.1]
467it [00:18, 21.51it/s, bound:0 nc:  1 ncall:2.3e+03 eff:20.7% logz=1.63+/-0.12 dlogz:58.422>0.1]
473it [00:18, 29.56it/s, bound:0 nc:  4 ncall:2.3e+03 eff:20.7% logz=1.83+/-0.12 dlogz:58.204>0.1]
478it [00:18, 30.48it/s, bound:0 nc:  2 ncall:2.3e+03 eff:20.6% logz=2.00+/-0.12 dlogz:58.030>0.1]
482it [00:18, 29.37it/s, bound:0 nc:  8 ncall:2.4e+03 eff:20.4% logz=2.13+/-0.12 dlogz:57.885>0.1]
486it [00:18, 30.58it/s, bound:0 nc:  3 ncall:2.4e+03 eff:20.4% logz=2.26+/-0.12 dlogz:57.742>0.1]
