
0it [00:00, ?it/s]
1it [00:01,  1.74s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8593.95+/-0.18 dlogz:inf>0.1]
58it [00:01, 43.75it/s, bound:0 nc:  2 ncall:4.6e+02 eff:12.6% logz=-103.75+/-0.18 dlogz:155.032>0.1]
113it [00:01, 93.22it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.2% logz=-28.78+/-0.15 dlogz:80.842>0.1] 
157it [00:02, 132.17it/s, bound:0 nc:  1 ncall:6.0e+02 eff:26.1% logz=-16.23+/-0.13 dlogz:67.944>0.1]
198it [00:02, 170.10it/s, bound:0 nc:  1 ncall:6.7e+02 eff:29.7% logz=-11.30+/-0.13 dlogz:63.316>0.1]
238it [00:02, 190.67it/s, bound:0 nc:  1 ncall:7.4e+02 eff:32.0% logz=-8.68+/-0.12 dlogz:60.539>0.1] 
274it [00:02, 211.19it/s, bound:0 nc:  1 ncall:8.0e+02 eff:34.2% logz=-6.42+/-0.12 dlogz:58.189>0.1]
307it [00:02, 221.73it/s, bound:0 nc:  1 ncall:9.0e+02 eff:34.2% logz=-4.84+/-0.12 dlogz:56.520>0.1]
338it [00:02, 214.99it/s, bound:0 nc:  1 ncall:9.7e+02 eff:34.8% logz=-3.15+/-0.12 dlogz:54.763>0.1]
366it [00:02, 190.45it/s, bound:0 nc:  1 ncall:1.1e+03 eff:34.7% logz=-1.89+/-0.12 dlogz:53.417>0.1]
390it [00:03, 195.22it/s, bound:0 nc:  3 ncall:1.1e+03 eff:34.9% logz=-1.03+/-0.12 dlogz:52.494>0.1]
413it [00:03, 182.23it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.4% logz=-0.34+/-0.11 dlogz:51.733>0.1]
434it [00:03, 185.40it/s, bound:0 nc:  4 ncall:1.2e+03 eff:35.6% logz=0.26+/-0.11 dlogz:51.094>0.1] 
455it [00:03, 171.81it/s, bound:0 nc:  1 ncall:1.3e+03 eff:36.0% logz=0.98+/-0.11 dlogz:50.324>0.1]
474it [00:03, 160.27it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.5% logz=1.59+/-0.12 dlogz:49.659>0.1]
494it [00:03, 151.38it/s, bound:0 nc:  5 ncall:1.4e+03 eff:35.7% logz=2.20+/-0.12 dlogz:49.000>0.1]
510it [00:03, 136.04it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.0% logz=2.70+/-0.12 dlogz:48.461>0.1]
525it [00:04, 129.99it/s, bound:0 nc:  4 ncall:1.5e+03 eff:35.0% logz=3.10+/-0.12 dlogz:48.985>0.1]
542it [00:04, 131.74it/s, bound:0 nc:  8 ncall:1.6e+03 eff:34.6% logz=3.54+/-0.12 dlogz:48.506>0.1]
556it [00:04, 121.59it/s, bound:0 nc:  4 ncall:1.6e+03 eff:34.1% logz=3.90+/-0.12 dlogz:48.114>0.1]
