
0it [00:00, ?it/s]
1it [00:08,  8.65s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-4933.25+/-0.18 dlogz:inf>0.1]
20it [00:08,  3.20it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.8% logz=-2746.94+/-0.18 dlogz:2811.804>0.1]
38it [00:08,  7.20it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.6% logz=-2360.70+/-0.18 dlogz:2431.741>0.1]
57it [00:08, 12.86it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-1927.70+/-0.18 dlogz:2005.149>0.1]
73it [00:09, 18.67it/s, bound:0 nc:  2 ncall:4.8e+02 eff:15.2% logz=-1605.56+/-0.18 dlogz:1665.428>0.1]
89it [00:09, 25.78it/s, bound:0 nc:  2 ncall:5.0e+02 eff:17.7% logz=-1373.92+/-0.19 dlogz:1461.086>0.1]
105it [00:09, 33.43it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.2% logz=-1217.74+/-0.19 dlogz:1324.982>0.1]
123it [00:09, 45.55it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.7% logz=-1044.15+/-0.19 dlogz:1116.809>0.1]
137it [00:09, 52.00it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.4% logz=-943.26+/-0.18 dlogz:1001.678>0.1] 
153it [00:09, 63.82it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.3% logz=-804.81+/-0.19 dlogz:866.909>0.1] 
166it [00:10, 58.86it/s, bound:0 nc:  2 ncall:6.0e+02 eff:27.6% logz=-752.31+/-0.19 dlogz:812.763>0.1]
176it [00:10, 58.96it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.3% logz=-709.48+/-0.18 dlogz:768.084>0.1]
191it [00:10, 72.80it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.8% logz=-645.39+/-0.17 dlogz:701.874>0.1]
205it [00:10, 61.39it/s, bound:0 nc:  5 ncall:6.6e+02 eff:31.0% logz=-577.45+/-0.18 dlogz:635.572>0.1]
215it [00:10, 58.97it/s, bound:0 nc:  2 ncall:6.8e+02 eff:31.5% logz=-544.45+/-0.18 dlogz:602.101>0.1]
226it [00:11, 65.59it/s, bound:0 nc:  3 ncall:7.0e+02 eff:32.1% logz=-509.49+/-0.18 dlogz:566.639>0.1]
236it [00:11, 71.13it/s, bound:0 nc:  4 ncall:7.2e+02 eff:32.7% logz=-468.69+/-0.19 dlogz:530.126>0.1]
246it [00:11, 68.76it/s, bound:0 nc:  4 ncall:7.4e+02 eff:33.1% logz=-444.81+/-0.19 dlogz:505.624>0.1]
255it [00:11, 69.77it/s, bound:0 nc:  2 ncall:7.6e+02 eff:33.5% logz=-416.61+/-0.18 dlogz:473.637>0.1]
263it [00:11, 70.18it/s, bound:0 nc:  5 ncall:7.8e+02 eff:33.6% logz=-405.77+/-0.17 dlogz:461.900>0.1]
276it [00:11, 83.96it/s, bound:0 nc:  1 ncall:8.0e+02 eff:34.5% logz=-375.42+/-0.17 dlogz:431.293>0.1]
286it [00:11, 77.84it/s, bound:0 nc:  2 ncall:8.2e+02 eff:34.8% logz=-347.72+/-0.17 dlogz:403.607>0.1]
304it [00:12, 78.88it/s, bound:0 nc:  7 ncall:8.6e+02 eff:35.2% logz=-302.99+/-0.17 dlogz:359.416>0.1]
313it [00:12, 77.04it/s, bound:0 nc:  2 ncall:9.0e+02 eff:35.0% logz=-283.07+/-0.18 dlogz:339.606>0.1]
321it [00:12, 73.23it/s, bound:0 nc:  3 ncall:9.2e+02 eff:35.1% logz=-265.25+/-0.19 dlogz:322.931>0.1]
329it [00:12, 68.65it/s, bound:0 nc:  3 ncall:9.3e+02 eff:35.3% logz=-257.77+/-0.19 dlogz:315.217>0.1]
336it [00:12, 51.78it/s, bound:0 nc:  2 ncall:9.6e+02 eff:34.9% logz=-241.32+/-0.19 dlogz:299.065>0.1]
345it [00:12, 56.16it/s, bound:0 nc:  3 ncall:9.8e+02 eff:35.1% logz=-219.66+/-0.18 dlogz:275.978>0.1]
352it [00:12, 53.59it/s, bound:0 nc:  1 ncall:1.0e+03 eff:35.1% logz=-210.58+/-0.17 dlogz:266.629>0.1]
359it [00:13, 43.76it/s, bound:0 nc:  3 ncall:1.0e+03 eff:35.1% logz=-202.33+/-0.18 dlogz:258.758>0.1]
367it [00:13, 43.59it/s, bound:0 nc:  6 ncall:1.0e+03 eff:35.2% logz=-191.51+/-0.18 dlogz:248.000>0.1]
376it [00:13, 46.94it/s, bound:0 nc:  2 ncall:1.1e+03 eff:35.4% logz=-180.69+/-0.17 dlogz:236.245>0.1]
386it [00:13, 52.52it/s, bound:0 nc:  1 ncall:1.1e+03 eff:35.7% logz=-170.47+/-0.16 dlogz:225.885>0.1]
395it [00:13, 53.54it/s, bound:0 nc:  1 ncall:1.1e+03 eff:35.9% logz=-161.26+/-0.18 dlogz:218.146>0.1]
404it [00:14, 54.22it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.0% logz=-153.46+/-0.17 dlogz:208.915>0.1]
410it [00:14, 49.78it/s, bound:0 nc:  6 ncall:1.1e+03 eff:35.7% logz=-143.50+/-0.17 dlogz:199.260>0.1]
416it [00:14, 46.51it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.7% logz=-139.17+/-0.17 dlogz:194.888>0.1]
424it [00:14, 43.96it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.9% logz=-132.59+/-0.17 dlogz:188.035>0.1]
430it [00:14, 37.99it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.8% logz=-126.32+/-0.18 dlogz:182.668>0.1]
436it [00:14, 36.92it/s, bound:0 nc:  2 ncall:1.2e+03 eff:35.7% logz=-121.85+/-0.17 dlogz:177.385>0.1]
440it [00:15, 36.45it/s, bound:0 nc:  7 ncall:1.2e+03 eff:35.4% logz=-118.76+/-0.17 dlogz:174.572>0.1]
449it [00:15, 36.20it/s, bound:0 nc:  8 ncall:1.3e+03 eff:35.6% logz=-113.93+/-0.16 dlogz:169.178>0.1]
455it [00:15, 33.39it/s, bound:0 nc:  5 ncall:1.3e+03 eff:35.4% logz=-108.48+/-0.18 dlogz:164.508>0.1]
460it [00:15, 29.45it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.3% logz=-103.10+/-0.17 dlogz:158.694>0.1]
469it [00:15, 35.99it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.5% logz=-96.82+/-0.17 dlogz:152.264>0.1] 
474it [00:16, 29.96it/s, bound:0 nc:  3 ncall:1.3e+03 eff:35.3% logz=-93.27+/-0.18 dlogz:149.170>0.1]
478it [00:16, 28.04it/s, bound:0 nc: 10 ncall:1.4e+03 eff:35.0% logz=-90.96+/-0.17 dlogz:146.175>0.1]
482it [00:16, 26.55it/s, bound:0 nc: 12 ncall:1.4e+03 eff:34.7% logz=-88.49+/-0.17 dlogz:143.753>0.1]
485it [00:16, 22.16it/s, bound:0 nc:  5 ncall:1.4e+03 eff:34.5% logz=-87.08+/-0.17 dlogz:142.510>0.1]
488it [00:16, 20.63it/s, bound:0 nc: 16 ncall:1.4e+03 eff:34.0% logz=-85.38+/-0.17 dlogz:140.619>0.1]
491it [00:17, 19.82it/s, bound:0 nc:  1 ncall:1.4e+03 eff:33.9% logz=-84.42+/-0.16 dlogz:139.451>0.1]
497it [00:17, 25.79it/s, bound:0 nc:  4 ncall:1.5e+03 eff:33.9% logz=-80.86+/-0.17 dlogz:136.002>0.1]
501it [00:17, 25.98it/s, bound:0 nc: 12 ncall:1.5e+03 eff:33.8% logz=-78.02+/-0.17 dlogz:133.167>0.1]
508it [00:17, 30.97it/s, bound:0 nc:  4 ncall:1.5e+03 eff:33.8% logz=-73.90+/-0.17 dlogz:129.159>0.1]
514it [00:17, 34.36it/s, bound:0 nc: 11 ncall:1.5e+03 eff:33.6% logz=-68.27+/-0.19 dlogz:125.433>0.1]
519it [00:17, 34.53it/s, bound:0 nc: 11 ncall:1.6e+03 eff:33.5% logz=-63.92+/-0.17 dlogz:119.249>0.1]
524it [00:17, 36.39it/s, bound:0 nc:  9 ncall:1.6e+03 eff:33.5% logz=-60.79+/-0.17 dlogz:115.938>0.1]
529it [00:18, 36.11it/s, bound:0 nc:  8 ncall:1.6e+03 eff:33.4% logz=-58.39+/-0.17 dlogz:113.697>0.1]
533it [00:18, 34.05it/s, bound:0 nc:  1 ncall:1.6e+03 eff:33.3% logz=-54.96+/-0.19 dlogz:111.247>0.1]
539it [00:18, 34.29it/s, bound:0 nc: 11 ncall:1.6e+03 eff:33.1% logz=-51.20+/-0.17 dlogz:106.410>0.1]
544it [00:18, 27.42it/s, bound:0 nc: 14 ncall:1.7e+03 eff:32.9% logz=-48.17+/-0.17 dlogz:103.294>0.1]
548it [00:18, 26.22it/s, bound:0 nc: 18 ncall:1.7e+03 eff:32.8% logz=-45.81+/-0.17 dlogz:100.827>0.1]
552it [00:18, 25.75it/s, bound:0 nc:  7 ncall:1.7e+03 eff:32.7% logz=-43.77+/-0.17 dlogz:98.769>0.1] 
557it [00:19, 29.67it/s, bound:0 nc:  9 ncall:1.7e+03 eff:32.7% logz=-41.37+/-0.17 dlogz:96.410>0.1]
561it [00:19, 26.98it/s, bound:0 nc:  1 ncall:1.7e+03 eff:32.6% logz=-39.81+/-0.17 dlogz:94.740>0.1]
566it [00:19, 28.04it/s, bound:0 nc:  7 ncall:1.7e+03 eff:32.4% logz=-38.40+/-0.16 dlogz:93.171>0.1]
574it [00:19, 26.10it/s, bound:0 nc:  7 ncall:1.8e+03 eff:32.2% logz=-36.12+/-0.16 dlogz:90.980>0.1]
582it [00:19, 29.62it/s, bound:0 nc:  5 ncall:1.8e+03 eff:32.2% logz=-34.29+/-0.16 dlogz:88.959>0.1]
587it [00:20, 29.94it/s, bound:0 nc:  6 ncall:1.8e+03 eff:32.2% logz=-32.02+/-0.17 dlogz:86.892>0.1]
591it [00:20, 26.17it/s, bound:0 nc:  4 ncall:1.8e+03 eff:32.0% logz=-30.91+/-0.16 dlogz:85.607>0.1]
594it [00:20, 24.86it/s, bound:0 nc:  6 ncall:1.9e+03 eff:31.9% logz=-29.78+/-0.17 dlogz:84.722>0.1]
598it [00:20, 25.78it/s, bound:0 nc:  7 ncall:1.9e+03 eff:31.7% logz=-27.73+/-0.17 dlogz:82.632>0.1]
602it [00:20, 25.90it/s, bound:0 nc: 14 ncall:1.9e+03 eff:31.6% logz=-26.45+/-0.16 dlogz:81.169>0.1]
