
0it [00:00, ?it/s]
1it [00:02,  2.04s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-7393.18+/-0.18 dlogz:inf>0.1]
67it [00:02, 42.88it/s, bound:0 nc:  1 ncall:4.8e+02 eff:13.9% logz=-188.14+/-0.17 dlogz:245.055>0.1]
115it [00:02, 79.15it/s, bound:0 nc:  3 ncall:5.4e+02 eff:21.2% logz=-76.60+/-0.17 dlogz:133.585>0.1]
158it [00:02, 114.56it/s, bound:0 nc:  3 ncall:6.0e+02 eff:26.2% logz=-43.56+/-0.14 dlogz:99.170>0.1]
199it [00:02, 151.15it/s, bound:0 nc:  2 ncall:6.6e+02 eff:30.1% logz=-26.13+/-0.15 dlogz:82.500>0.1]
250it [00:02, 199.91it/s, bound:0 nc:  3 ncall:7.4e+02 eff:33.7% logz=-10.76+/-0.15 dlogz:66.941>0.1]
294it [00:02, 233.43it/s, bound:0 nc:  1 ncall:8.2e+02 eff:35.8% logz=-0.81+/-0.14 dlogz:56.582>0.1] 
332it [00:02, 237.81it/s, bound:0 nc:  4 ncall:9.1e+02 eff:36.5% logz=2.98+/-0.13 dlogz:52.707>0.1] 
366it [00:03, 236.32it/s, bound:0 nc:  2 ncall:1.0e+03 eff:36.8% logz=5.50+/-0.13 dlogz:50.451>0.1]
397it [00:03, 220.36it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.6% logz=7.36+/-0.13 dlogz:48.519>0.1]
424it [00:03, 220.99it/s, bound:0 nc:  1 ncall:1.2e+03 eff:36.8% logz=8.78+/-0.12 dlogz:47.010>0.1]
450it [00:03, 203.92it/s, bound:0 nc:  4 ncall:1.2e+03 eff:36.7% logz=10.05+/-0.12 dlogz:45.681>0.1]
473it [00:03, 198.60it/s, bound:0 nc:  2 ncall:1.3e+03 eff:36.5% logz=11.21+/-0.13 dlogz:44.465>0.1]
495it [00:03, 177.73it/s, bound:0 nc:  3 ncall:1.4e+03 eff:36.3% logz=12.41+/-0.13 dlogz:43.202>0.1]
514it [00:03, 153.62it/s, bound:0 nc: 12 ncall:1.4e+03 eff:35.6% logz=13.49+/-0.13 dlogz:42.088>0.1]
531it [00:04, 123.66it/s, bound:0 nc:  8 ncall:1.6e+03 eff:34.3% logz=14.45+/-0.13 dlogz:41.083>0.1]
545it [00:04, 124.39it/s, bound:0 nc:  6 ncall:1.6e+03 eff:33.7% logz=15.15+/-0.13 dlogz:40.337>0.1]
559it [00:04, 127.03it/s, bound:0 nc:  3 ncall:1.7e+03 eff:33.4% logz=15.96+/-0.13 dlogz:39.509>0.1]
573it [00:04, 114.06it/s, bound:0 nc:  1 ncall:1.8e+03 eff:32.7% logz=16.69+/-0.13 dlogz:38.723>0.1]
586it [00:04, 105.17it/s, bound:0 nc: 27 ncall:1.8e+03 eff:32.0% logz=17.24+/-0.13 dlogz:38.138>0.1]
598it [00:04, 104.52it/s, bound:0 nc:  2 ncall:1.9e+03 eff:31.8% logz=17.73+/-0.13 dlogz:37.615>0.1]
609it [00:05, 89.92it/s, bound:0 nc: 10 ncall:1.9e+03 eff:31.4% logz=18.20+/-0.13 dlogz:37.155>0.1] 
619it [00:05, 88.65it/s, bound:0 nc:  6 ncall:2.0e+03 eff:30.8% logz=18.64+/-0.13 dlogz:36.683>0.1]
629it [00:05, 75.31it/s, bound:0 nc:  1 ncall:2.1e+03 eff:30.5% logz=19.11+/-0.13 dlogz:36.189>0.1]
637it [00:05, 73.63it/s, bound:0 nc:  3 ncall:2.1e+03 eff:30.1% logz=19.47+/-0.13 dlogz:35.806>0.1]
645it [00:05, 72.11it/s, bound:0 nc:  6 ncall:2.2e+03 eff:29.9% logz=19.80+/-0.13 dlogz:35.454>0.1]
653it [00:05, 60.79it/s, bound:0 nc:  3 ncall:2.2e+03 eff:29.4% logz=20.11+/-0.13 dlogz:35.127>0.1]
660it [00:05, 53.04it/s, bound:0 nc:  1 ncall:2.3e+03 eff:29.2% logz=20.35+/-0.13 dlogz:34.862>0.1]
666it [00:06, 50.80it/s, bound:0 nc:  1 ncall:2.3e+03 eff:28.9% logz=20.55+/-0.13 dlogz:34.645>0.1]
674it [00:06, 54.96it/s, bound:0 nc:  2 ncall:2.3e+03 eff:28.8% logz=20.85+/-0.13 dlogz:34.334>0.1]
681it [00:06, 56.65it/s, bound:0 nc:  6 ncall:2.4e+03 eff:28.6% logz=21.12+/-0.13 dlogz:34.042>0.1]
689it [00:06, 55.61it/s, bound:0 nc: 16 ncall:2.4e+03 eff:28.3% logz=21.42+/-0.13 dlogz:33.723>0.1]
695it [00:06, 52.07it/s, bound:0 nc:  3 ncall:2.5e+03 eff:28.2% logz=21.65+/-0.13 dlogz:33.478>0.1]
701it [00:06, 44.22it/s, bound:0 nc:  3 ncall:2.5e+03 eff:27.8% logz=21.88+/-0.13 dlogz:33.233>0.1]
707it [00:06, 43.83it/s, bound:0 nc: 10 ncall:2.6e+03 eff:27.6% logz=22.09+/-0.13 dlogz:33.134>0.1]
712it [00:07, 42.21it/s, bound:0 nc:  7 ncall:2.6e+03 eff:27.2% logz=22.28+/-0.13 dlogz:32.935>0.1]
717it [00:07, 39.58it/s, bound:0 nc: 22 ncall:2.7e+03 eff:27.0% logz=22.48+/-0.13 dlogz:32.729>0.1]
723it [00:07, 42.03it/s, bound:0 nc:  9 ncall:2.7e+03 eff:27.0% logz=22.73+/-0.13 dlogz:32.463>0.1]
728it [00:07, 43.15it/s, bound:0 nc:  9 ncall:2.7e+03 eff:26.6% logz=22.94+/-0.13 dlogz:32.239>0.1]
733it [00:07, 39.63it/s, bound:0 nc: 27 ncall:2.8e+03 eff:26.2% logz=23.16+/-0.13 dlogz:32.012>0.1]
738it [00:07, 36.61it/s, bound:0 nc:  5 ncall:2.8e+03 eff:26.0% logz=23.42+/-0.13 dlogz:31.745>0.1]
742it [00:07, 37.18it/s, bound:0 nc:  8 ncall:2.9e+03 eff:25.9% logz=23.62+/-0.14 dlogz:31.529>0.1]
748it [00:07, 40.23it/s, bound:0 nc: 10 ncall:2.9e+03 eff:25.7% logz=23.88+/-0.14 dlogz:31.247>0.1]
756it [00:08, 39.90it/s, bound:0 nc: 25 ncall:3.0e+03 eff:25.5% logz=24.21+/-0.14 dlogz:30.894>0.1]
