
0it [00:00, ?it/s]
1it [00:01,  1.66s/it, bound:0 nc:  8 ncall:4.1e+02 eff:0.2% logz=6.17+/-0.18 dlogz:inf>0.1]
39it [00:01, 30.59it/s, bound:0 nc:  1 ncall:5.2e+02 eff:7.5% logz=14.35+/-0.12 dlogz:33.084>0.1]
73it [00:01, 61.77it/s, bound:0 nc:  3 ncall:6.2e+02 eff:11.7% logz=17.24+/-0.11 dlogz:30.083>0.1]
105it [00:01, 90.73it/s, bound:0 nc:  5 ncall:7.2e+02 eff:14.5% logz=18.80+/-0.11 dlogz:28.426>0.1]
131it [00:02, 105.64it/s, bound:0 nc:  1 ncall:8.4e+02 eff:15.7% logz=19.88+/-0.10 dlogz:27.288>0.1]
154it [00:02, 109.85it/s, bound:0 nc:  1 ncall:9.3e+02 eff:16.5% logz=20.82+/-0.10 dlogz:26.283>0.1]
173it [00:02, 110.34it/s, bound:0 nc:  9 ncall:1.0e+03 eff:17.1% logz=21.63+/-0.11 dlogz:25.431>0.1]
190it [00:02, 117.61it/s, bound:0 nc:  5 ncall:1.1e+03 eff:17.6% logz=22.37+/-0.11 dlogz:24.643>0.1]
206it [00:02, 122.77it/s, bound:0 nc:  1 ncall:1.1e+03 eff:18.4% logz=23.02+/-0.11 dlogz:23.950>0.1]
222it [00:02, 125.44it/s, bound:0 nc:  6 ncall:1.2e+03 eff:18.6% logz=23.60+/-0.11 dlogz:23.429>0.1]
237it [00:03, 119.20it/s, bound:0 nc:  8 ncall:1.3e+03 eff:18.6% logz=24.13+/-0.11 dlogz:22.860>0.1]
251it [00:03, 122.65it/s, bound:0 nc:  4 ncall:1.3e+03 eff:18.8% logz=24.59+/-0.11 dlogz:22.360>0.1]
265it [00:03, 96.58it/s, bound:0 nc:  1 ncall:1.4e+03 eff:18.3% logz=25.10+/-0.11 dlogz:21.819>0.1] 
278it [00:03, 100.60it/s, bound:0 nc: 20 ncall:1.5e+03 eff:18.4% logz=25.56+/-0.11 dlogz:21.325>0.1]
290it [00:03, 89.91it/s, bound:0 nc:  2 ncall:1.6e+03 eff:17.9% logz=25.96+/-0.11 dlogz:20.898>0.1] 
300it [00:03, 86.18it/s, bound:0 nc:  5 ncall:1.7e+03 eff:17.7% logz=26.34+/-0.11 dlogz:20.496>0.1]
310it [00:03, 77.67it/s, bound:0 nc:  8 ncall:1.8e+03 eff:17.6% logz=26.69+/-0.11 dlogz:20.117>0.1]
323it [00:04, 88.48it/s, bound:0 nc: 19 ncall:1.8e+03 eff:17.6% logz=27.12+/-0.11 dlogz:19.654>0.1]
333it [00:04, 77.97it/s, bound:0 nc: 25 ncall:1.9e+03 eff:17.4% logz=27.43+/-0.11 dlogz:19.322>0.1]
342it [00:04, 75.45it/s, bound:0 nc:  3 ncall:2.0e+03 eff:17.4% logz=27.73+/-0.11 dlogz:18.990>0.1]
350it [00:04, 70.99it/s, bound:0 nc:  6 ncall:2.0e+03 eff:17.2% logz=28.00+/-0.11 dlogz:18.703>0.1]
358it [00:04, 68.05it/s, bound:0 nc:  6 ncall:2.1e+03 eff:17.1% logz=28.28+/-0.11 dlogz:18.404>0.1]
365it [00:04, 60.45it/s, bound:0 nc: 17 ncall:2.2e+03 eff:16.8% logz=28.51+/-0.11 dlogz:18.159>0.1]
373it [00:04, 59.66it/s, bound:0 nc: 27 ncall:2.2e+03 eff:16.8% logz=28.73+/-0.11 dlogz:17.913>0.1]
382it [00:05, 64.39it/s, bound:0 nc:  6 ncall:2.3e+03 eff:16.9% logz=28.95+/-0.11 dlogz:17.667>0.1]
393it [00:05, 69.50it/s, bound:0 nc: 16 ncall:2.3e+03 eff:16.9% logz=29.22+/-0.11 dlogz:17.364>0.1]
402it [00:05, 73.15it/s, bound:0 nc:  7 ncall:2.4e+03 eff:17.0% logz=29.45+/-0.11 dlogz:17.116>0.1]
412it [00:05, 76.81it/s, bound:0 nc: 12 ncall:2.4e+03 eff:17.0% logz=29.71+/-0.11 dlogz:16.829>0.1]
420it [00:05, 75.33it/s, bound:0 nc:  1 ncall:2.5e+03 eff:17.1% logz=29.93+/-0.11 dlogz:16.596>0.1]
428it [00:05, 69.95it/s, bound:0 nc:  1 ncall:2.5e+03 eff:16.9% logz=30.13+/-0.11 dlogz:16.367>0.1]
437it [00:05, 71.54it/s, bound:0 nc: 20 ncall:2.6e+03 eff:16.8% logz=30.34+/-0.11 dlogz:16.135>0.1]
445it [00:05, 57.81it/s, bound:0 nc: 13 ncall:2.7e+03 eff:16.6% logz=30.54+/-0.11 dlogz:15.923>0.1]
452it [00:06, 55.01it/s, bound:0 nc: 12 ncall:2.8e+03 eff:16.3% logz=30.70+/-0.11 dlogz:15.743>0.1]
461it [00:06, 54.55it/s, bound:0 nc: 29 ncall:2.8e+03 eff:16.2% logz=30.89+/-0.11 dlogz:15.522>0.1]
467it [00:06, 53.40it/s, bound:0 nc: 11 ncall:2.9e+03 eff:16.1% logz=31.02+/-0.11 dlogz:15.384>0.1]
475it [00:06, 55.64it/s, bound:0 nc:  6 ncall:3.0e+03 eff:16.0% logz=31.17+/-0.11 dlogz:15.207>0.1]
481it [00:06, 46.73it/s, bound:0 nc: 26 ncall:3.1e+03 eff:15.7% logz=31.28+/-0.11 dlogz:15.079>0.1]
487it [00:06, 47.01it/s, bound:0 nc: 22 ncall:3.2e+03 eff:15.4% logz=31.40+/-0.11 dlogz:14.952>0.1]
495it [00:06, 51.25it/s, bound:0 nc:  9 ncall:3.2e+03 eff:15.5% logz=31.54+/-0.11 dlogz:14.785>0.1]
501it [00:07, 50.62it/s, bound:0 nc: 26 ncall:3.3e+03 eff:15.4% logz=31.65+/-0.11 dlogz:14.661>0.1]
507it [00:07, 49.80it/s, bound:0 nc:  6 ncall:3.3e+03 eff:15.4% logz=31.76+/-0.11 dlogz:14.538>0.1]
513it [00:07, 42.74it/s, bound:0 nc: 33 ncall:3.4e+03 eff:15.2% logz=31.86+/-0.11 dlogz:14.417>0.1]
518it [00:07, 37.87it/s, bound:0 nc:  3 ncall:3.5e+03 eff:15.0% logz=31.95+/-0.11 dlogz:14.320>0.1]
522it [00:07, 34.35it/s, bound:0 nc: 16 ncall:3.5e+03 eff:14.9% logz=32.02+/-0.11 dlogz:14.238>0.1]
526it [00:07, 31.42it/s, bound:0 nc:  8 ncall:3.6e+03 eff:14.7% logz=32.10+/-0.11 dlogz:14.156>0.1]
530it [00:08, 30.50it/s, bound:0 nc: 27 ncall:3.6e+03 eff:14.6% logz=32.18+/-0.11 dlogz:14.066>0.1]
534it [00:08, 30.60it/s, bound:0 nc:  3 ncall:3.7e+03 eff:14.5% logz=32.26+/-0.11 dlogz:13.971>0.1]
538it [00:08, 30.32it/s, bound:0 nc: 10 ncall:3.7e+03 eff:14.5% logz=32.34+/-0.11 dlogz:13.882>0.1]
542it [00:08, 19.99it/s, bound:0 nc:  3 ncall:3.8e+03 eff:14.3% logz=32.42+/-0.11 dlogz:13.790>0.1]
550it [00:08, 28.64it/s, bound:0 nc: 10 ncall:3.8e+03 eff:14.4% logz=32.59+/-0.11 dlogz:13.603>0.1]
554it [00:08, 29.12it/s, bound:0 nc:  6 ncall:3.9e+03 eff:14.3% logz=32.67+/-0.11 dlogz:13.510>0.1]
560it [00:09, 33.40it/s, bound:0 nc: 11 ncall:3.9e+03 eff:14.3% logz=32.80+/-0.11 dlogz:13.371>0.1]
565it [00:09, 36.62it/s, bound:0 nc: 20 ncall:3.9e+03 eff:14.3% logz=32.91+/-0.11 dlogz:13.246>0.1]
573it [00:09, 38.68it/s, bound:0 nc: 31 ncall:4.0e+03 eff:14.3% logz=33.08+/-0.11 dlogz:13.059>0.1]
578it [00:09, 23.87it/s, bound:0 nc:  4 ncall:4.1e+03 eff:14.2% logz=33.19+/-0.11 dlogz:12.938>0.1]
582it [00:09, 23.21it/s, bound:0 nc: 30 ncall:4.1e+03 eff:14.1% logz=33.27+/-0.11 dlogz:12.842>0.1]
585it [00:10, 22.56it/s, bound:0 nc:  6 ncall:4.1e+03 eff:14.1% logz=33.34+/-0.11 dlogz:12.768>0.1]
588it [00:10, 14.57it/s, bound:0 nc:  1 ncall:4.2e+03 eff:14.0% logz=33.40+/-0.11 dlogz:12.698>0.1]
591it [00:10, 15.16it/s, bound:0 nc:  8 ncall:4.2e+03 eff:14.0% logz=33.46+/-0.11 dlogz:12.631>0.1]
593it [00:10, 14.35it/s, bound:0 nc:  1 ncall:4.3e+03 eff:13.9% logz=33.50+/-0.11 dlogz:12.586>0.1]
595it [00:11, 13.47it/s, bound:0 nc:  3 ncall:4.3e+03 eff:13.9% logz=33.54+/-0.11 dlogz:12.541>0.1]
597it [00:11, 10.45it/s, bound:0 nc: 44 ncall:4.3e+03 eff:13.8% logz=33.58+/-0.11 dlogz:12.496>0.1]
599it [00:11, 10.31it/s, bound:0 nc: 20 ncall:4.3e+03 eff:13.8% logz=33.62+/-0.11 dlogz:12.452>0.1]
601it [00:11, 11.30it/s, bound:0 nc: 16 ncall:4.4e+03 eff:13.8% logz=33.65+/-0.11 dlogz:12.409>0.1]
603it [00:11, 10.62it/s, bound:0 nc:  1 ncall:4.4e+03 eff:13.7% logz=33.69+/-0.11 dlogz:12.367>0.1]
605it [00:12,  9.99it/s, bound:0 nc: 25 ncall:4.4e+03 eff:13.6% logz=33.73+/-0.11 dlogz:12.326>0.1]
607it [00:12, 11.40it/s, bound:0 nc:  8 ncall:4.5e+03 eff:13.6% logz=33.76+/-0.11 dlogz:12.285>0.1]
609it [00:12,  8.22it/s, bound:0 nc: 51 ncall:4.5e+03 eff:13.5% logz=33.80+/-0.11 dlogz:12.244>0.1]
