
0it [00:00, ?it/s]
1it [00:09,  9.53s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-255.15+/-0.18 dlogz:inf>0.1]
11it [00:09,  1.57it/s, bound:0 nc:  6 ncall:4.2e+02 eff:2.6% logz=-167.16+/-0.18 dlogz:241.321>0.1]
18it [00:09,  2.97it/s, bound:0 nc:  2 ncall:4.4e+02 eff:4.1% logz=-147.01+/-0.17 dlogz:210.299>0.1]
27it [00:09,  5.41it/s, bound:0 nc:  7 ncall:4.7e+02 eff:5.8% logz=-133.54+/-0.16 dlogz:196.167>0.1]
36it [00:10,  8.39it/s, bound:0 nc:  4 ncall:5.0e+02 eff:7.2% logz=-125.78+/-0.17 dlogz:189.259>0.1]
43it [00:10, 11.39it/s, bound:0 nc:  4 ncall:5.2e+02 eff:8.3% logz=-116.48+/-0.15 dlogz:178.750>0.1]
52it [00:10, 15.71it/s, bound:0 nc:  1 ncall:5.4e+02 eff:9.6% logz=-104.59+/-0.16 dlogz:167.292>0.1]
58it [00:10, 18.96it/s, bound:0 nc:  3 ncall:5.7e+02 eff:10.2% logz=-100.40+/-0.15 dlogz:162.649>0.1]
64it [00:10, 21.71it/s, bound:0 nc:  5 ncall:5.9e+02 eff:10.8% logz=-96.99+/-0.15 dlogz:159.080>0.1] 
69it [00:10, 22.71it/s, bound:0 nc:  3 ncall:6.2e+02 eff:11.2% logz=-91.05+/-0.17 dlogz:153.896>0.1]
74it [00:11, 23.83it/s, bound:0 nc:  3 ncall:6.4e+02 eff:11.6% logz=-80.95+/-0.17 dlogz:143.651>0.1]
78it [00:11, 24.50it/s, bound:0 nc:  3 ncall:6.5e+02 eff:12.1% logz=-78.54+/-0.15 dlogz:140.597>0.1]
88it [00:11, 31.74it/s, bound:0 nc:  2 ncall:6.8e+02 eff:12.9% logz=-70.38+/-0.17 dlogz:133.373>0.1]
97it [00:11, 35.36it/s, bound:0 nc:  8 ncall:7.2e+02 eff:13.4% logz=-65.26+/-0.15 dlogz:127.159>0.1]
112it [00:11, 49.35it/s, bound:0 nc:  2 ncall:7.6e+02 eff:14.7% logz=-58.73+/-0.15 dlogz:120.666>0.1]
118it [00:11, 44.47it/s, bound:0 nc:  1 ncall:7.8e+02 eff:15.1% logz=-56.46+/-0.15 dlogz:118.479>0.1]
132it [00:12, 51.22it/s, bound:0 nc: 10 ncall:8.3e+02 eff:16.0% logz=-45.41+/-0.16 dlogz:107.706>0.1]
138it [00:12, 48.59it/s, bound:0 nc:  1 ncall:8.5e+02 eff:16.3% logz=-42.88+/-0.15 dlogz:104.763>0.1]
149it [00:12, 54.37it/s, bound:0 nc:  6 ncall:8.8e+02 eff:16.8% logz=-38.37+/-0.15 dlogz:100.173>0.1]
156it [00:12, 44.79it/s, bound:0 nc: 13 ncall:9.3e+02 eff:16.7% logz=-35.16+/-0.15 dlogz:96.903>0.1] 
161it [00:13, 34.51it/s, bound:0 nc:  2 ncall:9.7e+02 eff:16.7% logz=-32.19+/-0.16 dlogz:94.402>0.1]
165it [00:13, 34.94it/s, bound:0 nc:  5 ncall:9.8e+02 eff:16.8% logz=-29.74+/-0.16 dlogz:91.817>0.1]
170it [00:13, 32.17it/s, bound:0 nc:  7 ncall:1.0e+03 eff:16.6% logz=-27.90+/-0.15 dlogz:89.773>0.1]
174it [00:13, 29.98it/s, bound:0 nc:  2 ncall:1.0e+03 eff:16.6% logz=-26.39+/-0.15 dlogz:88.169>0.1]
178it [00:13, 31.44it/s, bound:0 nc:  9 ncall:1.1e+03 eff:16.8% logz=-25.47+/-0.14 dlogz:87.053>0.1]
187it [00:13, 36.90it/s, bound:0 nc:  5 ncall:1.1e+03 eff:17.0% logz=-23.77+/-0.14 dlogz:85.360>0.1]
194it [00:14, 33.73it/s, bound:0 nc:  4 ncall:1.1e+03 eff:17.0% logz=-22.06+/-0.14 dlogz:83.673>0.1]
200it [00:14, 33.31it/s, bound:0 nc:  6 ncall:1.2e+03 eff:17.2% logz=-19.24+/-0.16 dlogz:81.237>0.1]
204it [00:14, 20.33it/s, bound:0 nc:  9 ncall:1.2e+03 eff:17.0% logz=-17.36+/-0.15 dlogz:79.065>0.1]
207it [00:14, 19.84it/s, bound:0 nc:  3 ncall:1.2e+03 eff:16.9% logz=-16.65+/-0.15 dlogz:78.174>0.1]
211it [00:15, 20.45it/s, bound:0 nc:  8 ncall:1.2e+03 eff:17.0% logz=-15.85+/-0.14 dlogz:77.389>0.1]
217it [00:15, 23.33it/s, bound:0 nc:  9 ncall:1.3e+03 eff:17.1% logz=-13.84+/-0.15 dlogz:75.382>0.1]
220it [00:15, 22.43it/s, bound:0 nc: 11 ncall:1.3e+03 eff:17.1% logz=-13.26+/-0.14 dlogz:74.806>0.1]
228it [00:15, 31.66it/s, bound:0 nc:  4 ncall:1.3e+03 eff:17.5% logz=-11.80+/-0.14 dlogz:73.432>0.1]
234it [00:15, 32.70it/s, bound:0 nc: 14 ncall:1.3e+03 eff:17.6% logz=-10.17+/-0.14 dlogz:71.706>0.1]
238it [00:15, 30.62it/s, bound:0 nc:  4 ncall:1.4e+03 eff:17.6% logz=-9.39+/-0.14 dlogz:70.891>0.1] 
243it [00:16, 28.62it/s, bound:0 nc:  5 ncall:1.4e+03 eff:17.6% logz=-8.42+/-0.14 dlogz:69.889>0.1]
247it [00:16, 30.08it/s, bound:0 nc:  7 ncall:1.4e+03 eff:17.6% logz=-7.79+/-0.14 dlogz:69.220>0.1]
251it [00:16, 28.63it/s, bound:0 nc:  2 ncall:1.4e+03 eff:17.6% logz=-7.27+/-0.14 dlogz:68.673>0.1]
257it [00:16, 32.97it/s, bound:0 nc:  7 ncall:1.4e+03 eff:17.8% logz=-6.44+/-0.14 dlogz:67.855>0.1]
263it [00:16, 34.00it/s, bound:0 nc:  5 ncall:1.5e+03 eff:18.0% logz=-5.24+/-0.14 dlogz:66.661>0.1]
267it [00:16, 34.12it/s, bound:0 nc: 17 ncall:1.5e+03 eff:17.9% logz=-4.62+/-0.14 dlogz:66.015>0.1]
271it [00:16, 31.22it/s, bound:0 nc:  1 ncall:1.5e+03 eff:17.8% logz=-3.31+/-0.15 dlogz:65.678>0.1]
275it [00:17, 30.07it/s, bound:0 nc:  3 ncall:1.5e+03 eff:18.0% logz=-1.73+/-0.15 dlogz:63.983>0.1]
279it [00:17, 24.51it/s, bound:0 nc: 17 ncall:1.6e+03 eff:17.8% logz=-0.82+/-0.15 dlogz:62.973>0.1]
283it [00:17, 22.98it/s, bound:0 nc: 15 ncall:1.6e+03 eff:17.8% logz=0.06+/-0.15 dlogz:62.078>0.1] 
286it [00:17, 23.89it/s, bound:0 nc:  2 ncall:1.6e+03 eff:17.8% logz=0.62+/-0.14 dlogz:61.495>0.1]
