
0it [00:00, ?it/s]
1it [02:09, 129.14s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-4981.42+/-0.18 dlogz:inf>0.1]
20it [02:10,  4.64s/it, bound:0 nc:  1 ncall:4.2e+02 eff:4.8% logz=-1281.43+/-0.18 dlogz:1409.431>0.1]
38it [02:10,  2.04s/it, bound:0 nc:  1 ncall:4.4e+02 eff:8.6% logz=-760.84+/-0.18 dlogz:833.211>0.1]  
55it [02:11,  1.17s/it, bound:0 nc:  1 ncall:4.6e+02 eff:11.9% logz=-498.45+/-0.18 dlogz:568.355>0.1]
73it [02:12,  1.38it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-267.27+/-0.19 dlogz:336.921>0.1]
90it [02:13,  2.05it/s, bound:0 nc:  2 ncall:5.0e+02 eff:18.0% logz=-150.41+/-0.19 dlogz:217.394>0.1]
107it [02:13,  2.98it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.5% logz=-89.02+/-0.16 dlogz:148.391>0.1]
122it [02:13,  4.11it/s, bound:0 nc:  2 ncall:5.4e+02 eff:22.6% logz=-66.37+/-0.16 dlogz:125.215>0.1]
138it [02:14,  5.55it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.6% logz=-56.78+/-0.16 dlogz:115.664>0.1]
153it [02:15,  7.31it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.3% logz=-52.70+/-0.14 dlogz:111.171>0.1]
167it [02:15,  9.41it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.8% logz=-49.65+/-0.14 dlogz:108.057>0.1]
181it [02:16, 11.05it/s, bound:0 nc:  1 ncall:6.2e+02 eff:29.1% logz=-47.78+/-0.13 dlogz:106.130>0.1]
193it [02:16, 12.50it/s, bound:0 nc:  1 ncall:6.4e+02 eff:30.1% logz=-45.97+/-0.13 dlogz:104.296>0.1]
209it [02:17, 15.92it/s, bound:0 nc:  1 ncall:6.6e+02 eff:31.6% logz=-43.57+/-0.14 dlogz:101.881>0.1]
222it [02:17, 17.78it/s, bound:0 nc:  3 ncall:6.8e+02 eff:32.6% logz=-41.85+/-0.13 dlogz:100.066>0.1]
233it [02:18, 18.76it/s, bound:0 nc:  2 ncall:7.0e+02 eff:33.2% logz=-40.80+/-0.13 dlogz:98.997>0.1] 
243it [02:18, 19.86it/s, bound:0 nc:  3 ncall:7.2e+02 eff:33.6% logz=-39.75+/-0.13 dlogz:97.928>0.1]
252it [02:18, 20.52it/s, bound:0 nc:  3 ncall:7.4e+02 eff:34.0% logz=-38.87+/-0.13 dlogz:100.096>0.1]
263it [02:19, 22.14it/s, bound:0 nc:  1 ncall:7.6e+02 eff:34.6% logz=-37.79+/-0.13 dlogz:99.016>0.1] 
275it [02:19, 23.92it/s, bound:0 nc:  2 ncall:7.8e+02 eff:35.2% logz=-36.30+/-0.13 dlogz:97.522>0.1]
281it [02:20, 22.10it/s, bound:0 nc:  6 ncall:8.0e+02 eff:35.1% logz=-35.54+/-0.13 dlogz:96.723>0.1]
292it [02:20, 23.44it/s, bound:0 nc:  2 ncall:8.2e+02 eff:35.5% logz=-34.48+/-0.13 dlogz:95.622>0.1]
304it [02:20, 25.39it/s, bound:0 nc:  6 ncall:8.4e+02 eff:36.0% logz=-33.33+/-0.13 dlogz:94.427>0.1]
309it [02:21, 22.92it/s, bound:0 nc: 11 ncall:8.6e+02 eff:35.8% logz=-32.88+/-0.13 dlogz:93.963>0.1]
316it [02:21, 23.94it/s, bound:0 nc:  4 ncall:8.8e+02 eff:35.9% logz=-32.36+/-0.13 dlogz:93.408>0.1]
328it [02:21, 28.59it/s, bound:0 nc:  1 ncall:9.0e+02 eff:36.4% logz=-31.62+/-0.13 dlogz:92.631>0.1]
336it [02:22, 30.17it/s, bound:0 nc:  1 ncall:9.2e+02 eff:36.5% logz=-31.10+/-0.12 dlogz:93.579>0.1]
343it [02:22, 27.51it/s, bound:0 nc:  1 ncall:9.4e+02 eff:36.5% logz=-30.59+/-0.13 dlogz:93.047>0.1]
354it [02:22, 25.61it/s, bound:0 nc:  3 ncall:9.6e+02 eff:36.8% logz=-29.77+/-0.13 dlogz:92.204>0.1]
359it [02:23, 15.30it/s, bound:0 nc:  6 ncall:9.8e+02 eff:36.5% logz=-29.43+/-0.13 dlogz:91.847>0.1]
365it [02:24, 10.30it/s, bound:0 nc:  2 ncall:1.0e+03 eff:36.5% logz=-28.94+/-0.13 dlogz:91.349>0.1]
372it [02:26,  7.84it/s, bound:0 nc:  9 ncall:1.0e+03 eff:36.3% logz=-28.42+/-0.13 dlogz:90.809>0.1]
379it [02:27,  7.50it/s, bound:0 nc:  6 ncall:1.0e+03 eff:36.3% logz=-27.87+/-0.13 dlogz:90.243>0.1]
385it [02:28,  7.69it/s, bound:0 nc:  5 ncall:1.1e+03 eff:36.2% logz=-27.48+/-0.13 dlogz:89.827>0.1]
391it [02:28,  7.41it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.2% logz=-27.12+/-0.13 dlogz:89.451>0.1]
401it [02:29,  8.99it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.4% logz=-26.49+/-0.13 dlogz:88.803>0.1]
408it [02:30,  9.17it/s, bound:0 nc: 12 ncall:1.1e+03 eff:36.1% logz=-26.03+/-0.13 dlogz:88.326>0.1]
411it [02:31,  7.65it/s, bound:0 nc:  6 ncall:1.1e+03 eff:35.9% logz=-25.84+/-0.13 dlogz:88.119>0.1]
418it [02:31,  8.44it/s, bound:0 nc:  5 ncall:1.2e+03 eff:36.0% logz=-25.42+/-0.13 dlogz:87.681>0.1]
425it [02:32,  8.93it/s, bound:0 nc:  5 ncall:1.2e+03 eff:36.0% logz=-25.02+/-0.13 dlogz:87.268>0.1]
432it [02:33,  8.70it/s, bound:0 nc:  6 ncall:1.2e+03 eff:35.8% logz=-24.57+/-0.13 dlogz:86.809>0.1]
439it [02:34,  8.70it/s, bound:0 nc:  1 ncall:1.2e+03 eff:36.0% logz=-24.09+/-0.13 dlogz:86.306>0.1]
443it [02:35,  7.22it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.7% logz=-23.78+/-0.13 dlogz:85.988>0.1]
453it [02:36,  8.61it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.9% logz=-23.18+/-0.13 dlogz:85.348>0.1]
459it [02:36,  7.90it/s, bound:0 nc:  3 ncall:1.3e+03 eff:35.8% logz=-22.87+/-0.13 dlogz:85.021>0.1]
465it [02:37,  7.49it/s, bound:0 nc:  5 ncall:1.3e+03 eff:35.7% logz=-22.49+/-0.13 dlogz:84.645>0.1]
475it [02:38,  8.62it/s, bound:0 nc:  6 ncall:1.3e+03 eff:35.8% logz=-21.85+/-0.13 dlogz:83.968>0.1]
479it [02:39,  7.25it/s, bound:0 nc:  7 ncall:1.3e+03 eff:35.6% logz=-21.63+/-0.13 dlogz:83.728>0.1]
485it [02:40,  6.68it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.6% logz=-21.30+/-0.13 dlogz:83.387>0.1]
489it [02:41,  6.06it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.4% logz=-21.09+/-0.13 dlogz:83.165>0.1]
497it [02:42,  7.18it/s, bound:0 nc:  6 ncall:1.4e+03 eff:35.4% logz=-20.55+/-0.13 dlogz:82.624>0.1]
504it [02:43,  7.99it/s, bound:0 nc:  7 ncall:1.4e+03 eff:35.3% logz=-20.07+/-0.13 dlogz:82.121>0.1]
508it [02:43,  6.93it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.2% logz=-19.83+/-0.13 dlogz:81.865>0.1]
510it [02:44,  5.27it/s, bound:0 nc: 15 ncall:1.5e+03 eff:34.8% logz=-19.72+/-0.13 dlogz:81.748>0.1]
514it [02:46,  4.46it/s, bound:0 nc:  7 ncall:1.5e+03 eff:34.7% logz=-19.52+/-0.13 dlogz:81.530>0.1]
523it [02:47,  5.88it/s, bound:0 nc:  3 ncall:1.5e+03 eff:34.8% logz=-19.12+/-0.13 dlogz:81.106>0.1]
529it [02:48,  6.20it/s, bound:0 nc:  3 ncall:1.5e+03 eff:34.8% logz=-18.77+/-0.13 dlogz:80.751>0.1]
535it [02:49,  6.07it/s, bound:0 nc:  3 ncall:1.5e+03 eff:34.7% logz=-18.44+/-0.13 dlogz:80.400>0.1]
543it [02:50,  6.76it/s, bound:0 nc:  3 ncall:1.6e+03 eff:34.8% logz=-17.98+/-0.13 dlogz:79.934>0.1]
549it [02:50,  7.33it/s, bound:0 nc:  7 ncall:1.6e+03 eff:34.6% logz=-17.63+/-0.13 dlogz:79.568>0.1]
554it [02:51,  7.43it/s, bound:0 nc:  5 ncall:1.6e+03 eff:34.6% logz=-17.25+/-0.13 dlogz:79.196>0.1]
