
0it [00:00, ?it/s]
1it [03:50, 230.30s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-454.12+/-0.18 dlogz:inf>0.1]
7it [03:51, 24.17s/it, bound:0 nc:  5 ncall:4.2e+02 eff:1.7% logz=-225.63+/-0.18 dlogz:333.578>0.1]
15it [03:51,  8.98s/it, bound:0 nc:  1 ncall:4.4e+02 eff:3.4% logz=-151.95+/-0.18 dlogz:224.975>0.1]
20it [03:52,  5.80s/it, bound:0 nc:  5 ncall:4.6e+02 eff:4.3% logz=-140.40+/-0.17 dlogz:207.642>0.1]
25it [03:53,  3.88s/it, bound:0 nc:  4 ncall:4.8e+02 eff:5.2% logz=-123.35+/-0.18 dlogz:191.624>0.1]
35it [03:53,  2.00s/it, bound:0 nc:  3 ncall:5.0e+02 eff:7.0% logz=-91.28+/-0.18 dlogz:161.161>0.1] 
40it [03:54,  1.52s/it, bound:0 nc:  6 ncall:5.2e+02 eff:7.6% logz=-84.07+/-0.16 dlogz:150.289>0.1]
47it [03:55,  1.03s/it, bound:0 nc: 17 ncall:5.5e+02 eff:8.5% logz=-77.78+/-0.16 dlogz:144.149>0.1]
52it [03:55,  1.27it/s, bound:0 nc:  5 ncall:5.6e+02 eff:9.2% logz=-68.70+/-0.17 dlogz:135.200>0.1]
58it [03:56,  1.75it/s, bound:0 nc:  8 ncall:5.9e+02 eff:9.9% logz=-64.55+/-0.17 dlogz:131.216>0.1]
63it [03:56,  2.19it/s, bound:0 nc:  3 ncall:6.0e+02 eff:10.5% logz=-59.85+/-0.16 dlogz:126.108>0.1]
72it [03:57,  3.31it/s, bound:0 nc:  3 ncall:6.2e+02 eff:11.6% logz=-56.07+/-0.14 dlogz:121.674>0.1]
78it [03:58,  3.92it/s, bound:0 nc:  3 ncall:6.4e+02 eff:12.1% logz=-52.64+/-0.16 dlogz:118.618>0.1]
84it [03:59,  4.59it/s, bound:0 nc: 10 ncall:6.7e+02 eff:12.6% logz=-48.02+/-0.15 dlogz:113.748>0.1]
88it [03:59,  4.72it/s, bound:0 nc:  7 ncall:6.9e+02 eff:12.8% logz=-46.30+/-0.15 dlogz:111.967>0.1]
91it [04:00,  4.82it/s, bound:0 nc: 10 ncall:7.0e+02 eff:12.9% logz=-45.03+/-0.15 dlogz:110.706>0.1]
97it [04:00,  6.00it/s, bound:0 nc:  2 ncall:7.2e+02 eff:13.5% logz=-40.10+/-0.16 dlogz:106.069>0.1]
103it [04:01,  6.71it/s, bound:0 nc: 10 ncall:7.4e+02 eff:13.9% logz=-37.23+/-0.15 dlogz:103.111>0.1]
109it [04:02,  7.01it/s, bound:0 nc:  3 ncall:7.6e+02 eff:14.3% logz=-32.99+/-0.15 dlogz:98.523>0.1] 
