
0it [00:00, ?it/s]
1it [02:31, 151.80s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-570.09+/-0.18 dlogz:inf>0.1]
8it [02:32, 13.93s/it, bound:0 nc:  7 ncall:4.2e+02 eff:1.9% logz=-293.06+/-0.17 dlogz:357.780>0.1]
14it [02:33,  6.68s/it, bound:0 nc:  2 ncall:4.4e+02 eff:3.2% logz=-210.56+/-0.17 dlogz:275.616>0.1]
23it [02:34,  3.19s/it, bound:0 nc:  4 ncall:4.6e+02 eff:5.0% logz=-189.39+/-0.18 dlogz:255.826>0.1]
31it [02:36,  1.99s/it, bound:0 nc:  5 ncall:4.8e+02 eff:6.4% logz=-173.16+/-0.17 dlogz:238.800>0.1]
37it [02:37,  1.44s/it, bound:0 nc:  6 ncall:5.0e+02 eff:7.3% logz=-149.59+/-0.18 dlogz:221.731>0.1]
43it [02:38,  1.08s/it, bound:0 nc:  4 ncall:5.2e+02 eff:8.3% logz=-131.82+/-0.17 dlogz:196.429>0.1]
50it [02:40,  1.26it/s, bound:0 nc:  6 ncall:5.5e+02 eff:9.2% logz=-127.13+/-0.15 dlogz:190.828>0.1]
57it [02:42,  1.62it/s, bound:0 nc:  8 ncall:5.7e+02 eff:10.1% logz=-121.80+/-0.16 dlogz:185.752>0.1]
60it [02:43,  1.67it/s, bound:0 nc: 13 ncall:5.9e+02 eff:10.1% logz=-117.16+/-0.16 dlogz:181.486>0.1]
63it [02:43,  2.04it/s, bound:0 nc:  1 ncall:6.0e+02 eff:10.5% logz=-115.42+/-0.15 dlogz:179.061>0.1]
66it [02:45,  1.90it/s, bound:0 nc:  1 ncall:6.0e+02 eff:11.0% logz=-112.43+/-0.16 dlogz:176.248>0.1]
71it [02:46,  2.32it/s, bound:0 nc:  4 ncall:6.2e+02 eff:11.4% logz=-105.34+/-0.18 dlogz:170.702>0.1]
75it [02:47,  2.72it/s, bound:0 nc:  4 ncall:6.4e+02 eff:11.6% logz=-100.29+/-0.16 dlogz:164.314>0.1]
80it [02:48,  3.23it/s, bound:0 nc:  7 ncall:6.6e+02 eff:12.1% logz=-95.45+/-0.16 dlogz:159.283>0.1] 
86it [02:49,  3.92it/s, bound:0 nc:  1 ncall:6.8e+02 eff:12.6% logz=-91.55+/-0.16 dlogz:155.521>0.1]
93it [02:50,  4.94it/s, bound:0 nc: 10 ncall:7.0e+02 eff:13.2% logz=-87.72+/-0.15 dlogz:151.202>0.1]
