
0it [00:00, ?it/s]
1it [02:54, 174.54s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-678.24+/-0.18 dlogz:inf>0.1]
8it [02:55, 15.96s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.9% logz=-357.71+/-0.18 dlogz:442.532>0.1]
20it [02:55,  4.98s/it, bound:0 nc:  4 ncall:4.4e+02 eff:4.5% logz=-267.67+/-0.18 dlogz:333.779>0.1]
29it [02:56,  2.89s/it, bound:0 nc:  3 ncall:4.6e+02 eff:6.3% logz=-226.04+/-0.18 dlogz:290.924>0.1]
41it [02:59,  1.71s/it, bound:0 nc:  2 ncall:4.8e+02 eff:8.5% logz=-193.38+/-0.18 dlogz:260.132>0.1]
51it [03:00,  1.14s/it, bound:0 nc:  4 ncall:5.0e+02 eff:10.1% logz=-172.14+/-0.16 dlogz:235.552>0.1]
58it [03:00,  1.16it/s, bound:0 nc:  3 ncall:5.2e+02 eff:11.1% logz=-159.47+/-0.16 dlogz:222.193>0.1]
65it [03:01,  1.53it/s, bound:0 nc:  2 ncall:5.4e+02 eff:12.0% logz=-155.61+/-0.16 dlogz:218.531>0.1]
70it [03:02,  1.80it/s, bound:0 nc:  7 ncall:5.6e+02 eff:12.4% logz=-152.61+/-0.15 dlogz:215.146>0.1]
83it [03:03,  2.86it/s, bound:0 nc:  3 ncall:5.8e+02 eff:14.2% logz=-128.55+/-0.16 dlogz:191.219>0.1]
92it [03:04,  3.66it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.3% logz=-124.81+/-0.15 dlogz:188.306>0.1]
99it [03:05,  4.23it/s, bound:0 nc:  2 ncall:6.2e+02 eff:15.9% logz=-119.90+/-0.15 dlogz:183.484>0.1]
107it [03:05,  5.11it/s, bound:0 nc:  6 ncall:6.4e+02 eff:16.6% logz=-112.99+/-0.15 dlogz:176.605>0.1]
114it [03:06,  5.48it/s, bound:0 nc: 13 ncall:6.7e+02 eff:17.0% logz=-109.43+/-0.15 dlogz:173.032>0.1]
120it [03:08,  5.02it/s, bound:0 nc:  2 ncall:6.8e+02 eff:17.6% logz=-105.87+/-0.16 dlogz:169.695>0.1]
127it [03:09,  5.37it/s, bound:0 nc: 13 ncall:7.0e+02 eff:18.0% logz=-101.61+/-0.15 dlogz:165.141>0.1]
131it [03:10,  5.23it/s, bound:0 nc:  7 ncall:7.2e+02 eff:18.1% logz=-99.94+/-0.15 dlogz:163.547>0.1] 
137it [03:11,  5.95it/s, bound:0 nc:  3 ncall:7.4e+02 eff:18.5% logz=-97.75+/-0.15 dlogz:161.093>0.1]
144it [03:11,  7.31it/s, bound:0 nc:  6 ncall:7.6e+02 eff:18.9% logz=-94.03+/-0.15 dlogz:157.510>0.1]
151it [03:12,  8.78it/s, bound:0 nc:  5 ncall:7.8e+02 eff:19.3% logz=-91.51+/-0.15 dlogz:154.871>0.1]
155it [03:12,  8.71it/s, bound:0 nc:  9 ncall:8.0e+02 eff:19.3% logz=-89.19+/-0.15 dlogz:152.797>0.1]
159it [03:12,  8.77it/s, bound:0 nc:  8 ncall:8.2e+02 eff:19.4% logz=-87.67+/-0.15 dlogz:151.014>0.1]
164it [03:13,  8.62it/s, bound:0 nc:  4 ncall:8.4e+02 eff:19.4% logz=-86.13+/-0.15 dlogz:149.544>0.1]
168it [03:14,  7.79it/s, bound:0 nc:  3 ncall:8.6e+02 eff:19.5% logz=-84.46+/-0.15 dlogz:147.906>0.1]
175it [03:14,  9.48it/s, bound:0 nc:  4 ncall:8.8e+02 eff:19.8% logz=-81.77+/-0.15 dlogz:145.113>0.1]
184it [03:15, 12.14it/s, bound:0 nc:  1 ncall:9.0e+02 eff:20.4% logz=-76.74+/-0.16 dlogz:140.530>0.1]
190it [03:15, 12.92it/s, bound:0 nc:  8 ncall:9.2e+02 eff:20.6% logz=-72.79+/-0.16 dlogz:136.416>0.1]
196it [03:15, 12.93it/s, bound:0 nc:  5 ncall:9.4e+02 eff:20.8% logz=-68.87+/-0.16 dlogz:132.426>0.1]
202it [03:16, 13.01it/s, bound:0 nc:  3 ncall:9.6e+02 eff:21.0% logz=-65.95+/-0.15 dlogz:129.208>0.1]
206it [03:16, 11.20it/s, bound:0 nc:  5 ncall:9.8e+02 eff:21.0% logz=-64.80+/-0.15 dlogz:128.089>0.1]
209it [03:17,  9.24it/s, bound:0 nc: 10 ncall:1.0e+03 eff:20.9% logz=-63.88+/-0.15 dlogz:127.047>0.1]
216it [03:18,  9.87it/s, bound:0 nc:  5 ncall:1.0e+03 eff:21.1% logz=-60.79+/-0.15 dlogz:123.943>0.1]
220it [03:18,  7.99it/s, bound:0 nc:  3 ncall:1.0e+03 eff:21.1% logz=-59.64+/-0.15 dlogz:122.750>0.1]
225it [03:19,  7.64it/s, bound:0 nc:  6 ncall:1.1e+03 eff:21.2% logz=-58.29+/-0.15 dlogz:121.447>0.1]
228it [03:20,  6.11it/s, bound:0 nc:  4 ncall:1.1e+03 eff:21.1% logz=-57.28+/-0.15 dlogz:120.472>0.1]
231it [03:22,  4.24it/s, bound:0 nc:  4 ncall:1.1e+03 eff:20.9% logz=-56.27+/-0.15 dlogz:119.454>0.1]
238it [03:23,  4.50it/s, bound:0 nc:  3 ncall:1.1e+03 eff:21.2% logz=-54.41+/-0.15 dlogz:117.594>0.1]
241it [03:24,  4.03it/s, bound:0 nc:  8 ncall:1.1e+03 eff:21.1% logz=-53.60+/-0.15 dlogz:116.835>0.1]
248it [03:26,  3.98it/s, bound:0 nc:  1 ncall:1.2e+03 eff:21.4% logz=-52.08+/-0.14 dlogz:115.195>0.1]
255it [03:27,  4.24it/s, bound:0 nc:  4 ncall:1.2e+03 eff:21.5% logz=-51.02+/-0.14 dlogz:114.081>0.1]
259it [03:29,  3.88it/s, bound:0 nc:  2 ncall:1.2e+03 eff:21.5% logz=-50.36+/-0.14 dlogz:113.446>0.1]
265it [03:30,  4.21it/s, bound:0 nc: 17 ncall:1.2e+03 eff:21.4% logz=-48.37+/-0.15 dlogz:111.672>0.1]
268it [03:31,  3.43it/s, bound:0 nc:  3 ncall:1.2e+03 eff:21.6% logz=-47.52+/-0.15 dlogz:110.627>0.1]
273it [03:33,  3.63it/s, bound:0 nc:  6 ncall:1.3e+03 eff:21.6% logz=-46.44+/-0.15 dlogz:109.497>0.1]
280it [03:34,  4.04it/s, bound:0 nc:  1 ncall:1.3e+03 eff:21.9% logz=-45.22+/-0.14 dlogz:108.228>0.1]
288it [03:35,  4.45it/s, bound:0 nc:  2 ncall:1.3e+03 eff:22.1% logz=-43.57+/-0.14 dlogz:106.605>0.1]
291it [03:37,  3.40it/s, bound:0 nc: 18 ncall:1.3e+03 eff:22.0% logz=-42.92+/-0.14 dlogz:105.946>0.1]
293it [03:39,  2.85it/s, bound:0 nc:  6 ncall:1.3e+03 eff:21.8% logz=-42.38+/-0.15 dlogz:105.470>0.1]
299it [03:40,  3.07it/s, bound:0 nc:  7 ncall:1.4e+03 eff:21.9% logz=-40.26+/-0.15 dlogz:103.543>0.1]
303it [03:42,  2.78it/s, bound:0 nc: 16 ncall:1.4e+03 eff:21.8% logz=-38.97+/-0.15 dlogz:102.022>0.1]
307it [03:44,  2.78it/s, bound:0 nc: 12 ncall:1.4e+03 eff:21.9% logz=-38.09+/-0.15 dlogz:101.069>0.1]
308it [03:44,  2.93it/s, bound:0 nc:  3 ncall:1.4e+03 eff:21.9% logz=-37.83+/-0.15 dlogz:100.860>0.1]
311it [03:45,  2.51it/s, bound:0 nc:  4 ncall:1.4e+03 eff:21.9% logz=-37.24+/-0.15 dlogz:100.175>0.1]
320it [03:47,  3.46it/s, bound:0 nc:  6 ncall:1.4e+03 eff:22.1% logz=-35.42+/-0.15 dlogz:98.340>0.1] 
326it [03:51,  2.49it/s, bound:0 nc: 21 ncall:1.5e+03 eff:22.0% logz=-34.39+/-0.14 dlogz:97.305>0.1]
328it [03:53,  2.06it/s, bound:0 nc: 16 ncall:1.5e+03 eff:21.8% logz=-34.05+/-0.14 dlogz:96.931>0.1]
331it [03:55,  1.96it/s, bound:0 nc:  7 ncall:1.5e+03 eff:21.7% logz=-33.63+/-0.14 dlogz:96.485>0.1]
334it [03:57,  1.77it/s, bound:0 nc:  9 ncall:1.5e+03 eff:21.7% logz=-33.09+/-0.14 dlogz:95.989>0.1]
338it [03:59,  1.94it/s, bound:0 nc: 13 ncall:1.6e+03 eff:21.6% logz=-32.32+/-0.14 dlogz:95.227>0.1]
341it [04:00,  1.94it/s, bound:0 nc:  1 ncall:1.6e+03 eff:21.6% logz=-31.73+/-0.14 dlogz:94.615>0.1]
344it [04:02,  1.93it/s, bound:0 nc: 10 ncall:1.6e+03 eff:21.4% logz=-31.27+/-0.14 dlogz:94.093>0.1]
346it [04:04,  1.67it/s, bound:0 nc:  8 ncall:1.6e+03 eff:21.3% logz=-30.99+/-0.14 dlogz:93.805>0.1]
