
0it [00:00, ?it/s]
1it [03:35, 215.87s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-699.90+/-0.18 dlogz:inf>0.1]
13it [03:36, 11.98s/it, bound:0 nc:  4 ncall:4.2e+02 eff:3.1% logz=-318.59+/-0.18 dlogz:388.156>0.1]
21it [03:37,  6.35s/it, bound:0 nc:  5 ncall:4.4e+02 eff:4.8% logz=-290.73+/-0.18 dlogz:359.502>0.1]
33it [03:38,  3.18s/it, bound:0 nc:  2 ncall:4.6e+02 eff:7.1% logz=-243.70+/-0.18 dlogz:311.122>0.1]
40it [03:39,  2.28s/it, bound:0 nc: 10 ncall:4.8e+02 eff:8.3% logz=-195.22+/-0.18 dlogz:269.277>0.1]
52it [03:39,  1.34s/it, bound:0 nc:  2 ncall:5.0e+02 eff:10.4% logz=-172.29+/-0.18 dlogz:239.692>0.1]
60it [03:40,  1.01it/s, bound:0 nc:  8 ncall:5.2e+02 eff:11.5% logz=-138.29+/-0.18 dlogz:205.748>0.1]
71it [03:42,  1.48it/s, bound:0 nc:  8 ncall:5.4e+02 eff:13.0% logz=-117.40+/-0.17 dlogz:183.786>0.1]
78it [03:42,  1.86it/s, bound:0 nc:  4 ncall:5.6e+02 eff:13.8% logz=-110.37+/-0.15 dlogz:175.874>0.1]
84it [03:43,  2.25it/s, bound:0 nc:  6 ncall:5.8e+02 eff:14.4% logz=-105.16+/-0.16 dlogz:171.038>0.1]
92it [03:44,  3.03it/s, bound:0 nc:  2 ncall:6.0e+02 eff:15.3% logz=-93.68+/-0.16 dlogz:159.686>0.1] 
97it [03:45,  3.33it/s, bound:0 nc:  6 ncall:6.2e+02 eff:15.5% logz=-87.79+/-0.16 dlogz:153.666>0.1]
104it [03:46,  3.79it/s, bound:0 nc:  2 ncall:6.4e+02 eff:16.2% logz=-82.81+/-0.16 dlogz:148.722>0.1]
113it [03:47,  4.66it/s, bound:0 nc:  7 ncall:6.6e+02 eff:17.0% logz=-75.41+/-0.17 dlogz:142.139>0.1]
118it [03:48,  4.94it/s, bound:0 nc:  1 ncall:6.8e+02 eff:17.3% logz=-68.63+/-0.18 dlogz:136.317>0.1]
125it [03:48,  5.95it/s, bound:0 nc:  4 ncall:7.0e+02 eff:17.8% logz=-48.80+/-0.18 dlogz:117.662>0.1]
127it [03:49,  4.91it/s, bound:0 nc:  8 ncall:7.2e+02 eff:17.5% logz=-42.40+/-0.19 dlogz:112.551>0.1]
132it [03:50,  5.75it/s, bound:0 nc:  1 ncall:7.4e+02 eff:17.8% logz=-36.69+/-0.16 dlogz:102.301>0.1]
142it [03:51,  7.98it/s, bound:0 nc:  6 ncall:7.6e+02 eff:18.6% logz=-30.38+/-0.17 dlogz:96.762>0.1] 
150it [03:51,  8.98it/s, bound:0 nc:  2 ncall:7.8e+02 eff:19.2% logz=-25.21+/-0.15 dlogz:90.409>0.1]
158it [03:52, 10.00it/s, bound:0 nc:  7 ncall:8.1e+02 eff:19.6% logz=-19.16+/-0.17 dlogz:85.099>0.1]
163it [03:53,  9.16it/s, bound:0 nc:  5 ncall:8.2e+02 eff:19.8% logz=-15.21+/-0.16 dlogz:80.633>0.1]
173it [03:53, 11.16it/s, bound:0 nc:  5 ncall:8.4e+02 eff:20.5% logz=-10.11+/-0.16 dlogz:75.602>0.1]
179it [03:54, 10.72it/s, bound:0 nc:  4 ncall:8.6e+02 eff:20.8% logz=-7.50+/-0.15 dlogz:72.648>0.1] 
186it [03:54, 11.14it/s, bound:0 nc:  5 ncall:8.8e+02 eff:21.1% logz=-4.61+/-0.15 dlogz:69.922>0.1]
192it [03:55,  9.85it/s, bound:0 nc:  5 ncall:9.0e+02 eff:21.3% logz=-1.96+/-0.15 dlogz:67.099>0.1]
199it [03:56,  9.12it/s, bound:0 nc:  3 ncall:9.2e+02 eff:21.6% logz=0.59+/-0.15 dlogz:64.382>0.1] 
205it [03:57,  7.52it/s, bound:0 nc:  9 ncall:9.4e+02 eff:21.7% logz=1.84+/-0.14 dlogz:63.074>0.1]
