
0it [00:00, ?it/s]
1it [00:57, 57.82s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.2% logz=-6582.96+/-0.18 dlogz:inf>0.1]
5it [00:57,  8.64s/it, bound:0 nc:  4 ncall:4.2e+02 eff:1.2% logz=-435.74+/-0.18 dlogz:588.429>0.1]
9it [00:58,  3.94s/it, bound:0 nc: 12 ncall:4.5e+02 eff:2.0% logz=-235.18+/-0.18 dlogz:307.377>0.1]
12it [00:58,  2.50s/it, bound:0 nc: 10 ncall:4.6e+02 eff:2.6% logz=-217.14+/-0.17 dlogz:274.702>0.1]
15it [00:58,  1.66s/it, bound:0 nc: 15 ncall:4.8e+02 eff:3.1% logz=-188.94+/-0.18 dlogz:258.065>0.1]
20it [00:58,  1.09it/s, bound:0 nc:  4 ncall:4.9e+02 eff:4.1% logz=-158.51+/-0.18 dlogz:219.928>0.1]
23it [00:58,  1.46it/s, bound:0 nc: 12 ncall:5.2e+02 eff:4.5% logz=-147.57+/-0.18 dlogz:206.682>0.1]
26it [00:59,  1.90it/s, bound:0 nc: 21 ncall:5.5e+02 eff:4.7% logz=-136.53+/-0.18 dlogz:196.179>0.1]
28it [00:59,  2.34it/s, bound:0 nc:  8 ncall:5.6e+02 eff:5.0% logz=-134.06+/-0.17 dlogz:190.918>0.1]
32it [00:59,  3.61it/s, bound:0 nc:  1 ncall:5.7e+02 eff:5.6% logz=-120.53+/-0.17 dlogz:177.362>0.1]
37it [00:59,  5.71it/s, bound:0 nc:  5 ncall:5.9e+02 eff:6.3% logz=-112.08+/-0.18 dlogz:174.783>0.1]
40it [00:59,  6.79it/s, bound:0 nc:  2 ncall:6.0e+02 eff:6.6% logz=-99.41+/-0.16 dlogz:158.297>0.1] 
43it [01:00,  8.01it/s, bound:0 nc:  6 ncall:6.2e+02 eff:6.9% logz=-93.11+/-0.16 dlogz:151.987>0.1]
48it [01:00, 11.66it/s, bound:0 nc:  1 ncall:6.4e+02 eff:7.5% logz=-81.73+/-0.18 dlogz:144.600>0.1]
51it [01:00, 13.56it/s, bound:0 nc:  1 ncall:6.5e+02 eff:7.8% logz=-76.75+/-0.17 dlogz:135.956>0.1]
56it [01:00, 18.23it/s, bound:0 nc:  2 ncall:6.6e+02 eff:8.5% logz=-66.44+/-0.17 dlogz:125.857>0.1]
60it [01:00, 19.75it/s, bound:0 nc:  5 ncall:6.8e+02 eff:8.8% logz=-62.11+/-0.16 dlogz:120.754>0.1]
63it [01:00, 19.61it/s, bound:0 nc:  2 ncall:7.0e+02 eff:9.1% logz=-60.04+/-0.15 dlogz:118.576>0.1]
