
0it [00:00, ?it/s]
1it [01:57, 117.74s/it, bound:0 nc: 20 ncall:4.2e+02 eff:0.2% logz=-6.69+/-0.18 dlogz:inf>0.1]
2it [01:57, 48.54s/it, bound:0 nc: 12 ncall:4.3e+02 eff:0.5% logz=-5.59+/-0.17 dlogz:6.686>0.1]
3it [01:58, 26.51s/it, bound:0 nc: 40 ncall:4.7e+02 eff:0.6% logz=-5.08+/-0.16 dlogz:5.589>0.1]
4it [01:58, 16.10s/it, bound:0 nc: 13 ncall:4.8e+02 eff:0.8% logz=-4.75+/-0.15 dlogz:5.079>0.1]
7it [01:58,  6.06s/it, bound:0 nc: 43 ncall:5.4e+02 eff:1.3% logz=-4.13+/-0.14 dlogz:4.295>0.1]
8it [01:58,  4.72s/it, bound:0 nc: 42 ncall:5.8e+02 eff:1.4% logz=-3.99+/-0.14 dlogz:4.129>0.1]
9it [01:59,  3.62s/it, bound:0 nc: 38 ncall:6.2e+02 eff:1.4% logz=-3.86+/-0.14 dlogz:3.987>0.1]
12it [01:59,  1.81s/it, bound:0 nc: 40 ncall:6.7e+02 eff:1.8% logz=-3.57+/-0.13 dlogz:3.654>0.1]
13it [01:59,  1.48s/it, bound:0 nc: 15 ncall:6.9e+02 eff:1.9% logz=-3.48+/-0.13 dlogz:3.565>0.1]
15it [01:59,  1.02s/it, bound:0 nc: 61 ncall:7.6e+02 eff:2.0% logz=-3.34+/-0.13 dlogz:3.407>0.1]
17it [02:00,  1.38it/s, bound:0 nc: 47 ncall:8.2e+02 eff:2.1% logz=-3.21+/-0.13 dlogz:3.271>0.1]
18it [02:12,  3.03s/it, bound:17 nc:4086 ncall:4.9e+03 eff:0.4% logz=-3.15+/-0.13 dlogz:3.210>0.1]
20it [02:35,  6.07s/it, bound:41 nc:5777 ncall:1.1e+04 eff:0.2% logz=-3.05+/-0.12 dlogz:3.098>0.1]
21it [02:57,  9.15s/it, bound:53 nc:3073 ncall:1.4e+04 eff:0.2% logz=-3.00+/-0.12 dlogz:3.047>0.1]
22it [02:57,  7.11s/it, bound:57 nc:  1 ncall:1.5e+04 eff:1.2% logz=-0.81+/-0.05 dlogz:0.805>0.1] 
23it [03:04,  7.20s/it, bound:66 nc:2042 ncall:1.7e+04 eff:0.1% logz=-2.91+/-0.12 dlogz:2.951>0.1]
25it [03:12,  5.96s/it, bound:70 nc:318 ncall:1.9e+04 eff:0.1% logz=-2.83+/-0.12 dlogz:2.865>0.1] 
26it [03:13,  4.63s/it, bound:74 nc:  1 ncall:2.0e+04 eff:2.0% logz=-0.10+/-nan dlogz:0.096>0.1] 
27it [03:20,  5.27s/it, bound:86 nc:3067 ncall:2.3e+04 eff:0.1% logz=-2.75+/-0.12 dlogz:2.786>0.1]
28it [03:26,  5.61s/it, bound:90 nc:1100 ncall:2.4e+04 eff:0.1% logz=-2.71+/-0.12 dlogz:2.748>0.1]
29it [03:27,  4.13s/it, bound:93 nc:937 ncall:2.5e+04 eff:0.1% logz=-2.68+/-0.12 dlogz:2.713>0.1] 
30it [03:36,  5.72s/it, bound:102 nc:2582 ncall:2.7e+04 eff:0.1% logz=-2.65+/-0.11 dlogz:2.678>0.1]
32it [03:57,  7.77s/it, bound:125 nc:5350 ncall:3.3e+04 eff:0.1% logz=-2.58+/-0.11 dlogz:2.613>0.1]
33it [03:57,  5.95s/it, bound:131 nc:1458 ncall:3.4e+04 eff:0.1% logz=-2.55+/-0.11 dlogz:2.582>0.1]
34it [04:05,  6.49s/it, bound:136 nc:1327 ncall:3.6e+04 eff:0.1% logz=-2.52+/-0.11 dlogz:2.552>0.1]
35it [05:12, 22.47s/it, bound:190 nc:13510 ncall:4.9e+04 eff:0.1% logz=-2.50+/-0.11 dlogz:2.523>0.1]
36it [06:31, 38.13s/it, bound:245 nc:13365 ncall:6.3e+04 eff:0.1% logz=-2.47+/-0.11 dlogz:2.495>0.1]
37it [07:27, 43.22s/it, bound:277 nc:7943 ncall:7.1e+04 eff:0.1% logz=-2.44+/-0.11 dlogz:2.467>0.1] 
39it [08:16, 34.86s/it, bound:292 nc:3068 ncall:7.4e+04 eff:0.1% logz=-2.39+/-0.11 dlogz:2.415>0.1]
40it [09:04, 38.03s/it, bound:302 nc:2826 ncall:7.7e+04 eff:0.1% logz=-2.37+/-0.11 dlogz:2.390>0.1]
41it [09:04, 28.29s/it, bound:306 nc:1221 ncall:7.9e+04 eff:0.1% logz=-2.34+/-0.11 dlogz:2.365>0.1]
43it [09:56, 27.25s/it, bound:323 nc:4648 ncall:8.4e+04 eff:0.1% logz=-2.30+/-0.11 dlogz:2.318>0.1]
44it [10:57, 35.18s/it, bound:347 nc:6330 ncall:9.0e+04 eff:0.0% logz=-2.28+/-0.11 dlogz:2.296>0.1]
