
0it [00:00, ?it/s]
1it [00:25, 25.52s/it, bound:0 nc:  6 ncall:4.1e+02 eff:0.2% logz=-1758.33+/-0.18 dlogz:inf>0.1]
10it [00:25,  1.86s/it, bound:0 nc:  9 ncall:4.5e+02 eff:2.2% logz=-283.65+/-0.18 dlogz:351.203>0.1]
20it [00:25,  1.31it/s, bound:0 nc:  8 ncall:4.9e+02 eff:4.1% logz=-169.66+/-0.18 dlogz:252.217>0.1]
27it [00:25,  2.07it/s, bound:0 nc:  1 ncall:5.3e+02 eff:5.1% logz=-143.24+/-0.17 dlogz:204.190>0.1]
35it [00:26,  3.25it/s, bound:0 nc:  5 ncall:5.6e+02 eff:6.2% logz=-127.19+/-0.17 dlogz:187.753>0.1]
41it [00:26,  4.36it/s, bound:0 nc:  1 ncall:6.1e+02 eff:6.8% logz=-111.29+/-0.17 dlogz:172.557>0.1]
47it [00:26,  5.86it/s, bound:0 nc: 27 ncall:6.5e+02 eff:7.3% logz=-102.11+/-0.16 dlogz:162.423>0.1]
59it [00:26, 10.15it/s, bound:0 nc:  3 ncall:6.8e+02 eff:8.7% logz=-90.82+/-0.16 dlogz:150.945>0.1] 
65it [00:26, 12.74it/s, bound:0 nc:  3 ncall:7.1e+02 eff:9.1% logz=-87.78+/-0.15 dlogz:147.522>0.1]
71it [00:26, 15.03it/s, bound:0 nc:  8 ncall:7.5e+02 eff:9.5% logz=-85.87+/-0.14 dlogz:145.513>0.1]
77it [00:27, 18.80it/s, bound:0 nc: 23 ncall:8.0e+02 eff:9.6% logz=-82.51+/-0.15 dlogz:142.271>0.1]
83it [00:32,  3.67it/s, bound:1 nc:203 ncall:1.0e+03 eff:8.1% logz=-79.42+/-0.16 dlogz:139.526>0.1]
97it [00:32,  6.89it/s, bound:7 nc:108 ncall:2.8e+03 eff:3.5% logz=-72.13+/-0.15 dlogz:131.867>0.1]
104it [00:37,  3.38it/s, bound:11 nc:198 ncall:3.9e+03 eff:2.6% logz=-69.02+/-0.15 dlogz:128.632>0.1]
118it [00:37,  5.74it/s, bound:17 nc:133 ncall:5.7e+03 eff:2.1% logz=-64.51+/-0.14 dlogz:124.040>0.1]
126it [00:42,  3.55it/s, bound:21 nc:101 ncall:6.9e+03 eff:1.8% logz=-61.90+/-0.14 dlogz:121.365>0.1]
140it [00:46,  3.34it/s, bound:26 nc:101 ncall:8.8e+03 eff:1.6% logz=-57.26+/-0.15 dlogz:116.856>0.1]
151it [00:46,  4.74it/s, bound:31 nc:193 ncall:1.0e+04 eff:1.5% logz=-53.76+/-0.15 dlogz:113.308>0.1]
160it [00:50,  3.65it/s, bound:35 nc:101 ncall:1.1e+04 eff:1.4% logz=-51.39+/-0.14 dlogz:110.721>0.1]
175it [00:51,  5.84it/s, bound:41 nc:103 ncall:1.3e+04 eff:1.4% logz=-48.60+/-0.14 dlogz:107.817>0.1]
182it [00:54,  4.31it/s, bound:43 nc:101 ncall:1.4e+04 eff:1.3% logz=-47.64+/-0.13 dlogz:106.868>0.1]
198it [00:54,  7.05it/s, bound:49 nc:136 ncall:1.6e+04 eff:1.3% logz=-45.26+/-0.13 dlogz:104.428>0.1]
206it [00:58,  4.65it/s, bound:52 nc:106 ncall:1.6e+04 eff:1.2% logz=-43.32+/-0.14 dlogz:102.492>0.1]
219it [01:01,  4.59it/s, bound:57 nc:101 ncall:1.8e+04 eff:1.2% logz=-41.34+/-0.14 dlogz:100.481>0.1]
233it [01:01,  6.87it/s, bound:62 nc:  1 ncall:1.9e+04 eff:1.6% logz=-26.00+/-0.13 dlogz:84.680>0.1] 
241it [01:03,  5.26it/s, bound:65 nc:101 ncall:2.0e+04 eff:1.2% logz=-38.00+/-0.14 dlogz:97.071>0.1]
256it [01:04,  8.17it/s, bound:70 nc:101 ncall:2.2e+04 eff:1.2% logz=-35.33+/-0.14 dlogz:94.314>0.1]
