
0it [00:00, ?it/s]
1it [00:59, 59.32s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-562.35+/-0.18 dlogz:inf>0.1]
5it [00:59,  8.87s/it, bound:0 nc:  7 ncall:4.2e+02 eff:1.2% logz=-274.92+/-0.18 dlogz:348.066>0.1]
8it [00:59,  4.67s/it, bound:0 nc:  3 ncall:4.4e+02 eff:1.8% logz=-160.36+/-0.18 dlogz:258.603>0.1]
12it [00:59,  2.46s/it, bound:0 nc:  1 ncall:4.4e+02 eff:2.7% logz=-128.70+/-0.18 dlogz:203.304>0.1]
15it [01:00,  1.68s/it, bound:0 nc: 25 ncall:4.8e+02 eff:3.1% logz=-89.39+/-0.17 dlogz:154.303>0.1] 
17it [01:00,  1.30s/it, bound:0 nc:  9 ncall:4.9e+02 eff:3.4% logz=-79.57+/-0.18 dlogz:150.129>0.1]
19it [01:00,  1.00s/it, bound:0 nc: 11 ncall:5.1e+02 eff:3.7% logz=-77.63+/-0.16 dlogz:141.556>0.1]
21it [01:00,  1.33it/s, bound:0 nc:  2 ncall:5.2e+02 eff:4.0% logz=-67.54+/-0.18 dlogz:133.384>0.1]
24it [01:01,  2.02it/s, bound:0 nc:  7 ncall:5.3e+02 eff:4.5% logz=-63.64+/-0.17 dlogz:128.442>0.1]
26it [01:01,  2.56it/s, bound:0 nc: 13 ncall:5.5e+02 eff:4.8% logz=-58.86+/-0.17 dlogz:123.372>0.1]
28it [01:01,  3.07it/s, bound:0 nc: 17 ncall:5.7e+02 eff:4.9% logz=-52.19+/-0.18 dlogz:121.104>0.1]
30it [01:01,  3.68it/s, bound:0 nc:  9 ncall:6.0e+02 eff:5.0% logz=-50.35+/-0.16 dlogz:114.126>0.1]
33it [01:01,  5.21it/s, bound:0 nc: 13 ncall:6.1e+02 eff:5.4% logz=-46.26+/-0.18 dlogz:112.122>0.1]
35it [01:02,  6.35it/s, bound:0 nc:  2 ncall:6.2e+02 eff:5.6% logz=-40.95+/-0.18 dlogz:108.207>0.1]
40it [01:02,  9.46it/s, bound:0 nc: 10 ncall:6.4e+02 eff:6.2% logz=-37.61+/-0.16 dlogz:101.588>0.1]
42it [01:02,  9.91it/s, bound:0 nc:  5 ncall:6.5e+02 eff:6.4% logz=-36.00+/-0.16 dlogz:99.757>0.1] 
45it [01:02, 12.47it/s, bound:0 nc:  4 ncall:6.6e+02 eff:6.8% logz=-33.17+/-0.16 dlogz:97.475>0.1]
49it [01:02, 12.45it/s, bound:0 nc: 21 ncall:6.9e+02 eff:7.1% logz=-26.14+/-0.18 dlogz:92.059>0.1]
51it [01:03, 11.53it/s, bound:0 nc:  6 ncall:7.0e+02 eff:7.3% logz=-23.75+/-0.17 dlogz:88.074>0.1]
53it [01:03, 10.96it/s, bound:0 nc: 15 ncall:7.2e+02 eff:7.4% logz=-20.15+/-0.17 dlogz:84.664>0.1]
