
0it [00:00, ?it/s]
1it [00:16, 16.21s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-15737.58+/-0.18 dlogz:inf>0.1]
7it [00:16,  1.71s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.7% logz=-2943.65+/-0.18 dlogz:4195.001>0.1]
13it [00:16,  1.31it/s, bound:0 nc:  2 ncall:4.2e+02 eff:3.1% logz=-1912.33+/-0.18 dlogz:1989.981>0.1]
19it [00:16,  2.28it/s, bound:0 nc:  4 ncall:4.4e+02 eff:4.3% logz=-1171.02+/-0.18 dlogz:1287.417>0.1]
24it [00:16,  3.40it/s, bound:0 nc:  3 ncall:4.5e+02 eff:5.3% logz=-464.89+/-0.18 dlogz:591.185>0.1]  
30it [00:16,  5.24it/s, bound:0 nc:  3 ncall:4.6e+02 eff:6.5% logz=-313.62+/-0.18 dlogz:440.880>0.1]
35it [00:16,  7.17it/s, bound:0 nc:  2 ncall:4.8e+02 eff:7.3% logz=-242.69+/-0.18 dlogz:336.994>0.1]
42it [00:17, 10.73it/s, bound:0 nc:  2 ncall:4.9e+02 eff:8.6% logz=-208.16+/-0.17 dlogz:268.701>0.1]
47it [00:17, 13.71it/s, bound:0 nc:  4 ncall:5.0e+02 eff:9.4% logz=-159.50+/-0.18 dlogz:236.904>0.1]
53it [00:17, 17.84it/s, bound:0 nc:  2 ncall:5.1e+02 eff:10.3% logz=-143.82+/-0.16 dlogz:203.054>0.1]
59it [00:17, 22.68it/s, bound:0 nc:  3 ncall:5.3e+02 eff:11.2% logz=-108.46+/-0.18 dlogz:169.540>0.1]
65it [00:17, 27.54it/s, bound:0 nc:  1 ncall:5.4e+02 eff:12.1% logz=-87.52+/-0.18 dlogz:148.567>0.1] 
71it [00:17, 27.35it/s, bound:0 nc:  4 ncall:5.6e+02 eff:12.6% logz=-76.17+/-0.18 dlogz:137.994>0.1]
76it [00:17, 27.46it/s, bound:0 nc:  3 ncall:5.8e+02 eff:13.0% logz=-69.62+/-0.16 dlogz:128.817>0.1]
80it [00:18, 28.80it/s, bound:0 nc:  3 ncall:6.0e+02 eff:13.4% logz=-62.08+/-0.17 dlogz:122.236>0.1]
85it [00:18, 30.20it/s, bound:0 nc:  8 ncall:6.1e+02 eff:13.9% logz=-56.49+/-0.17 dlogz:116.415>0.1]
89it [00:18, 27.63it/s, bound:0 nc:  9 ncall:6.3e+02 eff:14.1% logz=-51.63+/-0.16 dlogz:110.685>0.1]
94it [00:18, 29.79it/s, bound:0 nc:  7 ncall:6.5e+02 eff:14.5% logz=-49.01+/-0.15 dlogz:107.793>0.1]
98it [00:18, 29.11it/s, bound:0 nc:  5 ncall:6.6e+02 eff:14.8% logz=-46.90+/-0.16 dlogz:106.422>0.1]
103it [00:18, 32.32it/s, bound:0 nc:  6 ncall:6.8e+02 eff:15.2% logz=-39.23+/-0.16 dlogz:98.240>0.1]
109it [00:18, 37.07it/s, bound:0 nc:  3 ncall:6.9e+02 eff:15.9% logz=-35.71+/-0.16 dlogz:94.907>0.1]
113it [00:19, 33.92it/s, bound:0 nc:  8 ncall:7.0e+02 eff:16.1% logz=-33.61+/-0.15 dlogz:92.295>0.1]
117it [00:19, 34.44it/s, bound:0 nc:  5 ncall:7.1e+02 eff:16.4% logz=-29.73+/-0.17 dlogz:89.075>0.1]
121it [00:19, 33.82it/s, bound:0 nc:  4 ncall:7.3e+02 eff:16.6% logz=-27.05+/-0.16 dlogz:85.914>0.1]
125it [00:19, 34.40it/s, bound:0 nc:  2 ncall:7.4e+02 eff:16.9% logz=-24.26+/-0.16 dlogz:83.342>0.1]
130it [00:19, 37.54it/s, bound:0 nc:  3 ncall:7.5e+02 eff:17.3% logz=-21.90+/-0.15 dlogz:80.831>0.1]
136it [00:19, 41.56it/s, bound:0 nc:  3 ncall:7.6e+02 eff:17.8% logz=-17.97+/-0.16 dlogz:76.715>0.1]
141it [00:19, 42.54it/s, bound:0 nc:  1 ncall:7.7e+02 eff:18.2% logz=-16.29+/-0.15 dlogz:74.844>0.1]
146it [00:19, 40.05it/s, bound:0 nc:  1 ncall:7.9e+02 eff:18.5% logz=-15.30+/-0.14 dlogz:73.753>0.1]
151it [00:20, 41.80it/s, bound:0 nc:  1 ncall:8.0e+02 eff:18.8% logz=-14.02+/-0.14 dlogz:72.552>0.1]
156it [00:20, 39.90it/s, bound:0 nc:  5 ncall:8.2e+02 eff:19.0% logz=-12.67+/-0.14 dlogz:71.206>0.1]
161it [00:20, 41.24it/s, bound:0 nc:  1 ncall:8.3e+02 eff:19.4% logz=-11.29+/-0.14 dlogz:69.738>0.1]
166it [00:20, 30.65it/s, bound:0 nc:  1 ncall:8.6e+02 eff:19.3% logz=-10.51+/-0.14 dlogz:68.870>0.1]
170it [00:20, 32.31it/s, bound:0 nc:  4 ncall:8.7e+02 eff:19.5% logz=-9.97+/-0.13 dlogz:68.315>0.1] 
175it [00:20, 36.03it/s, bound:0 nc:  4 ncall:8.8e+02 eff:19.8% logz=-9.45+/-0.13 dlogz:67.744>0.1]
179it [00:20, 34.59it/s, bound:0 nc:  3 ncall:8.9e+02 eff:20.0% logz=-9.12+/-0.13 dlogz:67.386>0.1]
186it [00:20, 42.98it/s, bound:0 nc:  4 ncall:9.1e+02 eff:20.5% logz=-8.59+/-0.12 dlogz:66.835>0.1]
191it [00:21, 39.55it/s, bound:0 nc:  5 ncall:9.2e+02 eff:20.7% logz=-8.28+/-0.12 dlogz:66.495>0.1]
196it [00:21, 31.67it/s, bound:0 nc:  1 ncall:9.4e+02 eff:20.7% logz=-7.95+/-0.12 dlogz:66.160>0.1]
200it [00:21, 30.78it/s, bound:0 nc:  2 ncall:9.6e+02 eff:20.7% logz=-7.69+/-0.12 dlogz:65.890>0.1]
204it [00:21, 30.32it/s, bound:0 nc:  1 ncall:9.8e+02 eff:20.9% logz=-7.45+/-0.12 dlogz:65.644>0.1]
208it [00:21, 30.14it/s, bound:0 nc:  6 ncall:9.9e+02 eff:20.9% logz=-7.13+/-0.12 dlogz:65.337>0.1]
212it [00:21, 31.84it/s, bound:0 nc:  1 ncall:1.0e+03 eff:21.1% logz=-6.80+/-0.12 dlogz:64.992>0.1]
216it [00:22, 29.27it/s, bound:0 nc:  6 ncall:1.0e+03 eff:21.1% logz=-6.48+/-0.12 dlogz:64.651>0.1]
220it [00:22, 28.47it/s, bound:0 nc:  5 ncall:1.0e+03 eff:21.2% logz=-6.20+/-0.12 dlogz:64.355>0.1]
225it [00:22, 32.64it/s, bound:0 nc:  4 ncall:1.1e+03 eff:21.4% logz=-5.83+/-0.12 dlogz:63.977>0.1]
229it [00:22, 31.93it/s, bound:0 nc:  4 ncall:1.1e+03 eff:21.6% logz=-5.52+/-0.12 dlogz:63.658>0.1]
233it [00:22, 24.86it/s, bound:0 nc:  9 ncall:1.1e+03 eff:21.4% logz=-5.24+/-0.12 dlogz:63.364>0.1]
237it [00:22, 27.29it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.5% logz=-5.00+/-0.12 dlogz:63.106>0.1]
241it [00:22, 28.92it/s, bound:0 nc:  4 ncall:1.1e+03 eff:21.6% logz=-4.77+/-0.12 dlogz:62.865>0.1]
245it [00:23, 26.69it/s, bound:0 nc:  2 ncall:1.1e+03 eff:21.6% logz=-4.49+/-0.12 dlogz:62.596>0.1]
248it [00:23, 26.96it/s, bound:0 nc:  5 ncall:1.1e+03 eff:21.7% logz=-4.25+/-0.12 dlogz:62.344>0.1]
251it [00:23, 25.95it/s, bound:0 nc:  7 ncall:1.2e+03 eff:21.7% logz=-4.05+/-0.12 dlogz:62.126>0.1]
255it [00:23, 28.76it/s, bound:0 nc:  3 ncall:1.2e+03 eff:21.8% logz=-3.82+/-0.12 dlogz:61.877>0.1]
260it [00:23, 33.16it/s, bound:0 nc:  3 ncall:1.2e+03 eff:22.0% logz=-3.49+/-0.12 dlogz:61.543>0.1]
264it [00:23, 26.66it/s, bound:0 nc:  7 ncall:1.2e+03 eff:22.0% logz=-3.23+/-0.12 dlogz:61.274>0.1]
267it [00:23, 26.87it/s, bound:0 nc:  3 ncall:1.2e+03 eff:22.0% logz=-3.02+/-0.12 dlogz:61.064>0.1]
270it [00:23, 26.49it/s, bound:0 nc:  1 ncall:1.2e+03 eff:22.0% logz=-2.82+/-0.12 dlogz:60.853>0.1]
273it [00:24, 27.27it/s, bound:0 nc:  2 ncall:1.2e+03 eff:22.1% logz=-2.59+/-0.12 dlogz:60.631>0.1]
276it [00:24, 27.22it/s, bound:0 nc:  6 ncall:1.3e+03 eff:22.0% logz=-2.37+/-0.12 dlogz:60.391>0.1]
279it [00:24, 15.57it/s, bound:0 nc:  3 ncall:1.3e+03 eff:21.5% logz=-2.17+/-0.12 dlogz:60.180>0.1]
282it [00:24, 15.97it/s, bound:0 nc:  3 ncall:1.3e+03 eff:21.4% logz=-1.96+/-0.12 dlogz:59.958>0.1]
285it [00:24, 15.30it/s, bound:0 nc:  4 ncall:1.3e+03 eff:21.3% logz=-1.77+/-0.12 dlogz:59.753>0.1]
287it [00:25, 15.13it/s, bound:0 nc:  5 ncall:1.3e+03 eff:21.3% logz=-1.64+/-0.12 dlogz:59.624>0.1]
290it [00:25, 17.62it/s, bound:0 nc:  5 ncall:1.4e+03 eff:21.3% logz=-1.45+/-0.12 dlogz:59.423>0.1]
293it [00:25, 14.92it/s, bound:0 nc: 14 ncall:1.4e+03 eff:21.1% logz=-1.25+/-0.12 dlogz:59.220>0.1]
297it [00:25, 18.18it/s, bound:0 nc:  7 ncall:1.4e+03 eff:21.2% logz=-0.99+/-0.12 dlogz:58.949>0.1]
