
0it [00:00, ?it/s]
1it [00:06,  6.94s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-26023.92+/-0.18 dlogz:inf>0.1]
13it [00:07,  2.55it/s, bound:0 nc:  1 ncall:4.1e+02 eff:3.1% logz=-1848.20+/-0.18 dlogz:2078.913>0.1]
24it [00:07,  5.51it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.6% logz=-620.19+/-0.18 dlogz:697.094>0.1]  
36it [00:07,  9.78it/s, bound:0 nc:  2 ncall:4.4e+02 eff:8.2% logz=-298.22+/-0.18 dlogz:373.464>0.1]
46it [00:07, 14.25it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.2% logz=-252.22+/-0.18 dlogz:304.125>0.1]
56it [00:07, 19.76it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.1% logz=-146.14+/-0.18 dlogz:195.375>0.1]
65it [00:07, 25.48it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.7% logz=-104.82+/-0.17 dlogz:153.088>0.1]
75it [00:07, 32.81it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.5% logz=-74.97+/-0.17 dlogz:123.398>0.1] 
86it [00:07, 42.81it/s, bound:0 nc:  2 ncall:5.0e+02 eff:17.3% logz=-60.14+/-0.17 dlogz:108.697>0.1]
95it [00:08, 48.61it/s, bound:0 nc:  2 ncall:5.1e+02 eff:18.6% logz=-48.10+/-0.16 dlogz:95.750>0.1] 
104it [00:08, 54.45it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.0% logz=-40.06+/-0.15 dlogz:87.340>0.1]
113it [00:08, 60.78it/s, bound:0 nc:  1 ncall:5.4e+02 eff:21.1% logz=-35.73+/-0.15 dlogz:82.973>0.1]
122it [00:08, 59.31it/s, bound:0 nc:  3 ncall:5.5e+02 eff:22.1% logz=-31.16+/-0.15 dlogz:78.441>0.1]
130it [00:08, 61.65it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.1% logz=-26.25+/-0.15 dlogz:73.304>0.1]
139it [00:08, 65.66it/s, bound:0 nc:  1 ncall:5.7e+02 eff:24.3% logz=-22.85+/-0.15 dlogz:69.857>0.1]
147it [00:08, 66.95it/s, bound:0 nc:  2 ncall:5.9e+02 eff:25.1% logz=-21.21+/-0.14 dlogz:68.186>0.1]
155it [00:08, 67.74it/s, bound:0 nc:  1 ncall:6.0e+02 eff:25.9% logz=-19.69+/-0.14 dlogz:66.531>0.1]
163it [00:08, 68.43it/s, bound:0 nc:  3 ncall:6.1e+02 eff:26.7% logz=-18.46+/-0.13 dlogz:65.289>0.1]
171it [00:09, 69.35it/s, bound:0 nc:  1 ncall:6.2e+02 eff:27.5% logz=-17.42+/-0.13 dlogz:64.227>0.1]
