
0it [00:00, ?it/s]
1it [00:04,  4.28s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-6.23+/-0.18 dlogz:inf>0.1]
15it [00:04,  4.74it/s, bound:0 nc:  5 ncall:4.5e+02 eff:3.3% logz=1.67+/-0.14 dlogz:48.220>0.1]
29it [00:04, 10.66it/s, bound:0 nc:  1 ncall:4.9e+02 eff:5.9% logz=3.87+/-0.13 dlogz:45.879>0.1]
43it [00:04, 18.21it/s, bound:0 nc:  3 ncall:5.4e+02 eff:7.9% logz=5.14+/-0.12 dlogz:44.540>0.1]
55it [00:04, 25.69it/s, bound:0 nc:  2 ncall:6.0e+02 eff:9.2% logz=6.19+/-0.12 dlogz:43.467>0.1]
69it [00:04, 36.68it/s, bound:0 nc:  7 ncall:6.4e+02 eff:10.7% logz=7.25+/-0.11 dlogz:42.355>0.1]
84it [00:04, 50.31it/s, bound:0 nc:  7 ncall:6.9e+02 eff:12.1% logz=8.46+/-0.12 dlogz:41.117>0.1]
97it [00:05, 60.05it/s, bound:0 nc:  1 ncall:7.4e+02 eff:13.1% logz=9.48+/-0.12 dlogz:40.052>0.1]
109it [00:05, 64.89it/s, bound:0 nc:  2 ncall:8.1e+02 eff:13.4% logz=10.44+/-0.12 dlogz:39.073>0.1]
120it [00:05, 71.99it/s, bound:0 nc:  5 ncall:8.6e+02 eff:14.0% logz=11.57+/-0.12 dlogz:37.939>0.1]
132it [00:05, 81.25it/s, bound:0 nc:  4 ncall:9.0e+02 eff:14.6% logz=12.84+/-0.12 dlogz:36.637>0.1]
148it [00:05, 98.88it/s, bound:0 nc:  2 ncall:9.5e+02 eff:15.6% logz=14.52+/-0.12 dlogz:34.922>0.1]
161it [00:05, 88.20it/s, bound:0 nc:  1 ncall:1.0e+03 eff:15.6% logz=15.96+/-0.13 dlogz:33.436>0.1]
172it [00:05, 81.30it/s, bound:0 nc:  2 ncall:1.1e+03 eff:15.6% logz=16.83+/-0.12 dlogz:32.510>0.1]
182it [00:06, 76.15it/s, bound:0 nc:  4 ncall:1.2e+03 eff:15.5% logz=17.58+/-0.12 dlogz:31.750>0.1]
191it [00:06, 75.14it/s, bound:0 nc:  3 ncall:1.2e+03 eff:15.5% logz=18.27+/-0.12 dlogz:31.029>0.1]
202it [00:06, 80.91it/s, bound:0 nc:  6 ncall:1.3e+03 eff:15.8% logz=19.07+/-0.12 dlogz:30.201>0.1]
212it [00:06, 84.45it/s, bound:0 nc:  6 ncall:1.3e+03 eff:15.9% logz=19.74+/-0.12 dlogz:29.493>0.1]
221it [00:06, 84.16it/s, bound:0 nc:  1 ncall:1.4e+03 eff:16.0% logz=20.31+/-0.12 dlogz:28.908>0.1]
230it [00:06, 81.47it/s, bound:0 nc:  3 ncall:1.4e+03 eff:16.2% logz=21.10+/-0.12 dlogz:28.108>0.1]
240it [00:06, 81.72it/s, bound:0 nc: 14 ncall:1.5e+03 eff:16.3% logz=21.92+/-0.12 dlogz:27.301>0.1]
249it [00:06, 82.22it/s, bound:0 nc:  2 ncall:1.5e+03 eff:16.3% logz=22.68+/-0.12 dlogz:26.475>0.1]
259it [00:06, 80.07it/s, bound:0 nc: 17 ncall:1.6e+03 eff:16.4% logz=23.35+/-0.12 dlogz:25.779>0.1]
268it [00:07, 66.95it/s, bound:0 nc: 17 ncall:1.7e+03 eff:16.1% logz=24.01+/-0.12 dlogz:25.090>0.1]
281it [00:07, 79.23it/s, bound:0 nc:  5 ncall:1.7e+03 eff:16.4% logz=24.91+/-0.12 dlogz:24.149>0.1]
290it [00:07, 63.30it/s, bound:0 nc:  5 ncall:1.8e+03 eff:15.9% logz=25.39+/-0.12 dlogz:23.633>0.1]
300it [00:07, 70.31it/s, bound:0 nc:  7 ncall:1.9e+03 eff:16.1% logz=25.90+/-0.12 dlogz:23.099>0.1]
308it [00:07, 61.42it/s, bound:0 nc: 27 ncall:2.0e+03 eff:15.8% logz=26.28+/-0.12 dlogz:22.693>0.1]
316it [00:07, 65.15it/s, bound:0 nc: 18 ncall:2.0e+03 eff:15.8% logz=26.63+/-0.12 dlogz:22.321>0.1]
324it [00:07, 66.86it/s, bound:0 nc:  4 ncall:2.1e+03 eff:15.8% logz=26.97+/-0.12 dlogz:21.967>0.1]
332it [00:08, 59.89it/s, bound:0 nc:  5 ncall:2.1e+03 eff:15.6% logz=27.39+/-0.12 dlogz:21.527>0.1]
342it [00:08, 63.89it/s, bound:0 nc: 23 ncall:2.2e+03 eff:15.6% logz=27.85+/-0.12 dlogz:21.040>0.1]
350it [00:08, 63.61it/s, bound:0 nc: 19 ncall:2.3e+03 eff:15.5% logz=28.21+/-0.12 dlogz:20.655>0.1]
358it [00:08, 65.94it/s, bound:0 nc: 28 ncall:2.3e+03 eff:15.4% logz=28.53+/-0.12 dlogz:20.313>0.1]
371it [00:08, 81.45it/s, bound:0 nc:  4 ncall:2.4e+03 eff:15.5% logz=29.03+/-0.12 dlogz:19.780>0.1]
382it [00:08, 86.08it/s, bound:0 nc: 11 ncall:2.5e+03 eff:15.5% logz=29.45+/-0.12 dlogz:19.333>0.1]
391it [00:08, 77.50it/s, bound:0 nc:  4 ncall:2.6e+03 eff:15.3% logz=29.77+/-0.12 dlogz:18.991>0.1]
