
0it [00:00, ?it/s]
1it [00:21, 21.74s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8137.16+/-0.18 dlogz:inf>0.1]
5it [00:21,  3.26s/it, bound:0 nc:  1 ncall:4.0e+02 eff:1.2% logz=-4958.56+/-0.18 dlogz:5216.147>0.1]
9it [00:21,  1.49s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.2% logz=-4398.80+/-0.18 dlogz:4796.291>0.1]
15it [00:22,  1.43it/s, bound:0 nc:  2 ncall:4.2e+02 eff:3.6% logz=-4129.71+/-0.18 dlogz:4237.143>0.1]
23it [00:22,  2.80it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.4% logz=-3796.73+/-0.18 dlogz:3925.364>0.1]
27it [00:22,  3.71it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.3% logz=-3606.00+/-0.18 dlogz:3680.420>0.1]
34it [00:22,  5.79it/s, bound:0 nc:  1 ncall:4.4e+02 eff:7.8% logz=-3366.20+/-0.18 dlogz:3457.660>0.1]
38it [00:22,  7.31it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.6% logz=-3255.19+/-0.17 dlogz:3307.912>0.1]
45it [00:22, 10.51it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.0% logz=-2959.35+/-0.18 dlogz:3078.732>0.1]
53it [00:23, 14.70it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.6% logz=-2790.66+/-0.18 dlogz:2936.175>0.1]
57it [00:23, 16.98it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-2708.93+/-0.18 dlogz:2786.903>0.1]
65it [00:23, 21.85it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.9% logz=-2456.23+/-0.18 dlogz:2527.031>0.1]
72it [00:23, 25.17it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.1% logz=-2235.42+/-0.19 dlogz:2294.527>0.1]
76it [00:23, 27.22it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.8% logz=-2161.67+/-0.19 dlogz:2238.737>0.1]
81it [00:23, 31.05it/s, bound:0 nc:  1 ncall:4.9e+02 eff:16.6% logz=-2078.55+/-0.19 dlogz:2137.131>0.1]
86it [00:24, 29.33it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.4% logz=-2028.34+/-0.19 dlogz:2088.310>0.1]
93it [00:24, 31.64it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.6% logz=-1966.49+/-0.17 dlogz:2018.510>0.1]
100it [00:24, 32.99it/s, bound:0 nc:  2 ncall:5.1e+02 eff:19.6% logz=-1869.72+/-0.19 dlogz:1932.975>0.1]
104it [00:24, 29.09it/s, bound:0 nc:  5 ncall:5.2e+02 eff:20.1% logz=-1838.47+/-0.18 dlogz:1891.411>0.1]
108it [00:24, 30.84it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.7% logz=-1764.11+/-0.19 dlogz:1833.581>0.1]
112it [00:24, 27.49it/s, bound:0 nc:  2 ncall:5.3e+02 eff:21.2% logz=-1717.84+/-0.19 dlogz:1783.497>0.1]
118it [00:25, 28.70it/s, bound:0 nc:  2 ncall:5.4e+02 eff:22.0% logz=-1660.72+/-0.18 dlogz:1714.733>0.1]
122it [00:25, 25.97it/s, bound:0 nc:  4 ncall:5.5e+02 eff:22.3% logz=-1584.60+/-0.19 dlogz:1650.017>0.1]
126it [00:25, 24.57it/s, bound:0 nc:  2 ncall:5.5e+02 eff:22.7% logz=-1542.01+/-0.18 dlogz:1595.238>0.1]
129it [00:25, 25.58it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.1% logz=-1496.48+/-0.19 dlogz:1571.904>0.1]
134it [00:25, 26.53it/s, bound:0 nc:  2 ncall:5.6e+02 eff:23.7% logz=-1482.17+/-0.18 dlogz:1534.796>0.1]
138it [00:25, 28.95it/s, bound:0 nc:  3 ncall:5.7e+02 eff:24.2% logz=-1440.04+/-0.19 dlogz:1506.982>0.1]
142it [00:26, 26.17it/s, bound:0 nc:  3 ncall:5.8e+02 eff:24.5% logz=-1402.14+/-0.19 dlogz:1463.687>0.1]
145it [00:26, 26.90it/s, bound:0 nc:  1 ncall:5.8e+02 eff:24.9% logz=-1382.84+/-0.17 dlogz:1434.936>0.1]
149it [00:26, 24.83it/s, bound:0 nc:  1 ncall:5.9e+02 eff:25.3% logz=-1316.00+/-0.18 dlogz:1369.410>0.1]
154it [00:26, 24.94it/s, bound:0 nc:  1 ncall:6.0e+02 eff:25.8% logz=-1258.85+/-0.19 dlogz:1313.345>0.1]
157it [00:26, 25.95it/s, bound:0 nc:  1 ncall:6.0e+02 eff:26.1% logz=-1208.02+/-0.19 dlogz:1267.085>0.1]
160it [00:26, 21.88it/s, bound:0 nc:  5 ncall:6.1e+02 eff:26.1% logz=-1191.15+/-0.19 dlogz:1252.967>0.1]
163it [00:27, 19.65it/s, bound:0 nc:  3 ncall:6.2e+02 eff:26.4% logz=-1186.28+/-0.17 dlogz:1237.917>0.1]
166it [00:27, 21.67it/s, bound:0 nc:  1 ncall:6.2e+02 eff:26.7% logz=-1141.15+/-0.19 dlogz:1196.660>0.1]
