
0it [00:00, ?it/s]
1it [00:48, 48.47s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-558.07+/-0.18 dlogz:inf>0.1]
5it [00:48,  7.25s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.2% logz=-467.20+/-0.18 dlogz:544.708>0.1]
9it [00:48,  3.31s/it, bound:0 nc:  5 ncall:4.3e+02 eff:2.1% logz=-419.09+/-0.18 dlogz:506.010>0.1]
12it [00:48,  2.10s/it, bound:0 nc:  1 ncall:4.4e+02 eff:2.7% logz=-409.91+/-0.17 dlogz:471.750>0.1]
17it [00:49,  1.13s/it, bound:0 nc:  4 ncall:4.5e+02 eff:3.8% logz=-389.82+/-0.16 dlogz:451.458>0.1]
20it [00:49,  1.22it/s, bound:0 nc:  2 ncall:4.5e+02 eff:4.4% logz=-378.16+/-0.18 dlogz:443.536>0.1]
23it [00:49,  1.66it/s, bound:0 nc:  4 ncall:4.6e+02 eff:4.9% logz=-368.65+/-0.17 dlogz:431.242>0.1]
26it [00:49,  2.25it/s, bound:0 nc:  4 ncall:4.8e+02 eff:5.4% logz=-364.58+/-0.17 dlogz:427.247>0.1]
28it [00:49,  2.77it/s, bound:0 nc:  3 ncall:4.9e+02 eff:5.8% logz=-359.40+/-0.17 dlogz:422.132>0.1]
30it [00:50,  3.26it/s, bound:0 nc: 15 ncall:5.0e+02 eff:6.0% logz=-356.79+/-0.16 dlogz:418.499>0.1]
32it [00:50,  3.82it/s, bound:0 nc: 11 ncall:5.2e+02 eff:6.2% logz=-355.54+/-0.16 dlogz:416.716>0.1]
37it [00:50,  6.34it/s, bound:0 nc:  5 ncall:5.3e+02 eff:7.0% logz=-337.93+/-0.18 dlogz:402.620>0.1]
40it [00:50,  8.06it/s, bound:0 nc:  3 ncall:5.4e+02 eff:7.4% logz=-326.87+/-0.18 dlogz:390.137>0.1]
44it [00:50, 10.98it/s, bound:0 nc:  5 ncall:5.5e+02 eff:8.0% logz=-316.00+/-0.18 dlogz:378.798>0.1]
47it [00:51, 11.24it/s, bound:0 nc:  3 ncall:5.6e+02 eff:8.3% logz=-300.65+/-0.17 dlogz:363.123>0.1]
51it [00:51, 14.29it/s, bound:0 nc:  4 ncall:5.7e+02 eff:8.9% logz=-288.92+/-0.18 dlogz:353.887>0.1]
54it [00:51, 13.09it/s, bound:0 nc:  1 ncall:5.8e+02 eff:9.2% logz=-274.74+/-0.18 dlogz:338.214>0.1]
57it [00:51, 14.96it/s, bound:0 nc:  6 ncall:5.9e+02 eff:9.6% logz=-267.70+/-0.17 dlogz:329.296>0.1]
61it [00:51, 18.31it/s, bound:0 nc:  3 ncall:6.0e+02 eff:10.1% logz=-260.04+/-0.17 dlogz:321.914>0.1]
65it [00:51, 18.86it/s, bound:0 nc:  7 ncall:6.1e+02 eff:10.6% logz=-253.54+/-0.17 dlogz:316.050>0.1]
68it [00:52, 19.91it/s, bound:0 nc:  3 ncall:6.2e+02 eff:11.0% logz=-245.37+/-0.17 dlogz:306.936>0.1]
71it [00:52, 15.14it/s, bound:0 nc: 10 ncall:6.4e+02 eff:11.0% logz=-235.33+/-0.18 dlogz:301.885>0.1]
73it [00:52, 13.16it/s, bound:0 nc:  3 ncall:6.6e+02 eff:11.1% logz=-228.02+/-0.18 dlogz:293.030>0.1]
75it [00:52, 12.32it/s, bound:0 nc:  9 ncall:6.6e+02 eff:11.3% logz=-223.30+/-0.18 dlogz:286.442>0.1]
77it [00:52, 11.91it/s, bound:0 nc:  4 ncall:6.8e+02 eff:11.4% logz=-219.85+/-0.17 dlogz:281.443>0.1]
79it [00:53, 12.46it/s, bound:0 nc:  4 ncall:6.9e+02 eff:11.5% logz=-217.84+/-0.16 dlogz:279.489>0.1]
82it [00:53, 15.10it/s, bound:0 nc:  2 ncall:6.9e+02 eff:11.8% logz=-213.13+/-0.18 dlogz:275.863>0.1]
84it [00:53, 15.35it/s, bound:0 nc:  5 ncall:7.0e+02 eff:12.0% logz=-208.25+/-0.18 dlogz:272.012>0.1]
87it [00:53, 17.65it/s, bound:0 nc:  4 ncall:7.1e+02 eff:12.3% logz=-199.78+/-0.17 dlogz:261.505>0.1]
91it [00:53, 21.59it/s, bound:0 nc:  2 ncall:7.2e+02 eff:12.7% logz=-185.84+/-0.16 dlogz:247.009>0.1]
94it [00:53, 17.93it/s, bound:0 nc:  2 ncall:7.3e+02 eff:12.9% logz=-177.96+/-0.18 dlogz:241.124>0.1]
96it [00:53, 17.53it/s, bound:0 nc:  4 ncall:7.4e+02 eff:13.0% logz=-172.92+/-0.18 dlogz:235.931>0.1]
98it [00:54, 16.74it/s, bound:0 nc:  7 ncall:7.5e+02 eff:13.1% logz=-168.17+/-0.18 dlogz:231.120>0.1]
101it [00:54, 18.43it/s, bound:0 nc:  4 ncall:7.6e+02 eff:13.4% logz=-162.80+/-0.17 dlogz:224.368>0.1]
103it [00:54, 17.42it/s, bound:0 nc:  1 ncall:7.6e+02 eff:13.5% logz=-160.39+/-0.17 dlogz:222.204>0.1]
105it [00:54, 11.75it/s, bound:0 nc:  4 ncall:7.8e+02 eff:13.4% logz=-158.09+/-0.16 dlogz:219.579>0.1]
107it [00:54, 12.67it/s, bound:0 nc:  6 ncall:7.9e+02 eff:13.5% logz=-156.01+/-0.16 dlogz:217.224>0.1]
109it [00:55,  6.93it/s, bound:0 nc: 22 ncall:8.3e+02 eff:13.1% logz=-154.73+/-0.16 dlogz:215.754>0.1]
111it [00:55,  6.31it/s, bound:0 nc: 14 ncall:8.5e+02 eff:13.0% logz=-153.85+/-0.15 dlogz:214.658>0.1]
113it [00:55,  7.56it/s, bound:0 nc:  2 ncall:8.6e+02 eff:13.1% logz=-152.75+/-0.15 dlogz:213.690>0.1]
115it [00:56,  8.20it/s, bound:0 nc:  8 ncall:8.7e+02 eff:13.2% logz=-149.87+/-0.18 dlogz:212.647>0.1]
117it [00:56,  9.51it/s, bound:0 nc:  5 ncall:8.8e+02 eff:13.3% logz=-146.24+/-0.18 dlogz:209.203>0.1]
119it [00:56, 10.74it/s, bound:0 nc:  4 ncall:8.9e+02 eff:13.3% logz=-142.85+/-0.18 dlogz:205.433>0.1]
121it [00:56, 11.73it/s, bound:0 nc:  1 ncall:9.0e+02 eff:13.4% logz=-140.83+/-0.16 dlogz:201.901>0.1]
123it [00:56, 11.13it/s, bound:0 nc:  1 ncall:9.1e+02 eff:13.5% logz=-139.78+/-0.16 dlogz:200.678>0.1]
125it [00:56, 12.15it/s, bound:0 nc:  5 ncall:9.2e+02 eff:13.6% logz=-138.60+/-0.16 dlogz:199.504>0.1]
127it [00:57, 12.77it/s, bound:0 nc:  7 ncall:9.3e+02 eff:13.7% logz=-135.88+/-0.18 dlogz:198.478>0.1]
129it [00:57, 13.58it/s, bound:0 nc:  4 ncall:9.3e+02 eff:13.8% logz=-134.08+/-0.16 dlogz:195.118>0.1]
131it [00:57, 11.06it/s, bound:0 nc: 11 ncall:9.5e+02 eff:13.8% logz=-132.16+/-0.17 dlogz:193.860>0.1]
133it [00:57, 12.10it/s, bound:0 nc:  4 ncall:9.6e+02 eff:13.9% logz=-130.38+/-0.16 dlogz:191.400>0.1]
135it [00:57, 13.13it/s, bound:0 nc:  7 ncall:9.7e+02 eff:14.0% logz=-129.10+/-0.16 dlogz:190.111>0.1]
137it [00:57, 13.70it/s, bound:0 nc:  3 ncall:9.7e+02 eff:14.1% logz=-127.91+/-0.16 dlogz:188.741>0.1]
139it [00:57, 13.85it/s, bound:0 nc:  4 ncall:9.8e+02 eff:14.2% logz=-126.59+/-0.16 dlogz:187.851>0.1]
142it [00:58, 16.17it/s, bound:0 nc:  4 ncall:9.9e+02 eff:14.4% logz=-124.03+/-0.16 dlogz:185.014>0.1]
145it [00:58, 17.67it/s, bound:0 nc:  6 ncall:1.0e+03 eff:14.5% logz=-120.15+/-0.16 dlogz:181.008>0.1]
148it [00:58, 16.80it/s, bound:0 nc:  8 ncall:1.0e+03 eff:14.6% logz=-118.69+/-0.16 dlogz:179.565>0.1]
150it [00:58, 16.38it/s, bound:0 nc:  7 ncall:1.0e+03 eff:14.7% logz=-117.72+/-0.15 dlogz:178.503>0.1]
152it [00:58, 10.39it/s, bound:0 nc: 21 ncall:1.0e+03 eff:14.6% logz=-113.63+/-0.17 dlogz:175.254>0.1]
155it [00:59, 12.81it/s, bound:0 nc:  4 ncall:1.1e+03 eff:14.7% logz=-111.59+/-0.16 dlogz:172.426>0.1]
157it [00:59,  8.50it/s, bound:0 nc: 21 ncall:1.1e+03 eff:14.6% logz=-109.17+/-0.17 dlogz:170.935>0.1]
159it [00:59,  9.54it/s, bound:0 nc:  6 ncall:1.1e+03 eff:14.6% logz=-107.71+/-0.16 dlogz:168.571>0.1]
161it [00:59, 10.65it/s, bound:0 nc:  2 ncall:1.1e+03 eff:14.7% logz=-105.78+/-0.16 dlogz:166.830>0.1]
163it [00:59, 10.51it/s, bound:0 nc:  9 ncall:1.1e+03 eff:14.8% logz=-104.51+/-0.16 dlogz:165.396>0.1]
165it [01:00,  9.44it/s, bound:0 nc: 13 ncall:1.1e+03 eff:14.7% logz=-103.69+/-0.15 dlogz:164.289>0.1]
167it [01:00,  8.77it/s, bound:0 nc:  1 ncall:1.1e+03 eff:14.6% logz=-102.81+/-0.16 dlogz:163.664>0.1]
169it [01:00,  8.38it/s, bound:0 nc:  3 ncall:1.2e+03 eff:14.7% logz=-100.35+/-0.17 dlogz:161.543>0.1]
171it [01:00,  8.88it/s, bound:0 nc: 10 ncall:1.2e+03 eff:14.7% logz=-98.60+/-0.16 dlogz:159.590>0.1] 
173it [01:01,  9.02it/s, bound:0 nc:  7 ncall:1.2e+03 eff:14.7% logz=-97.30+/-0.16 dlogz:158.134>0.1]
176it [01:01, 11.67it/s, bound:0 nc:  4 ncall:1.2e+03 eff:14.9% logz=-95.85+/-0.16 dlogz:156.772>0.1]
181it [01:01, 14.41it/s, bound:0 nc: 12 ncall:1.2e+03 eff:15.1% logz=-91.85+/-0.16 dlogz:152.543>0.1]
184it [01:01, 15.91it/s, bound:0 nc:  4 ncall:1.2e+03 eff:15.2% logz=-90.95+/-0.15 dlogz:151.442>0.1]
189it [01:02, 16.99it/s, bound:0 nc: 12 ncall:1.2e+03 eff:15.4% logz=-87.67+/-0.17 dlogz:148.839>0.1]
192it [01:02, 15.00it/s, bound:0 nc: 11 ncall:1.2e+03 eff:15.5% logz=-85.84+/-0.16 dlogz:146.547>0.1]
194it [01:02, 12.57it/s, bound:0 nc: 14 ncall:1.3e+03 eff:15.4% logz=-85.14+/-0.15 dlogz:145.660>0.1]
196it [01:02, 13.07it/s, bound:0 nc:  6 ncall:1.3e+03 eff:15.5% logz=-84.50+/-0.15 dlogz:145.004>0.1]
198it [01:03,  8.68it/s, bound:0 nc: 24 ncall:1.3e+03 eff:15.3% logz=-83.93+/-0.15 dlogz:144.370>0.1]
202it [01:03, 12.05it/s, bound:0 nc:  1 ncall:1.3e+03 eff:15.5% logz=-82.67+/-0.15 dlogz:143.227>0.1]
204it [01:03, 11.52it/s, bound:0 nc: 11 ncall:1.3e+03 eff:15.5% logz=-80.86+/-0.16 dlogz:141.832>0.1]
206it [01:03, 12.28it/s, bound:0 nc:  6 ncall:1.3e+03 eff:15.6% logz=-79.90+/-0.16 dlogz:140.522>0.1]
209it [01:03, 14.68it/s, bound:0 nc:  4 ncall:1.3e+03 eff:15.7% logz=-75.80+/-0.17 dlogz:136.844>0.1]
211it [01:04, 11.72it/s, bound:0 nc: 15 ncall:1.3e+03 eff:15.7% logz=-74.67+/-0.16 dlogz:135.337>0.1]
214it [01:04, 10.52it/s, bound:0 nc: 17 ncall:1.4e+03 eff:15.6% logz=-72.67+/-0.16 dlogz:133.562>0.1]
216it [01:04,  7.86it/s, bound:0 nc: 19 ncall:1.4e+03 eff:15.5% logz=-71.22+/-0.16 dlogz:132.134>0.1]
218it [01:05,  7.72it/s, bound:0 nc:  3 ncall:1.4e+03 eff:15.5% logz=-70.06+/-0.16 dlogz:130.675>0.1]
220it [01:05,  7.26it/s, bound:0 nc: 19 ncall:1.4e+03 eff:15.4% logz=-69.22+/-0.16 dlogz:129.815>0.1]
222it [01:05,  8.45it/s, bound:0 nc:  3 ncall:1.4e+03 eff:15.4% logz=-68.46+/-0.15 dlogz:128.897>0.1]
224it [01:05,  9.61it/s, bound:0 nc:  5 ncall:1.4e+03 eff:15.5% logz=-67.72+/-0.15 dlogz:128.246>0.1]
226it [01:05,  9.62it/s, bound:0 nc: 11 ncall:1.5e+03 eff:15.5% logz=-66.70+/-0.16 dlogz:127.315>0.1]
