
0it [00:00, ?it/s]
1it [00:30, 30.76s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-5803.63+/-0.18 dlogz:inf>0.1]
5it [00:30,  4.61s/it, bound:0 nc:  1 ncall:4.0e+02 eff:1.2% logz=-4483.43+/-0.18 dlogz:5426.633>0.1]
9it [00:31,  2.10s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.2% logz=-3245.47+/-0.18 dlogz:3786.052>0.1]
13it [00:31,  1.19s/it, bound:0 nc:  2 ncall:4.1e+02 eff:3.1% logz=-2666.77+/-0.18 dlogz:2825.583>0.1]
17it [00:31,  1.35it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.1% logz=-2201.01+/-0.18 dlogz:2280.963>0.1]
21it [00:31,  2.04it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-1785.07+/-0.18 dlogz:1847.697>0.1]
25it [00:31,  2.99it/s, bound:0 nc:  1 ncall:4.3e+02 eff:5.9% logz=-1470.13+/-0.18 dlogz:1654.945>0.1]
29it [00:31,  4.26it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.7% logz=-1273.65+/-0.18 dlogz:1379.311>0.1]
33it [00:31,  5.88it/s, bound:0 nc:  1 ncall:4.4e+02 eff:7.6% logz=-1162.71+/-0.18 dlogz:1262.969>0.1]
37it [00:31,  7.74it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.4% logz=-969.74+/-0.18 dlogz:1032.984>0.1] 
41it [00:31, 10.13it/s, bound:0 nc:  1 ncall:4.4e+02 eff:9.3% logz=-863.03+/-0.18 dlogz:960.745>0.1] 
45it [00:32, 12.87it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.1% logz=-728.10+/-0.18 dlogz:844.962>0.1]
49it [00:32, 15.81it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.9% logz=-671.27+/-0.18 dlogz:740.380>0.1]
53it [00:32, 18.76it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.6% logz=-642.29+/-0.18 dlogz:720.605>0.1]
57it [00:32, 18.14it/s, bound:0 nc:  2 ncall:4.6e+02 eff:12.4% logz=-575.11+/-0.18 dlogz:639.969>0.1]
60it [00:32, 19.40it/s, bound:0 nc:  2 ncall:4.6e+02 eff:12.9% logz=-462.48+/-0.18 dlogz:538.582>0.1]
63it [00:32, 20.49it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.4% logz=-424.01+/-0.18 dlogz:487.582>0.1]
67it [00:32, 23.27it/s, bound:0 nc:  1 ncall:4.7e+02 eff:14.2% logz=-382.82+/-0.18 dlogz:445.866>0.1]
70it [00:33, 23.80it/s, bound:0 nc:  2 ncall:4.8e+02 eff:14.7% logz=-362.09+/-0.18 dlogz:428.414>0.1]
73it [00:33, 24.26it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-348.61+/-0.19 dlogz:416.890>0.1]
77it [00:33, 26.80it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.9% logz=-265.83+/-0.19 dlogz:365.666>0.1]
81it [00:33, 28.43it/s, bound:0 nc:  2 ncall:4.9e+02 eff:16.5% logz=-254.99+/-0.18 dlogz:317.320>0.1]
84it [00:33, 27.49it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.0% logz=-230.93+/-0.19 dlogz:296.679>0.1]
88it [00:33, 29.15it/s, bound:0 nc:  1 ncall:5.0e+02 eff:17.7% logz=-206.75+/-0.18 dlogz:270.239>0.1]
92it [00:33, 30.33it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.4% logz=-188.88+/-0.17 dlogz:249.944>0.1]
96it [00:33, 31.31it/s, bound:0 nc:  1 ncall:5.0e+02 eff:19.0% logz=-178.25+/-0.17 dlogz:238.701>0.1]
100it [00:34, 32.12it/s, bound:0 nc:  2 ncall:5.1e+02 eff:19.6% logz=-162.04+/-0.18 dlogz:226.071>0.1]
104it [00:34, 32.65it/s, bound:0 nc:  1 ncall:5.1e+02 eff:20.2% logz=-145.22+/-0.18 dlogz:208.444>0.1]
108it [00:34, 33.22it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.8% logz=-122.96+/-0.17 dlogz:183.587>0.1]
112it [00:34, 25.63it/s, bound:0 nc:  2 ncall:5.2e+02 eff:21.3% logz=-117.81+/-0.17 dlogz:178.405>0.1]
115it [00:34, 25.33it/s, bound:0 nc:  2 ncall:5.3e+02 eff:21.7% logz=-112.83+/-0.17 dlogz:173.244>0.1]
118it [00:34, 25.18it/s, bound:0 nc:  3 ncall:5.4e+02 eff:22.0% logz=-110.69+/-0.16 dlogz:171.109>0.1]
121it [00:34, 25.10it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.4% logz=-105.51+/-0.17 dlogz:166.541>0.1]
124it [00:35, 19.74it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.8% logz=-103.64+/-0.16 dlogz:163.479>0.1]
127it [00:35, 20.93it/s, bound:0 nc:  2 ncall:5.5e+02 eff:23.1% logz=-102.51+/-0.15 dlogz:162.228>0.1]
131it [00:35, 24.28it/s, bound:0 nc:  1 ncall:5.5e+02 eff:23.7% logz=-98.13+/-0.16 dlogz:158.270>0.1] 
134it [00:35, 24.52it/s, bound:0 nc:  3 ncall:5.6e+02 eff:24.0% logz=-96.76+/-0.15 dlogz:156.463>0.1]
137it [00:35, 24.78it/s, bound:0 nc:  3 ncall:5.6e+02 eff:24.3% logz=-95.72+/-0.15 dlogz:155.419>0.1]
140it [00:35, 24.85it/s, bound:0 nc:  1 ncall:5.7e+02 eff:24.7% logz=-94.85+/-0.15 dlogz:154.460>0.1]
143it [00:35, 24.98it/s, bound:0 nc:  1 ncall:5.7e+02 eff:25.1% logz=-94.04+/-0.14 dlogz:153.630>0.1]
147it [00:35, 27.58it/s, bound:0 nc:  1 ncall:5.7e+02 eff:25.7% logz=-93.23+/-0.14 dlogz:152.763>0.1]
150it [00:36, 26.58it/s, bound:0 nc:  2 ncall:5.8e+02 eff:26.0% logz=-92.59+/-0.14 dlogz:152.100>0.1]
153it [00:36, 25.96it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.3% logz=-92.03+/-0.14 dlogz:151.504>0.1]
156it [00:36, 25.68it/s, bound:0 nc:  2 ncall:5.9e+02 eff:26.6% logz=-91.41+/-0.14 dlogz:150.937>0.1]
159it [00:36, 19.61it/s, bound:0 nc:  1 ncall:5.9e+02 eff:26.8% logz=-90.77+/-0.14 dlogz:150.256>0.1]
162it [00:36, 20.95it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.1% logz=-90.22+/-0.14 dlogz:149.677>0.1]
166it [00:36, 23.90it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.6% logz=-89.43+/-0.14 dlogz:148.921>0.1]
170it [00:36, 26.67it/s, bound:0 nc:  1 ncall:6.0e+02 eff:28.1% logz=-88.09+/-0.15 dlogz:147.727>0.1]
173it [00:37, 26.48it/s, bound:0 nc:  1 ncall:6.1e+02 eff:28.4% logz=-87.08+/-0.15 dlogz:146.639>0.1]
176it [00:37, 20.46it/s, bound:0 nc:  5 ncall:6.2e+02 eff:28.5% logz=-86.42+/-0.14 dlogz:145.848>0.1]
179it [00:37, 21.73it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.8% logz=-85.89+/-0.14 dlogz:145.315>0.1]
183it [00:37, 24.78it/s, bound:0 nc:  1 ncall:6.2e+02 eff:29.3% logz=-85.16+/-0.14 dlogz:144.588>0.1]
186it [00:37, 19.52it/s, bound:0 nc:  3 ncall:6.3e+02 eff:29.4% logz=-84.60+/-0.14 dlogz:144.003>0.1]
189it [00:37, 20.71it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.7% logz=-83.94+/-0.14 dlogz:143.376>0.1]
192it [00:37, 21.78it/s, bound:0 nc:  2 ncall:6.4e+02 eff:30.0% logz=-83.34+/-0.14 dlogz:142.726>0.1]
195it [00:38, 22.66it/s, bound:0 nc:  1 ncall:6.5e+02 eff:30.2% logz=-82.72+/-0.14 dlogz:142.138>0.1]
198it [00:38, 23.25it/s, bound:0 nc:  1 ncall:6.5e+02 eff:30.5% logz=-82.19+/-0.14 dlogz:141.553>0.1]
201it [00:38, 23.66it/s, bound:0 nc:  1 ncall:6.5e+02 eff:30.7% logz=-81.72+/-0.14 dlogz:141.076>0.1]
204it [00:38, 23.93it/s, bound:0 nc:  3 ncall:6.6e+02 eff:30.9% logz=-81.08+/-0.14 dlogz:140.503>0.1]
207it [00:38, 24.26it/s, bound:0 nc:  1 ncall:6.6e+02 eff:31.2% logz=-80.24+/-0.14 dlogz:139.716>0.1]
210it [00:38, 24.50it/s, bound:0 nc:  1 ncall:6.7e+02 eff:31.5% logz=-79.53+/-0.14 dlogz:138.899>0.1]
213it [00:38, 24.74it/s, bound:0 nc:  1 ncall:6.7e+02 eff:31.7% logz=-79.05+/-0.14 dlogz:138.346>0.1]
216it [00:38, 24.86it/s, bound:0 nc:  1 ncall:6.7e+02 eff:32.0% logz=-78.67+/-0.14 dlogz:137.946>0.1]
219it [00:39, 24.80it/s, bound:0 nc:  1 ncall:6.8e+02 eff:32.2% logz=-78.30+/-0.14 dlogz:137.566>0.1]
222it [00:39, 24.80it/s, bound:0 nc:  1 ncall:6.8e+02 eff:32.5% logz=-77.85+/-0.14 dlogz:137.156>0.1]
225it [00:39, 19.23it/s, bound:0 nc:  1 ncall:6.9e+02 eff:32.7% logz=-77.38+/-0.14 dlogz:136.652>0.1]
228it [00:39, 20.57it/s, bound:0 nc:  1 ncall:6.9e+02 eff:32.9% logz=-77.01+/-0.13 dlogz:136.255>0.1]
231it [00:39, 21.40it/s, bound:0 nc:  1 ncall:7.0e+02 eff:33.1% logz=-76.63+/-0.13 dlogz:135.867>0.1]
234it [00:39, 17.52it/s, bound:0 nc:  3 ncall:7.0e+02 eff:33.2% logz=-76.23+/-0.13 dlogz:135.468>0.1]
236it [00:40, 17.32it/s, bound:0 nc:  3 ncall:7.1e+02 eff:33.3% logz=-75.99+/-0.13 dlogz:135.211>0.1]
240it [00:40, 21.28it/s, bound:0 nc:  1 ncall:7.1e+02 eff:33.7% logz=-75.40+/-0.13 dlogz:134.686>0.1]
243it [00:40, 22.24it/s, bound:0 nc:  1 ncall:7.2e+02 eff:33.8% logz=-74.60+/-0.14 dlogz:133.974>0.1]
246it [00:40, 22.99it/s, bound:0 nc:  1 ncall:7.2e+02 eff:34.1% logz=-73.89+/-0.14 dlogz:133.177>0.1]
249it [00:40, 23.33it/s, bound:0 nc:  1 ncall:7.3e+02 eff:34.3% logz=-73.37+/-0.14 dlogz:132.600>0.1]
252it [00:40, 23.91it/s, bound:0 nc:  2 ncall:7.3e+02 eff:34.5% logz=-72.94+/-0.14 dlogz:132.141>0.1]
255it [00:40, 24.24it/s, bound:0 nc:  1 ncall:7.3e+02 eff:34.7% logz=-72.53+/-0.14 dlogz:131.711>0.1]
258it [00:40, 24.60it/s, bound:0 nc:  2 ncall:7.4e+02 eff:35.0% logz=-72.03+/-0.14 dlogz:131.238>0.1]
261it [00:40, 24.74it/s, bound:0 nc:  2 ncall:7.4e+02 eff:35.1% logz=-71.58+/-0.14 dlogz:130.761>0.1]
264it [00:41, 24.82it/s, bound:0 nc:  1 ncall:7.5e+02 eff:35.4% logz=-71.10+/-0.14 dlogz:130.274>0.1]
267it [00:41, 24.76it/s, bound:0 nc:  3 ncall:7.5e+02 eff:35.5% logz=-70.72+/-0.14 dlogz:129.866>0.1]
270it [00:41, 15.76it/s, bound:0 nc:  4 ncall:7.6e+02 eff:35.4% logz=-70.30+/-0.14 dlogz:129.458>0.1]
272it [00:41, 15.93it/s, bound:0 nc:  4 ncall:7.7e+02 eff:35.5% logz=-70.03+/-0.14 dlogz:129.169>0.1]
274it [00:41, 16.06it/s, bound:0 nc:  2 ncall:7.7e+02 eff:35.6% logz=-69.74+/-0.14 dlogz:128.892>0.1]
276it [00:41, 16.28it/s, bound:0 nc:  2 ncall:7.7e+02 eff:35.7% logz=-69.44+/-0.14 dlogz:128.595>0.1]
278it [00:42, 16.49it/s, bound:0 nc:  1 ncall:7.8e+02 eff:35.8% logz=-69.13+/-0.14 dlogz:128.289>0.1]
280it [00:42, 16.41it/s, bound:0 nc:  2 ncall:7.8e+02 eff:35.8% logz=-68.82+/-0.14 dlogz:127.959>0.1]
282it [00:42, 12.73it/s, bound:0 nc:  4 ncall:7.9e+02 eff:35.7% logz=-68.55+/-0.14 dlogz:127.662>0.1]
285it [00:42, 15.53it/s, bound:0 nc:  3 ncall:8.0e+02 eff:35.8% logz=-68.12+/-0.14 dlogz:127.249>0.1]
287it [00:42, 15.83it/s, bound:0 nc:  1 ncall:8.0e+02 eff:36.0% logz=-67.83+/-0.14 dlogz:126.941>0.1]
289it [00:42, 15.93it/s, bound:0 nc:  1 ncall:8.0e+02 eff:36.1% logz=-67.60+/-0.14 dlogz:126.677>0.1]
