
0it [00:00, ?it/s]
1it [01:43, 103.07s/it, bound:0 nc:  9 ncall:4.1e+02 eff:0.2% logz=-680.46+/-0.18 dlogz:inf>0.1]
2it [01:43, 42.51s/it, bound:0 nc:  5 ncall:4.1e+02 eff:0.5% logz=-649.90+/-0.18 dlogz:741.311>0.1]
4it [01:43, 15.89s/it, bound:0 nc:  2 ncall:4.2e+02 eff:1.0% logz=-594.44+/-0.18 dlogz:700.330>0.1]
6it [01:43,  8.44s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.4% logz=-382.63+/-0.18 dlogz:529.714>0.1]
8it [01:43,  5.06s/it, bound:0 nc:  3 ncall:4.3e+02 eff:1.9% logz=-314.60+/-0.18 dlogz:423.441>0.1]
10it [01:43,  3.28s/it, bound:0 nc: 13 ncall:4.4e+02 eff:2.3% logz=-266.94+/-0.18 dlogz:346.896>0.1]
12it [01:44,  2.19s/it, bound:0 nc:  5 ncall:4.5e+02 eff:2.7% logz=-255.62+/-0.18 dlogz:324.774>0.1]
14it [01:44,  1.51s/it, bound:0 nc:  6 ncall:4.6e+02 eff:3.0% logz=-243.04+/-0.17 dlogz:305.492>0.1]
15it [01:44,  1.24s/it, bound:0 nc:  2 ncall:4.6e+02 eff:3.2% logz=-241.84+/-0.16 dlogz:303.863>0.1]
17it [01:44,  1.18it/s, bound:0 nc:  6 ncall:4.7e+02 eff:3.6% logz=-239.09+/-0.16 dlogz:300.836>0.1]
20it [01:45,  1.94it/s, bound:0 nc:  8 ncall:4.8e+02 eff:4.2% logz=-223.96+/-0.18 dlogz:287.233>0.1]
22it [01:45,  2.60it/s, bound:0 nc:  2 ncall:4.8e+02 eff:4.6% logz=-206.37+/-0.18 dlogz:275.309>0.1]
24it [01:45,  3.26it/s, bound:0 nc:  3 ncall:4.9e+02 eff:4.9% logz=-199.26+/-0.18 dlogz:264.727>0.1]
26it [01:45,  4.24it/s, bound:0 nc:  1 ncall:5.0e+02 eff:5.2% logz=-197.22+/-0.16 dlogz:258.769>0.1]
28it [01:45,  4.99it/s, bound:0 nc:  4 ncall:5.0e+02 eff:5.6% logz=-177.10+/-0.18 dlogz:244.628>0.1]
30it [01:45,  6.29it/s, bound:0 nc:  2 ncall:5.1e+02 eff:5.9% logz=-172.14+/-0.18 dlogz:236.725>0.1]
32it [01:46,  6.08it/s, bound:0 nc:  7 ncall:5.2e+02 eff:6.2% logz=-169.90+/-0.16 dlogz:231.619>0.1]
34it [01:46,  6.66it/s, bound:0 nc:  3 ncall:5.2e+02 eff:6.5% logz=-164.48+/-0.18 dlogz:227.901>0.1]
35it [01:46,  6.94it/s, bound:0 nc:  5 ncall:5.3e+02 eff:6.6% logz=-162.21+/-0.17 dlogz:225.253>0.1]
36it [01:46,  6.36it/s, bound:0 nc:  9 ncall:5.4e+02 eff:6.7% logz=-161.22+/-0.16 dlogz:222.981>0.1]
37it [01:46,  5.92it/s, bound:0 nc:  7 ncall:5.5e+02 eff:6.8% logz=-155.79+/-0.18 dlogz:221.985>0.1]
38it [01:47,  6.34it/s, bound:0 nc:  6 ncall:5.5e+02 eff:6.9% logz=-154.41+/-0.17 dlogz:216.550>0.1]
39it [01:47,  6.73it/s, bound:0 nc:  4 ncall:5.6e+02 eff:7.0% logz=-153.52+/-0.16 dlogz:215.174>0.1]
40it [01:47,  7.02it/s, bound:0 nc:  3 ncall:5.6e+02 eff:7.2% logz=-152.75+/-0.16 dlogz:214.278>0.1]
41it [01:47,  4.78it/s, bound:0 nc: 11 ncall:5.7e+02 eff:7.2% logz=-152.10+/-0.16 dlogz:213.502>0.1]
42it [01:47,  5.53it/s, bound:0 nc:  4 ncall:5.7e+02 eff:7.3% logz=-151.50+/-0.15 dlogz:212.851>0.1]
44it [01:47,  8.07it/s, bound:0 nc:  5 ncall:5.8e+02 eff:7.6% logz=-136.33+/-0.18 dlogz:206.974>0.1]
46it [01:48,  6.85it/s, bound:0 nc:  3 ncall:5.9e+02 eff:7.8% logz=-132.79+/-0.17 dlogz:194.584>0.1]
47it [01:48,  6.07it/s, bound:0 nc:  9 ncall:6.0e+02 eff:7.9% logz=-132.25+/-0.16 dlogz:193.531>0.1]
48it [01:48,  5.27it/s, bound:0 nc:  8 ncall:6.1e+02 eff:7.9% logz=-131.50+/-0.16 dlogz:192.987>0.1]
50it [01:48,  7.19it/s, bound:0 nc:  2 ncall:6.1e+02 eff:8.2% logz=-127.57+/-0.18 dlogz:191.334>0.1]
51it [01:49,  7.43it/s, bound:0 nc:  4 ncall:6.1e+02 eff:8.3% logz=-126.46+/-0.17 dlogz:188.301>0.1]
