
0it [00:00, ?it/s]
1it [01:04, 64.82s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-670.44+/-0.18 dlogz:inf>0.1]
6it [01:04,  7.99s/it, bound:0 nc:  3 ncall:4.1e+02 eff:1.5% logz=-455.14+/-0.18 dlogz:519.599>0.1]
10it [01:05,  4.01s/it, bound:0 nc:  5 ncall:4.2e+02 eff:2.4% logz=-346.67+/-0.18 dlogz:420.945>0.1]
13it [01:05,  2.62s/it, bound:0 nc:  2 ncall:4.3e+02 eff:3.0% logz=-329.08+/-0.17 dlogz:391.404>0.1]
17it [01:05,  1.60s/it, bound:0 nc:  2 ncall:4.3e+02 eff:3.9% logz=-317.82+/-0.18 dlogz:386.977>0.1]
20it [01:05,  1.14s/it, bound:0 nc:  3 ncall:4.4e+02 eff:4.5% logz=-312.06+/-0.16 dlogz:373.599>0.1]
23it [01:05,  1.22it/s, bound:0 nc:  1 ncall:4.5e+02 eff:5.1% logz=-294.30+/-0.18 dlogz:368.557>0.1]
28it [01:06,  2.02it/s, bound:0 nc:  1 ncall:4.6e+02 eff:6.1% logz=-267.02+/-0.18 dlogz:331.841>0.1]
32it [01:06,  2.85it/s, bound:0 nc:  3 ncall:4.7e+02 eff:6.9% logz=-260.65+/-0.18 dlogz:324.016>0.1]
36it [01:06,  3.91it/s, bound:0 nc:  1 ncall:4.7e+02 eff:7.6% logz=-249.30+/-0.17 dlogz:310.759>0.1]
40it [01:06,  5.24it/s, bound:0 nc:  4 ncall:4.8e+02 eff:8.3% logz=-245.50+/-0.17 dlogz:307.220>0.1]
43it [01:06,  6.27it/s, bound:0 nc:  3 ncall:4.9e+02 eff:8.8% logz=-241.59+/-0.16 dlogz:303.126>0.1]
46it [01:07,  7.86it/s, bound:0 nc:  1 ncall:4.9e+02 eff:9.3% logz=-238.42+/-0.17 dlogz:300.391>0.1]
52it [01:07, 11.75it/s, bound:0 nc:  2 ncall:5.0e+02 eff:10.4% logz=-221.27+/-0.16 dlogz:282.382>0.1]
55it [01:07, 12.74it/s, bound:0 nc:  4 ncall:5.1e+02 eff:10.7% logz=-218.73+/-0.16 dlogz:279.894>0.1]
