
0it [00:00, ?it/s]
1it [00:25, 25.93s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-437.11+/-0.18 dlogz:inf>0.1]
27it [00:26,  1.45it/s, bound:0 nc:  3 ncall:4.8e+02 eff:5.6% logz=-182.92+/-0.17 dlogz:248.582>0.1]
50it [00:26,  3.19it/s, bound:0 nc:  5 ncall:5.6e+02 eff:8.9% logz=-129.97+/-0.16 dlogz:194.718>0.1]
72it [00:26,  5.48it/s, bound:0 nc:  4 ncall:6.4e+02 eff:11.2% logz=-104.72+/-0.16 dlogz:169.508>0.1]
93it [00:26,  8.46it/s, bound:0 nc:  9 ncall:7.3e+02 eff:12.8% logz=-87.98+/-0.15 dlogz:153.162>0.1] 
112it [00:26, 12.07it/s, bound:0 nc:  5 ncall:8.0e+02 eff:13.9% logz=-68.68+/-0.15 dlogz:134.019>0.1]
131it [00:27, 16.80it/s, bound:0 nc:  8 ncall:8.8e+02 eff:14.8% logz=-58.25+/-0.15 dlogz:123.434>0.1]
146it [00:27, 21.34it/s, bound:0 nc:  3 ncall:9.6e+02 eff:15.2% logz=-47.63+/-0.16 dlogz:113.226>0.1]
165it [00:27, 28.72it/s, bound:0 nc: 11 ncall:1.0e+03 eff:15.8% logz=-39.00+/-0.15 dlogz:103.918>0.1]
179it [00:27, 34.51it/s, bound:0 nc:  5 ncall:1.1e+03 eff:16.0% logz=-33.53+/-0.15 dlogz:98.585>0.1] 
189it [00:27, 37.76it/s, bound:0 nc: 16 ncall:1.2e+03 eff:15.2% logz=-30.45+/-0.14 dlogz:95.323>0.1]
198it [00:27, 40.28it/s, bound:0 nc:  4 ncall:1.3e+03 eff:15.3% logz=-26.33+/-0.16 dlogz:91.587>0.1]
211it [00:28, 46.09it/s, bound:0 nc:  7 ncall:1.4e+03 eff:15.5% logz=-20.56+/-0.15 dlogz:85.393>0.1]
224it [00:28, 49.47it/s, bound:0 nc: 20 ncall:1.5e+03 eff:15.4% logz=-14.96+/-0.15 dlogz:79.718>0.1]
234it [00:28, 48.99it/s, bound:0 nc: 11 ncall:1.5e+03 eff:15.3% logz=-12.26+/-0.15 dlogz:76.989>0.1]
247it [00:28, 50.96it/s, bound:0 nc: 14 ncall:1.6e+03 eff:15.4% logz=-9.43+/-0.14 dlogz:74.144>0.1] 
261it [00:29, 51.95it/s, bound:0 nc:  3 ncall:1.7e+03 eff:15.5% logz=-6.67+/-0.14 dlogz:71.265>0.1]
274it [00:29, 51.77it/s, bound:0 nc:  4 ncall:1.8e+03 eff:15.5% logz=-4.21+/-0.14 dlogz:68.793>0.1]
288it [00:29, 53.33it/s, bound:0 nc: 10 ncall:1.8e+03 eff:15.6% logz=-1.99+/-0.14 dlogz:66.511>0.1]
301it [00:29, 53.35it/s, bound:0 nc: 12 ncall:1.9e+03 eff:15.6% logz=0.39+/-0.14 dlogz:64.181>0.1] 
318it [00:30, 57.66it/s, bound:0 nc:  9 ncall:2.0e+03 eff:15.8% logz=3.51+/-0.14 dlogz:60.912>0.1]
331it [00:30, 55.41it/s, bound:0 nc:  3 ncall:2.1e+03 eff:15.9% logz=5.27+/-0.14 dlogz:59.100>0.1]
343it [00:30, 52.49it/s, bound:0 nc: 14 ncall:2.2e+03 eff:15.8% logz=6.75+/-0.14 dlogz:57.657>0.1]
352it [00:30, 47.14it/s, bound:0 nc: 10 ncall:2.2e+03 eff:15.7% logz=8.23+/-0.14 dlogz:56.137>0.1]
358it [00:31, 40.72it/s, bound:0 nc:  4 ncall:2.3e+03 eff:15.4% logz=9.48+/-0.15 dlogz:54.905>0.1]
372it [00:31, 45.70it/s, bound:0 nc:  6 ncall:2.4e+03 eff:15.5% logz=11.89+/-0.14 dlogz:52.407>0.1]
390it [00:31, 52.90it/s, bound:0 nc: 11 ncall:2.5e+03 eff:15.7% logz=14.01+/-0.14 dlogz:50.295>0.1]
400it [00:31, 49.97it/s, bound:0 nc: 13 ncall:2.6e+03 eff:15.6% logz=15.58+/-0.14 dlogz:48.637>0.1]
412it [00:32, 49.13it/s, bound:0 nc: 41 ncall:2.7e+03 eff:15.4% logz=17.06+/-0.14 dlogz:47.112>0.1]
417it [00:32, 41.01it/s, bound:0 nc: 20 ncall:2.7e+03 eff:15.2% logz=17.74+/-0.14 dlogz:46.471>0.1]
426it [00:32, 39.06it/s, bound:0 nc: 18 ncall:2.8e+03 eff:15.1% logz=19.04+/-0.14 dlogz:45.089>0.1]
432it [00:32, 34.17it/s, bound:0 nc: 10 ncall:2.9e+03 eff:14.9% logz=19.62+/-0.14 dlogz:44.474>0.1]
446it [00:33, 41.12it/s, bound:0 nc: 18 ncall:3.0e+03 eff:15.0% logz=21.96+/-0.15 dlogz:42.181>0.1]
455it [00:33, 39.80it/s, bound:0 nc:  4 ncall:3.0e+03 eff:15.0% logz=23.19+/-0.14 dlogz:40.874>0.1]
460it [00:33, 33.41it/s, bound:0 nc: 26 ncall:3.1e+03 eff:14.7% logz=23.73+/-0.14 dlogz:40.314>0.1]
467it [00:33, 32.28it/s, bound:0 nc: 32 ncall:3.2e+03 eff:14.6% logz=24.44+/-0.14 dlogz:39.575>0.1]
475it [00:34, 31.52it/s, bound:0 nc: 39 ncall:3.3e+03 eff:14.4% logz=25.15+/-0.14 dlogz:38.850>0.1]
480it [00:34, 28.37it/s, bound:0 nc: 18 ncall:3.4e+03 eff:14.2% logz=25.68+/-0.14 dlogz:38.309>0.1]
485it [00:34, 26.05it/s, bound:0 nc: 60 ncall:3.5e+03 eff:14.0% logz=26.15+/-0.14 dlogz:37.820>0.1]
488it [00:34, 21.65it/s, bound:0 nc: 15 ncall:3.5e+03 eff:13.8% logz=26.43+/-0.14 dlogz:37.526>0.1]
492it [00:35, 19.94it/s, bound:0 nc: 46 ncall:3.6e+03 eff:13.6% logz=26.81+/-0.14 dlogz:37.145>0.1]
501it [00:35, 25.21it/s, bound:0 nc: 21 ncall:3.7e+03 eff:13.6% logz=27.64+/-0.14 dlogz:36.293>0.1]
509it [00:35, 27.60it/s, bound:0 nc: 19 ncall:3.8e+03 eff:13.5% logz=28.33+/-0.14 dlogz:35.569>0.1]
512it [00:35, 23.14it/s, bound:0 nc: 11 ncall:3.9e+03 eff:13.2% logz=28.57+/-0.14 dlogz:35.309>0.1]
518it [00:35, 23.74it/s, bound:0 nc: 13 ncall:3.9e+03 eff:13.2% logz=29.01+/-0.14 dlogz:34.852>0.1]
524it [00:36, 24.04it/s, bound:0 nc: 17 ncall:4.0e+03 eff:13.1% logz=29.42+/-0.14 dlogz:34.422>0.1]
531it [00:36, 25.88it/s, bound:0 nc: 21 ncall:4.1e+03 eff:13.0% logz=29.97+/-0.14 dlogz:33.867>0.1]
537it [00:36, 25.75it/s, bound:0 nc: 11 ncall:4.2e+03 eff:12.9% logz=30.38+/-0.14 dlogz:33.427>0.1]
543it [00:36, 25.45it/s, bound:0 nc: 27 ncall:4.3e+03 eff:12.8% logz=30.89+/-0.14 dlogz:32.924>0.1]
551it [00:37, 28.46it/s, bound:0 nc:  9 ncall:4.3e+03 eff:12.7% logz=31.47+/-0.14 dlogz:32.315>0.1]
561it [00:37, 32.90it/s, bound:0 nc: 10 ncall:4.4e+03 eff:12.7% logz=32.18+/-0.14 dlogz:31.571>0.1]
566it [00:37, 28.82it/s, bound:0 nc: 13 ncall:4.5e+03 eff:12.6% logz=32.49+/-0.14 dlogz:31.247>0.1]
573it [00:37, 29.06it/s, bound:0 nc:  8 ncall:4.6e+03 eff:12.5% logz=32.91+/-0.14 dlogz:30.800>0.1]
579it [00:38, 28.35it/s, bound:0 nc: 48 ncall:4.7e+03 eff:12.4% logz=33.28+/-0.14 dlogz:30.425>0.1]
582it [00:38, 23.62it/s, bound:0 nc:  1 ncall:4.7e+03 eff:12.3% logz=33.51+/-0.14 dlogz:30.195>0.1]
588it [00:38, 23.86it/s, bound:0 nc: 29 ncall:4.8e+03 eff:12.2% logz=33.92+/-0.14 dlogz:29.775>0.1]
594it [00:38, 24.30it/s, bound:0 nc: 23 ncall:4.9e+03 eff:12.2% logz=34.39+/-0.14 dlogz:29.288>0.1]
601it [00:39, 25.47it/s, bound:0 nc: 58 ncall:5.0e+03 eff:12.0% logz=34.81+/-0.14 dlogz:28.827>0.1]
604it [00:39, 21.56it/s, bound:0 nc: 40 ncall:5.1e+03 eff:11.9% logz=35.00+/-0.14 dlogz:28.645>0.1]
608it [00:39, 20.51it/s, bound:0 nc: 34 ncall:5.1e+03 eff:11.9% logz=35.31+/-0.14 dlogz:28.332>0.1]
614it [00:39, 22.12it/s, bound:0 nc: 63 ncall:5.2e+03 eff:11.7% logz=35.76+/-0.14 dlogz:27.859>0.1]
619it [00:40, 21.64it/s, bound:0 nc: 12 ncall:5.3e+03 eff:11.7% logz=36.07+/-0.14 dlogz:27.522>0.1]
626it [00:40, 24.38it/s, bound:0 nc: 16 ncall:5.4e+03 eff:11.7% logz=36.47+/-0.14 dlogz:27.110>0.1]
631it [00:40, 23.58it/s, bound:0 nc: 29 ncall:5.5e+03 eff:11.6% logz=36.73+/-0.14 dlogz:26.828>0.1]
634it [00:40, 20.01it/s, bound:0 nc: 26 ncall:5.5e+03 eff:11.5% logz=36.87+/-0.14 dlogz:26.679>0.1]
638it [00:40, 19.31it/s, bound:0 nc: 45 ncall:5.6e+03 eff:11.3% logz=37.08+/-0.14 dlogz:26.463>0.1]
641it [00:41, 17.28it/s, bound:0 nc: 29 ncall:5.7e+03 eff:11.3% logz=37.24+/-0.14 dlogz:26.297>0.1]
648it [00:41, 21.10it/s, bound:0 nc: 40 ncall:5.8e+03 eff:11.2% logz=37.57+/-0.13 dlogz:25.946>0.1]
653it [00:41, 21.08it/s, bound:0 nc: 19 ncall:5.9e+03 eff:11.2% logz=37.80+/-0.13 dlogz:25.705>0.1]
658it [00:41, 21.05it/s, bound:0 nc: 12 ncall:5.9e+03 eff:11.1% logz=38.01+/-0.13 dlogz:25.471>0.1]
664it [00:42, 22.43it/s, bound:0 nc: 26 ncall:6.0e+03 eff:11.0% logz=38.27+/-0.13 dlogz:25.206>0.1]
669it [00:42, 21.95it/s, bound:0 nc: 19 ncall:6.1e+03 eff:11.0% logz=38.52+/-0.13 dlogz:24.949>0.1]
675it [00:42, 22.72it/s, bound:0 nc: 19 ncall:6.2e+03 eff:11.0% logz=38.87+/-0.14 dlogz:24.581>0.1]
679it [00:42, 21.13it/s, bound:0 nc: 36 ncall:6.2e+03 eff:10.9% logz=39.10+/-0.14 dlogz:24.340>0.1]
684it [00:43, 21.34it/s, bound:0 nc: 37 ncall:6.4e+03 eff:10.8% logz=39.38+/-0.14 dlogz:24.054>0.1]
690it [00:43, 22.75it/s, bound:0 nc: 33 ncall:6.4e+03 eff:10.7% logz=39.70+/-0.14 dlogz:23.718>0.1]
696it [00:43, 23.55it/s, bound:0 nc: 14 ncall:6.5e+03 eff:10.7% logz=39.99+/-0.14 dlogz:23.407>0.1]
703it [00:43, 25.11it/s, bound:0 nc: 11 ncall:6.6e+03 eff:10.7% logz=40.38+/-0.14 dlogz:23.004>0.1]
706it [00:44, 21.27it/s, bound:0 nc: 35 ncall:6.7e+03 eff:10.6% logz=40.53+/-0.14 dlogz:22.840>0.1]
709it [00:44, 14.49it/s, bound:0 nc: 41 ncall:6.8e+03 eff:10.4% logz=40.67+/-0.14 dlogz:22.692>0.1]
714it [00:44, 16.47it/s, bound:0 nc: 41 ncall:6.9e+03 eff:10.3% logz=40.89+/-0.14 dlogz:22.455>0.1]
721it [00:44, 19.93it/s, bound:0 nc: 52 ncall:7.0e+03 eff:10.3% logz=41.22+/-0.14 dlogz:22.122>0.1]
725it [00:45, 19.16it/s, bound:0 nc: 50 ncall:7.1e+03 eff:10.2% logz=41.43+/-0.14 dlogz:21.895>0.1]
728it [00:45, 17.60it/s, bound:0 nc: 13 ncall:7.2e+03 eff:10.2% logz=41.58+/-0.14 dlogz:21.734>0.1]
730it [00:45, 14.65it/s, bound:0 nc: 61 ncall:7.2e+03 eff:10.1% logz=41.68+/-0.14 dlogz:21.631>0.1]
733it [00:45, 14.10it/s, bound:0 nc: 19 ncall:7.3e+03 eff:10.1% logz=41.84+/-0.14 dlogz:21.470>0.1]
735it [00:46, 12.77it/s, bound:0 nc: 87 ncall:7.4e+03 eff:9.9% logz=41.94+/-0.14 dlogz:21.361>0.1] 
741it [01:00, 12.77it/s, bound:1 nc:  1 ncall:7.4e+03 eff:10.0% logz=42.29+/-0.14 dlogz:20.997>0.1]
742it [01:31,  3.27s/it, bound:1 nc:282 ncall:7.7e+03 eff:9.6% logz=42.34+/-0.14 dlogz:20.940>0.1] 
766it [01:31,  1.05it/s, bound:25 nc:  1 ncall:1.4e+04 eff:6.3% logz=48.45+/-0.13 dlogz:14.332>0.1]
787it [01:31,  1.97it/s, bound:50 nc:  1 ncall:2.1e+04 eff:5.3% logz=54.81+/-0.14 dlogz:6.755>0.1] 
808it [01:31,  3.28it/s, bound:77 nc:  1 ncall:2.8e+04 eff:4.2% logz=56.30+/-0.13 dlogz:4.397>0.1]
811it [01:50,  3.28it/s, bound:80 nc:272 ncall:2.9e+04 eff:2.8% logz=45.33+/-0.14 dlogz:17.762>0.1]
812it [02:03,  1.06s/it, bound:81 nc:251 ncall:2.9e+04 eff:2.8% logz=45.37+/-0.14 dlogz:17.725>0.1]
842it [02:03,  1.93it/s, bound:101 nc:  1 ncall:3.6e+04 eff:2.4% logz=46.80+/-0.13 dlogz:16.136>0.1]
869it [02:03,  3.18it/s, bound:124 nc:246 ncall:4.5e+04 eff:1.9% logz=47.05+/-0.13 dlogz:15.897>0.1]
882it [02:20,  3.18it/s, bound:135 nc:237 ncall:4.8e+04 eff:1.8% logz=47.40+/-0.13 dlogz:15.508>0.1]
883it [02:37,  1.26it/s, bound:135 nc:228 ncall:4.8e+04 eff:1.8% logz=47.43+/-0.13 dlogz:15.478>0.1]
911it [02:37,  2.07it/s, bound:158 nc:241 ncall:5.5e+04 eff:1.6% logz=48.11+/-0.13 dlogz:14.724>0.1]
938it [02:37,  3.19it/s, bound:181 nc:  1 ncall:6.3e+04 eff:2.1% logz=56.71+/-0.14 dlogz:3.624>0.1] 
954it [02:50,  3.19it/s, bound:192 nc:243 ncall:6.8e+04 eff:1.4% logz=48.95+/-0.13 dlogz:13.771>0.1]
955it [03:06,  1.57it/s, bound:193 nc:196 ncall:6.8e+04 eff:1.4% logz=48.97+/-0.13 dlogz:13.752>0.1]
