
0it [00:00, ?it/s]
1it [00:44, 44.49s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-572.78+/-0.18 dlogz:inf>0.1]
6it [00:44,  5.50s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.5% logz=-313.58+/-0.18 dlogz:385.319>0.1]
11it [00:44,  2.46s/it, bound:0 nc:  3 ncall:4.2e+02 eff:2.6% logz=-280.30+/-0.18 dlogz:349.279>0.1]
16it [00:45,  1.39s/it, bound:0 nc:  3 ncall:4.3e+02 eff:3.8% logz=-251.00+/-0.17 dlogz:315.261>0.1]
19it [00:45,  1.03s/it, bound:0 nc:  1 ncall:4.4e+02 eff:4.3% logz=-234.25+/-0.18 dlogz:301.809>0.1]
22it [00:45,  1.33it/s, bound:0 nc:  1 ncall:4.4e+02 eff:5.0% logz=-229.50+/-0.18 dlogz:294.918>0.1]
25it [00:45,  1.80it/s, bound:0 nc:  3 ncall:4.5e+02 eff:5.5% logz=-201.07+/-0.18 dlogz:270.051>0.1]
28it [00:45,  2.42it/s, bound:0 nc:  1 ncall:4.6e+02 eff:6.1% logz=-178.23+/-0.18 dlogz:248.525>0.1]
33it [00:46,  3.85it/s, bound:0 nc:  3 ncall:4.7e+02 eff:7.1% logz=-167.73+/-0.17 dlogz:231.361>0.1]
36it [00:46,  4.97it/s, bound:0 nc:  3 ncall:4.7e+02 eff:7.6% logz=-162.94+/-0.17 dlogz:226.919>0.1]
39it [00:46,  6.41it/s, bound:0 nc:  1 ncall:4.8e+02 eff:8.2% logz=-159.07+/-0.17 dlogz:223.460>0.1]
42it [00:46,  7.58it/s, bound:0 nc:  3 ncall:4.8e+02 eff:8.7% logz=-154.00+/-0.17 dlogz:218.063>0.1]
47it [00:46, 10.58it/s, bound:0 nc:  4 ncall:4.9e+02 eff:9.6% logz=-142.80+/-0.18 dlogz:207.666>0.1]
50it [00:46, 11.42it/s, bound:0 nc:  2 ncall:5.0e+02 eff:10.1% logz=-137.32+/-0.17 dlogz:200.977>0.1]
54it [00:47, 13.53it/s, bound:0 nc:  5 ncall:5.1e+02 eff:10.7% logz=-132.90+/-0.16 dlogz:196.314>0.1]
60it [00:47, 17.49it/s, bound:0 nc:  2 ncall:5.1e+02 eff:11.7% logz=-129.46+/-0.15 dlogz:192.419>0.1]
63it [00:47, 19.26it/s, bound:0 nc:  2 ncall:5.2e+02 eff:12.2% logz=-125.66+/-0.17 dlogz:189.860>0.1]
66it [00:47, 17.27it/s, bound:0 nc:  1 ncall:5.3e+02 eff:12.5% logz=-119.94+/-0.17 dlogz:183.936>0.1]
69it [00:47, 19.00it/s, bound:0 nc:  1 ncall:5.3e+02 eff:13.0% logz=-115.18+/-0.16 dlogz:178.626>0.1]
72it [00:47, 17.19it/s, bound:0 nc:  2 ncall:5.4e+02 eff:13.4% logz=-108.86+/-0.18 dlogz:175.167>0.1]
75it [00:48, 16.51it/s, bound:0 nc:  1 ncall:5.5e+02 eff:13.7% logz=-105.35+/-0.16 dlogz:168.600>0.1]
77it [00:48, 11.00it/s, bound:0 nc:  1 ncall:5.6e+02 eff:13.7% logz=-104.26+/-0.16 dlogz:167.343>0.1]
81it [00:48, 13.53it/s, bound:0 nc:  3 ncall:5.7e+02 eff:14.2% logz=-102.00+/-0.15 dlogz:165.037>0.1]
84it [00:48, 14.13it/s, bound:0 nc:  5 ncall:5.8e+02 eff:14.6% logz=-98.14+/-0.16 dlogz:161.518>0.1] 
86it [00:48, 15.06it/s, bound:0 nc:  4 ncall:5.8e+02 eff:14.8% logz=-96.70+/-0.16 dlogz:159.773>0.1]
88it [00:49, 13.56it/s, bound:0 nc:  5 ncall:5.9e+02 eff:14.9% logz=-94.91+/-0.16 dlogz:158.143>0.1]
91it [00:49, 14.53it/s, bound:0 nc:  4 ncall:6.0e+02 eff:15.2% logz=-92.42+/-0.16 dlogz:155.708>0.1]
93it [00:49, 15.38it/s, bound:0 nc:  3 ncall:6.0e+02 eff:15.4% logz=-91.41+/-0.15 dlogz:154.305>0.1]
95it [00:49, 13.80it/s, bound:0 nc:  3 ncall:6.1e+02 eff:15.5% logz=-90.43+/-0.15 dlogz:153.419>0.1]
97it [00:49, 14.74it/s, bound:0 nc:  1 ncall:6.1e+02 eff:15.8% logz=-89.32+/-0.15 dlogz:152.243>0.1]
100it [00:49, 18.07it/s, bound:0 nc:  1 ncall:6.2e+02 eff:16.2% logz=-88.14+/-0.15 dlogz:150.880>0.1]
103it [00:50, 17.06it/s, bound:0 nc:  7 ncall:6.3e+02 eff:16.4% logz=-86.06+/-0.16 dlogz:149.048>0.1]
105it [00:50, 14.49it/s, bound:0 nc:  3 ncall:6.3e+02 eff:16.6% logz=-82.15+/-0.18 dlogz:147.947>0.1]
107it [00:50, 15.58it/s, bound:0 nc:  2 ncall:6.4e+02 eff:16.8% logz=-80.22+/-0.16 dlogz:143.323>0.1]
109it [00:50, 15.95it/s, bound:0 nc:  3 ncall:6.4e+02 eff:17.0% logz=-79.31+/-0.15 dlogz:142.110>0.1]
111it [00:50, 13.39it/s, bound:0 nc:  5 ncall:6.5e+02 eff:17.1% logz=-77.32+/-0.16 dlogz:140.877>0.1]
113it [00:50, 12.23it/s, bound:0 nc:  7 ncall:6.6e+02 eff:17.1% logz=-76.03+/-0.16 dlogz:138.906>0.1]
117it [00:51, 15.01it/s, bound:0 nc:  4 ncall:6.7e+02 eff:17.5% logz=-72.70+/-0.16 dlogz:136.028>0.1]
119it [00:51, 13.41it/s, bound:0 nc:  7 ncall:6.8e+02 eff:17.6% logz=-70.12+/-0.17 dlogz:134.021>0.1]
121it [00:51, 14.60it/s, bound:0 nc:  2 ncall:6.8e+02 eff:17.8% logz=-68.71+/-0.16 dlogz:131.606>0.1]
123it [00:51, 13.39it/s, bound:0 nc:  4 ncall:6.8e+02 eff:18.0% logz=-67.77+/-0.15 dlogz:130.601>0.1]
125it [00:51, 10.39it/s, bound:0 nc:  4 ncall:7.0e+02 eff:17.9% logz=-67.00+/-0.15 dlogz:129.694>0.1]
127it [00:52, 10.71it/s, bound:0 nc:  5 ncall:7.0e+02 eff:18.0% logz=-66.07+/-0.15 dlogz:129.032>0.1]
129it [00:52, 10.58it/s, bound:0 nc:  9 ncall:7.2e+02 eff:18.0% logz=-64.97+/-0.15 dlogz:127.787>0.1]
131it [00:52,  9.28it/s, bound:0 nc:  8 ncall:7.2e+02 eff:18.1% logz=-64.13+/-0.15 dlogz:126.917>0.1]
133it [00:52,  9.66it/s, bound:0 nc:  4 ncall:7.4e+02 eff:18.1% logz=-63.37+/-0.15 dlogz:126.059>0.1]
135it [00:52, 11.13it/s, bound:0 nc:  3 ncall:7.4e+02 eff:18.3% logz=-62.54+/-0.15 dlogz:125.333>0.1]
139it [00:53,  9.81it/s, bound:0 nc: 15 ncall:7.6e+02 eff:18.4% logz=-60.73+/-0.15 dlogz:123.349>0.1]
141it [00:53,  8.87it/s, bound:0 nc:  2 ncall:7.7e+02 eff:18.3% logz=-60.29+/-0.15 dlogz:122.810>0.1]
144it [00:53, 10.45it/s, bound:0 nc:  3 ncall:7.8e+02 eff:18.5% logz=-58.84+/-0.15 dlogz:121.676>0.1]
146it [00:53, 11.81it/s, bound:0 nc:  4 ncall:7.8e+02 eff:18.6% logz=-58.13+/-0.15 dlogz:120.746>0.1]
148it [00:53, 13.13it/s, bound:0 nc:  1 ncall:7.9e+02 eff:18.8% logz=-57.61+/-0.15 dlogz:120.166>0.1]
150it [00:54, 11.82it/s, bound:0 nc:  1 ncall:7.9e+02 eff:18.9% logz=-56.96+/-0.15 dlogz:119.664>0.1]
152it [00:54, 11.31it/s, bound:0 nc:  5 ncall:8.0e+02 eff:18.9% logz=-55.89+/-0.15 dlogz:118.708>0.1]
154it [00:54, 12.69it/s, bound:0 nc:  2 ncall:8.1e+02 eff:19.1% logz=-55.01+/-0.15 dlogz:117.696>0.1]
156it [00:54, 13.95it/s, bound:0 nc:  2 ncall:8.1e+02 eff:19.2% logz=-54.22+/-0.15 dlogz:116.957>0.1]
158it [00:54, 12.41it/s, bound:0 nc:  5 ncall:8.2e+02 eff:19.3% logz=-53.37+/-0.15 dlogz:116.013>0.1]
162it [00:54, 15.02it/s, bound:0 nc:  1 ncall:8.2e+02 eff:19.6% logz=-51.81+/-0.15 dlogz:114.365>0.1]
164it [00:55, 13.39it/s, bound:0 nc:  3 ncall:8.3e+02 eff:19.7% logz=-50.91+/-0.15 dlogz:113.657>0.1]
166it [00:55, 12.25it/s, bound:0 nc:  1 ncall:8.4e+02 eff:19.7% logz=-50.16+/-0.15 dlogz:112.750>0.1]
168it [00:55, 13.43it/s, bound:0 nc:  5 ncall:8.5e+02 eff:19.8% logz=-49.65+/-0.15 dlogz:112.143>0.1]
170it [00:55, 14.70it/s, bound:0 nc:  2 ncall:8.5e+02 eff:20.0% logz=-49.09+/-0.15 dlogz:111.625>0.1]
172it [00:55, 13.36it/s, bound:0 nc:  2 ncall:8.6e+02 eff:20.1% logz=-48.07+/-0.15 dlogz:110.852>0.1]
174it [00:55, 12.21it/s, bound:0 nc:  3 ncall:8.7e+02 eff:20.0% logz=-47.21+/-0.15 dlogz:109.869>0.1]
176it [00:56, 12.31it/s, bound:0 nc:  3 ncall:8.8e+02 eff:20.1% logz=-46.20+/-0.15 dlogz:108.898>0.1]
179it [00:56, 13.23it/s, bound:0 nc:  1 ncall:8.8e+02 eff:20.3% logz=-45.10+/-0.15 dlogz:107.650>0.1]
182it [00:56, 13.84it/s, bound:0 nc:  8 ncall:8.9e+02 eff:20.4% logz=-44.15+/-0.15 dlogz:106.659>0.1]
184it [00:56, 14.97it/s, bound:0 nc:  4 ncall:9.0e+02 eff:20.5% logz=-43.64+/-0.15 dlogz:106.104>0.1]
186it [00:56, 13.54it/s, bound:0 nc:  3 ncall:9.0e+02 eff:20.6% logz=-43.14+/-0.14 dlogz:105.581>0.1]
189it [00:56, 16.85it/s, bound:0 nc:  4 ncall:9.1e+02 eff:20.8% logz=-41.18+/-0.16 dlogz:103.861>0.1]
191it [00:57, 16.90it/s, bound:0 nc:  1 ncall:9.1e+02 eff:21.0% logz=-40.49+/-0.15 dlogz:102.997>0.1]
194it [00:57, 16.66it/s, bound:0 nc:  5 ncall:9.2e+02 eff:21.1% logz=-39.34+/-0.15 dlogz:101.839>0.1]
196it [00:57, 14.34it/s, bound:0 nc:  2 ncall:9.2e+02 eff:21.2% logz=-38.47+/-0.15 dlogz:101.147>0.1]
198it [00:57, 11.31it/s, bound:0 nc: 13 ncall:9.4e+02 eff:21.1% logz=-36.95+/-0.16 dlogz:100.179>0.1]
200it [00:57,  9.71it/s, bound:0 nc:  9 ncall:9.5e+02 eff:21.1% logz=-35.47+/-0.16 dlogz:98.202>0.1] 
202it [00:58, 11.13it/s, bound:0 nc:  3 ncall:9.6e+02 eff:21.2% logz=-34.75+/-0.16 dlogz:97.247>0.1]
204it [00:58, 12.62it/s, bound:0 nc:  1 ncall:9.6e+02 eff:21.3% logz=-34.16+/-0.15 dlogz:96.605>0.1]
206it [00:58, 11.70it/s, bound:0 nc:  9 ncall:9.7e+02 eff:21.3% logz=-33.49+/-0.15 dlogz:96.004>0.1]
208it [00:58, 11.16it/s, bound:0 nc:  3 ncall:9.7e+02 eff:21.4% logz=-32.65+/-0.15 dlogz:95.233>0.1]
210it [00:58, 12.80it/s, bound:0 nc:  4 ncall:9.8e+02 eff:21.4% logz=-31.96+/-0.15 dlogz:94.417>0.1]
