
0it [00:00, ?it/s]
1it [00:20, 20.84s/it, bound:0 nc:  7 ncall:4.1e+02 eff:0.2% logz=-750.96+/-0.18 dlogz:inf>0.1]
14it [00:20,  1.08s/it, bound:0 nc: 11 ncall:4.5e+02 eff:3.1% logz=-462.54+/-0.18 dlogz:535.237>0.1]
29it [00:21,  2.35it/s, bound:0 nc:  2 ncall:4.8e+02 eff:6.0% logz=-386.04+/-0.17 dlogz:449.435>0.1]
48it [00:21,  4.83it/s, bound:0 nc:  1 ncall:5.2e+02 eff:9.2% logz=-298.62+/-0.18 dlogz:366.694>0.1]
68it [00:21,  8.40it/s, bound:0 nc:  5 ncall:5.6e+02 eff:12.1% logz=-240.66+/-0.18 dlogz:308.683>0.1]
82it [00:21, 11.56it/s, bound:0 nc:  1 ncall:6.0e+02 eff:13.6% logz=-200.86+/-0.17 dlogz:264.102>0.1]
102it [00:21, 17.57it/s, bound:0 nc:  2 ncall:6.4e+02 eff:15.9% logz=-168.42+/-0.18 dlogz:232.399>0.1]
121it [00:22, 24.12it/s, bound:0 nc:  3 ncall:6.8e+02 eff:17.7% logz=-133.50+/-0.18 dlogz:198.318>0.1]
136it [00:22, 30.37it/s, bound:0 nc:  2 ncall:7.2e+02 eff:18.8% logz=-113.83+/-0.17 dlogz:176.222>0.1]
146it [00:22, 34.80it/s, bound:0 nc:  1 ncall:7.6e+02 eff:19.3% logz=-98.37+/-0.17 dlogz:161.126>0.1] 
156it [00:22, 38.33it/s, bound:0 nc:  1 ncall:7.8e+02 eff:20.0% logz=-89.45+/-0.15 dlogz:150.997>0.1]
164it [00:22, 42.89it/s, bound:0 nc:  2 ncall:8.2e+02 eff:20.1% logz=-84.39+/-0.17 dlogz:146.758>0.1]
175it [00:22, 47.36it/s, bound:0 nc:  6 ncall:8.4e+02 eff:20.8% logz=-76.43+/-0.16 dlogz:138.426>0.1]
190it [00:22, 57.42it/s, bound:0 nc:  1 ncall:8.8e+02 eff:21.6% logz=-65.97+/-0.16 dlogz:127.893>0.1]
