
0it [00:00, ?it/s]
1it [00:26, 26.27s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-632.31+/-0.18 dlogz:inf>0.1]
7it [00:26,  2.81s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.7% logz=-455.55+/-0.18 dlogz:538.640>0.1]
17it [00:27,  1.09it/s, bound:0 nc:  2 ncall:4.4e+02 eff:3.8% logz=-383.88+/-0.18 dlogz:451.576>0.1]
26it [00:27,  1.95it/s, bound:0 nc:  2 ncall:4.6e+02 eff:5.6% logz=-331.78+/-0.18 dlogz:403.528>0.1]
34it [00:27,  2.98it/s, bound:0 nc:  1 ncall:4.8e+02 eff:7.1% logz=-297.15+/-0.18 dlogz:366.653>0.1]
48it [00:28,  5.45it/s, bound:0 nc:  2 ncall:5.0e+02 eff:9.6% logz=-253.53+/-0.17 dlogz:316.949>0.1]
56it [00:28,  7.22it/s, bound:0 nc:  6 ncall:5.2e+02 eff:10.7% logz=-211.95+/-0.16 dlogz:274.552>0.1]
63it [00:28,  8.69it/s, bound:0 nc:  6 ncall:5.4e+02 eff:11.6% logz=-192.40+/-0.17 dlogz:255.561>0.1]
71it [00:28, 10.91it/s, bound:0 nc:  1 ncall:5.6e+02 eff:12.7% logz=-181.56+/-0.17 dlogz:245.480>0.1]
80it [00:29, 13.88it/s, bound:0 nc:  4 ncall:5.8e+02 eff:13.7% logz=-168.92+/-0.16 dlogz:231.580>0.1]
84it [00:29, 14.26it/s, bound:0 nc:  8 ncall:6.0e+02 eff:14.0% logz=-158.42+/-0.18 dlogz:224.412>0.1]
91it [00:29, 17.27it/s, bound:0 nc:  9 ncall:6.2e+02 eff:14.6% logz=-151.73+/-0.16 dlogz:214.414>0.1]
97it [00:29, 18.88it/s, bound:0 nc:  1 ncall:6.4e+02 eff:15.1% logz=-141.53+/-0.17 dlogz:204.385>0.1]
110it [00:30, 25.80it/s, bound:0 nc:  4 ncall:6.6e+02 eff:16.6% logz=-127.68+/-0.16 dlogz:190.232>0.1]
117it [00:30, 25.85it/s, bound:0 nc:  2 ncall:6.8e+02 eff:17.2% logz=-120.67+/-0.17 dlogz:183.680>0.1]
123it [00:30, 26.10it/s, bound:0 nc:  3 ncall:7.0e+02 eff:17.5% logz=-115.12+/-0.16 dlogz:177.799>0.1]
131it [00:30, 25.99it/s, bound:0 nc:  7 ncall:7.3e+02 eff:18.0% logz=-107.69+/-0.16 dlogz:169.904>0.1]
138it [00:31, 27.97it/s, bound:0 nc:  1 ncall:7.4e+02 eff:18.6% logz=-101.11+/-0.16 dlogz:163.232>0.1]
145it [00:31, 25.89it/s, bound:0 nc: 10 ncall:7.7e+02 eff:18.9% logz=-94.45+/-0.18 dlogz:158.512>0.1] 
151it [00:31, 24.59it/s, bound:0 nc:  2 ncall:7.8e+02 eff:19.3% logz=-90.11+/-0.16 dlogz:152.131>0.1]
157it [00:32, 23.23it/s, bound:0 nc:  2 ncall:8.0e+02 eff:19.6% logz=-88.45+/-0.15 dlogz:150.355>0.1]
163it [00:32, 24.54it/s, bound:0 nc:  2 ncall:8.2e+02 eff:19.8% logz=-83.02+/-0.16 dlogz:145.270>0.1]
169it [00:32, 22.79it/s, bound:0 nc:  2 ncall:8.4e+02 eff:20.1% logz=-79.62+/-0.16 dlogz:141.950>0.1]
175it [00:32, 22.88it/s, bound:0 nc:  5 ncall:8.6e+02 eff:20.3% logz=-74.18+/-0.17 dlogz:136.962>0.1]
184it [00:33, 26.91it/s, bound:0 nc:  4 ncall:8.8e+02 eff:20.9% logz=-65.95+/-0.16 dlogz:127.975>0.1]
188it [00:33, 26.34it/s, bound:0 nc:  6 ncall:9.0e+02 eff:20.8% logz=-62.84+/-0.17 dlogz:125.325>0.1]
194it [00:33, 27.10it/s, bound:0 nc: 15 ncall:9.4e+02 eff:20.7% logz=-55.69+/-0.17 dlogz:118.278>0.1]
197it [00:33, 22.67it/s, bound:0 nc:  2 ncall:9.4e+02 eff:20.9% logz=-53.46+/-0.16 dlogz:115.467>0.1]
201it [00:33, 17.78it/s, bound:0 nc:  1 ncall:9.6e+02 eff:20.9% logz=-51.33+/-0.16 dlogz:113.211>0.1]
204it [00:34, 16.69it/s, bound:0 nc:  3 ncall:9.8e+02 eff:20.8% logz=-49.43+/-0.16 dlogz:111.542>0.1]
207it [00:34, 17.34it/s, bound:0 nc: 18 ncall:1.0e+03 eff:20.6% logz=-48.32+/-0.15 dlogz:110.082>0.1]
212it [00:34, 19.68it/s, bound:0 nc: 10 ncall:1.0e+03 eff:20.7% logz=-45.64+/-0.16 dlogz:107.938>0.1]
218it [00:34, 21.58it/s, bound:0 nc:  3 ncall:1.0e+03 eff:20.9% logz=-42.48+/-0.16 dlogz:104.528>0.1]
221it [00:35, 13.86it/s, bound:0 nc:  5 ncall:1.1e+03 eff:20.8% logz=-40.32+/-0.16 dlogz:102.345>0.1]
224it [00:35, 11.63it/s, bound:0 nc:  6 ncall:1.1e+03 eff:20.6% logz=-38.97+/-0.16 dlogz:100.945>0.1]
228it [00:36, 11.54it/s, bound:0 nc:  6 ncall:1.1e+03 eff:20.7% logz=-37.30+/-0.15 dlogz:99.034>0.1] 
234it [00:36, 16.20it/s, bound:0 nc: 10 ncall:1.1e+03 eff:20.8% logz=-35.87+/-0.15 dlogz:97.469>0.1]
240it [00:36, 19.95it/s, bound:0 nc:  3 ncall:1.1e+03 eff:21.0% logz=-34.04+/-0.15 dlogz:95.726>0.1]
245it [00:36, 22.94it/s, bound:0 nc:  2 ncall:1.2e+03 eff:21.1% logz=-32.11+/-0.15 dlogz:93.821>0.1]
251it [00:36, 28.24it/s, bound:0 nc:  5 ncall:1.2e+03 eff:21.2% logz=-29.87+/-0.15 dlogz:91.538>0.1]
255it [00:36, 27.77it/s, bound:0 nc:  9 ncall:1.2e+03 eff:21.1% logz=-29.03+/-0.15 dlogz:90.582>0.1]
261it [00:36, 31.93it/s, bound:0 nc: 23 ncall:1.2e+03 eff:21.0% logz=-26.47+/-0.16 dlogz:88.429>0.1]
265it [00:37, 32.43it/s, bound:0 nc:  1 ncall:1.2e+03 eff:21.3% logz=-25.09+/-0.15 dlogz:86.675>0.1]
270it [00:37, 33.52it/s, bound:0 nc:  3 ncall:1.3e+03 eff:21.4% logz=-23.53+/-0.15 dlogz:85.223>0.1]
274it [00:37, 32.78it/s, bound:0 nc:  4 ncall:1.3e+03 eff:21.4% logz=-22.42+/-0.15 dlogz:84.009>0.1]
285it [00:37, 39.70it/s, bound:0 nc:  9 ncall:1.3e+03 eff:21.5% logz=-18.16+/-0.15 dlogz:79.705>0.1]
295it [00:37, 40.92it/s, bound:0 nc:  4 ncall:1.4e+03 eff:21.7% logz=-16.43+/-0.14 dlogz:77.844>0.1]
301it [00:37, 35.56it/s, bound:0 nc:  5 ncall:1.4e+03 eff:21.4% logz=-14.76+/-0.15 dlogz:76.296>0.1]
307it [00:38, 38.54it/s, bound:0 nc: 13 ncall:1.4e+03 eff:21.5% logz=-12.39+/-0.16 dlogz:74.515>0.1]
313it [00:38, 36.56it/s, bound:0 nc: 21 ncall:1.5e+03 eff:21.2% logz=-8.94+/-0.16 dlogz:70.476>0.1] 
317it [00:38, 35.64it/s, bound:0 nc:  5 ncall:1.5e+03 eff:21.2% logz=-7.99+/-0.15 dlogz:69.394>0.1]
325it [00:38, 36.57it/s, bound:0 nc:  5 ncall:1.5e+03 eff:21.3% logz=-6.29+/-0.15 dlogz:67.632>0.1]
330it [00:38, 36.89it/s, bound:0 nc:  7 ncall:1.5e+03 eff:21.4% logz=-5.64+/-0.14 dlogz:66.925>0.1]
342it [00:38, 45.65it/s, bound:0 nc: 21 ncall:1.6e+03 eff:21.4% logz=-3.83+/-0.14 dlogz:65.146>0.1]
347it [00:39, 36.60it/s, bound:0 nc:  3 ncall:1.6e+03 eff:21.2% logz=-3.15+/-0.14 dlogz:64.395>0.1]
352it [00:39, 33.41it/s, bound:0 nc:  5 ncall:1.7e+03 eff:21.2% logz=-2.57+/-0.14 dlogz:63.799>0.1]
358it [00:39, 35.91it/s, bound:0 nc:  1 ncall:1.7e+03 eff:21.3% logz=-1.15+/-0.15 dlogz:62.551>0.1]
