
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-1458.30+/-0.13 dlogz:inf>0.1]
12it [00:00, 54.23it/s, bound:0 nc:  9 ncall:4.5e+02 eff:2.7% logz=-76.62+/-0.13 dlogz:111.922>0.1]
18it [00:00, 45.85it/s, bound:0 nc:  4 ncall:4.8e+02 eff:3.7% logz=-58.01+/-0.13 dlogz:94.124>0.1] 
26it [00:00, 52.58it/s, bound:0 nc:  4 ncall:5.2e+02 eff:5.0% logz=-45.07+/-0.12 dlogz:78.510>0.1]
34it [00:01, 50.86it/s, bound:0 nc: 26 ncall:5.8e+02 eff:5.9% logz=-34.39+/-0.11 dlogz:67.286>0.1]
39it [00:01, 44.95it/s, bound:0 nc:  3 ncall:6.2e+02 eff:6.3% logz=-32.22+/-0.10 dlogz:64.778>0.1]
48it [00:01, 54.80it/s, bound:0 nc:  6 ncall:6.4e+02 eff:7.4% logz=-26.27+/-0.11 dlogz:59.359>0.1]
54it [00:01, 46.58it/s, bound:0 nc: 18 ncall:6.8e+02 eff:7.9% logz=-23.82+/-0.10 dlogz:56.274>0.1]
60it [00:01, 44.29it/s, bound:0 nc: 11 ncall:7.3e+02 eff:8.2% logz=-22.66+/-0.10 dlogz:54.968>0.1]
66it [00:01, 42.77it/s, bound:0 nc: 17 ncall:7.7e+02 eff:8.6% logz=-21.37+/-0.10 dlogz:53.703>0.1]
71it [00:02, 44.40it/s, bound:0 nc:  3 ncall:8.0e+02 eff:8.9% logz=-20.55+/-0.09 dlogz:52.835>0.1]
71it [00:19, 44.40it/s, bound:0 nc:  3 ncall:8.0e+02 eff:8.9% logz=-20.55+/-0.09 dlogz:52.835>0.1]
72it [01:03,  4.21s/it, bound:1 nc: 43 ncall:8.4e+02 eff:8.6% logz=-20.38+/-0.09 dlogz:52.666>0.1]
111it [01:03,  1.13it/s, bound:3 nc: 25 ncall:2.5e+03 eff:4.5% logz=-12.81+/-0.09 dlogz:44.950>0.1]
150it [01:03,  2.40it/s, bound:4 nc: 28 ncall:3.9e+03 eff:3.9% logz=-9.31+/-0.09 dlogz:41.321>0.1] 
189it [01:04,  4.19it/s, bound:6 nc: 28 ncall:5.4e+03 eff:3.5% logz=-6.96+/-0.08 dlogz:38.842>0.1]
247it [01:04,  7.94it/s, bound:9 nc: 18 ncall:7.8e+03 eff:3.2% logz=-4.18+/-0.08 dlogz:40.476>0.1]
285it [01:08,  8.34it/s, bound:11 nc: 26 ncall:9.5e+03 eff:3.0% logz=-3.07+/-0.07 dlogz:39.267>0.1]
325it [01:20,  5.74it/s, bound:13 nc: 18 ncall:1.1e+04 eff:3.0% logz=-2.17+/-0.07 dlogz:38.261>0.1]
364it [01:20,  8.21it/s, bound:15 nc: 27 ncall:1.3e+04 eff:2.9% logz=-1.43+/-0.07 dlogz:37.425>0.1]
463it [01:20, 17.17it/s, bound:19 nc: 41 ncall:1.6e+04 eff:2.9% logz=0.27+/-0.07 dlogz:35.471>0.1] 
542it [01:20, 27.09it/s, bound:23 nc: 31 ncall:1.9e+04 eff:2.9% logz=1.44+/-0.03 dlogz:34.104>0.1]
594it [01:37,  8.85it/s, bound:25 nc: 32 ncall:2.0e+04 eff:2.9% logz=2.15+/-0.06 dlogz:33.258>0.1]
698it [01:37, 15.33it/s, bound:29 nc: 25 ncall:2.4e+04 eff:3.0% logz=3.43+/-0.07 dlogz:31.720>0.1]
834it [01:37, 27.30it/s, bound:36 nc: 34 ncall:2.9e+04 eff:2.9% logz=5.28+/-0.08 dlogz:29.535>0.1]
853it [01:50, 27.30it/s, bound:37 nc: 34 ncall:2.9e+04 eff:2.9% logz=5.64+/-0.08 dlogz:29.132>0.1]
854it [01:54,  9.30it/s, bound:37 nc: 34 ncall:2.9e+04 eff:2.9% logz=5.66+/-0.08 dlogz:29.111>0.1]
874it [02:25,  3.86it/s, bound:38 nc: 34 ncall:3.0e+04 eff:2.9% logz=6.04+/-0.09 dlogz:28.676>0.1]
932it [02:25,  5.58it/s, bound:41 nc: 72 ncall:3.2e+04 eff:2.9% logz=7.21+/-0.09 dlogz:27.365>0.1]
1003it [02:25,  8.56it/s, bound:44 nc: 22 ncall:3.7e+04 eff:2.7% logz=8.67+/-0.06 dlogz:25.734>0.1]
1069it [02:40,  8.56it/s, bound:48 nc: 54 ncall:4.1e+04 eff:2.6% logz=10.29+/-0.09 dlogz:24.137>0.1]
1070it [02:53,  4.71it/s, bound:48 nc: 54 ncall:4.1e+04 eff:2.6% logz=10.31+/-0.09 dlogz:24.113>0.1]
1090it [02:53,  5.33it/s, bound:49 nc: 54 ncall:4.2e+04 eff:2.6% logz=10.71+/-0.09 dlogz:26.971>0.1]
1129it [03:10,  5.33it/s, bound:51 nc: 49 ncall:4.5e+04 eff:2.5% logz=11.48+/-0.10 dlogz:26.111>0.1]
1130it [03:20,  3.21it/s, bound:51 nc: 63 ncall:4.5e+04 eff:2.5% logz=11.50+/-0.10 dlogz:26.086>0.1]
1148it [03:37,  2.48it/s, bound:52 nc: 63 ncall:4.6e+04 eff:2.5% logz=11.91+/-0.10 dlogz:25.634>0.1]
1168it [03:37,  3.03it/s, bound:53 nc: 30 ncall:4.7e+04 eff:2.5% logz=12.29+/-0.10 dlogz:25.201>0.1]
1211it [03:37,  4.70it/s, bound:55 nc: 34 ncall:5.0e+04 eff:2.4% logz=13.03+/-0.10 dlogz:24.348>0.1]
1247it [03:37,  6.68it/s, bound:57 nc: 79 ncall:5.2e+04 eff:2.4% logz=13.66+/-0.10 dlogz:23.629>0.1]
1283it [03:37,  9.47it/s, bound:59 nc: 40 ncall:5.4e+04 eff:2.4% logz=14.30+/-0.05 dlogz:22.899>0.1]
1323it [03:37, 13.83it/s, bound:61 nc: 40 ncall:5.7e+04 eff:2.3% logz=14.97+/-0.08 dlogz:22.130>0.1]
1362it [03:50, 13.83it/s, bound:63 nc:152 ncall:5.9e+04 eff:2.3% logz=15.58+/-0.09 dlogz:21.414>0.1]
1363it [04:13,  3.03it/s, bound:63 nc: 40 ncall:5.9e+04 eff:2.3% logz=15.60+/-0.09 dlogz:21.397>0.1]
1401it [04:13,  4.31it/s, bound:65 nc: 69 ncall:6.2e+04 eff:2.3% logz=16.10+/-0.10 dlogz:20.795>0.1]
1433it [04:13,  5.79it/s, bound:66 nc:156 ncall:6.4e+04 eff:2.2% logz=16.50+/-0.10 dlogz:20.321>0.1]
1461it [04:13,  7.63it/s, bound:68 nc: 45 ncall:6.5e+04 eff:2.2% logz=16.85+/-0.10 dlogz:19.898>0.1]
1500it [04:14, 11.26it/s, bound:70 nc: 71 ncall:6.9e+04 eff:2.2% logz=17.42+/-0.10 dlogz:19.238>0.1]
1532it [04:14, 15.42it/s, bound:71 nc:  1 ncall:7.1e+04 eff:2.2% logz=18.67+/-0.11 dlogz:17.720>0.1]
1560it [04:14, 19.77it/s, bound:73 nc:263 ncall:7.3e+04 eff:2.1% logz=18.20+/-0.06 dlogz:18.300>0.1]
1598it [04:14, 28.86it/s, bound:75 nc: 39 ncall:7.6e+04 eff:2.1% logz=18.67+/-0.08 dlogz:17.733>0.1]
1640it [04:14, 42.54it/s, bound:77 nc:263 ncall:8.0e+04 eff:2.0% logz=19.20+/-0.09 dlogz:17.106>0.1]
1657it [04:30, 42.54it/s, bound:78 nc:138 ncall:8.2e+04 eff:2.0% logz=19.41+/-0.10 dlogz:16.846>0.1]
1658it [04:47,  2.97it/s, bound:78 nc: 53 ncall:8.2e+04 eff:2.0% logz=19.43+/-0.10 dlogz:16.830>0.1]
1678it [05:14,  1.79it/s, bound:79 nc:138 ncall:8.4e+04 eff:2.0% logz=19.69+/-0.10 dlogz:16.515>0.1]
1698it [05:29,  1.65it/s, bound:80 nc:198 ncall:8.6e+04 eff:2.0% logz=19.97+/-0.10 dlogz:16.192>0.1]
1717it [05:58,  1.20it/s, bound:81 nc:205 ncall:8.8e+04 eff:2.0% logz=20.21+/-0.10 dlogz:15.899>0.1]
1736it [07:24,  1.78s/it, bound:82 nc:198 ncall:9.0e+04 eff:1.9% logz=20.44+/-0.05 dlogz:15.617>0.1]
1775it [07:25,  1.02s/it, bound:84 nc:162 ncall:9.4e+04 eff:1.9% logz=20.89+/-0.08 dlogz:15.070>0.1]
1814it [07:25,  1.58it/s, bound:86 nc: 59 ncall:9.8e+04 eff:1.9% logz=21.36+/-0.09 dlogz:14.506>0.1]
1873it [07:25,  2.88it/s, bound:89 nc: 41 ncall:1.1e+05 eff:1.8% logz=22.03+/-0.10 dlogz:13.688>0.1]
1911it [07:25,  4.06it/s, bound:90 nc: 59 ncall:1.1e+05 eff:1.7% logz=22.41+/-0.06 dlogz:13.216>0.1]
1971it [07:40,  4.06it/s, bound:94 nc:205 ncall:1.2e+05 eff:1.7% logz=23.00+/-0.09 dlogz:12.475>0.1]
1972it [07:47,  3.45it/s, bound:94 nc: 49 ncall:1.2e+05 eff:1.7% logz=23.01+/-0.09 dlogz:12.463>0.1]
2011it [08:35,  1.84it/s, bound:96 nc: 37 ncall:1.2e+05 eff:1.7% logz=23.36+/-0.10 dlogz:12.009>0.1]
2024it [08:35,  2.07it/s, bound:96 nc:307 ncall:1.2e+05 eff:1.6% logz=23.48+/-0.01 dlogz:11.863>0.1]
2050it [08:50,  2.07it/s, bound:98 nc:221 ncall:1.3e+05 eff:1.6% logz=23.71+/-0.05 dlogz:11.567>0.1]
