
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  8 ncall:4.1e+02 eff:0.2% logz=-140.87+/-0.13 dlogz:inf>0.1]
7it [00:00, 47.56it/s, bound:0 nc: 10 ncall:4.4e+02 eff:1.6% logz=-60.06+/-0.13 dlogz:101.013>0.1]
16it [00:00, 52.73it/s, bound:0 nc:  6 ncall:4.9e+02 eff:3.3% logz=-39.71+/-0.12 dlogz:73.478>0.1]
25it [00:00, 52.63it/s, bound:0 nc: 14 ncall:5.3e+02 eff:4.7% logz=-28.10+/-0.12 dlogz:63.049>0.1]
31it [00:00, 52.22it/s, bound:0 nc:  5 ncall:5.4e+02 eff:5.7% logz=-24.78+/-0.10 dlogz:57.520>0.1]
36it [00:01, 50.84it/s, bound:0 nc:  1 ncall:5.6e+02 eff:6.4% logz=-21.81+/-0.11 dlogz:54.503>0.1]
43it [00:01, 39.61it/s, bound:0 nc: 22 ncall:6.2e+02 eff:6.9% logz=-18.37+/-0.10 dlogz:51.017>0.1]
49it [00:01, 38.42it/s, bound:0 nc:  4 ncall:6.6e+02 eff:7.4% logz=-15.84+/-0.10 dlogz:48.374>0.1]
56it [00:01, 45.27it/s, bound:0 nc:  5 ncall:6.9e+02 eff:8.1% logz=-14.01+/-0.10 dlogz:46.560>0.1]
64it [00:01, 42.89it/s, bound:0 nc:  6 ncall:7.3e+02 eff:8.8% logz=-11.84+/-0.10 dlogz:44.347>0.1]
73it [00:01, 47.33it/s, bound:0 nc: 10 ncall:7.7e+02 eff:9.5% logz=-9.90+/-0.09 dlogz:42.230>0.1] 
78it [00:02, 47.26it/s, bound:0 nc:  2 ncall:7.9e+02 eff:9.9% logz=-9.29+/-0.09 dlogz:41.586>0.1]
85it [00:02, 44.76it/s, bound:0 nc: 11 ncall:8.2e+02 eff:10.4% logz=-8.03+/-0.09 dlogz:41.422>0.1]
94it [00:02, 46.14it/s, bound:0 nc:  2 ncall:8.6e+02 eff:10.9% logz=-6.62+/-0.09 dlogz:39.894>0.1]
103it [00:02, 51.45it/s, bound:0 nc: 13 ncall:9.1e+02 eff:11.3% logz=-5.34+/-0.09 dlogz:38.614>0.1]
109it [00:02, 47.58it/s, bound:0 nc:  8 ncall:9.4e+02 eff:11.5% logz=-4.69+/-0.09 dlogz:37.917>0.1]
117it [00:02, 47.75it/s, bound:0 nc:  6 ncall:9.8e+02 eff:11.9% logz=-3.94+/-0.09 dlogz:37.119>0.1]
123it [00:03, 44.36it/s, bound:0 nc: 13 ncall:1.0e+03 eff:12.0% logz=-3.51+/-0.09 dlogz:36.659>0.1]
131it [00:03, 44.98it/s, bound:0 nc:  9 ncall:1.1e+03 eff:12.3% logz=-3.11+/-0.08 dlogz:36.215>0.1]
138it [00:03, 42.44it/s, bound:0 nc:  8 ncall:1.1e+03 eff:12.5% logz=-2.85+/-0.08 dlogz:35.933>0.1]
146it [00:03, 45.19it/s, bound:0 nc:  8 ncall:1.1e+03 eff:12.7% logz=-2.63+/-0.08 dlogz:35.676>0.1]
154it [00:03, 46.22it/s, bound:0 nc:  2 ncall:1.2e+03 eff:13.0% logz=-2.42+/-0.07 dlogz:35.449>0.1]
163it [00:03, 49.46it/s, bound:0 nc:  6 ncall:1.2e+03 eff:13.3% logz=-2.13+/-0.07 dlogz:35.145>0.1]
170it [00:04, 49.34it/s, bound:0 nc: 13 ncall:1.3e+03 eff:13.4% logz=-1.90+/-0.07 dlogz:34.899>0.1]
175it [00:04, 40.86it/s, bound:0 nc: 18 ncall:1.3e+03 eff:13.3% logz=-1.68+/-0.07 dlogz:34.682>0.1]
180it [00:04, 33.67it/s, bound:0 nc:  7 ncall:1.4e+03 eff:13.2% logz=-1.45+/-0.07 dlogz:34.435>0.1]
189it [00:04, 40.25it/s, bound:0 nc:  9 ncall:1.4e+03 eff:13.4% logz=-1.05+/-0.07 dlogz:34.008>0.1]
194it [00:04, 32.48it/s, bound:0 nc: 16 ncall:1.5e+03 eff:13.3% logz=-0.82+/-0.08 dlogz:33.768>0.1]
202it [00:05, 35.43it/s, bound:0 nc:  7 ncall:1.5e+03 eff:13.4% logz=-0.44+/-0.08 dlogz:33.368>0.1]
206it [00:05, 30.29it/s, bound:0 nc: 10 ncall:1.5e+03 eff:13.4% logz=-0.25+/-0.08 dlogz:33.170>0.1]
213it [00:05, 32.72it/s, bound:0 nc:  5 ncall:1.6e+03 eff:13.5% logz=0.05+/-0.08 dlogz:32.842>0.1] 
217it [00:05, 32.56it/s, bound:0 nc:  4 ncall:1.6e+03 eff:13.5% logz=0.21+/-0.08 dlogz:32.677>0.1]
221it [00:05, 29.59it/s, bound:0 nc: 15 ncall:1.7e+03 eff:13.4% logz=0.36+/-0.08 dlogz:32.516>0.1]
