
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  9 ncall:4.1e+02 eff:0.2% logz=-93.60+/-0.13 dlogz:inf>0.1]
7it [00:00, 48.22it/s, bound:0 nc: 15 ncall:4.6e+02 eff:1.5% logz=-59.56+/-0.12 dlogz:91.383>0.1]
14it [00:00, 54.23it/s, bound:0 nc: 24 ncall:5.4e+02 eff:2.6% logz=-43.28+/-0.12 dlogz:76.152>0.1]
19it [00:00, 48.24it/s, bound:0 nc: 19 ncall:6.3e+02 eff:3.0% logz=-39.04+/-0.11 dlogz:70.238>0.1]
26it [00:00, 52.93it/s, bound:0 nc: 21 ncall:7.3e+02 eff:3.6% logz=-34.23+/-0.11 dlogz:65.388>0.1]
31it [00:01, 48.97it/s, bound:0 nc: 20 ncall:8.0e+02 eff:3.9% logz=-31.38+/-0.11 dlogz:62.379>0.1]
36it [00:14,  1.24it/s, bound:1 nc: 26 ncall:9.7e+02 eff:3.7% logz=-28.52+/-0.11 dlogz:59.603>0.1]
89it [00:14,  6.90it/s, bound:4 nc: 29 ncall:3.1e+03 eff:2.9% logz=-13.55+/-0.09 dlogz:44.152>0.1]
168it [00:14, 18.61it/s, bound:8 nc: 33 ncall:6.3e+03 eff:2.7% logz=-7.33+/-0.08 dlogz:37.594>0.1]
246it [00:14, 34.52it/s, bound:12 nc: 35 ncall:9.4e+03 eff:2.6% logz=-4.43+/-0.07 dlogz:34.478>0.1]
264it [00:30, 34.52it/s, bound:13 nc: 61 ncall:1.0e+04 eff:2.6% logz=-3.92+/-0.07 dlogz:33.919>0.1]
265it [00:42,  4.22it/s, bound:13 nc: 35 ncall:1.0e+04 eff:2.6% logz=-3.89+/-0.07 dlogz:33.889>0.1]
324it [00:43,  6.83it/s, bound:16 nc: 38 ncall:1.3e+04 eff:2.5% logz=-2.58+/-0.07 dlogz:32.420>0.1]
384it [00:43, 10.56it/s, bound:19 nc: 31 ncall:1.6e+04 eff:2.5% logz=-1.46+/-0.07 dlogz:34.071>0.1]
444it [00:43, 15.81it/s, bound:22 nc: 38 ncall:1.9e+04 eff:2.4% logz=-0.51+/-0.07 dlogz:32.967>0.1]
502it [00:47, 14.50it/s, bound:25 nc: 38 ncall:2.2e+04 eff:2.3% logz=0.46+/-0.07 dlogz:31.859>0.1] 
536it [00:51, 12.98it/s, bound:26 nc: 52 ncall:2.3e+04 eff:2.3% logz=1.02+/-0.07 dlogz:31.206>0.1]
559it [01:10, 12.98it/s, bound:28 nc: 45 ncall:2.5e+04 eff:2.2% logz=1.42+/-0.07 dlogz:30.750>0.1]
