
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-5559.54+/-0.13 dlogz:inf>0.1]
30it [00:00, 244.82it/s, bound:0 nc:  3 ncall:5.2e+02 eff:5.7% logz=-81.30+/-0.11 dlogz:118.814>0.1]
53it [00:00, 226.79it/s, bound:0 nc: 20 ncall:6.3e+02 eff:8.4% logz=-16.54+/-0.11 dlogz:54.297>0.1] 
71it [00:00, 201.02it/s, bound:0 nc:  7 ncall:7.1e+02 eff:10.0% logz=-8.55+/-0.10 dlogz:45.559>0.1]
92it [00:00, 189.36it/s, bound:0 nc:  3 ncall:8.0e+02 eff:11.5% logz=-4.69+/-0.09 dlogz:41.550>0.1]
110it [00:00, 176.57it/s, bound:0 nc:  5 ncall:8.9e+02 eff:12.4% logz=-3.21+/-0.08 dlogz:41.839>0.1]
130it [00:00, 181.50it/s, bound:0 nc: 10 ncall:9.7e+02 eff:13.4% logz=-2.27+/-0.08 dlogz:40.856>0.1]
148it [00:00, 172.15it/s, bound:0 nc:  4 ncall:1.0e+03 eff:14.2% logz=-1.20+/-0.08 dlogz:39.755>0.1]
172it [00:01, 187.41it/s, bound:0 nc:  2 ncall:1.2e+03 eff:14.8% logz=0.44+/-0.08 dlogz:38.061>0.1] 
198it [00:01, 197.74it/s, bound:0 nc:  6 ncall:1.3e+03 eff:15.7% logz=2.04+/-0.08 dlogz:36.379>0.1]
218it [00:01, 182.54it/s, bound:0 nc: 36 ncall:1.4e+03 eff:15.6% logz=3.00+/-0.08 dlogz:35.365>0.1]
237it [00:01, 162.53it/s, bound:0 nc:  1 ncall:1.5e+03 eff:15.7% logz=4.08+/-0.08 dlogz:34.235>0.1]
254it [00:01, 141.33it/s, bound:0 nc:  8 ncall:1.6e+03 eff:15.6% logz=4.95+/-0.08 dlogz:33.322>0.1]
269it [00:01, 117.21it/s, bound:0 nc: 10 ncall:1.7e+03 eff:15.5% logz=5.60+/-0.08 dlogz:32.624>0.1]
282it [00:02, 103.42it/s, bound:0 nc: 10 ncall:1.8e+03 eff:15.3% logz=6.10+/-0.08 dlogz:32.090>0.1]
294it [00:02, 100.38it/s, bound:0 nc: 13 ncall:1.9e+03 eff:15.2% logz=6.55+/-0.08 dlogz:31.610>0.1]
305it [00:02, 99.56it/s, bound:0 nc:  1 ncall:2.0e+03 eff:15.2% logz=6.94+/-0.08 dlogz:31.188>0.1] 
316it [00:02, 87.63it/s, bound:0 nc:  4 ncall:2.1e+03 eff:15.0% logz=7.36+/-0.08 dlogz:30.747>0.1]
326it [00:02, 78.83it/s, bound:0 nc: 12 ncall:2.2e+03 eff:14.9% logz=7.79+/-0.08 dlogz:30.298>0.1]
335it [00:02, 75.31it/s, bound:0 nc: 20 ncall:2.3e+03 eff:14.8% logz=8.15+/-0.08 dlogz:29.910>0.1]
343it [00:02, 75.76it/s, bound:0 nc: 10 ncall:2.3e+03 eff:14.8% logz=8.46+/-0.08 dlogz:29.580>0.1]
363it [00:02, 97.03it/s, bound:0 nc:  6 ncall:2.4e+03 eff:15.1% logz=9.21+/-0.08 dlogz:28.773>0.1]
373it [00:03, 86.48it/s, bound:0 nc: 16 ncall:2.5e+03 eff:14.9% logz=9.52+/-0.08 dlogz:28.439>0.1]
382it [00:03, 72.01it/s, bound:0 nc: 12 ncall:2.6e+03 eff:14.7% logz=9.78+/-0.08 dlogz:28.152>0.1]
392it [00:03, 72.41it/s, bound:0 nc: 16 ncall:2.7e+03 eff:14.7% logz=10.07+/-0.08 dlogz:27.842>0.1]
400it [00:03, 68.24it/s, bound:0 nc:  7 ncall:2.7e+03 eff:14.6% logz=10.30+/-0.08 dlogz:27.585>0.1]
408it [00:03, 68.69it/s, bound:0 nc:  6 ncall:2.8e+03 eff:14.5% logz=10.54+/-0.08 dlogz:27.332>0.1]
415it [00:03, 65.89it/s, bound:0 nc:  3 ncall:2.9e+03 eff:14.5% logz=10.74+/-0.08 dlogz:27.109>0.1]
422it [00:03, 65.22it/s, bound:0 nc: 11 ncall:2.9e+03 eff:14.3% logz=10.95+/-0.08 dlogz:26.885>0.1]
429it [00:04, 60.34it/s, bound:0 nc:  1 ncall:3.0e+03 eff:14.1% logz=11.15+/-0.08 dlogz:26.668>0.1]
436it [00:04, 51.94it/s, bound:0 nc: 12 ncall:3.1e+03 eff:14.0% logz=11.36+/-0.08 dlogz:26.435>0.1]
442it [00:04, 50.36it/s, bound:0 nc:  6 ncall:3.2e+03 eff:14.0% logz=11.55+/-0.08 dlogz:26.230>0.1]
448it [00:04, 48.42it/s, bound:0 nc:  1 ncall:3.2e+03 eff:14.0% logz=11.73+/-0.08 dlogz:26.034>0.1]
456it [00:04, 55.32it/s, bound:0 nc:  1 ncall:3.2e+03 eff:14.1% logz=11.94+/-0.08 dlogz:25.800>0.1]
462it [00:04, 53.45it/s, bound:0 nc: 17 ncall:3.3e+03 eff:14.1% logz=12.09+/-0.08 dlogz:25.638>0.1]
468it [00:05, 39.56it/s, bound:0 nc:  1 ncall:3.4e+03 eff:13.8% logz=12.25+/-0.08 dlogz:25.468>0.1]
473it [00:05, 34.68it/s, bound:0 nc:  3 ncall:3.4e+03 eff:13.7% logz=12.39+/-0.08 dlogz:25.317>0.1]
477it [00:05, 33.81it/s, bound:0 nc: 15 ncall:3.5e+03 eff:13.7% logz=12.50+/-0.08 dlogz:25.190>0.1]
482it [00:05, 34.05it/s, bound:0 nc: 10 ncall:3.5e+03 eff:13.6% logz=12.64+/-0.08 dlogz:25.041>0.1]
490it [00:05, 32.97it/s, bound:0 nc: 56 ncall:3.7e+03 eff:13.4% logz=12.86+/-0.08 dlogz:24.803>0.1]
496it [00:05, 35.88it/s, bound:0 nc: 11 ncall:3.7e+03 eff:13.4% logz=13.02+/-0.08 dlogz:24.623>0.1]
500it [00:06, 32.04it/s, bound:0 nc: 11 ncall:3.8e+03 eff:13.2% logz=13.13+/-0.08 dlogz:24.504>0.1]
504it [00:06, 31.35it/s, bound:0 nc: 18 ncall:3.9e+03 eff:13.1% logz=13.25+/-0.08 dlogz:24.378>0.1]
512it [00:06, 39.38it/s, bound:0 nc: 11 ncall:3.9e+03 eff:13.1% logz=13.48+/-0.08 dlogz:24.128>0.1]
519it [00:06, 42.60it/s, bound:0 nc: 13 ncall:4.0e+03 eff:13.1% logz=13.67+/-0.08 dlogz:23.919>0.1]
524it [00:06, 35.54it/s, bound:0 nc: 11 ncall:4.0e+03 eff:13.0% logz=13.80+/-0.08 dlogz:23.777>0.1]
533it [00:06, 45.66it/s, bound:0 nc: 18 ncall:4.1e+03 eff:12.9% logz=14.02+/-0.08 dlogz:23.533>0.1]
539it [00:06, 38.63it/s, bound:0 nc: 12 ncall:4.2e+03 eff:12.8% logz=14.16+/-0.08 dlogz:23.375>0.1]
