
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-9760.11+/-0.13 dlogz:inf>0.1]
64it [00:00, 629.28it/s, bound:0 nc:  4 ncall:5.5e+02 eff:11.6% logz=-33.51+/-0.11 dlogz:72.824>0.1]
113it [00:00, 532.03it/s, bound:0 nc:  4 ncall:7.0e+02 eff:16.1% logz=-12.32+/-0.09 dlogz:50.751>0.1]
174it [00:00, 541.21it/s, bound:0 nc:  2 ncall:8.6e+02 eff:20.2% logz=-6.75+/-0.08 dlogz:44.906>0.1] 
221it [00:00, 487.35it/s, bound:0 nc:  3 ncall:1.0e+03 eff:21.6% logz=-4.80+/-0.08 dlogz:42.836>0.1]
266it [00:00, 382.07it/s, bound:0 nc:  3 ncall:1.3e+03 eff:21.1% logz=-3.42+/-0.07 dlogz:41.326>0.1]
305it [00:00, 279.47it/s, bound:0 nc: 10 ncall:1.5e+03 eff:20.1% logz=-2.49+/-0.07 dlogz:40.300>0.1]
337it [00:01, 232.91it/s, bound:0 nc:  2 ncall:1.7e+03 eff:20.0% logz=-1.76+/-0.07 dlogz:39.489>0.1]
364it [00:01, 201.47it/s, bound:0 nc:  5 ncall:1.9e+03 eff:19.5% logz=-1.16+/-0.07 dlogz:38.823>0.1]
387it [00:01, 201.58it/s, bound:0 nc:  3 ncall:2.0e+03 eff:19.6% logz=-0.73+/-0.07 dlogz:38.324>0.1]
409it [00:01, 179.95it/s, bound:0 nc:  7 ncall:2.1e+03 eff:19.3% logz=-0.33+/-0.07 dlogz:37.875>0.1]
429it [00:01, 152.16it/s, bound:0 nc:  1 ncall:2.3e+03 eff:19.0% logz=-0.00+/-0.07 dlogz:37.554>0.1]
446it [00:01, 142.76it/s, bound:0 nc: 11 ncall:2.4e+03 eff:18.7% logz=0.26+/-0.07 dlogz:37.248>0.1] 
461it [00:02, 140.14it/s, bound:0 nc: 20 ncall:2.5e+03 eff:18.6% logz=0.49+/-0.07 dlogz:36.979>0.1]
476it [00:02, 116.93it/s, bound:0 nc: 18 ncall:2.6e+03 eff:18.1% logz=0.74+/-0.07 dlogz:36.697>0.1]
489it [00:02, 117.20it/s, bound:0 nc:  3 ncall:2.7e+03 eff:18.0% logz=0.93+/-0.07 dlogz:36.472>0.1]
