
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2087.32+/-0.13 dlogz:inf>0.1]
73it [00:00, 687.52it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-684.43+/-0.13 dlogz:723.787>0.1]
151it [00:00, 688.33it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.0% logz=-422.01+/-0.13 dlogz:459.086>0.1]
208it [00:00, 616.98it/s, bound:0 nc:  1 ncall:6.6e+02 eff:31.5% logz=-312.71+/-0.13 dlogz:348.715>0.1]
262it [00:00, 569.44it/s, bound:0 nc:  1 ncall:7.6e+02 eff:34.7% logz=-224.80+/-0.11 dlogz:259.279>0.1]
314it [00:00, 449.87it/s, bound:0 nc:  3 ncall:8.9e+02 eff:35.3% logz=-170.60+/-0.12 dlogz:204.887>0.1]
359it [00:00, 356.77it/s, bound:0 nc:  1 ncall:1.0e+03 eff:35.7% logz=-127.69+/-0.12 dlogz:161.680>0.1]
397it [00:01, 337.80it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.6% logz=-106.42+/-0.12 dlogz:140.403>0.1]
433it [00:01, 301.80it/s, bound:0 nc:  7 ncall:1.2e+03 eff:36.1% logz=-88.01+/-0.12 dlogz:122.036>0.1] 
465it [00:01, 235.70it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.7% logz=-70.73+/-0.11 dlogz:104.323>0.1]
492it [00:01, 230.70it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.4% logz=-59.73+/-0.12 dlogz:93.366>0.1] 
521it [00:01, 226.37it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.7% logz=-46.13+/-0.12 dlogz:79.772>0.1]
545it [00:01, 209.25it/s, bound:0 nc:  6 ncall:1.6e+03 eff:35.2% logz=-39.63+/-0.11 dlogz:72.947>0.1]
567it [00:02, 172.23it/s, bound:0 nc: 18 ncall:1.7e+03 eff:34.2% logz=-30.58+/-0.12 dlogz:64.824>0.1]
586it [00:02, 139.15it/s, bound:0 nc:  1 ncall:1.7e+03 eff:33.6% logz=-26.22+/-0.11 dlogz:60.329>0.1]
602it [00:02, 122.08it/s, bound:0 nc:  1 ncall:1.8e+03 eff:32.9% logz=-22.87+/-0.11 dlogz:56.905>0.1]
616it [00:02, 113.32it/s, bound:0 nc:  7 ncall:1.9e+03 eff:32.5% logz=-19.79+/-0.11 dlogz:53.802>0.1]
628it [00:02, 98.95it/s, bound:0 nc:  1 ncall:2.0e+03 eff:32.0% logz=-16.61+/-0.12 dlogz:50.654>0.1] 
640it [00:02, 93.83it/s, bound:0 nc:  2 ncall:2.0e+03 eff:31.7% logz=-14.62+/-0.11 dlogz:48.483>0.1]
652it [00:03, 93.52it/s, bound:0 nc:  4 ncall:2.1e+03 eff:31.3% logz=-12.79+/-0.11 dlogz:46.647>0.1]
667it [00:03, 102.46it/s, bound:0 nc:  3 ncall:2.1e+03 eff:31.2% logz=-10.73+/-0.11 dlogz:44.580>0.1]
678it [00:03, 89.94it/s, bound:0 nc:  1 ncall:2.2e+03 eff:30.7% logz=-7.74+/-0.12 dlogz:41.623>0.1]  
688it [00:03, 81.08it/s, bound:0 nc:  2 ncall:2.3e+03 eff:30.4% logz=-6.16+/-0.11 dlogz:39.911>0.1]
697it [00:03, 58.84it/s, bound:0 nc:  6 ncall:2.4e+03 eff:29.6% logz=-5.05+/-0.11 dlogz:38.789>0.1]
704it [00:03, 56.55it/s, bound:0 nc:  1 ncall:2.4e+03 eff:29.6% logz=-3.88+/-0.11 dlogz:37.654>0.1]
711it [00:04, 54.25it/s, bound:0 nc:  7 ncall:2.4e+03 eff:29.2% logz=-2.87+/-0.11 dlogz:36.585>0.1]
717it [00:04, 47.62it/s, bound:0 nc: 27 ncall:2.5e+03 eff:28.8% logz=-2.16+/-0.11 dlogz:36.260>0.1]
723it [00:04, 47.63it/s, bound:0 nc:  8 ncall:2.5e+03 eff:28.5% logz=-1.53+/-0.11 dlogz:35.568>0.1]
729it [00:04, 47.70it/s, bound:0 nc:  9 ncall:2.6e+03 eff:28.4% logz=-1.06+/-0.11 dlogz:35.073>0.1]
734it [00:04, 44.06it/s, bound:0 nc: 11 ncall:2.6e+03 eff:28.2% logz=-0.66+/-0.11 dlogz:34.661>0.1]
739it [00:04, 42.16it/s, bound:0 nc:  6 ncall:2.6e+03 eff:28.0% logz=-0.20+/-0.11 dlogz:34.211>0.1]
745it [00:04, 43.29it/s, bound:0 nc: 19 ncall:2.7e+03 eff:27.6% logz=0.33+/-0.11 dlogz:33.649>0.1] 
750it [00:05, 41.44it/s, bound:0 nc: 10 ncall:2.7e+03 eff:27.5% logz=0.79+/-0.11 dlogz:33.181>0.1]
756it [00:05, 39.41it/s, bound:0 nc:  7 ncall:2.8e+03 eff:27.3% logz=1.46+/-0.11 dlogz:32.516>0.1]
760it [00:05, 39.38it/s, bound:0 nc:  7 ncall:2.8e+03 eff:27.1% logz=1.88+/-0.11 dlogz:32.073>0.1]
770it [00:05, 49.86it/s, bound:0 nc: 16 ncall:2.9e+03 eff:27.0% logz=2.77+/-0.11 dlogz:31.160>0.1]
776it [00:05, 47.74it/s, bound:0 nc:  5 ncall:2.9e+03 eff:26.9% logz=3.43+/-0.11 dlogz:30.497>0.1]
785it [00:05, 51.16it/s, bound:0 nc: 12 ncall:2.9e+03 eff:26.8% logz=4.25+/-0.11 dlogz:29.633>0.1]
792it [00:05, 53.27it/s, bound:0 nc: 15 ncall:3.0e+03 eff:26.7% logz=4.80+/-0.11 dlogz:29.051>0.1]
798it [00:06, 43.89it/s, bound:0 nc:  7 ncall:3.0e+03 eff:26.3% logz=5.23+/-0.11 dlogz:28.613>0.1]
803it [00:06, 41.12it/s, bound:0 nc:  7 ncall:3.1e+03 eff:26.1% logz=5.70+/-0.11 dlogz:28.146>0.1]
808it [00:06, 31.77it/s, bound:0 nc:  7 ncall:3.2e+03 eff:25.6% logz=6.19+/-0.11 dlogz:27.639>0.1]
812it [00:06, 31.06it/s, bound:0 nc:  5 ncall:3.2e+03 eff:25.5% logz=6.57+/-0.11 dlogz:27.252>0.1]
817it [00:06, 34.42it/s, bound:0 nc: 11 ncall:3.2e+03 eff:25.3% logz=6.96+/-0.11 dlogz:26.819>0.1]
826it [00:06, 44.58it/s, bound:0 nc:  3 ncall:3.3e+03 eff:25.3% logz=7.63+/-0.11 dlogz:26.139>0.1]
832it [00:06, 47.69it/s, bound:0 nc:  8 ncall:3.3e+03 eff:25.2% logz=8.06+/-0.11 dlogz:25.687>0.1]
838it [00:07, 46.73it/s, bound:0 nc:  4 ncall:3.4e+03 eff:25.0% logz=8.46+/-0.11 dlogz:25.270>0.1]
843it [00:07, 41.40it/s, bound:0 nc: 14 ncall:3.4e+03 eff:24.9% logz=8.82+/-0.11 dlogz:24.896>0.1]
848it [00:07, 43.19it/s, bound:0 nc:  1 ncall:3.4e+03 eff:24.8% logz=9.15+/-0.11 dlogz:24.546>0.1]
853it [00:07, 38.36it/s, bound:0 nc:  1 ncall:3.5e+03 eff:24.7% logz=9.46+/-0.10 dlogz:24.227>0.1]
858it [00:07, 31.89it/s, bound:0 nc: 13 ncall:3.5e+03 eff:24.4% logz=9.77+/-0.10 dlogz:23.902>0.1]
863it [00:07, 34.35it/s, bound:0 nc:  5 ncall:3.5e+03 eff:24.4% logz=10.05+/-0.10 dlogz:23.608>0.1]
871it [00:08, 43.46it/s, bound:0 nc:  7 ncall:3.6e+03 eff:24.3% logz=10.46+/-0.10 dlogz:23.166>0.1]
876it [00:08, 35.86it/s, bound:0 nc:  7 ncall:3.6e+03 eff:24.0% logz=10.69+/-0.10 dlogz:22.917>0.1]
882it [00:08, 36.68it/s, bound:0 nc:  8 ncall:3.7e+03 eff:23.9% logz=10.95+/-0.10 dlogz:22.647>0.1]
887it [00:08, 29.76it/s, bound:0 nc:  8 ncall:3.8e+03 eff:23.5% logz=11.17+/-0.10 dlogz:22.411>0.1]
