
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-0.82+/-0.13 dlogz:inf>0.1]
79it [00:00, 733.05it/s, bound:0 nc:  7 ncall:6.1e+02 eff:13.0% logz=8.33+/-0.07 dlogz:28.662>0.1]
154it [00:00, 719.34it/s, bound:0 nc:  9 ncall:8.1e+02 eff:19.1% logz=10.61+/-0.07 dlogz:26.180>0.1]
211it [00:00, 644.73it/s, bound:0 nc: 15 ncall:1.0e+03 eff:21.0% logz=11.96+/-0.07 dlogz:24.691>0.1]
271it [00:00, 611.78it/s, bound:0 nc: 15 ncall:1.2e+03 eff:22.5% logz=13.53+/-0.07 dlogz:22.974>0.1]
327it [00:00, 517.45it/s, bound:0 nc:  5 ncall:1.5e+03 eff:21.8% logz=14.92+/-0.07 dlogz:21.436>0.1]
378it [00:00, 500.98it/s, bound:0 nc:  6 ncall:1.7e+03 eff:21.8% logz=16.05+/-0.07 dlogz:20.180>0.1]
428it [00:00, 477.15it/s, bound:0 nc:  8 ncall:2.0e+03 eff:21.8% logz=17.14+/-0.07 dlogz:18.961>0.1]
476it [00:01, 404.60it/s, bound:0 nc:  5 ncall:2.3e+03 eff:20.6% logz=18.08+/-0.07 dlogz:17.897>0.1]
518it [00:01, 373.57it/s, bound:0 nc: 15 ncall:2.6e+03 eff:19.8% logz=18.79+/-0.07 dlogz:17.082>0.1]
557it [00:01, 354.17it/s, bound:0 nc: 27 ncall:2.9e+03 eff:19.2% logz=19.38+/-0.07 dlogz:16.390>0.1]
593it [00:01, 298.43it/s, bound:0 nc:  2 ncall:3.2e+03 eff:18.3% logz=19.91+/-0.07 dlogz:15.779>0.1]
625it [00:01, 256.48it/s, bound:0 nc:  1 ncall:3.6e+03 eff:17.5% logz=20.36+/-0.07 dlogz:15.245>0.1]
653it [00:01, 248.94it/s, bound:0 nc:  1 ncall:3.8e+03 eff:17.1% logz=20.74+/-0.07 dlogz:14.788>0.1]
679it [00:01, 214.50it/s, bound:0 nc:  5 ncall:4.1e+03 eff:16.5% logz=21.08+/-0.08 dlogz:14.386>0.1]
