
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-124.89+/-0.13 dlogz:inf>0.1]
39it [00:00, 379.99it/s, bound:0 nc:  1 ncall:4.8e+02 eff:8.1% logz=-64.00+/-0.10 dlogz:101.705>0.1]
84it [00:00, 360.72it/s, bound:0 nc:  3 ncall:5.6e+02 eff:14.9% logz=-39.92+/-0.11 dlogz:77.366>0.1]
113it [00:00, 296.48it/s, bound:0 nc:  7 ncall:6.5e+02 eff:17.5% logz=-26.71+/-0.10 dlogz:63.944>0.1]
139it [00:00, 277.89it/s, bound:0 nc:  1 ncall:7.2e+02 eff:19.3% logz=-20.61+/-0.10 dlogz:57.772>0.1]
168it [00:00, 256.35it/s, bound:0 nc:  2 ncall:8.0e+02 eff:20.9% logz=-15.66+/-0.09 dlogz:52.671>0.1]
193it [00:00, 253.67it/s, bound:0 nc:  2 ncall:8.8e+02 eff:21.9% logz=-11.89+/-0.09 dlogz:48.857>0.1]
218it [00:01, 227.15it/s, bound:0 nc:  1 ncall:9.5e+02 eff:22.9% logz=-7.58+/-0.10 dlogz:44.465>0.1] 
241it [00:01, 181.48it/s, bound:0 nc: 11 ncall:1.0e+03 eff:23.0% logz=-4.21+/-0.10 dlogz:41.059>0.1]
261it [00:01, 132.51it/s, bound:0 nc:  9 ncall:1.1e+03 eff:22.9% logz=-1.64+/-0.09 dlogz:38.347>0.1]
277it [00:01, 112.11it/s, bound:0 nc:  1 ncall:1.3e+03 eff:22.1% logz=0.16+/-0.09 dlogz:36.508>0.1] 
291it [00:01, 104.08it/s, bound:0 nc:  1 ncall:1.3e+03 eff:21.8% logz=1.94+/-0.10 dlogz:34.718>0.1]
303it [00:02, 98.41it/s, bound:0 nc:  4 ncall:1.4e+03 eff:21.9% logz=3.22+/-0.09 dlogz:33.378>0.1] 
315it [00:02, 98.88it/s, bound:0 nc:  5 ncall:1.4e+03 eff:21.8% logz=4.27+/-0.09 dlogz:32.275>0.1]
330it [00:02, 100.89it/s, bound:0 nc:  8 ncall:1.5e+03 eff:21.9% logz=5.99+/-0.09 dlogz:30.555>0.1]
342it [00:02, 100.76it/s, bound:0 nc:  9 ncall:1.6e+03 eff:21.8% logz=7.13+/-0.09 dlogz:29.358>0.1]
353it [00:02, 98.66it/s, bound:0 nc:  2 ncall:1.6e+03 eff:21.7% logz=7.95+/-0.09 dlogz:28.501>0.1] 
364it [00:02, 95.27it/s, bound:0 nc: 10 ncall:1.7e+03 eff:21.6% logz=8.70+/-0.09 dlogz:27.709>0.1]
374it [00:02, 96.26it/s, bound:0 nc:  7 ncall:1.7e+03 eff:21.6% logz=9.27+/-0.09 dlogz:27.105>0.1]
384it [00:02, 75.47it/s, bound:0 nc:  1 ncall:1.8e+03 eff:21.2% logz=9.77+/-0.09 dlogz:26.581>0.1]
393it [00:03, 75.36it/s, bound:0 nc: 11 ncall:1.8e+03 eff:21.2% logz=10.20+/-0.09 dlogz:26.948>0.1]
402it [00:03, 77.73it/s, bound:0 nc:  6 ncall:1.9e+03 eff:21.3% logz=10.63+/-0.09 dlogz:26.485>0.1]
411it [00:03, 78.11it/s, bound:0 nc:  7 ncall:1.9e+03 eff:21.2% logz=11.04+/-0.09 dlogz:26.063>0.1]
420it [00:03, 77.12it/s, bound:0 nc:  6 ncall:2.0e+03 eff:21.2% logz=11.55+/-0.09 dlogz:25.541>0.1]
428it [00:03, 61.39it/s, bound:0 nc:  9 ncall:2.0e+03 eff:21.0% logz=11.98+/-0.09 dlogz:25.078>0.1]
435it [00:03, 59.70it/s, bound:0 nc:  5 ncall:2.1e+03 eff:21.0% logz=12.31+/-0.09 dlogz:24.724>0.1]
442it [00:03, 58.89it/s, bound:0 nc:  4 ncall:2.1e+03 eff:21.0% logz=12.65+/-0.09 dlogz:24.377>0.1]
451it [00:04, 59.80it/s, bound:0 nc: 18 ncall:2.1e+03 eff:21.0% logz=13.08+/-0.09 dlogz:23.914>0.1]
458it [00:04, 57.06it/s, bound:0 nc:  5 ncall:2.2e+03 eff:20.8% logz=13.37+/-0.09 dlogz:23.603>0.1]
464it [00:04, 52.31it/s, bound:0 nc:  1 ncall:2.2e+03 eff:20.8% logz=13.61+/-0.09 dlogz:23.347>0.1]
470it [00:04, 48.74it/s, bound:0 nc:  3 ncall:2.3e+03 eff:20.6% logz=13.92+/-0.09 dlogz:23.030>0.1]
475it [00:04, 41.79it/s, bound:0 nc: 16 ncall:2.3e+03 eff:20.3% logz=14.17+/-0.09 dlogz:22.771>0.1]
480it [00:04, 40.56it/s, bound:0 nc:  8 ncall:2.4e+03 eff:20.2% logz=14.41+/-0.09 dlogz:22.513>0.1]
