
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2364.52+/-0.13 dlogz:inf>0.1]
39it [00:00, 309.19it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-432.80+/-0.13 dlogz:500.637>0.1]
74it [00:00, 284.52it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.4% logz=-203.71+/-0.12 dlogz:239.991>0.1]
107it [00:00, 257.35it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.5% logz=-45.48+/-0.12 dlogz:81.687>0.1] 
131it [00:00, 235.41it/s, bound:0 nc:  3 ncall:5.6e+02 eff:23.3% logz=-29.53+/-0.10 dlogz:64.726>0.1]
174it [00:00, 265.41it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.0% logz=-24.48+/-0.09 dlogz:59.450>0.1]
199it [00:01, 253.12it/s, bound:0 nc:  2 ncall:6.7e+02 eff:29.9% logz=-22.74+/-0.08 dlogz:57.664>0.1]
224it [00:01, 250.67it/s, bound:0 nc:  1 ncall:7.1e+02 eff:31.5% logz=-21.20+/-0.08 dlogz:56.044>0.1]
249it [00:01, 245.57it/s, bound:0 nc:  2 ncall:7.6e+02 eff:32.9% logz=-19.88+/-0.08 dlogz:54.666>0.1]
273it [00:01, 198.47it/s, bound:0 nc:  2 ncall:8.2e+02 eff:33.5% logz=-18.44+/-0.08 dlogz:53.164>0.1]
294it [00:01, 163.15it/s, bound:0 nc:  1 ncall:8.7e+02 eff:33.8% logz=-17.38+/-0.08 dlogz:52.043>0.1]
312it [00:01, 155.16it/s, bound:0 nc:  1 ncall:9.2e+02 eff:34.0% logz=-16.53+/-0.08 dlogz:51.143>0.1]
329it [00:01, 138.35it/s, bound:0 nc:  3 ncall:9.6e+02 eff:34.5% logz=-15.86+/-0.08 dlogz:50.420>0.1]
344it [00:02, 125.11it/s, bound:0 nc:  1 ncall:1.0e+03 eff:34.5% logz=-15.27+/-0.08 dlogz:49.800>0.1]
358it [00:02, 115.95it/s, bound:0 nc:  1 ncall:1.0e+03 eff:34.9% logz=-14.69+/-0.08 dlogz:49.182>0.1]
376it [00:02, 114.69it/s, bound:0 nc:  4 ncall:1.1e+03 eff:35.4% logz=-13.97+/-0.08 dlogz:48.417>0.1]
391it [00:02, 107.13it/s, bound:0 nc:  3 ncall:1.1e+03 eff:35.5% logz=-13.43+/-0.08 dlogz:47.834>0.1]
405it [00:02, 110.86it/s, bound:0 nc:  4 ncall:1.1e+03 eff:35.5% logz=-12.94+/-0.08 dlogz:47.313>0.1]
423it [00:02, 122.27it/s, bound:0 nc:  2 ncall:1.2e+03 eff:35.8% logz=-12.40+/-0.08 dlogz:46.724>0.1]
436it [00:02, 121.74it/s, bound:0 nc:  2 ncall:1.2e+03 eff:35.7% logz=-11.99+/-0.08 dlogz:46.284>0.1]
449it [00:03, 123.12it/s, bound:0 nc:  3 ncall:1.3e+03 eff:35.5% logz=-11.55+/-0.08 dlogz:45.811>0.1]
463it [00:03, 122.97it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.6% logz=-11.07+/-0.08 dlogz:45.295>0.1]
476it [00:03, 114.43it/s, bound:0 nc:  5 ncall:1.4e+03 eff:35.0% logz=-10.68+/-0.08 dlogz:44.868>0.1]
