
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-267.99+/-0.13 dlogz:inf>0.1]
10it [00:00, 82.47it/s, bound:0 nc:  1 ncall:4.2e+02 eff:2.4% logz=-108.76+/-0.12 dlogz:150.409>0.1]
18it [00:00, 71.67it/s, bound:0 nc:  3 ncall:4.4e+02 eff:4.1% logz=-77.19+/-0.12 dlogz:119.727>0.1] 
27it [00:00, 73.43it/s, bound:0 nc:  1 ncall:4.6e+02 eff:5.9% logz=-61.39+/-0.11 dlogz:102.081>0.1]
37it [00:00, 82.84it/s, bound:0 nc:  1 ncall:4.8e+02 eff:7.6% logz=-51.73+/-0.11 dlogz:92.410>0.1] 
45it [00:00, 58.29it/s, bound:0 nc:  1 ncall:5.1e+02 eff:8.9% logz=-44.04+/-0.11 dlogz:85.005>0.1]
52it [00:01, 55.47it/s, bound:0 nc:  5 ncall:5.3e+02 eff:9.8% logz=-35.50+/-0.11 dlogz:76.058>0.1]
58it [00:01, 55.25it/s, bound:0 nc:  2 ncall:5.5e+02 eff:10.6% logz=-29.90+/-0.12 dlogz:71.926>0.1]
64it [00:01, 54.22it/s, bound:0 nc:  2 ncall:5.6e+02 eff:11.4% logz=-25.22+/-0.11 dlogz:65.601>0.1]
80it [00:01, 66.57it/s, bound:0 nc:  6 ncall:6.1e+02 eff:13.2% logz=-20.42+/-0.10 dlogz:60.699>0.1]
88it [00:01, 68.24it/s, bound:0 nc:  2 ncall:6.2e+02 eff:14.1% logz=-17.02+/-0.10 dlogz:57.234>0.1]
104it [00:01, 77.44it/s, bound:0 nc:  3 ncall:6.6e+02 eff:15.7% logz=-12.64+/-0.10 dlogz:52.706>0.1]
116it [00:01, 78.21it/s, bound:0 nc:  2 ncall:7.0e+02 eff:16.5% logz=-8.35+/-0.10 dlogz:48.389>0.1] 
132it [00:02, 90.36it/s, bound:0 nc:  9 ncall:7.4e+02 eff:17.8% logz=-5.21+/-0.10 dlogz:45.192>0.1]
142it [00:02, 88.66it/s, bound:0 nc:  2 ncall:7.8e+02 eff:18.1% logz=-3.55+/-0.09 dlogz:43.571>0.1]
151it [00:02, 85.37it/s, bound:0 nc:  1 ncall:8.2e+02 eff:18.3% logz=-2.04+/-0.09 dlogz:42.040>0.1]
167it [00:02, 98.67it/s, bound:0 nc:  4 ncall:8.6e+02 eff:19.3% logz=0.59+/-0.10 dlogz:39.385>0.1] 
177it [00:02, 94.73it/s, bound:0 nc:  2 ncall:9.1e+02 eff:19.5% logz=1.92+/-0.09 dlogz:37.977>0.1]
187it [00:02, 91.10it/s, bound:0 nc:  3 ncall:9.4e+02 eff:19.9% logz=3.24+/-0.09 dlogz:36.620>0.1]
198it [00:02, 90.64it/s, bound:0 nc: 13 ncall:9.9e+02 eff:20.0% logz=4.57+/-0.09 dlogz:35.327>0.1]
212it [00:02, 95.41it/s, bound:0 nc:  9 ncall:1.0e+03 eff:20.2% logz=6.52+/-0.09 dlogz:33.270>0.1]
228it [00:03, 103.96it/s, bound:0 nc:  2 ncall:1.1e+03 eff:20.7% logz=8.71+/-0.09 dlogz:31.059>0.1]
243it [00:03, 107.87it/s, bound:0 nc: 23 ncall:1.2e+03 eff:20.6% logz=10.81+/-0.09 dlogz:28.941>0.1]
256it [00:03, 106.65it/s, bound:0 nc:  3 ncall:1.2e+03 eff:20.9% logz=12.36+/-0.09 dlogz:27.312>0.1]
